DateTime,AddedIPs,RemovedIPs
1547336427,14,9
1547338622,11,6
1547340496,7,8
1547342453,10,7
1547344360,9,8
1547346282,17,7
1547348170,7,6
1547350096,7,12
1547352300,55,20
1547354451,8,22
1547356358,11,11
1547358508,84,11
1547360445,4,10
1547362347,43,4
1547364277,4,13
1547366473,16,5
1547368340,49,11
1547370534,85,17
1547372686,97,18
1547374827,84,5
1547376732,11,9
1547378685,11,2
1547380570,9,9
1547382515,798,2
1547385389,582,6
1547387326,7,8
1547389481,6,11
1547391384,23,8
1547393563,8,13
1547395500,9,9
1547397626,18,17
1547399853,10,26
1547401708,5,264
1547403614,8,96
1547405539,8,336
1547407492,9,8
1547409404,3,248
1547411542,425,419
1547413493,5,331
1547415387,10,410
1547417572,18,419
1547419531,6,390
1547421406,5,360
1547423302,4,486
1547425248,629,8
1547427151,794,5
1547429078,658,9
1547431252,819,12
1547433161,627,10
1547435084,615,7
1547436988,6,6
1547439180,3,81
1547441102,5,6
1547443013,5,9
1547444912,9,8
1547447080,8,5
1547448999,10,2
1547450921,1,5
1547453092,4,25
1547455218,7,65
1547457171,11,103
1547459077,12,100
1547461251,7,93
1547463401,6,7
1547465296,13,7
1547467227,8,9
1547469268,11,6
1547471097,4,9
1547472983,9,4
1547474950,3,4
1547476822,21,17
1547479001,17,4
1547480918,133,9
1547482834,4,25
1547484732,5,14
1547486669,5,7
1547488613,4,7
1547490499,141,9
1547493377,387,12
1547495538,6,1037
1547497483,4,523
1547499373,8,201
1547501298,5,14
1547503232,2,4
1547505170,4,19
1547507055,163,3
1547509167,787,6
1547511145,6,358
1547513074,3,1027
1547514990,5,611
1547517153,8,861
1547519082,4,680
1547520975,3,793
1547522898,5,68
1547524840,8,6
1547526732,7,8
1547528716,5,9
1547530834,5,10
1547532770,9,11
1547534896,4,32
1547536822,8,8
1547538729,4,6
1547540664,7,6
1547542831,14,8
1547544738,12,13
1547546686,5,15
1547548855,5,4
1547550743,4,16
1547552685,6,8
1547554850,17,7
1547556756,14,13
1547558651,8,6
1547560582,11,8
1547562514,7,18
1547564454,16,24
1547566601,12,36
1547568805,19,137
1547570653,7,7
1547572570,1119,6
1547574533,1760,8
1547576678,1636,33
1547578852,2204,298
1547580766,1597,7
1547582696,1604,7
1547584601,14,2
1547586518,4,5
1547588431,6,4
1547590366,39,4
1547592273,133,5
1547594451,34,184
1547596358,5,109
1547598292,19,7
1547600194,8,2
1547602111,5,3
1547604091,7,7
1547605947,3,3
1547607865,9,2
1547609786,5,7
1547611968,8,6
1547613866,54,4
1547616040,8,3
1547617978,393,6
1547619857,580,9
1547621800,446,5
1547623697,10,7
1547626592,12,7
1547628787,25,8
1547630663,62,9
1547632598,39,3
1547634498,42,4
1547636435,22,3
1547638341,107,4
1547640264,119,7
1547642175,5,5
1547644111,5,6
1547646045,2,5
1547647941,230,5
1547650107,6,4
1547652017,6,6
1547653938,4,7
1547655852,6,13
1547657774,7,112
1547659938,15,1954
1547661879,2,1356
1547664048,4,1953
1547665935,7,1572
1547667876,4,1786
1547670049,6,840
1547671966,6,7
1547673875,2,9
1547675771,5,7
1547677719,8,7
1547680578,6,88
1547682496,4,18
1547684453,2,27
1547686342,6,11
1547688279,6,5
1547690208,5,5
1547692367,3,5
1547694278,4,9
1547696199,7,7
1547698095,5,10
1547700044,10,3
1547701955,12,7
1547703857,4,495
1547706046,16,815
1547707945,4,780
1547709870,1285,7
1547711772,2409,5
1547713963,2746,15
1547715875,1168,6
1547717781,118,11
1547719948,423,6
1547721881,323,8
1547724022,345,11
1547725967,442,475
1547727871,401,6
1547729777,422,6
1547731692,468,2
1547734610,156,288
1547736742,4,9
1547738651,8,7
1547740598,3,5
1547742485,5,2
1547744446,7,7
1547746347,8,177
1547748264,11,3
1547750197,4,3
1547752110,9,6
1547754010,5,6
1547755963,5,6
1547757860,1,10
1547759795,8,2
1547761960,7,14
1547763857,14,5
1547765772,6,7
1547767703,4,4
1547769751,47,69
1547771560,51,3
1547773732,8,7
1547775611,11,7
1547777549,6,3
1547779472,114,7
1547781379,240,7
1547783322,201,3
1547785219,196,9
1547787174,159,11
1547789053,197,3
1547790991,334,9
1547793166,245,8
1547795087,255,6
1547796973,283,2235
1547799142,232,2424
1547801095,199,2856
1547803237,285,101
1547805152,272,5
1547807082,110,8
1547808982,3,7
1547810896,11,8
1547813085,4,11
1547814980,13,7
1547817160,6,7
1547819079,7,6
1547820993,6,4
1547823160,3,6
1547825061,11,8
1547828204,10,7
1547830138,9,3
1547832050,5,5
1547833944,5,12
1547835882,7,4
1547837767,7,9
1547839941,9,6
1547841882,5,6
1547843800,6,3
1547845973,6,10
1547847850,6,2
1547849783,4,18
1547851979,17,6
1547853852,6,84
1547855799,7,149
1547857697,274,154
1547859653,2,150
1547861569,3,175
1547863453,3,161
1547865643,8,328
1547867543,12,530
1547869462,10,606
1547871647,3,376
1547873561,6,267
1547875467,5,293
1547877372,3,412
1547879291,8,325
1547881295,6,439
1547883161,7,469
1547885123,9,375
1547886970,27,334
1547889153,36,472
1547891080,46,473
1547893242,8,270
1547895145,5,4
1547897051,6,12
1547898989,9,10
1547900896,13,11
1547903784,13,9
1547905944,19,23
1547907881,1061,6
1547910049,194,5
1547911936,2,8
1547913917,11,8
1547915803,8,9
1547917731,7,7
1547919613,4,5
1547921806,7,6
1547923716,3,5
1547925620,6,8
1547927540,4,7
1547929476,22,7
1547931380,8,5
1547933316,5,6
1547935275,9,12
1547937161,7,17
1547939330,8,7
1547941220,4,9
1547943165,4,343
1547945052,8,9
1547946975,10,6
1547949162,9,6
1547951073,5,5
1547952969,6,11
1547954896,9,8
1547956901,26,24
1547958758,7,7
1547960653,8,3
1547962570,13,4
1547964762,4,9
1547966652,14,23
1547968570,6,17
1547970511,5,17
1547972428,6,42
1547974331,9,75
1547976292,7,45
1547978173,6,36
1547980096,132,5
1547982124,3,6
1547983960,7,8
1547985890,23,10
1547987779,6,10
1547989693,8,9
1547991654,11,14
1547993548,17,296
1547995725,34,989
1547997659,45,4
1547999565,10,11
1548001494,7,3
1548003379,14,7
1548005564,21,3
1548007514,14,5
1548009377,7,2
1548011571,1297,6
1548013451,189,11
1548015653,177,15
1548017538,15,3
1548019458,22,6
1548021373,62,10
1548023554,182,5
1548025466,305,6
1548027402,476,5
1548029353,575,3
1548031244,1133,7
1548033437,1048,5
1548035299,895,5
1548037216,1063,4
1548039143,1299,5
1548041100,613,7
1548042973,347,12
1548044916,467,4
1548046847,438,8
1548048736,79,8
1548050734,15,5
1548052572,4,11
1548054744,2,4
1548056659,2,6
1548058610,8,5
1548060767,3,6
1548062651,4,4
1548064597,7,6
1548066742,5,52
1548068666,2,4
1548070599,5,3
1548072495,4,2
1548074448,24,2
1548076480,120,2
1548078523,115,6
1548080431,132,3
1548082376,235,5
1548084298,149,8
1548086458,200,8
1548088360,212,8
1548090262,188,5
1548092192,37,15
1548094344,6,10
1548096303,2,6
1548098184,4,672
1548100111,6,243
1548102030,4,273
1548103974,6,10
1548106161,1,36
1548108046,5,14
1548109960,4,103
1548111896,8,175
1548113772,3,235
1548115972,8,553
1548117868,7,1026
1548119786,7,789
1548121723,3,826
1548123881,4,1037
1548125770,4,1073
1548127728,3,409
1548129656,5,245
1548131567,7,314
1548133507,7,331
1548135373,7,22
1548137321,8,102
1548139215,5,9
1548141161,60,5
1548143052,5,12
1548145246,8,14
1548147157,5,3
1548149076,5,6
1548150992,9,5
1548152891,7,12
1548154865,10,1
1548156765,2,9
1548158671,9,10
1548160597,6,5
1548162526,6,378
1548164413,13,441
1548166376,20,338
1548168257,50,423
1548170467,5,615
1548172361,3,478
1548174254,6,454
1548176197,6,507
1548178091,7,197
1548180041,8,7
1548181940,421,6
1548183886,7,5
1548185771,25,2
1548187947,20,4
1548189857,14,8
1548191778,20,2
1548193694,12,1
1548195613,15,8
1548197600,12,4
1548199718,8,10
1548201660,9,9
1548203583,13,6
1548205470,10,8
1548207372,9,7
1548209335,4,4
1548211240,5,7
1548213171,4,4
1548215051,8,7
1548217284,3,10
1548219147,3,4
1548221059,2,7
1548222999,4,11
1548225150,4,7
1548227097,2,6
1548228990,2,36
1548230930,5,15
1548232845,5,7
1548234987,7,7
1548237299,47,6
1548239652,329,10
1548241487,8,11
1548243382,4,5
1548245571,8,10
1548247461,8,8
1548249404,3,5
1548251541,6,23
1548253507,162,27
1548255403,6,5
1548257287,336,4
1548259225,162,3
1548261397,6,6
1548263298,12,9
1548265474,79,12
1548267634,963,106
1548269557,8,4
1548271458,9,9
1548273401,8,6
1548275553,10,9
1548277491,6,10
1548279639,9,11
1548281544,2,6
1548283464,6,10
1548285417,2,10
1548287563,3,7
1548289483,63,12
1548291381,1,7
1548293537,13,7
1548295477,6,6
1548297394,3,6
1548299338,6,5
1548301284,8,8
1548303183,7,5
1548305328,6,4
