DateTime,AddedIPs,RemovedIPs
1546504850,1,1
1546508677,0,2
1546512518,1,2
1546522364,0,2
1546526422,0,2
1546530264,1,1
1546532211,0,2
1546534375,0,1
1546536266,0,1
1546540350,0,2
1546546349,1,1
1546548261,3,1
1546555959,1,0
1546557857,1,1
1546569614,1,0
1546571553,0,1
1546573479,0,1
1546579460,1,1
1546583299,1,0
1546587183,0,1
1546589068,0,1
1546591000,0,1
1546594823,1,0
1546600581,1,1
1546602519,1,0
1546604433,1,0
1546606394,0,1
1546616446,1,1
1546618587,2,0
1546624605,1,0
1546626499,1,0
1546630610,1,0
1546632773,0,1
1546634657,0,3
1546636586,2,0
1546638507,1,0
1546640455,1,0
1546642360,0,1
1546644263,1,1
1546648011,1,0
1546655796,0,1
1546659857,1,0
1546665872,0,1
1546667773,1,0
1546671685,1,0
1546679555,1,0
1546681464,1,1
1546683483,2,0
1546685590,2,0
1546687462,0,1
1546689373,1,2
1546691296,1,0
1546697064,1,0
1546703078,2,0
1546710760,1,1
1546716497,1,1
1546719384,1,0
1546721317,2,0
1546723216,0,2
1546727073,1,1
1546731190,2,1
1546733086,2,0
1546734970,0,7
1546745550,0,1
1546747478,1,0
1546751548,1,0
1546753459,1,1
1546761136,1,0
1546766897,0,1
1546768865,1,1
1546770868,0,2
1546773164,1,0
1546775058,0,1
1546776993,1,0
1546779142,1,1
1546781075,1,0
1546782977,1,0
1546784896,1,1
1546787080,1,0
1546789498,2,3
1546791914,1,0
1546793785,1,0
1546797683,1,1
1546801481,1,0
1546803325,1,1
1546805327,1,1
1546807226,1,0
1546809170,1,1
1546813280,0,1
1546817078,5,1
1546818981,5,2
1546833191,2,1
1546837005,1,0
1546838949,0,1
1546840922,1,5
1546846581,0,1
1546850417,1,0
1546856210,0,1
1546858489,1,0
1546860492,0,1
1546862495,1,1
1546864370,0,1
1546866541,0,1
1546870346,0,1
1546872290,0,1
1546874178,1,1
1546876365,0,3
1546880199,0,1
1546884058,0,1
1546885974,0,1
1546890050,0,1
1546891939,1,1
1546893887,0,1
1546895787,1,1
1546899626,1,0
1546903470,0,2
1546905415,0,8
1546907571,1,0
1546909464,5,0
1546911380,1,0
1546913569,2,0
1546917408,1,0
1546919295,0,2
1546923170,0,1
1546926984,1,1
1546935134,0,1
1546937055,3,0
1546938985,1,0
1546943084,2,0
1546944983,0,1
1546948852,1,1
1546953161,2,0
1546961069,1,1
1546964898,1,0
1546966855,1,0
1546970697,1,0
1546978833,0,1
1546980752,1,0
1546982664,0,1
1546986769,0,1
1546990600,1,0
1546992506,1,0
1546994418,0,2
1546996389,1,4
1546998263,0,2
1547000449,0,1
1547004257,1,1
1547008372,1,0
1547010281,1,0
1547014126,0,1
1547017943,1,0
1547022046,1,0
1547023972,0,3
1547025856,0,1
1547027800,0,1
1547029726,0,1
1547033574,1,0
1547035505,0,1
1547037403,1,0
1547039299,0,2
1547047464,1,1
1547051788,1,1
1547056101,0,1
1547058272,0,1
1547062096,1,0
1547065947,1,0
1547067892,1,1
1547077945,1,0
1547082533,1,1
1547086345,1,0
1547090202,1,0
1547094291,0,1
1547098092,0,1
1547102167,1,0
1547104369,0,1
1547108200,0,1
1547110090,2,0
1547114433,1,0
1547116591,1,0
1547118759,1,0
1547120927,1,1
1547128885,1,0
1547132683,1,1
1547138835,0,2
1547141081,1,0
1547143257,1,0
1547147116,1,0
1547149237,0,1
1547153063,1,1
1547155236,1,1
1547157163,1,0
1547162197,1,3
1547164358,0,1
1547170365,2,1
1547172266,1,1
1547176359,1,1
1547185957,1,0
1547187885,0,1
1547195058,1,0
1547196987,0,1
1547200867,1,1
1547202773,0,1
1547204703,1,0
1547206609,0,3
1547208766,1,0
1547212848,1,0
1547214735,0,1
1547218863,0,1
1547225093,1,0
1547226996,0,1
1547228897,2,1
1547233007,3,1
1547237342,1,0
1547239462,0,1
1547241656,1,1
1547243558,0,1
1547247403,0,1
1547257488,1,2
1547259399,0,1
1547261568,1,0
1547263474,1,1
1547267550,1,0
1547271382,0,1
1547275701,1,0
1547281485,1,1
1547285548,0,1
1547287517,1,0
1547291574,0,1
1547293457,0,1
1547297571,0,1
1547299481,1,0
1547313893,1,0
