DateTime,AddedIPs,RemovedIPs
1544671472,0,1
1544679864,1,0
1544685866,1,0
1544687806,1,0
1544693789,0,1
1544697617,1,0
1544699788,1,0
1544709642,0,1
1544723560,1,2
1544733639,0,1
1544746108,0,1
1544762333,1,0
1544766259,0,1
1544772277,0,1
1544774172,0,1
1544782141,1,0
1544785941,0,1
1544802040,0,1
1544809691,0,1
1544847887,0,1
1544853731,1,0
1544855546,1,0
1544865856,1,0
1544868095,1,1
1544889862,1,0
1544897542,1,0
1544899492,1,0
1544901384,1,0
1544909536,1,0
1544940525,0,1
1544942429,0,1
1544944358,1,0
1544946304,2,0
1544953942,0,1
1544955876,1,1
1544977005,0,1
1544982736,0,1
1544984667,0,1
1544986594,0,1
1544996416,0,1
1545031477,0,2
1545033381,0,1
1545035319,1,0
1545042997,0,1
1545055001,1,0
1545056899,1,0
1545076370,1,0
1545080197,1,0
1545103944,1,0
1545123145,0,1
1545133230,1,0
1545140921,0,1
1545143091,0,1
1545162750,0,1
1545166895,0,1
1545184576,1,0
1545190344,0,1
1545200185,1,0
1545210529,1,0
1545212414,1,0
1545214340,1,0
1545220344,0,1
1545225396,1,0
1545239085,1,0
1545240991,1,0
1545244812,1,0
1545254679,1,0
1545256580,1,0
1545262645,1,0
1545272208,0,1
1545280123,1,0
1545284153,1,0
1545286127,0,1
1545294025,1,0
1545295938,0,1
1545297896,0,1
1545301963,0,1
1545304127,1,0
1545307945,1,0
1545309854,0,1
1545317794,1,0
1545325484,0,1
1545327373,0,1
1545331213,0,1
1545340816,0,1
1545342748,0,1
1545348789,0,1
1545364601,2,0
1545366515,1,1
1545376351,1,0
1545380450,0,1
1545392174,1,1
1545394105,0,1
1545401799,1,0
1545403958,0,1
1545407802,1,0
1545415465,1,0
1545423407,2,0
1545425325,2,0
1545438766,1,0
1545440656,1,0
1545450764,0,1
1545452689,0,3
1545463212,0,1
1545479084,0,1
1545482925,1,0
1545486750,1,0
1545488658,0,1
1545494686,0,1
1545502332,0,1
1545510253,1,2
1545512482,0,2
1545522283,2,0
1545524207,0,1
1545528015,0,1
1545529930,1,0
1545531853,1,0
1545535711,1,0
1545542447,1,0
1545567889,0,1
1545573158,1,1
1545588121,1,0
1545597652,0,1
1545603868,1,0
1545608435,0,1
1545610596,0,1
1545616571,1,0
1545618492,0,1
1545620501,1,0
1545622462,0,1
1545628100,0,1
1545631966,1,0
1545643692,1,0
1545659059,1,1
1545662894,1,0
1545666764,1,0
1545674515,0,1
1545690283,0,1
1545704188,1,1
1545706101,0,1
1545719801,0,1
