DateTime,AddedIPs,RemovedIPs
1544314622,1,1
1544316506,1,0
1544318429,1,0
1544320361,1,0
1544331156,1,0
1544338890,1,0
1544356356,1,0
1544369786,0,1
1544375544,1,0
1544377464,1,1
1544381547,0,1
1544383455,0,1
1544387292,1,0
1544391134,1,0
1544402898,0,2
1544406767,0,2
1544408657,0,1
1544416359,0,1
1544424285,1,0
1544426190,0,1
1544437697,1,0
1544443493,0,1
1544445387,1,0
1544447567,1,0
1544453299,1,0
1544455233,1,0
1544459778,1,0
1544461726,0,1
1544463640,0,1
1544473690,0,2
1544477561,0,1
1544481641,1,0
1544485599,1,0
1544493422,1,0
1544502516,1,0
1544516683,1,0
1544522696,0,1
1544532762,0,1
1544538762,0,1
1544540674,0,1
1544542843,0,1
1544544986,0,3
1544555313,1,0
1544565159,1,0
1544567061,0,1
1544571162,0,1
1544579305,1,1
1544587287,1,0
1544589160,0,1
1544593242,1,0
1544604737,0,1
1544617039,1,0
1544619217,1,0
1544640993,0,1
1544645073,1,0
1544651081,0,1
1544664975,0,1
1544673385,0,1
1544677608,5,0
1544679864,3,0
1544682046,4,0
1544683932,1,0
1544695727,1,0
1544699788,1,0
1544701703,2,1
1544705795,0,1
1544727712,1,0
1544731727,0,1
1544739863,1,0
1544746108,0,1
1544748397,1,0
1544756666,1,0
1544758605,1,0
1544764331,1,3
1544766259,1,1
1544768443,0,1
1544782142,0,1
1544785942,0,1
1544787881,0,2
1544798203,4,0
1544800105,1,0
1544815968,0,1
1544826277,1,1
1544834211,1,1
1544836125,0,1
1544838030,0,2
1544841853,0,1
1544844047,3,1
1544845937,1,0
1544849797,1,0
1544851696,0,1
1544853742,1,1
1544871883,1,0
1544883880,0,1
1544885774,0,2
1544911461,0,1
1544919150,0,1
1544928994,1,0
1544930903,0,3
1544932842,0,5
1544934743,0,3
1544936694,0,1
1544940525,0,1
1544948183,1,0
1544957785,0,1
1545002182,1,0
1545013944,0,1
1545029555,1,0
1545031481,1,0
1545035319,0,1
1545039173,1,0
1545049276,1,0
1545066746,1,0
1545078269,1,0
1545088132,0,1
1545092194,1,0
1545105876,1,0
1545117410,0,2
1545125092,0,1
1545137089,0,1
1545139007,1,0
1545140921,1,0
1545143092,3,0
1545144993,4,0
1545147142,2,0
1545152929,0,1
1545164656,0,1
1545168785,1,0
1545170659,2,0
1545178579,0,1
1545180775,1,0
1545192738,0,1
1545218900,1,0
1545224923,0,1
1545230685,0,4
1545232574,0,4
1545234745,0,2
1545236662,1,0
1545240509,1,0
