DateTime,AddedIPs,RemovedIPs
1546405708,0,3
1546407619,2,0
1546415820,0,1
1546417695,0,5
1546419713,10,0
1546421560,1,0
1546423487,0,5
1546427328,2,0
1546433055,0,5
1546436915,1,0
1546444575,3,0
1546446509,0,2
1546448492,1,1
1546450340,0,3
1546452284,2,0
1546454203,2,5
1546458261,1,0
1546460450,0,1
1546462330,1,2
1546464253,0,1
1546466181,4,0
1546468348,1,5
1546472422,2,2
1546474366,1,4
1546476293,65,0
1546478460,26,1
1546482519,1,0
1546487557,6,0
1546489487,5,3
1546493303,2,0
1546495471,1,2
1546505317,2,4
1546507237,0,7
1546509252,3,0
1546511089,1,0
1546512975,2,0
1546514900,0,2
1546518776,1,0
1546520664,3,0
1546524531,0,1
1546526424,4,0
1546528371,2,0
1546530266,3,3
1546534377,3,1
1546538193,0,2
1546540352,2,2
1546544207,0,1
1546546351,4,0
1546548263,3,1
1546552117,0,4
1546554033,0,1
1546557871,0,2
1546561950,4,22
1546563886,0,58
1546565790,0,11
1546567719,4,0
1546569615,1,1
1546571554,1,0
1546575640,0,11
1546577577,1,0
1546579462,0,2
1546581405,0,1
1546592910,2,2
1546594826,1,0
1546596788,0,3
1546598697,0,3
1546602522,6,0
1546604435,2,0
1546606396,0,4
1546608282,3,0
1546612119,1,0
1546614294,0,4
1546616448,0,5
1546618590,4,0
1546620786,0,3
1546622684,5,0
1546626502,3,1
1546628542,0,1
1546630612,1,0
1546632775,4,4
1546634662,0,3
1546636588,4,0
1546644265,5,0
1546648013,0,5
1546650041,3,0
1546651945,65,0
1546653878,0,4
1546655798,0,1
1546657963,3,1
1546659859,4,0
1546663957,0,1
1546665874,4,0
1546671724,3,0
1546675734,6,0
1546679557,0,2
1546681466,1,1
1546683485,2,0
1546687464,1,0
1546689376,1,7
1546691298,2,1
1546693288,1,3
1546699223,3,1
1546703080,4,2
1546705012,5,2
1546706905,2,0
1546708833,0,5
1546712664,5,1
1546714591,0,2
1546716499,1,1
1546718473,2,4
