DateTime,AddedIPs,RemovedIPs
1547094294,2,0
1547100299,2,0
1547102170,0,1
1547104372,0,1
1547108203,1,0
1547110105,1,0
1547112287,0,1
1547114457,1,2
1547116594,0,2
1547118762,1,0
1547120930,1,0
1547123068,1,1
1547126894,2,1
1547128922,0,1
1547132686,2,0
1547134597,1,0
1547136571,1,0
1547141083,1,0
1547145169,0,1
1547147118,1,0
1547149240,2,0
1547151165,1,0
1547153066,0,1
1547155239,0,2
1547157165,1,4
1547159070,1,1
1547161313,0,1
1547163152,2,3
1547165084,1,2
1547166978,0,1
1547168918,0,1
1547172763,1,0
1547174665,0,1
1547176595,2,0
1547178495,0,1
1547180419,0,4
1547182368,1,0
1547186551,1,0
1547188357,1,1
1547190289,1,0
1547192439,0,3
1547196274,2,0
1547198433,2,2
1547200360,1,1
1547204181,1,0
1547206107,0,1
1547208038,1,1
1547210206,1,2
1547212120,1,0
1547214051,1,1
1547216208,1,0
1547218338,1,0
1547220293,3,0
1547224587,2,1
1547226517,1,0
1547228422,2,2
1547232519,3,0
1547234686,1,1
1547236568,0,1
1547239013,2,2
1547241142,2,0
1547243086,1,1
1547245243,2,0
1547247405,1,0
1547249588,1,2
1547251736,2,2
1547257490,0,1
1547259401,1,0
1547261570,0,1
1547263476,2,2
1547265730,5,1
1547267552,0,1
1547269502,1,0
1547273824,1,1
1547275704,0,1
1547279556,1,0
1547281488,0,1
1547283395,2,3
1547285551,2,3
1547287520,0,2
1547289663,0,1
1547291577,1,0
1547293459,1,0
1547295643,1,0
1547297574,0,2
1547299483,1,0
1547301394,1,0
1547303298,1,0
1547305509,1,1
1547307657,0,1
1547309832,2,0
1547311892,1,3
1547313895,0,3
1547317700,1,0
1547320588,1,4
1547322535,1,0
1547324430,2,0
1547326337,0,1
1547328294,0,3
1547330185,0,1
1547332410,8,3
1547334511,0,2
1547336431,5,1
1547338626,0,1
1547340500,1,0
1547342470,1,0
1547344365,0,1
1547346286,2,1
1547350109,1,0
1547352314,0,1
1547354456,0,2
1547360449,0,1
1547362351,1,0
1547364281,1,0
1547366523,1,3
1547368344,0,1
1547370539,0,2
1547372691,0,1
1547378689,0,1
1547380575,0,2
1547382519,0,2
1547386350,0,1
1547388528,0,2
1547390439,0,1
1547392376,0,1
1547394255,2,0
1547396260,2,2
1547398338,1,0
1547400278,0,1
1547402523,1,0
1547404366,0,1
1547406273,1,2
1547408418,11,0
1547410374,0,3
1547416337,2,0
1547418276,0,2
1547420523,2,3
1547422368,2,4
1547424325,2,0
1547426177,2,2
1547428362,4,0
1547430264,1,1
1547432215,2,1
1547434130,0,1
1547436297,1,0
1547438487,2,1
1547440589,1,0
1547442532,1,0
1547448510,0,1
1547450446,1,2
1547452621,1,0
1547454872,5,0
1547457174,3,0
1547459080,1,0
1547461254,1,0
1547465301,1,0
1547469272,2,0
1547471102,1,1
1547472987,0,1
1547479006,2,1
1547480922,1,1
1547482856,0,2
1547484736,3,1
1547486673,2,0
1547488617,0,1
1547490503,2,0
1547492527,1,1
1547494371,0,1
1547496268,0,12
1547498202,1,0
1547502269,2,2
1547504600,1,0
1547506597,2,2
1547509171,4,3
1547511149,2,4
1547513078,2,2
1547514994,2,1
1547520979,1,0
1547522902,0,2
