DateTime,Entries,UniqueIPs
1547342471,9489,9489
1547344366,9486,9486
1547346287,9487,9487
1547348188,9488,9488
1547350110,9501,9501
1547352315,9513,9513
1547354456,9589,9589
1547356363,9593,9593
1547358513,9763,9763
1547360450,9775,9775
1547362352,10021,10021
1547364282,10029,10029
1547366524,10028,10028
1547368345,10042,10042
1547370540,10073,10073
1547372691,10029,10029
1547374832,10181,10181
1547376737,10181,10181
1547378690,10181,10181
1547380575,10182,10182
1547382520,10457,10457
1547384504,10457,10457
1547386351,10449,10449
1547388529,10449,10449
1547390440,10542,10542
1547392377,10561,10561
1547394256,10565,10565
1547396261,10573,10573
1547398338,10566,10566
1547400279,10586,10586
1547402527,10596,10596
1547404367,10583,10583
1547406278,10589,10589
1547408419,10570,10570
1547410374,9800,9800
1547412255,9924,9924
1547414203,9059,9059
1547416338,7855,7855
1547418277,7001,7001
1547420531,5947,5947
1547422369,4971,4971
1547424326,4431,4431
1547426178,4446,4446
1547428363,4476,4476
1547430265,4480,4480
1547432216,4480,4480
1547434131,4483,4483
1547436298,4474,4474
1547438494,4479,4479
1547440590,4420,4420
1547442533,4417,4417
1547444419,4310,4310
1547446330,4433,4433
1547448511,4401,4401
1547450447,4399,4399
1547452623,4414,4414
1547454873,4406,4406
1547457175,4385,4385
1547459080,4402,4402
1547461254,4144,4144
1547463405,4152,4152
1547465301,4154,4154
1547467233,4164,4164
1547469273,4150,4150
1547471102,4159,4159
1547472988,4173,4173
1547474964,4195,4195
1547476827,4070,4070
1547479006,4057,4057
1547480922,4333,4333
1547482856,4346,4346
1547484737,4363,4363
1547486674,4363,4363
1547488618,4353,4353
1547490503,5051,5051
1547492531,6838,6838
1547494372,6549,6549
1547496269,6547,6547
1547498203,5216,5216
1547500365,5219,5219
1547502270,5208,5208
1547504600,5188,5188
1547506598,5202,5202
1547509172,6837,6837
1547511150,6820,6820
1547513078,6822,6822
1547514994,6805,6805
1547517157,6816,6816
1547519087,6817,6817
1547520979,6822,6822
1547522903,6831,6831
1547524888,6835,6835
1547526740,6838,6838
1547528727,6861,6861
1547530839,6814,6814
1547532775,6830,6830
1547534900,6688,6688
1547536826,6693,6693
1547538734,6686,6686
1547540672,6854,6854
1547542901,6853,6853
1547544743,6892,6892
1547546692,6896,6896
1547548859,6909,6909
1547550748,6908,6908
1547552690,6904,6904
1547554855,6927,6927
1547556760,6921,6921
1547558656,6938,6938
1547560587,6929,6929
1547562519,6900,6900
1547564525,6941,6941
1547566612,6904,6904
1547568810,6617,6617
1547570657,6629,6629
1547572575,6631,6631
1547574538,6657,6657
1547576683,6354,6354
1547578931,4733,4733
1547580771,4748,4748
1547582702,4755,4755
1547584609,4784,4784
1547586523,4788,4788
1547588436,4783,4783
1547590370,4936,4936
1547592278,5613,5613
1547594456,4194,4194
1547596363,3703,3703
1547598297,3917,3917
1547600198,3908,3908
1547602115,3911,3911
1547604100,3902,3902
1547605951,3914,3914
1547607929,3914,3914
1547609790,3917,3917
1547611973,3911,3911
1547613871,4015,4015
1547616057,4028,4028
1547617982,4035,4035
1547619862,4030,4030
1547621805,4058,4058
1547623702,4124,4124
1547626597,4020,4020
1547628805,4087,4087
1547630671,4138,4138
1547632602,4242,4242
1547634505,4325,4325
1547636535,4369,4369
1547638346,5692,5692
1547640270,6816,6816
1547642204,6815,6815
1547644115,6811,6811
1547646050,6807,6807
1547647946,7239,7239
1547650112,7221,7221
1547652021,7203,7203
1547653943,7204,7204
1547655857,7193,7193
1547657779,7187,7187
1547659943,7238,7238
1547661893,7231,7231
1547664053,7215,7215
1547665940,7199,7199
1547667907,7204,7204
1547670054,7192,7192
1547671971,7177,7177
1547673880,7172,7172
1547675776,7164,7164
1547677724,7159,7159
1547679732,7152,7152
1547681574,7144,7144
1547683514,7133,7133
1547685376,6993,6993
1547687568,6995,6995
1547689705,6980,6980
1547691622,6968,6968
1547693547,6961,6961
1547695490,6955,6955
1547697703,6947,6947
1547699544,6933,6933
1547701545,6920,6920
1547703416,6805,6805
1547705556,6797,6797
1547707481,6804,6804
1547709411,6802,6802
1547711322,6786,6786
1547713231,6769,6769
1547715169,6757,6757
1547717066,6748,6748
1547718976,7599,7599
1547721182,8538,8538
1547723109,9247,9247
1547725025,8533,8533
1547727168,9157,9157
1547729068,10127,10127
1547731001,11042,11042
1547733142,11583,11583
1547735083,11283,11283
1547737006,11283,11283
1547738896,11280,11280
1547740885,11292,11292
1547742761,11321,11321
1547744730,11248,11248
1547746842,10818,10818
1547748782,10823,10823
1547750661,10842,10842
1547752851,10856,10856
1547754775,10868,10868
1547756677,10878,10878
1547758584,10879,10879
1547760520,10875,10875
1547762449,10870,10870
1547764335,10884,10884
1547766301,10884,10884
1547768196,10883,10883
1547770098,10771,10771
1547772045,10770,10770
1547774196,10773,10773
1547776219,10777,10777
1547778020,10786,10786
1547779965,10792,10792
1547781894,10794,10794
1547783774,10791,10791
1547785943,10791,10791
1547787927,10800,10800
1547790055,10933,10933
1547791952,11049,11049
1547793859,11049,11049
1547795806,11057,11057
1547797697,11058,11058
1547799668,11031,11031
1547801575,11014,11014
1547803816,11053,11053
1547805685,11057,11057
1547807555,11042,11042
1547809510,11045,11045
1547811408,11053,11053
1547813555,11053,11053
1547815457,11054,11054
1547817387,11052,11052
1547819564,11064,11064
1547821484,11065,11065
1547823383,11070,11070
1547825565,11076,11076
1547827519,11073,11073
1547829783,11069,11069
1547832054,11072,11072
1547833948,11063,11063
1547835886,11057,11057
1547837771,11039,11039
1547839945,11040,11040
1547841933,11045,11045
1547843805,11055,11055
1547845978,11067,11067
1547847854,11078,11078
1547849787,11064,11064
1547851983,11075,11075
1547853863,10524,10524
1547855803,9491,9491
1547857701,9004,9004
1547859714,8028,8028
1547861573,7103,7103
1547863457,6190,6190
1547865646,5100,5100
1547867547,4187,4187
1547869466,3339,3339
1547871650,3332,3332
1547873564,3342,3342
1547875471,3341,3341
1547877375,3338,3338
1547879294,3247,3247
1547881304,3219,3219
1547883164,3215,3215
1547885134,3177,3177
1547886973,3139,3139
1547889157,3123,3123
1547891087,3196,3196
1547893258,3211,3211
1547895150,3204,3204
1547897054,3187,3187
1547898992,3181,3181
1547900899,3164,3164
1547902884,3159,3159
1547904768,3134,3134
1547906663,3124,3124
1547908598,3403,3403
1547910760,3385,3385
1547912676,3366,3366
1547914662,3350,3350
1547916758,3349,3349
1547918813,3338,3338
1547920876,3343,3343
1547922742,3349,3349
1547924673,3349,3349
1547926579,3338,3338
1547928768,3338,3338
1547930667,3490,3490
1547932601,3479,3479
1547934765,3480,3480
1547936670,3256,3256
1547938899,3256,3256
1547940743,3244,3244
1547942705,2905,2905
1547944597,2801,2801
1547946503,2805,2805
1547948452,2799,2799
1547950343,2803,2803
1547952263,2800,2800
1547954188,2799,2799
1547956099,2813,2813
1547958046,2814,2814
1547959945,2807,2807
1547961870,2804,2804
1547963796,2852,2852
1547965697,2853,2853
1547967664,2801,2801
1547969596,2711,2711
1547971501,2646,2646
1547973399,2533,2533
1547975321,2399,2399
1547977215,2290,2290
1547979159,2500,2500
1547981058,2506,2506
1547982999,2511,2511
1547985164,2557,2557
1547987066,2561,2561
1547988978,2571,2571
1547991166,2564,2564
1547993096,2517,2517
1547995227,2134,2134
1547997169,2241,2241
1547999087,2244,2244
1548000989,2244,2244
1548002900,2243,2243
1548004849,2246,2246
1548006762,2251,2251
1548008665,2245,2245
1548010576,2534,2534
1548012744,2578,2578
1548014674,2567,2567
1548016827,2468,2468
1548018776,2475,2475
1548020664,2693,2693
1548022581,2683,2683
1548024800,2689,2689
1548026688,2692,2692
1548028932,2698,2698
1548030755,2724,2724
1548032742,2716,2716
1548034576,2711,2711
1548036747,2712,2712
1548038659,2710,2710
1548040586,2703,2703
1548042520,2634,2634
1548044445,2638,2638
1548046352,2630,2630
1548048257,2629,2629
1548050174,3020,3020
1548052142,3017,3017
1548054090,2990,2990
1548056209,2992,2992
1548058105,2988,2988
1548060052,3015,3015
1548061958,3022,3022
1548063888,3023,3023
1548065781,2861,2861
1548067712,2856,2856
1548069633,2857,2857
1548071534,2856,2856
1548073493,2862,2862
1548075409,3485,3485
1548077547,4532,4532
1548079511,5452,5452
1548081409,6380,6380
1548083565,7522,7522
1548085469,8482,8482
1548087665,9681,9681
1548089573,10689,10689
1548091467,11182,11182
1548093372,11181,11181
1548095298,11176,11176
1548097563,10869,10869
1548099400,10872,10872
1548101342,10876,10876
1548103243,10885,10885
1548105156,10872,10872
1548107079,10722,10722
1548109002,10725,10725
1548110911,10726,10726
1548112851,10726,10726
1548114754,10738,10738
1548116687,10689,10689
1548118592,10691,10691
1548120499,10694,10694
1548122512,10702,10702
1548124361,10706,10706
1548126352,10714,10714
1548128215,10722,10722
1548130137,10715,10715
1548132024,10719,10719
1548133969,10725,10725
1548135881,10368,10368
1548137786,10365,10365
1548139729,10406,10406
1548141618,10759,10759
1548143540,10753,10753
1548145455,10802,10802
1548147692,10795,10795
1548149564,10793,10793
1548151460,10785,10785
1548153407,10787,10787
1548155330,10789,10789
1548157222,10788,10788
1548159154,10791,10791
1548161063,10538,10538
1548163005,9563,9563
1548164921,8526,8526
1548166824,7553,7553
1548168763,6416,6416
1548170678,5469,5469
1548172574,4357,4357
1548174767,3099,3099
1548176722,2158,2158
1548178605,1935,1935
1548180748,2011,2011
1548182669,2777,2777
1548184598,2775,2775
1548186508,2769,2769
1548188425,2765,2765
1548190385,2769,2769
1548192261,2784,2784
1548194205,2785,2785
1548196099,2793,2793
1548198145,2813,2813
1548200183,2829,2829
1548202131,2836,2836
1548204022,2856,2856
1548205973,2868,2868
1548207859,2869,2869
1548209805,2882,2882
1548211725,2889,2889
1548213649,2895,2895
1548215533,2905,2905
1548217463,2921,2921
1548219435,2933,2933
1548221580,2940,2940
1548223490,2944,2944
1548225649,2960,2960
1548227548,2782,2782
1548229489,2803,2803
1548231391,2764,2764
1548233301,2767,2767
1548235491,2790,2790
1548237307,2874,2874
1548239669,3308,3308
1548241493,3325,3325
1548243387,3343,3343
1548245576,3362,3362
1548247465,3362,3362
1548249408,3366,3366
1548251545,3381,3381
1548253519,3721,3721
1548255407,3730,3730
1548257292,5635,5635
1548259287,6357,6357
1548261401,6366,6366
1548263301,6383,6383
1548265478,6510,6510
1548267638,7949,7949
1548269562,7952,7952
1548271462,7961,7961
1548273405,7970,7970
1548275557,7971,7971
1548277505,7979,7979
1548279642,7984,7984
1548281548,7980,7980
1548283468,7983,7983
1548285421,7980,7980
1548287567,7974,7974
1548289501,7971,7971
1548291385,7968,7968
1548293553,7971,7971
1548295505,7974,7974
1548297397,7974,7974
1548299341,7972,7972
1548301288,7957,7957
1548303186,7961,7961
1548305332,7955,7955
1548307472,7964,7964
1548309396,7955,7955
1548311314,7947,7947
1548313307,7942,7942
1548315149,7935,7935
1548317106,7943,7943
1548319219,7731,7731
1548321150,7722,7722
1548323084,7701,7701
1548325232,7536,7536
1548327161,7368,7368
1548329061,7360,7360
