DateTime,AddedIPs,RemovedIPs
1547342472,21,22
1547344368,21,21
1547346288,22,23
1547348188,27,21
1547350111,28,14
1547352316,25,12
1547354457,94,18
1547356364,24,16
1547358513,186,15
1547360450,24,9
1547362353,266,14
1547364283,28,19
1547366526,21,27
1547368346,32,24
1547370541,49,18
1547372692,31,74
1547374833,183,30
1547376738,22,21
1547378691,22,22
1547380576,19,21
1547382521,301,23
1547384507,29,25
1547386352,13,18
1547388531,26,22
1547390441,111,18
1547392378,45,21
1547394257,22,15
1547396261,29,22
1547398339,24,30
1547400280,36,14
1547402531,35,21
1547404368,19,34
1547406279,30,21
1547408420,26,44
1547410376,241,1007
1547412256,1105,981
1547414203,17,883
1547416338,46,1249
1547418277,37,892
1547420536,37,1087
1547422369,19,991
1547424327,23,561
1547426178,29,16
1547428364,54,23
1547430265,26,21
1547432217,21,18
1547434131,25,24
1547436299,20,33
1547438498,34,27
1547440591,36,93
1547442534,22,27
1547444420,79,186
1547446331,149,29
1547448512,24,57
1547450447,26,26
1547452623,44,29
1547454874,29,38
1547457176,36,58
1547459081,45,27
1547461255,35,297
1547463406,40,28
1547465302,22,21
1547467234,35,20
1547469273,19,38
1547471103,30,24
1547472988,30,14
1547474965,43,21
1547476827,54,174
1547479007,31,44
1547480923,304,24
1547482857,46,31
1547484737,32,16
1547486675,40,39
1547488618,16,29
1547490504,723,26
1547492533,1816,29
1547494373,23,306
1547496270,27,28
1547498203,27,1352
1547500365,28,27
1547502271,25,38
1547504601,25,46
1547506601,45,31
1547509172,1668,32
1547511151,11,33
1547513079,22,20
1547514995,33,51
1547517158,35,28
1547519087,22,18
1547520980,27,21
1547522903,30,21
1547524892,33,27
1547526741,40,37
1547528728,48,26
1547530840,34,82
1547532776,32,16
1547534901,41,182
1547536827,26,25
1547538735,28,32
1547540672,188,23
1547542905,32,32
1547544744,73,33
1547546693,31,29
1547548860,44,31
1547550749,22,27
1547552691,23,29
1547554856,44,21
1547556761,24,30
1547558657,36,21
1547560593,24,38
1547562520,26,53
1547564526,63,21
1547566613,36,73
1547568811,31,316
1547570658,30,17
1547572575,31,29
1547574539,40,13
1547576683,42,341
1547578932,33,1653
1547580772,33,25
1547582703,34,25
1547584610,56,25
1547586523,28,24
1547588437,25,30
1547590371,177,25
1547592279,695,18
1547594457,27,1452
1547596364,29,521
1547598298,226,11
1547600199,21,29
1547602116,32,27
1547604100,24,29
1547605952,35,28
1547607938,29,28
1547609791,31,26
1547611974,28,34
1547613872,134,31
1547616058,38,22
1547617983,34,29
1547619862,23,26
1547621805,51,21
1547623702,77,12
1547626605,115,221
1547628806,94,21
1547630673,115,61
1547632603,142,31
1547634505,107,22
1547636537,69,23
1547638347,1329,11
1547640276,1140,25
1547642205,20,22
1547644116,13,19
1547646052,9,13
1547647946,455,23
1547650113,16,38
1547652022,13,34
1547653943,18,25
1547655858,14,30
1547657780,13,21
1547659944,87,36
1547661894,20,26
1547664054,12,30
1547665941,15,33
1547667908,33,30
1547670054,13,32
1547671971,20,37
1547673881,17,21
1547675777,24,32
1547677725,15,21
1547679734,20,27
1547681575,13,22
1547683515,13,23
1547685377,17,158
1547687570,25,25
1547689706,14,32
1547691623,13,34
1547693548,23,30
1547695491,19,28
1547697704,26,34
1547699544,13,32
1547701545,18,28
1547703417,16,134
1547705557,20,30
1547707481,31,28
1547709411,20,25
1547711323,20,35
1547713232,26,46
1547715170,13,30
1547717067,14,27
1547718977,878,33
1547721183,947,15
1547723109,728,18
1547725027,901,1619
1547727168,1029,400
1547729069,989,19
1547731001,922,5
1547733143,691,148
1547735083,19,320
1547737007,17,18
1547738897,13,15
1547740889,25,14
1547742762,44,13
1547744731,22,93
1547746844,29,462
1547748784,24,20
1547750662,26,8
1547752852,31,19
1547754776,30,17
1547756678,23,14
1547758584,19,18
1547760521,13,20
1547762465,27,30
1547764336,30,14
1547766304,17,17
1547768198,13,15
1547770099,19,132
1547772046,18,15
1547774197,23,23
1547776220,18,12
1547778021,24,15
1547779965,26,22
1547781896,23,18
1547783775,16,20
1547785944,16,16
1547787928,22,15
1547790056,151,19
1547791953,131,19
1547793859,19,19
1547795807,26,18
1547797697,15,15
1547799669,16,44
1547801585,37,56
1547803817,62,22
1547805688,15,11
1547807556,16,31
1547809511,22,20
1547811408,28,16
1547813556,22,24
1547815458,14,14
1547817388,17,19
1547819565,32,22
1547821485,22,19
1547823384,21,15
1547825565,22,18
1547827520,20,23
1547829784,23,28
1547832055,21,20
1547833949,21,28
1547835887,14,19
1547837772,13,30
1547839945,31,31
1547841935,29,23
1547843805,31,18
1547845978,32,20
1547847856,28,18
1547849787,30,39
1547851984,36,24
1547853864,28,579
1547855804,25,1052
1547857702,429,917
1547859716,26,1001
1547861574,20,944
1547863458,14,927
1547865646,20,1109
1547867547,25,938
1547869466,41,890
1547871651,47,26
1547873564,51,17
