DateTime,AddedIPs,RemovedIPs
1547338629,8,11
1547340503,7,6
1547342473,14,23
1547344369,10,6
1547346289,5,5
1547348190,13,15
1547350113,13,9
1547352319,8,7
1547354459,15,9
1547356366,14,4
1547358515,12,9
1547360452,9,4
1547362355,18,21
1547364284,18,6
1547366528,14,6
1547368347,10,10
1547370543,10,14
1547372694,8,8
1547374835,26,10
1547376739,16,8
1547378692,15,7
1547380590,15,5
1547382522,14,2
1547384509,10,5
1547386353,19,4
1547388532,15,4
1547390442,16,3
1547392379,12,2
1547394258,8,4
1547396263,13,6
1547398341,20,10
1547400291,14,4
1547402533,8,6
1547404369,10,8
1547406280,15,5
1547408422,20,10
1547410377,9,11
1547412258,20,16
1547414205,13,13
1547416340,15,18
1547418279,9,7
1547420544,11,12
1547422371,13,17
1547424329,13,9
1547426180,19,7
1547428365,18,11
1547430267,11,14
1547432219,13,5
1547434133,15,9
1547436301,18,17
1547438507,10,10
1547440592,10,14
1547442535,11,12
1547444421,8,9
1547446333,8,11
1547448513,14,17
1547450449,7,19
1547452635,12,12
1547454875,6,15
1547457177,8,11
1547459083,11,7
1547461257,6,26
1547463408,14,19
1547465303,5,12
1547467236,12,16
1547469275,12,12
1547471104,12,14
1547472990,15,18
1547474966,6,13
1547476829,9,17
1547479009,11,12
1547480924,10,11
1547482858,21,11
1547484739,8,20
1547486676,18,14
1547488619,16,5
1547490506,10,11
1547492536,9,16
1547494374,12,17
1547496272,10,9
1547498205,9,19
1547500367,22,13
1547502272,6,13
1547504602,8,13
1547506602,20,6
1547509174,9,18
1547511152,12,12
1547513081,19,22
1547514996,14,15
1547517159,13,13
1547519089,17,13
1547520981,11,20
1547522905,16,11
1547524901,11,10
1547526743,9,10
1547528729,13,10
1547530854,15,11
1547532777,12,8
1547534915,14,15
1547536829,6,7
1547538736,11,14
1547540674,4,5
1547542911,11,8
1547544745,16,7
1547546695,14,7
1547548861,17,10
1547550750,4,7
1547552692,7,5
1547554857,12,16
1547556763,15,7
1547558658,7,21
1547560595,14,7
1547562522,18,8
1547564528,15,12
1547566614,16,9
1547568812,10,20
1547570659,16,13
1547572577,17,16
1547574540,15,16
1547576685,17,12
1547578934,19,11
1547580773,16,13
1547582704,9,10
1547584611,10,8
1547586525,8,18
1547588438,8,8
1547590372,10,6
1547592281,19,21
1547594458,9,8
1547596366,9,7
1547598299,17,7
1547600200,13,22
1547602117,17,12
1547604102,9,14
1547605954,18,13
1547607945,15,13
1547609792,16,12
1547611975,20,11
1547613873,13,11
1547616060,11,10
1547617984,19,12
1547619864,111,17
1547621807,173,7
1547623717,16,5
1547626607,30,13
1547628807,29,9
1547630675,19,17
1547632605,13,11
1547634507,10,14
1547636562,10,9
1547638836,21,4
1547640997,18,11
1547642903,16,13
1547644835,7,6
1547646759,12,9
1547648655,7,14
1547650615,5,13
1547652500,13,16
1547654475,21,4
1547656370,7,15
1547658531,8,16
1547660411,13,15
1547662366,14,11
1547664750,7,25
1547666899,9,12
1547670056,10,18
1547671973,16,7
1547673882,14,9
1547675778,14,4
1547677726,10,16
1547679737,14,13
1547681576,14,4
1547683518,12,11
1547685378,8,10
1547687571,13,19
1547689707,8,11
1547691624,16,17
1547693549,20,9
1547695492,9,15
1547697707,16,16
1547699546,13,14
1547701547,5,7
1547703418,8,19
1547705558,15,33
1547707483,15,203
1547709413,22,67
1547711324,8,11
1547713234,7,27
1547715171,9,24
1547717069,15,21
1547718978,24,14
1547721185,13,12
1547723112,13,10
1547725029,9,25
1547727170,12,19
1547729071,21,14
1547731003,9,11
1547733144,24,16
1547735085,17,7
1547737008,10,5
1547738898,16,14
1547740896,6,21
1547742763,5,14
1547744733,15,8
1547746847,12,14
1547748786,11,15
1547750663,7,8
1547752854,11,11
1547754778,10,7
1547756680,11,10
1547758608,17,15
1547760523,23,14
1547762485,16,13
1547764338,13,12
1547766321,6,18
1547768200,15,16
1547770101,17,12
1547772047,11,11
1547774198,18,12
1547776221,9,8
1547778022,11,16
1547779967,11,23
1547781897,15,8
1547783776,5,15
1547785946,13,17
1547787930,9,6
1547790058,10,12
1547791955,7,15
1547793861,9,15
1547795808,12,21
1547797699,16,7
1547799671,6,7
1547801587,14,9
1547803819,9,18
1547805695,11,28
1547807570,7,11
1547809513,3,10
1547811410,8,10
1547813558,15,13
1547815460,11,20
1547817390,8,10
1547819567,21,24
1547821486,19,16
1547823385,7,7
1547825567,14,20
1547827522,8,8
1547829785,14,9
1547832057,13,17
1547833950,10,10
1547835888,12,10
1547837774,16,7
1547839947,9,12
1547841937,11,9
1547843807,12,12
1547845980,16,22
1547847858,15,22
1547849789,12,16
1547851986,12,10
1547853865,8,6
1547855805,5,15
1547857703,13,18
1547859717,17,15
1547861575,7,12
1547863459,12,10
1547865647,15,17
1547867548,4,14
1547869467,12,4
1547871652,19,14
1547873565,14,10
1547875472,16,14
1547877376,12,5
1547879297,7,16
1547881305,9,8
1547883166,8,9
1547885136,6,12
1547886974,6,8
1547889158,9,14
1547891088,13,9
1547893260,18,10
1547895152,10,2
1547897056,18,6
1547898995,15,8
1547900900,15,9
1547902886,12,14
1547904770,10,10
1547906665,13,24
1547908599,7,10
1547910761,14,10
1547912678,16,18
1547914664,15,8
1547916760,14,13
1547918815,10,11
1547920881,11,9
1547922743,11,16
1547924675,17,7
1547926581,10,13
1547928770,6,7
1547930668,10,12
1547932603,14,16
1547934767,15,19
1547936672,13,9
1547938903,9,13
1547940745,8,5
1547942708,19,9
1547944599,9,13
1547946506,52,18
1547948454,13,8
1547950345,8,10
1547952265,6,16
1547954190,20,9
1547956100,8,7
1547958048,15,21
1547959947,4,13
1547961872,10,14
1547963798,9,13
1547965699,3,6
1547967671,8,11
1547969599,10,8
1547971516,13,6
1547973400,6,5
1547975323,18,8
1547977217,50,8
1547979161,12,20
1547981060,11,8
1547983002,4,19
1547985166,20,17
1547987068,10,16
1547988980,8,13
1547991168,17,13
1547993098,19,13
1547995229,20,8
