DateTime,AddedIPs,RemovedIPs
1544682050,1,0
1544683936,2,1
1544685879,1,0
1544687811,3,0
1544689967,1,0
1544695730,2,2
1544697621,0,2
1544699793,0,1
1544701706,1,1
1544703891,1,4
1544707630,1,2
1544709726,2,1
1544711587,2,1
1544713462,2,2
1544715647,2,2
1544717600,1,0
1544719499,3,1
1544721654,3,3
1544723564,0,1
1544725454,1,0
1544729815,1,1
1544733643,2,3
1544735584,1,0
1544739866,2,0
1544742379,3,0
1544744217,0,2
1544748400,0,1
1544750423,6,0
1544752615,2,0
1544754776,1,0
1544756670,0,1
1544760523,1,0
1544762349,1,2
1544764335,1,0
1544768447,0,1
1544770347,0,2
1544772281,0,1
1544774176,0,2
1544776104,0,1
1544782147,0,2
1544787884,0,1
1544790051,0,1
1544791958,1,0
1544793871,3,1
1544796111,1,2
1544798218,1,2
1544800119,0,2
1544802056,0,2
1544804027,2,1
1544805864,1,2
1544807794,3,4
1544809698,5,0
1544811893,1,1
1544813777,2,0
1544815971,1,1
1544818134,3,0
1544820048,2,2
1544822201,4,1
1544824357,1,0
1544826280,1,1
1544828180,0,2
1544830355,0,1
1544832287,3,0
1544834214,4,0
1544836129,1,4
1544838034,2,2
1544839951,3,2
1544841856,2,1
1544844058,3,0
1544845941,0,1
1544847891,3,1
1544849802,5,1
1544851699,2,0
1544853753,4,0
1544856047,3,0
1544858211,2,0
1544860087,3,1
1544862277,3,0
1544866092,2,0
1544869943,2,0
1544871886,2,0
1544873776,2,0
1544875699,2,0
1544877865,1,1
1544879812,0,3
1544881708,2,0
1544883884,2,2
1544885777,1,0
1544887969,5,0
1544889867,1,2
1544891801,0,1
1544893703,2,2
1544895646,3,5
1544897545,1,1
1544899496,6,2
1544901388,2,2
1544903569,1,2
1544905482,2,2
1544907712,4,5
1544909540,4,1
1544911465,1,1
1544913380,2,1
1544915306,2,0
1544917245,2,3
1544919153,5,3
1544921084,5,1
1544923133,5,2
1544925137,1,3
1544927071,3,3
1544928997,0,2
1544930906,5,1
1544932908,1,2
1544934745,4,4
1544936698,2,3
1544938603,4,2
1544940540,1,3
1544942431,3,2
1544944361,1,1
1544946307,3,4
1544948186,4,3
1544950099,2,0
1544952042,1,1
1544953945,0,1
1544955879,0,1
1544957789,0,2
1544959726,0,2
1544961730,0,2
1544963557,0,2
1544967398,1,1
1544969307,0,1
1544971245,0,2
1544973169,0,3
1544975062,0,3
1544977010,0,1
1544978922,1,2
1544980834,0,2
1544982741,0,1
1544984672,0,1
1544986598,0,6
1544988509,0,2
1544990683,0,1
1544992599,0,4
1544994516,0,5
1544996420,0,2
1545000286,0,2
1545002186,0,3
1545004376,0,3
1545006283,0,6
1545008203,0,2
1545010118,0,5
1545012127,0,4
1545013956,0,1
1545015932,0,2
1545017783,0,3
1545019723,0,3
1545021621,0,2
1545023540,0,2
1545025484,0,5
1545027650,0,1
1545029559,0,2
1545031485,0,2
1545033385,1,4
1545035323,0,3
1545037324,0,1
1545039177,0,1
1545041084,1,0
1545049280,282,0
1545051166,2462,0
1545053070,1882,1
1545055008,2024,0
1545056903,1816,0
1545058918,1307,0
1545121258,0,1
1545131098,1,0
1545135179,1,30
1545137093,0,2023
1545139014,0,2050
1545140926,0,2028
1545143096,0,2106
1545145009,0,1536
1545149142,1,0
1545156770,1,0
1545172823,0,1
1545182679,1,0
1545204516,1,0
1545206727,1,0
1545215058,0,1
1545218916,1,0
1545222751,0,2
1545236665,0,1
1545242527,0,1
1545246275,1,0
1545252016,1,0
1545265718,1,0
1545267874,0,1
1545275578,1,0
1545293094,0,1
1545306504,0,1
1545308452,1,0
1545324041,1,0
1545333864,0,1
1545337954,0,1
1545354282,0,1
1545364607,0,1
1545370846,0,1
1545374654,0,1
1545400364,1,0
1545410205,0,1
1545457941,1,0
1545459854,0,1
1545487271,0,1
1545489166,2,0
1545505357,1,0
1545544885,0,1
1545560211,1,0
1545576052,0,2
1545591878,0,1
1545599575,1,0
1545614702,1,0
1545647543,0,1
1545649478,1,0
1545653313,1,0
1545662900,2,0
1545684284,2,0
1545686187,0,1
1545696312,1,0
1545706106,0,1
1545725817,1,0
1545733703,1,0
1545735719,0,1
1545739479,0,1
1545745254,1,0
1545749079,0,2
