DateTime,AddedIPs,RemovedIPs
1543044873,1,0
1543060915,1,0
1543068749,0,1
1543076421,0,1
1543103547,1,0
1543109317,0,1
1543117223,0,1
1543132581,0,1
1543148195,0,1
1543188041,0,1
1543254013,1,0
1543290975,1,0
1543298679,1,0
1543341396,0,1
1543362980,1,0
1543376897,0,1
1543384873,0,1
1543429957,1,0
1543446308,1,0
1543450112,0,1
1543496927,1,0
1543502663,1,0
1543504586,1,0
1543516351,0,1
1543529793,1,0
1543531707,0,1
1543537688,1,0
1543556902,1,0
1543577305,1,0
1543583076,0,1
1543588820,2,1
1543590771,0,1
1543594586,1,0
1543615978,0,1
1543623864,0,1
1543635658,1,0
1543643306,0,1
1543649071,1,0
1543662535,1,1
1543674279,0,2
1543681956,0,1
1543701159,1,0
1543718433,1,0
1543722274,0,1
1543726133,1,0
1543735730,0,1
1543749163,0,1
1543761150,2,0
1543788745,1,1
1543804365,0,1
1543812271,2,1
1543827877,2,0
1543835799,1,0
1543847806,0,2
1543861484,1,0
1543865680,1,0
1543870355,1,0
1543876363,0,1
1543880922,2,0
1543898693,0,2
1543910182,1,0
1543914124,0,2
1543921971,0,1
1543936373,1,0
1543946213,0,1
1543952228,1,1
1543956157,0,1
1543960359,1,0
1543962265,4,0
1543966378,0,1
1543968306,0,1
1543972350,1,0
1543984124,1,0
1543993729,1,0
1543995633,1,0
1543997579,0,1
1544001890,1,0
1544005739,2,0
1544017722,1,0
1544021558,1,0
1544023598,0,1
1544025398,2,0
1544027564,1,0
1544039771,0,1
1544041971,3,0
1544047962,0,5
1544055876,1,0
1544059969,0,1
1544065742,1,0
1544071713,0,1
1544079887,0,1
1544082044,0,1
1544087808,0,1
1544091655,1,2
1544103150,0,1
1544108939,0,1
1544110836,1,2
1544114687,0,1
1544118523,1,0
1544128591,0,3
1544142761,0,1
1544146609,1,0
1544152377,0,1
1544172291,66,0
1544174211,843,0
1544176122,1380,0
1544178049,2125,1
1544179940,2089,0
1544181865,1,0
1544185735,1,0
1544201559,1,0
1544217146,1,0
1544238779,1,0
1544256308,1,0
1544260144,0,697
1544262045,0,1153
1544263948,0,1666
1544266106,0,2990
1544268282,0,1
1544272151,0,1
1544287702,1,1
1544299462,1,0
1544303561,0,1
1544325167,1,1
1544331160,1,0
1544340768,1,0
1544342665,0,1
1544346750,1,0
1544364109,1,0
1544373649,0,1
1544377467,1,0
1544385399,0,1
1544396927,1,0
1544412505,1,1
1544418317,0,1
1544426192,1,0
1544428097,0,1
1544431942,0,1
1544451392,0,1
1544459781,1,0
1544463642,0,1
1544479476,1,0
1544483560,0,1
1544495314,1,0
1544497319,0,1
1544513307,0,1
1544545481,0,1
1544551458,1,0
1544555316,1,0
1544559417,1,0
1544565163,0,1
1544575226,1,0
1544581215,0,1
1544585079,1,0
1544633804,1,0
1544637879,0,1
1544641956,0,1
1544646273,0,1
1544662121,0,1
1544666214,1,0
1544670115,0,1
1544691906,1,0
1544695731,1,0
1544719500,0,1
1544752615,0,1
1544768447,1,0
1544778121,0,1
1544782148,0,1
1544796111,1,0
1544813777,1,0
1544815971,1,0
1544826281,2,0
1544836130,1,0
1544844058,1,0
1544856047,0,1
1544881709,0,1
1544899496,0,1
1544901396,0,1
1544911465,0,1
1544913381,0,1
1544923133,0,1
1544928997,0,1
1544991154,1,0
1545004848,1,0
1545010488,1,0
1545022093,1,0
1545045410,1,0
1545065573,1,0
1545077788,0,1
1545089459,0,1
1545098117,0,1
1545107809,0,1
1545113662,1,0
1545115491,1,0
1545131098,0,1
1545152936,0,1
1545180779,1,0
1545184579,1,0
1545192743,1,0
1545198750,0,1
1545202577,0,1
1545222761,1,0
1545265718,0,1
1545271707,0,1
1545277457,0,1
1545289337,1,0
1545308452,0,1
1545320198,1,0
1545324042,1,0
1545325942,1,0
1545327884,1,0
1545333865,1,0
1545376847,0,1
1545400364,1,0
1545408037,0,1
1545410206,0,1
1545412349,0,1
1545414305,0,1
1545420043,0,1
1545459854,1,0
1545475461,1,0
1545487285,0,1
1545493245,1,0
1545495180,1,0
1545497084,1,0
1545498978,1,0
1545511460,1,0
1545541001,1,0
1545546752,0,1
1545562341,0,1
1545570263,2,0
1545579885,0,1
1545581800,0,1
1545583965,0,1
1545586135,0,1
1545593822,1,0
1545597659,0,1
1545603875,1,0
1545628107,0,1
1545637970,1,0
1545639893,1,0
1545657173,0,2
1545678276,1,0
1545680439,0,1
1545690289,0,1
1545704195,1,0
1545717897,1,0
1545723646,1,0
1545725817,0,2
1545747147,1,0
1545761092,1,0
1545763004,1,0
1545764925,0,1
1545766828,1,0
1545768992,1,0
1545776683,1,0
1545790136,0,1
1545805951,0,1
1545809789,0,1
1545833065,0,1
1545845060,1,0
1545847298,1,0
1545849152,0,2
1545852985,1,1
1545854926,0,1
1545864513,0,1
1545870262,1,0
1545878208,2,0
1545921390,1,0
1545931233,0,1
1545935059,2,1
1545938895,1,1
1545940918,1,0
1545956447,0,1
1545962513,1,0
1545964373,0,2
1545984261,1,0
1546004185,1,0
1546006099,0,1
1546021995,0,2
1546023887,1,0
1546026048,0,1
1546027950,2,1
1546050270,0,1
1546054356,2,0
1546066369,1,0
1546070511,0,1
1546089876,0,1
1546111469,0,1
1546113414,1,1
1546115312,0,1
1546121073,1,0
1546123010,1,0
1546127058,2,0
1546129264,1,0
1546140983,0,2
1546153006,0,1
1546200277,0,1
1546208203,0,2
1546213953,0,2
1546221397,1,1
1546230966,1,0
1546266989,1,0
1546271078,1,0
1546278988,2,0
1546308032,0,1
1546309948,2,0
1546313776,2,0
1546317867,1,1
1546335173,1,0
1546339000,4,0
1546350763,1,0
1546352679,0,1
1546356743,0,1
1546364413,1,1
1546366334,0,1
