DateTime,Entries,UniqueIPs
1543044873,5,5
1543060915,6,6
1543068749,5,5
1543076421,4,4
1543103547,5,5
1543109317,4,4
1543117223,3,3
1543132581,2,2
1543148195,1,1
1543188041,0,0
1543254013,1,1
1543290975,2,2
1543298679,3,3
1543341396,2,2
1543362980,3,3
1543376897,2,2
1543384873,1,1
1543429957,2,2
1543446308,3,3
1543450112,2,2
1543496927,3,3
1543502663,4,4
1543504586,5,5
1543516351,4,4
1543529793,5,5
1543531707,4,4
1543537688,5,5
1543556902,6,6
1543577305,7,7
1543583076,6,6
1543588820,7,7
1543590771,6,6
1543594586,7,7
1543615978,6,6
1543623864,5,5
1543635658,6,6
1543643306,5,5
1543649071,6,6
1543662535,6,6
1543674279,4,4
1543681956,3,3
1543701159,4,4
1543718433,5,5
1543722274,4,4
1543726133,5,5
1543735730,4,4
1543749163,3,3
1543761150,5,5
1543788745,5,5
1543804365,4,4
1543812271,5,5
1543827877,7,7
1543835799,8,8
1543847806,6,6
1543861484,7,7
1543865680,8,8
1543870355,9,9
1543876363,8,8
1543880922,10,10
1543898693,8,8
1543910182,9,9
1543914124,7,7
1543921971,6,6
1543936373,7,7
1543946213,6,6
1543952228,6,6
1543956157,5,5
1543960359,6,6
1543962265,10,10
1543966378,9,9
1543968306,8,8
1543972350,9,9
1543984124,10,10
1543993729,11,11
1543995633,12,12
1543997579,11,11
1544001890,12,12
1544005739,14,14
1544017722,15,15
1544021558,16,16
1544023598,15,15
1544025398,17,17
1544027564,18,18
1544039771,17,17
1544041971,20,20
1544047962,15,15
1544055876,16,16
1544059969,15,15
1544065742,16,16
1544071713,15,15
1544079887,14,14
1544082044,13,13
1544087808,12,12
1544091655,11,11
1544103150,10,10
1544108939,9,9
1544110836,8,8
1544114687,7,7
1544118523,8,8
1544128591,5,5
1544142761,4,4
1544146609,5,5
1544152377,4,4
1544172291,70,70
1544174211,913,913
1544176122,2293,2293
1544178049,4417,4417
1544179940,6506,6506
1544181865,6507,6507
1544185735,6508,6508
1544201559,6509,6509
1544217146,6510,6510
1544238779,6511,6511
1544256308,6512,6512
1544260144,5815,5815
1544262045,4662,4662
1544263948,2996,2996
1544266106,6,6
1544268282,5,5
1544272151,4,4
1544287702,4,4
1544299462,5,5
1544303561,4,4
1544325167,4,4
1544331160,5,5
1544340768,6,6
1544342665,5,5
1544346750,6,6
1544364109,7,7
1544373649,6,6
1544377467,7,7
1544385399,6,6
1544396927,7,7
1544412505,7,7
1544418317,6,6
1544426192,7,7
1544428097,6,6
1544431942,5,5
1544451392,4,4
1544459781,5,5
1544463642,4,4
1544479476,5,5
1544483560,4,4
1544495314,5,5
1544497319,4,4
1544513307,3,3
1544545481,2,2
1544551458,3,3
1544555316,4,4
1544559417,5,5
1544565163,4,4
1544575226,5,5
1544581215,4,4
1544585079,5,5
1544633804,6,6
1544637879,5,5
1544641956,4,4
1544646273,3,3
1544662121,2,2
1544666214,3,3
