DateTime,AddedIPs,RemovedIPs
1542860913,0,1
1542864759,0,1
1542886355,0,1
1542901942,1,0
1542938923,1,1
1542954753,1,0
1543002025,1,0
1543023659,1,0
1543025575,0,1
1543040924,0,1
1543070683,0,1
1543088180,0,1
1543093950,1,0
1543111318,0,1
1543142450,1,0
1543180127,0,1
1543191879,1,0
1543199560,1,0
1543214903,0,1
1543228821,0,1
1543240332,1,0
1543242252,1,0
1543278295,0,1
1543290031,1,0
1543326532,0,1
1543330362,0,1
1543332518,0,1
1543336360,2,0
1543342366,1,0
1543350491,1,0
1543354844,1,0
1543368378,1,0
1543370514,1,0
1543376177,0,1
1543423224,0,2
1543428997,0,1
1543436923,0,1
1543440767,0,1
1543442928,1,0
1543456605,0,2
1543463299,1,0
1543511109,1,0
1543530294,0,1
1543532218,1,0
1543549726,0,1
1543555480,1,0
1543567005,1,0
1543578755,1,0
1543597943,0,1
1543605624,1,0
1543619796,0,1
1543625804,1,0
1543635659,1,0
1543641385,0,1
1543651012,1,0
1543652893,0,1
1543666368,0,1
1543672341,1,0
1543687735,1,0
1543689638,1,0
1543691610,0,1
1543697322,1,0
1543710876,0,1
1543722274,0,1
1543737718,1,1
1543757305,0,1
1543770793,1,0
1543774610,0,1
1543776743,0,1
1543782991,2,0
1543800529,1,0
1543804366,1,0
1543812272,1,0
1543824097,0,1
1543855713,1,0
1543857630,0,1
1543868237,0,1
1543886678,0,1
1543888602,1,0
1543890749,0,1
1543896766,0,1
1543898693,0,1
1543902526,1,0
1543912113,1,0
1543917917,1,0
1543942385,1,1
1543974271,0,1
1543989972,0,1
1543999706,0,1
1544005739,0,1
1544019660,1,0
1544027564,0,1
1544033565,1,0
1544047963,2,0
1544063809,1,0
1544105091,1,0
1544107008,0,1
1544120446,0,1
1544126688,1,0
1544128591,1,0
1544134371,0,2
1544150443,0,1
1544172292,1,0
1544176123,1,0
1544183810,1,0
1544191468,1,1
1544199641,1,0
1544213329,0,1
1544215239,0,1
1544254371,0,1
1544260145,1,1
1544262045,0,1
1544270223,0,1
1544277905,0,1
1544285808,0,1
1544289627,1,0
1544342665,1,0
1544346751,0,1
1544356359,1,0
1544371811,1,0
1544375548,0,1
1544393070,1,0
1544412505,1,0
1544428097,0,1
1544430035,1,0
1544443496,0,1
1544453302,3,0
1544457706,0,1
1544459781,1,0
1544463642,1,0
1544479476,0,1
1544481645,1,0
1544499413,0,1
1544511390,1,0
1544517172,0,1
1544537075,1,0
1544541166,0,3
1544545481,0,1
1544549555,1,0
1544567065,0,1
1544579310,0,1
1544598991,0,1
1544609140,1,0
1544623371,0,1
1544627199,1,0
1544629210,1,0
1544631407,1,0
1544635964,1,1
1544637879,1,0
1544646274,1,0
1544660192,1,0
1544668130,1,0
1544679869,1,0
1544687811,1,0
1544695731,1,1
1544697622,1,0
1544715648,1,2
1544717601,0,1
1544721654,0,1
1544723565,0,1
1544727725,1,0
1544733644,0,1
1544746122,1,1
1544754777,0,1
1544760524,1,0
1544766263,0,1
1544774177,0,1
1544782149,0,1
1544784039,0,1
1544796112,1,0
1544800120,1,0
1544802057,0,1
1544813778,0,1
1544815972,1,0
1544834215,0,1
1544845942,1,1
1544883885,0,1
1544885777,0,1
1544901396,0,1
1544927072,1,0
1544928998,1,0
1544930906,0,1
1545013956,0,1
1545028822,1,1
1545032908,1,0
1545036743,1,0
1545058919,1,0
1545064585,1,0
1545076376,1,0
1545088137,1,0
1545107809,1,0
1545109740,5,0
1545113663,1,0
1545115492,0,1
1545121259,1,0
1545123161,0,1
1545140926,1,0
1545150977,0,1
1545154828,1,0
1545162755,0,1
1545174750,0,1
1545180779,0,1
1545194707,0,1
1545196597,0,5
1545198751,0,1
1545208820,0,1
1545228738,1,1
1545240513,0,1
1545255910,1,0
1545279390,0,1
1545289337,1,0
1545316095,0,1
1545325943,1,0
1545368559,2,0
1545376847,0,1
1545378756,1,0
1545388589,1,0
1545412350,0,1
1545423887,1,0
1545456048,0,2
1545465697,0,1
1545475462,0,1
1545479299,1,0
1545485319,1,0
1545511460,0,1
1545513658,0,1
1545517483,2,0
1545539062,1,0
1545541002,8,0
1545566204,0,1
1545568367,1,0
1545572196,0,1
1545583966,1,0
1545599576,1,0
1545603875,2,2
1545624315,0,1
1545626180,0,8
1545645728,1,0
1545653315,0,1
1545657174,1,0
1545662901,1,0
1545668599,1,0
1545670576,0,1
1545672530,1,0
1545674538,3,0
1545686188,0,1
