DateTime,AddedIPs,RemovedIPs
1547315780,1,1
1547317706,2,0
1547320597,0,4
1547322542,1,1
1547324437,1,5
1547326343,3,2
1547328300,1,1
1547330192,1,0
1547332417,2,1
1547334518,2,3
1547336451,2,0
1547338632,1,1
1547340506,2,1
1547344372,0,1
1547346292,1,2
1547348192,2,2
1547350116,2,3
1547352322,5,1
1547356377,3,1
1547358518,0,1
1547360456,1,1
1547362359,0,2
1547364287,0,3
1547366531,3,3
1547368351,0,1
1547370547,1,2
1547372697,2,5
1547374838,5,1
1547376743,4,3
1547378695,3,3
1547380593,4,3
1547382526,763,2
1547384513,10,4
1547386356,0,2
1547388535,1,2
1547390446,0,1
1547394261,0,1
1547396266,1,2
1547398344,3,1
1547400304,1,4
1547402537,0,2
1547404373,0,1
1547408425,0,2
1547410380,1,0
1547412260,2,3
1547414208,1,1
1547416348,2,0
1547418283,2,2
1547420556,0,1
1547422374,0,2
1547424334,1,3
1547426184,2,2
1547428368,3,2
1547430270,2,0
1547432223,2,1
1547434137,2,1
1547436314,3,2
1547438514,3,4
1547440596,1,1
1547442539,0,3
1547444424,1,1
1547446337,1,2
1547448516,2,0
1547450453,4,0
1547452653,1,3
1547454879,1,0
1547457180,1,1
1547459086,2,2
1547461260,4,4
1547463411,3,3
1547465306,3,2
1547467239,0,3
1547469279,2,0
1547471107,0,2
1547472993,2,2
1547474969,1,0
1547476832,2,1
1547479012,1,0
1547480928,2,0
1547482862,1,4
1547484742,0,1
1547486680,1,1
1547488623,1,1
1547492540,2,1
1547494377,1,776
1547496276,0,1
1547498221,1,1
1547500371,2,1
1547502276,2,1
1547504607,1,3
1547509177,1,2
1547511155,2,0
1547513084,0,2
1547514999,1,4
1547517162,2,2
1547519102,3,2
1547520986,0,3
1547522907,2,1
1547524907,2,5
1547528733,5,0
1547530856,1,2
1547532780,1,1
1547534929,1,3
1547536833,1,4
1547538739,0,1
1547540678,3,0
1547542915,1,4
1547544748,3,1
1547546698,0,4
1547548864,2,0
1547550753,2,3
1547552696,2,2
1547554861,6,2
1547556766,5,0
1547558661,4,2
1547560599,19,1
1547562526,29,2
1547564540,15,2
1547566617,7,1
1547568815,2,1
1547570662,6,0
1547572593,3,1
1547574547,1,1
1547576688,4,0
1547578937,5,1
1547580789,3,1
1547582707,7,0
1547584615,7,1
1547586529,12,2
1547588455,8,2
1547590375,14,0
1547592285,2,1
1547594462,4,0
1547596370,2,2
1547600203,2,1
1547602122,3,0
1547604106,3,3
1547605957,2,3
1547607949,2,1
1547609796,1,1
1547611978,4,1
1547613876,4,0
1547616063,10,6
1547617988,8,0
1547619867,2,0
1547621809,5,1
1547623720,1,1
1547626611,5,2
1547628812,6,2
1547630679,6,3
1547632609,2,0
1547634510,2,1
1547636582,3,2
1547638840,7,3
1547641001,2,2
1547642907,9,5
1547644839,6,4
1547646763,9,17
1547648659,4,18
1547650618,8,13
1547652503,8,10
1547654495,1,5
1547656373,0,2
1547658535,2,6
1547660413,2,2
1547662369,3,2
1547664765,0,3
1547666903,0,6
1547670059,2,8
1547671975,3,11
1547673884,2,9
1547675793,3,6
1547677728,2,12
1547679740,2,2
1547681578,0,5
1547683522,2,1
1547685380,2,0
1547687574,1,4
1547689709,6,0
1547691640,3,2
1547693551,1,2
1547695494,1,4
1547697711,7,5
1547699549,1,0
1547701549,1,2
1547703420,1,12
1547705560,2,7
1547707484,2,4
1547709417,3,2
1547711328,1,5
1547713243,4,4
1547715174,2,5
1547717072,2,7
1547718981,1,1
1547721202,1,1
1547723116,3,3
1547725033,3,7
1547727174,1,1
1547729074,2,12
1547731007,5,6
1547733148,7,15
1547735088,6,6
1547737012,7,10
1547738902,11,9
1547740902,22,5
1547742766,18,0
1547744737,18,2
1547746850,13,2
1547748789,8,2
1547750688,4,0
1547752856,2,0
1547754782,4,3
1547756682,6,1
1547758611,13,2
1547760525,11,4
1547762504,8,3
1547764341,11,4
1547766329,15,1
1547770106,1,3
1547772051,1,3
1547774201,4,1
1547776225,2,6
1547778025,4,2
