DateTime,AddedIPs,RemovedIPs
1547338633,32,19
1547340506,28,19
1547342477,15,20
1547344373,23,22
1547346292,31,16
1547348193,20,15
1547350117,29,23
1547352323,24,17
1547354461,20,21
1547356377,19,17
1547358519,17,20
1547360456,12,20
1547362359,18,23
1547364288,30,21
1547366531,39,30
1547368351,21,36
1547370547,29,26
1547372697,33,41
1547374838,34,28
1547376744,20,28
1547378696,23,18
1547380594,26,21
1547382527,29,28
1547384527,21,19
1547386356,17,19
1547388536,23,24
1547390446,21,28
1547392383,25,21
1547394261,27,30
1547396266,31,20
1547398344,28,36
1547400305,35,31
1547402538,37,50
1547404373,29,29
1547406285,30,28
1547408426,38,43
1547410381,32,34
1547412261,34,26
1547414208,31,31
1547416348,34,39
1547418284,33,31
1547420557,33,37
1547422374,29,19
1547424335,22,21
1547426184,28,37
1547428369,28,24
1547430271,22,23
1547432224,32,24
1547434137,24,18
1547436317,21,30
1547438515,28,21
1547440597,20,24
1547442539,19,19
1547444425,26,21
1547446337,26,19
1547448517,20,22
1547450453,21,29
1547452653,17,40
1547454880,21,35
1547457181,28,33
1547459086,31,37
1547461261,26,37
1547463411,30,30
1547465306,19,22
1547467239,23,31
1547469280,28,28
1547471108,26,23
1547472994,20,19
1547474970,14,21
1547476832,24,24
1547479013,24,27
1547480928,23,34
1547482864,26,39
1547484742,27,25
1547486680,28,26
1547488623,45,24
1547490509,29,26
1547492540,39,32
1547494378,26,27
1547496278,34,29
1547498222,24,39
1547500372,21,30
1547502277,17,35
1547504607,38,26
1547506606,15,24
1547509178,26,30
1547511155,42,24
1547513084,22,21
1547515000,29,29
1547517163,33,21
1547519102,20,29
1547520986,16,26
1547522908,23,18
1547524907,33,22
1547526746,42,20
1547528733,55,19
1547530857,23,30
1547532780,26,25
1547534929,28,22
1547536833,31,22
1547538740,25,20
1547540678,38,18
1547542916,33,28
1547544748,20,23
1547546699,27,29
1547548864,41,31
1547550754,27,26
1547552697,27,29
1547554862,28,22
1547556766,19,32
1547558662,28,30
1547560599,24,29
1547562526,18,28
1547564540,31,29
1547566618,27,35
1547568816,41,28
1547570663,38,28
1547572594,41,27
1547574548,40,38
1547576688,32,27
1547578938,63,33
1547580789,29,20
1547582709,42,28
1547584615,28,24
1547586529,24,17
1547588455,29,16
1547590376,35,29
1547592286,21,22
1547594462,16,17
1547596371,32,17
1547598304,28,21
1547600204,22,18
1547602122,21,24
1547604106,18,27
1547605958,19,12
1547607950,29,15
1547609796,17,14
1547611979,26,29
1547613877,16,26
1547616065,25,20
1547617988,25,17
1547619867,18,20
1547621810,14,17
1547623720,18,21
1547626611,35,33
1547628812,31,33
1547630681,17,18
1547632609,29,23
1547634511,25,31
1547636583,58,31
1547638840,34,25
1547641002,31,22
1547642908,22,15
1547644839,19,22
1547646764,25,18
1547648659,20,19
1547650619,25,21
1547652504,19,31
1547654495,21,15
1547656374,15,32
1547658536,27,24
1547660414,26,33
1547662370,15,24
1547664765,38,60
1547666903,30,29
1547670060,43,74
1547671976,25,12
1547673884,17,25
1547675794,17,33
1547677729,15,23
1547679740,26,22
1547681579,13,17
1547683522,11,22
1547685381,14,14
1547687574,16,24
1547689710,24,16
1547691640,22,20
1547693552,22,15
1547695495,19,14
1547697712,16,23
1547699549,20,10
1547701549,17,16
1547703421,27,19
1547705561,27,30
1547707485,15,22
1547709418,21,21
1547711329,19,16
1547713244,27,24
1547715175,26,19
1547717072,24,21
1547718982,20,18
1547721203,21,24
1547723117,21,58
1547725035,19,26
1547727174,22,30
1547729075,18,24
1547731007,22,20
1547733148,21,35
1547735088,19,24
1547737013,31,25
1547738903,21,23
1547740903,20,19
1547742767,18,16
1547744738,26,21
1547746850,29,27
1547748791,33,15
1547750688,32,33
1547752857,45,24
1547754784,28,24
1547756683,32,25
1547758611,29,30
1547760526,22,20
1547762505,18,17
1547764342,25,17
1547766329,16,27
1547768206,16,18
1547770106,24,15
1547772051,26,19
1547774202,21,14
1547776225,24,28
1547778027,19,28
1547779972,20,25
1547781902,20,22
1547783780,25,18
1547785949,29,26
1547787934,27,21
1547790061,31,33
1547791958,26,27
1547793864,20,20
1547795826,21,20
1547797703,27,23
1547799675,36,21
1547801593,34,31
1547803824,26,28
1547805708,22,20
1547807574,30,16
1547809518,33,27
1547811414,29,19
1547813562,34,27
1547815478,17,22
1547817394,23,27
1547819571,23,29
1547821490,27,23
1547823389,25,43
1547825570,21,30
1547827526,29,19
1547829789,28,31
1547832060,45,42
1547833954,32,23
1547835892,28,27
1547837778,36,25
1547839951,44,26
1547841947,45,18
1547843811,28,39
1547845985,32,23
1547847862,31,17
1547849792,35,18
1547851990,13,16
1547853869,13,17
1547855809,10,24
1547857708,9,18
1547859721,6,16
1547861580,7,18
1547863466,3,23
1547865652,11,18
1547867552,4,20
1547869470,9,26
1547871655,4,22
1547873581,6,36
1547875475,7,32
1547877380,11,31
1547879301,7,29
1547881310,14,19
1547883170,5,28
1547885141,11,45
1547886978,9,34
1547889162,7,37
1547891092,9,25
1547893263,8,52
1547895156,7,36
1547897060,6,46
1547898999,6,46
1547900904,8,42
1547902914,3,33
1547904774,20,33
1547906688,14,48
1547908603,7,52
1547910765,11,51
1547912682,8,36
1547914669,7,46
1547916763,10,4
1547918819,9,7
1547920886,9,6
1547922747,7,6
1547924678,3,12
1547926585,10,10
1547928774,11,10
1547930672,8,5
1547932607,6,4
1547934770,7,23
1547936676,5,650
1547938907,11,15
1547940749,8,11
1547942736,6,13
1547944602,6,9
1547946510,4,9
1547948457,11,3
1547950349,9,4
1547952269,3,9
1547954195,9,5
1547956105,10,7
1547958052,2,4
1547959951,4,6
1547961878,7,8
1547963802,5,10
1547965703,10,5
1547967677,3,15
1547969603,8,7
1547971543,5,9
1547973404,5,12
1547975326,7,7
1547977221,9,5
1547979163,7,10
1547981063,9,6
1547983005,9,9
1547985169,6,4
1547987071,8,8
1547988984,4,9
1547991172,10,20
1547993102,9,14
1547995246,12,9
1547997175,6,11
1547999092,19,8
1548001001,8,9
1548002905,9,9
1548004855,7,9
1548006768,6,6
1548008671,1,8
1548010582,6,4
1548012751,14,7
1548014716,7,10
1548016833,11,9
1548018782,7,3
1548020670,9,6
1548022586,10,4
1548024807,5,7
1548026694,18,8
1548028967,11,6
1548031249,12,9
1548033445,11,7
1548035305,5,8
1548037235,4,6
1548039149,8,6
1548041115,4,8
1548042979,6,9
1548044922,9,4
1548046922,8,7
1548048743,3,6
1548050758,8,8
1548052579,2,10
1548054752,3,3
1548056666,7,9
1548058617,10,7
1548060773,12,7
1548062657,4,7
1548064605,9,8
1548066750,13,10
1548068674,3,9
1548070606,7,4
1548072503,6,8
1548074455,7,8
1548076487,12,6
1548078529,10,9
1548080437,9,6
1548082385,9,6
1548084304,16,10
1548086490,8,18
1548088366,7,8
1548090321,13,7
1548092199,13,10
1548094351,9,8
1548096310,3,5
1548098201,9,13
1548100118,8,10
1548102036,7,14
1548103981,18,5
1548106169,9,6
1548108080,7,8
1548109966,6,9
1548111945,12,7
1548113778,5,18
1548115978,10,13
1548117875,12,9
1548119793,6,9
1548121729,6,6
1548123887,14,5
1548125775,10,6
1548127733,8,5
1548129697,16,8
1548131572,6,6
1548133516,6,9
1548135378,11,3
1548137338,6,8
1548139222,7,2
1548141167,9,3
1548143059,10,5
1548145251,10,18
1548147163,12,11
1548149081,7,3
1548150998,13,8
1548152896,6,8
1548154924,10,4
1548156772,5,9
1548158707,3,8
1548160603,7,6
1548162532,12,5
1548164420,8,15
1548166381,8,8
1548168262,7,6
1548170473,10,18
1548172366,6,4
1548174260,10,9
1548176203,1,10
1548178097,10,15
1548180088,9,13
1548181946,6,5
1548183891,8,7
1548185777,11,12
1548187953,7,12
1548189862,3,13
1548191784,15,12
1548193701,8,7
1548195619,14,4
1548197606,18,9
1548199725,10,7
1548201778,10,9
1548203589,18,9
1548205479,11,4
1548207378,9,7
1548209341,15,12
1548211246,9,7
