DateTime,Entries,UniqueIPs
1547338633,1576,1576
1547340506,1585,1585
1547342477,1580,1580
1547344373,1581,1581
1547346292,1596,1596
1547348193,1601,1601
1547350117,1607,1607
1547352323,1614,1614
1547354461,1613,1613
1547356377,1615,1615
1547358519,1612,1612
1547360456,1604,1604
1547362359,1599,1599
1547364288,1608,1608
1547366531,1617,1617
1547368351,1602,1602
1547370547,1605,1605
1547372697,1597,1597
1547374838,1603,1603
1547376744,1595,1595
1547378696,1600,1600
1547380594,1605,1605
1547382527,1606,1606
1547384527,1608,1608
1547386356,1606,1606
1547388536,1605,1605
1547390446,1598,1598
1547392383,1602,1602
1547394261,1599,1599
1547396266,1610,1610
1547398344,1602,1602
1547400305,1606,1606
1547402538,1593,1593
1547404373,1593,1593
1547406285,1595,1595
1547408426,1590,1590
1547410381,1588,1588
1547412261,1596,1596
1547414208,1596,1596
1547416348,1591,1591
1547418284,1593,1593
1547420557,1589,1589
1547422374,1599,1599
1547424335,1600,1600
1547426184,1591,1591
1547428369,1595,1595
1547430271,1594,1594
1547432224,1602,1602
1547434137,1608,1608
1547436317,1599,1599
1547438515,1606,1606
1547440597,1602,1602
1547442539,1602,1602
1547444425,1607,1607
1547446337,1614,1614
1547448517,1612,1612
1547450453,1604,1604
1547452653,1581,1581
1547454880,1567,1567
1547457181,1562,1562
1547459086,1556,1556
1547461261,1545,1545
1547463411,1545,1545
1547465306,1542,1542
1547467239,1534,1534
1547469280,1534,1534
1547471108,1537,1537
1547472994,1538,1538
1547474970,1531,1531
1547476832,1531,1531
1547479013,1528,1528
1547480928,1517,1517
1547482864,1504,1504
1547484742,1506,1506
1547486680,1508,1508
1547488623,1529,1529
1547490509,1532,1532
1547492540,1539,1539
1547494378,1538,1538
1547496278,1543,1543
1547498222,1528,1528
1547500372,1519,1519
1547502277,1501,1501
1547504607,1513,1513
1547506606,1504,1504
1547509178,1500,1500
1547511155,1518,1518
1547513084,1519,1519
1547515000,1519,1519
1547517163,1531,1531
1547519102,1522,1522
1547520986,1512,1512
1547522908,1517,1517
1547524907,1528,1528
1547526746,1550,1550
1547528733,1586,1586
1547530857,1579,1579
1547532780,1580,1580
1547534929,1586,1586
1547536833,1595,1595
1547538740,1600,1600
1547540678,1620,1620
1547542916,1625,1625
1547544748,1622,1622
1547546699,1620,1620
1547548864,1630,1630
1547550754,1631,1631
1547552697,1629,1629
1547554862,1635,1635
1547556766,1622,1622
1547558662,1620,1620
