DateTime,AddedIPs,RemovedIPs
1543880924,0,1
1543892941,1,0
1543894841,0,1
1543910183,0,1
1543914125,9,0
1543917924,1,0
1543930351,0,419
1543942386,0,3
1543950134,1,0
1543956159,1,0
1543970193,1,0
1543980027,0,1
1543989973,1,0
1543997580,1,0
1543999707,0,9
1544003800,0,1
1544017723,1,0
1544033566,1,0
1544035462,0,1
1544037883,1,0
1544039774,1,0
1544041973,0,1
1544057804,0,1
1544069793,1,0
1544075804,0,1
1544083980,0,1
1544085883,1,0
1544095499,1,0
1544103152,0,1
1544116589,1,0
1544118524,0,1
1544124756,0,2
1544156219,0,1
1544170345,1,0
1544172293,0,1
1544181868,0,1
1544203491,0,1
1544211398,1,0
1544217148,1,0
1544233015,1,0
1544238781,1,0
1544240671,16,0
1544242617,7,0
1544244504,5,0
1544246438,1,0
1544248366,1,0
1544258200,0,1
1544266107,1,0
1544277908,1,0
1544299464,1,1
1544303563,1,1
1544305490,2,0
1544319410,0,1
1544323252,1,0
1544325169,0,1
1544327068,0,16
1544329002,0,7
1544331161,0,5
1544333103,0,1
1544334978,1,1
1544352543,0,1
1544360180,1,0
1544364111,0,1
1544367894,3,0
1544369791,1,0
1544381552,2,0
1544385401,0,1
1544389299,1,0
1544391139,0,2
1544393077,0,1
1544394995,1,0
1544408667,0,1
1544416363,1,0
1544418318,1,0
1544420429,1,0
1544422361,0,1
1544435796,1,0
1544442060,1,0
1544448524,0,1
1544450513,1,0
1544454303,2,3
1544456451,0,1
1544464105,5,0
1544467943,0,2
1544476110,0,1
1544478032,1,0
1544481852,0,1
1544483781,1,0
1544491231,1,0
1544499415,1,0
1544501546,0,1
1544503739,0,1
1544507575,0,1
1544521275,0,1
1544529171,0,1
1544537076,0,1
1544539226,0,1
1544541167,0,1
1544549556,0,5
1544563229,0,1
1544571382,0,1
1544577443,0,1
1544587300,1,1
1544623372,1,0
1544627209,1,0
1544639806,1,0
1544673945,0,1
1544709738,0,1
1544711589,1,0
1544713465,0,1
1544727726,0,1
1544756672,6,0
1544762351,1,0
1544764337,5,0
1544780224,1,0
1544782152,1,0
1544798219,0,1
1544802058,1,0
1544832289,1,0
1544841858,0,2
1544844060,0,4
1544847893,0,1
1544849805,0,3
1544851701,0,2
1544866094,0,1
1544868115,0,1
1544879814,1,0
1544887971,0,1
1544917247,0,1
1544950101,1,0
1544952043,1,0
1544961732,3,0
1544965484,0,1
1544977014,1,0
1544978924,1,0
1544990685,1,0
1545035324,0,1
1545037325,0,1
1545041106,1,0
1545044950,1,0
1545047075,0,2
1545049282,0,1
1545051167,1,0
1545053073,1,0
1545064587,0,1
1545066764,0,1
1545076377,0,1
1545115493,1,0
1545117417,1,0
1545126983,0,1
1545133237,0,1
1545139016,0,1
1545140928,0,1
1545158680,1,0
1545182682,1,0
1545200761,1,0
1545202579,0,2
1545234752,3,0
1545244372,1,1
1545263811,1,0
1545267877,0,1
1545281592,1,0
1545287301,0,1
1545322161,0,3
1545329811,0,1
1545337957,2,0
1545344195,1,0
1545348270,2,0
1545350549,0,1
1545354285,1,0
1545356441,2,0
1545368561,1,1
1545392447,1,0
1545400367,1,0
1545404194,3,0
1545408089,1,0
1545410209,1,0
1545412351,1,0
1545423889,0,2
1545429725,0,1
1545433459,1,2
1545439214,1,0
1545441135,1,1
1545443072,0,2
1545444992,1,0
1545452200,1,0
1545454108,0,1
1545457943,1,0
1545465708,1,0
1545471636,1,0
1545477399,1,0
1545479308,0,1
1545487305,0,1
1545491062,1,3
1545493247,1,1
1545497086,0,1
1545498981,0,1
1545501161,2,0
1545507389,1,0
1545513675,1,0
1545519387,0,1
1545525165,0,1
1545527083,0,1
1545530930,0,1
1545535155,1,0
1545537150,0,1
1545541005,2,0
1545542922,1,0
1545544915,0,1
1545552559,1,1
1545558268,0,1
1545560214,1,0
1545562345,1,0
1545564267,0,1
1545570266,2,0
1545577966,0,2
1545586137,1,0
1545588133,0,2
1545589974,1,0
1545591881,1,0
1545593825,0,1
1545595741,1,0
1545599578,0,1
1545601861,1,0
1545603877,2,0
1545606180,1,0
1545614706,1,0
1545620563,0,1
1545626182,2,1
1545628110,0,1
1545630048,0,1
1545631975,1,0
1545636063,1,0
1545637972,1,0
1545639895,0,1
1545645729,0,1
1545647545,0,1
1545653317,1,0
1545657175,0,2
1545659068,1,0
1545664836,1,0
1545670582,1,0
1545672532,0,1
1545676382,0,1
1545678277,1,1
1545682346,0,1
1545684286,1,0
1545688373,0,1
1545690292,1,2
1545692545,1,1
1545696317,2,0
1545700349,0,1
1545702271,1,0
1545708025,1,0
1545712113,1,1
1545714113,0,1
1545717900,0,1
1545719810,1,0
1545723649,0,2
1545727709,1,0
1545733705,1,0
1545741391,0,1
1545743344,2,0
1545747150,0,1
1545751014,0,1
1545757314,0,1
1545763006,0,1
1545770904,0,1
1545776697,2,1
1545778582,2,1
1545784378,0,2
1545790139,0,1
1545793966,0,1
1545799944,0,1
1545805954,0,1
1545807900,1,0
1545813650,0,1
1545819656,0,1
1545823481,1,0
1545829319,0,2
1545864515,0,4
1545866422,1,0
1545893800,0,1
1545909650,0,1
1545921393,1,0
1545925242,1,0
1545929314,1,0
1545946822,1,0
1545952600,0,1
1545970381,1,0
1546008019,1,1
1546011883,0,1
1546015975,0,1
1546033966,1,1
1546056290,1,1
1546076206,1,0
1546080050,1,0
1546093704,0,1
1546113416,1,0
1546121075,0,1
1546139295,1,0
1546141213,0,1
1546145096,1,0
1546149178,1,0
1546162851,0,1
1546166694,0,1
1546168587,1,0
1546184217,1,0
1546194540,1,0
1546200279,0,1
1546224768,0,1
1546232512,0,1
1546236288,1,1
1546253785,0,1
1546255951,1,0
1546269621,0,1
1546281636,0,1
1546297330,1,0
1546309485,1,0
1546323627,1,1
1546337114,1,0
1546343138,0,1
1546348831,1,0
1546370452,1,0
1546384125,0,1
1546396104,0,1
1546409790,0,1
1546413858,2,0
1546423494,1,1
1546435015,0,1
1546456608,0,1
1546466698,1,0
1546491132,1,0
1546499101,0,1
1546501005,0,1
1546510595,1,1
1546552124,0,1
1546577585,0,1
1546583308,1,0
1546589097,1,0
1546596795,0,1
1546604444,1,0
1546610183,1,0
1546614303,1,0
1546634669,1,0
1546638517,2,0
1546642369,1,0
1546646213,1,0
1546657969,1,0
1546669950,0,1
1546675740,1,1
1546683492,1,0
1546689385,1,0
1546691305,1,1
1546693305,1,0
1546695139,0,1
1546699234,0,1
1546718532,1,0
1546720356,0,1
1546722318,1,0
1546724457,0,1
1546726361,0,1
1546730203,1,1
1546734028,0,1
1546735972,1,0
1546741962,1,0
1546743886,0,1
1546757781,1,0
1546762162,0,1
1546765955,1,0
1546770064,1,1
1546776069,0,1
1546777979,0,1
1546779903,1,1
1546785895,1,0
1546805336,0,1
1546807236,1,0
1546809180,0,1
1546817093,0,1
1546823318,0,1
1546827203,0,1
1546844709,0,1
1546852356,0,1
1546856223,0,1
1546866551,1,1
1546870355,1,0
1546872300,0,1
1546874187,1,0
1546891950,1,0
1546893909,0,1
1546895796,1,0
1546899636,1,0
1546903480,1,0
1546919304,1,0
1546948863,1,0
1546953184,0,1
1546955083,1,0
1546957012,0,1
1546959186,1,0
1546961080,0,1
1546978846,0,1
1546982682,0,1
1546986778,0,1
1546990609,0,1
1546996400,1,0
1547006203,0,1
1547031719,1,0
1547035527,0,1
1547041488,0,1
1547043397,3,0
1547045330,0,1
1547065956,1,0
1547076064,1,0
1547082543,1,1
1547086379,1,0
1547110111,1,0
1547118769,0,1
1547128978,0,3
1547143361,1,0
1547149247,1,0
1547153086,0,1
1547163159,0,1
1547168924,0,1
1547170819,1,0
1547172769,0,1
1547174672,1,0
1547180427,1,0
1547196280,0,1
1547230370,0,1
1547234693,0,1
1547247413,1,0
1547255556,1,0
1547257510,0,1
1547259409,0,1
1547267560,0,1
1547313902,1,0
1547327331,1,0
1547333588,0,1
1547339568,1,0
1547341469,0,1
1547391387,1,0
1547401711,0,1
1547413496,0,1
1547427154,0,1
1547431293,1,0
1547453098,1,0
1547455221,1,0
1547459087,1,0
1547472994,1,0
1547474970,1,0
1547479013,0,1
1547500372,1,0
1547506606,1,0
1547517163,1,1
1547524908,1,0
1547538740,0,1
1547542917,0,1
1547546700,0,1
1547552697,1,0
1547554862,1,0
1547558662,0,1
1547560600,0,1
1547566618,1,0
1547568816,1,0
1547584616,1,0
1547586530,0,1
1547592286,0,1
1547604107,0,1
1547611979,1,1
1547638841,0,1
1547641002,0,1
1547652504,0,1
1547656374,0,1
1547671976,0,1
1547697712,0,1
1547727175,1,0
1547791958,1,0
1547797704,1,0
1547813562,0,1
1547839951,1,0
1547877380,0,1
1547883171,0,1
1547924679,0,1
1547975786,1,0
1548058618,1,0
1548062658,0,1
1548080438,1,0
1548092199,1,0
1548100119,1,0
1548147164,1,0
1548150998,1,1
1548166382,0,1
1548180088,0,1
1548185778,0,1
1548234994,0,1
1548239675,1,1
1548261407,1,0
1548281554,1,0
1548309402,1,0
1548327165,1,1
