DateTime,AddedIPs,RemovedIPs
1547339568,45,70
1547341469,31,43
1547343398,44,31
1547345577,61,73
1547347454,58,59
1547349651,98,63
1547351779,66,146
1547353960,58,287
1547355868,42,104
1547358062,53,141
1547359950,31,99
1547361888,25,292
1547363803,40,59
1547365952,51,45
1547367861,177,57
1547369781,117,178
1547371724,79,65
1547373910,66,38
1547375813,66,38
1547377735,42,62
1547379625,58,33
1547381568,609,29
1547383477,3700,33
1547385392,2528,38
1547387330,55,60
1547389484,78,62
1547391388,41,59
1547393568,97,95
1547395506,97,68
1547397632,163,68
1547399857,110,514
1547401712,78,2500
1547403619,35,1805
1547405543,65,2249
1547407497,94,234
1547409408,104,32
1547411546,78,19
1547413496,70,50
1547415390,71,87
1547417576,33,146
1547419536,43,73
1547421409,43,68
1547423306,59,30
1547425253,80,61
1547427155,76,27
1547429082,55,39
1547431300,66,65
1547433164,76,63
1547435147,45,74
1547436991,38,80
1547439184,67,69
1547441106,50,44
1547443022,60,35
1547444915,99,56
1547447083,96,34
1547449002,70,21
1547450924,27,54
1547453098,57,53
1547455221,39,160
1547457182,68,102
1547459087,29,61
1547461262,28,72
1547463413,27,63
1547465308,35,43
1547467241,34,68
1547469281,30,113
1547471109,19,92
1547472995,24,68
1547474971,38,69
1547476833,10,37
1547479014,100,82
1547480929,50,85
1547482871,31,128
1547484743,29,175
1547486681,27,70
1547488624,28,63
1547490510,34,46
1547492541,30,72
1547494379,19,1401
1547496285,26,3274
1547498223,18,2792
1547500373,38,77
1547502278,31,61
1547504608,40,46
1547506607,47,47
1547509179,49,72
1547511156,43,78
1547513085,38,81
1547515001,61,62
1547517164,43,69
1547519103,42,68
1547520987,41,61
1547522909,38,29
1547524908,38,63
1547526747,42,51
1547528734,34,63
1547530858,32,107
1547532781,42,92
1547534930,42,88
1547536834,38,34
1547538741,47,40
1547540679,38,58
1547542917,120,42
1547544749,39,36
1547546700,35,60
1547548865,51,33
1547550755,21,41
1547552698,32,26
1547554863,41,30
1547556767,42,52
1547558663,49,28
1547560600,43,43
1547562527,36,12
1547564541,52,32
1547566619,30,79
1547568817,44,31
1547570664,34,29
1547572594,34,26
1547574549,30,46
1547576696,31,38
1547578939,30,29
1547580790,36,24
1547582710,56,29
1547584616,74,18
1547586530,31,26
1547588456,41,35
1547590377,20,29
1547592287,34,37
1547594463,36,49
1547596372,30,32
1547598306,52,44
1547600205,42,42
1547602123,47,44
1547604107,47,38
1547605959,51,48
1547607951,51,38
1547609797,45,33
1547611980,44,53
1547613878,51,40
1547616066,42,39
1547617990,53,28
1547619868,38,48
1547621811,43,28
1547623721,51,42
1547626612,167,62
1547628813,49,188
1547630684,35,37
1547632610,38,40
1547634512,28,47
1547636584,46,26
1547638842,53,37
1547641003,52,39
1547642909,32,41
1547644840,32,48
1547646765,43,45
1547648660,41,45
1547650620,42,37
1547652505,49,22
1547654496,45,36
1547656375,37,44
1547658537,37,28
1547660415,41,26
1547662371,26,36
1547664766,42,29
1547666904,48,43
1547670061,65,80
1547671977,52,71
1547673885,36,27
1547675795,42,45
1547677730,44,27
1547679741,45,29
1547681580,48,28
1547683524,38,49
1547685382,40,42
1547687575,56,52
1547689711,34,53
1547691641,29,51
1547693553,32,42
1547695496,26,53
1547697713,30,52
1547699550,37,34
1547701550,46,47
1547703422,30,60
1547705562,60,34
1547707486,55,52
1547709418,63,47
1547711330,140,66
1547713245,259,138
1547715176,126,40
1547717073,120,38
1547718983,59,37
1547721204,356,36
1547723117,57,34
1547725036,36,36
1547727175,58,48
1547729076,40,26
1547731008,33,29
1547733149,44,47
1547735092,45,38
1547737014,61,38
1547738904,38,50
1547740904,37,42
1547742768,54,33
1547744739,54,38
1547746851,54,52
1547748793,53,23
1547750689,43,32
1547752858,43,52
1547754785,44,39
1547756684,46,32
1547758612,25,53
1547760527,35,34
1547762506,39,38
1547764342,37,40
1547766330,31,44
1547768207,43,53
1547770107,27,30
1547772053,35,40
1547774203,50,52
1547776226,40,33
1547778028,39,29
1547779973,63,33
1547781903,29,26
1547783781,44,30
1547785951,41,37
1547787935,20,45
1547790062,51,35
1547791959,28,57
1547793865,26,52
1547795827,43,65
1547797704,33,137
1547799676,58,270
1547801595,43,124
1547803825,49,133
1547805710,41,67
1547807575,50,393
1547809519,36,55
1547811415,27,45
1547813563,45,56
1547815480,26,39
1547817395,37,29
1547819572,40,44
1547821491,36,44
1547823390,31,60
1547825571,54,44
1547827527,33,43
1547829790,49,68
1547832061,37,45
1547833955,38,60
1547835893,48,53
1547837779,56,34
1547839952,38,46
1547841956,37,45
1547843812,41,36
1547845986,47,29
1547847863,19,42
1547849793,35,40
1547851990,31,46
1547853870,39,37
1547855810,32,24
1547857709,34,32
1547859722,73,36
1547861581,28,37
1547863467,24,47
1547865653,32,64
1547867553,40,25
1547869471,46,41
1547871656,40,44
1547873582,33,23
1547875476,44,32
1547877381,40,32
1547879302,28,28
1547881311,32,49
1547883171,30,32
1547885142,38,46
1547886979,31,39
1547889163,43,59
1547891093,27,34
1547893264,40,51
1547895157,36,48
1547897060,42,49
1547899000,29,36
1547900905,33,27
1547902915,38,34
1547904776,47,38
1547906708,220,33
1547908604,1731,35
1547910766,31,39
1547912683,24,43
1547914670,38,32
1547916764,22,37
1547918820,35,39
1547920887,34,36
1547922748,26,44
1547924679,26,45
1547926586,20,29
1547928775,38,29
1547930673,23,35
1547932608,32,39
1547934771,24,22
1547936690,40,41
1547938908,27,36
1547940750,27,38
1547942742,52,39
1547944603,23,32
1547946511,23,76
1547948458,24,29
1547950350,20,28
1547952270,20,27
1547954196,25,47
1547956106,23,33
1547958052,23,41
1547959952,28,24
1547961885,25,39
1547963803,34,37
1547965704,26,30
1547967678,22,29
1547969604,23,29
1547971544,27,37
1547973405,18,32
1547975327,32,36
1547977222,42,21
1547979164,32,36
1547981076,42,31
1547983005,41,33
1547985170,38,38
1547987072,44,34
1547988984,28,28
1547991173,52,53
1547993102,109,230
1547995246,43,1716
1547997175,36,25
1547999093,23,27
1548001002,23,32
1548002906,26,26
1548004855,37,29
1548006768,29,35
1548008671,31,37
1548010583,477,25
1548012751,4084,21
1548014722,2713,29
1548016834,148,32
1548018783,25,32
1548020670,33,21
1548022587,38,23
1548024807,30,25
1548026695,26,24
1548028968,26,28
1548031251,31,37
1548033446,30,24
1548035306,29,22
1548037236,25,20
1548039150,21,18
1548041116,16,24
1548042980,18,24
1548044923,20,23
1548046923,21,30
1548048744,18,27
1548050759,18,26
1548052580,13,20
1548054753,22,22
1548056667,33,23
1548058618,19,19
1548060775,26,22
1548062659,10,36
1548064606,24,32
1548066751,34,42
1548068708,21,35
1548070607,25,30
1548072504,26,35
1548074456,31,28
1548076488,31,39
1548078530,28,66
1548080439,25,78
1548082386,49,37
1548084305,43,30
1548086492,57,23
1548088367,47,28
1548090322,44,30
1548092200,41,29
1548094352,27,35
1548096311,34,19
1548098202,20,2899
1548100119,41,2679
1548102037,38,1902
1548103981,32,32
1548106170,37,41
1548108082,28,48
1548109967,36,31
1548111946,33,29
1548113779,30,29
1548115979,37,26
1548117876,23,32
1548119794,29,24
1548121730,22,27
1548123888,36,37
1548125776,36,16
1548127734,31,16
1548129699,38,21
1548131573,33,25
1548133517,33,24
1548135379,27,25
1548137339,40,21
1548139223,25,23
1548141168,25,19
1548143060,26,35
1548145252,45,19
1548147164,40,27
1548149082,32,14
1548150999,45,25
1548152909,47,25
1548154925,67,31
1548156772,26,32
1548158709,50,28
1548160604,37,30
1548162533,37,30
1548164421,40,32
1548166382,38,38
1548168263,38,46
1548170474,62,51
1548172367,58,46
1548174261,44,52
1548176203,38,49
1548178098,36,35
1548180089,48,31
1548181947,45,26
1548183892,45,32
1548185778,28,39
1548187954,44,49
1548189863,35,30
1548191785,41,32
1548193702,36,34
1548195620,24,31
1548197607,35,33
1548199726,33,26
1548201787,38,35
1548203590,34,18
1548205479,32,26
1548207379,45,22
1548209342,37,24
1548211247,39,44
1548213177,40,36
1548215060,45,31
1548217291,53,40
1548219154,33,29
1548221065,30,34
1548223005,37,37
1548225157,45,33
1548227106,38,29
1548228997,31,28
1548230950,44,37
1548232852,37,34
1548234995,45,34
1548237316,47,55
1548239675,51,78
1548241500,29,54
1548243396,35,30
1548245599,44,52
1548247473,26,35
1548249413,47,35
1548251551,43,55
1548253535,46,30
1548255413,45,31
1548257299,43,54
1548259310,41,66
1548261408,40,42
1548263308,57,40
1548265485,44,42
1548267647,48,49
1548269570,39,43
1548271470,37,38
1548273412,29,30
1548275564,51,37
1548277519,41,44
1548279649,32,39
1548281554,42,26
1548283475,38,31
1548285428,29,37
1548287582,42,37
1548289508,43,40
1548291392,33,34
1548293560,32,47
1548295513,28,36
1548297416,38,34
1548299355,47,39
1548301295,33,40
1548303193,37,48
1548305339,44,42
1548307499,40,40
1548309402,28,36
1548311321,44,38
1548313326,29,42
1548315156,25,30
1548317114,38,40
1548319227,46,38
1548321159,51,40
1548323091,41,34
1548325239,43,49
1548327166,51,33
1548329067,40,34
