DateTime,AddedIPs,RemovedIPs
1545807902,1,1
1545809793,2,0
1545815555,4,0
1545817469,12,0
1545819670,17,0
1545821558,11,0
1545823483,5,0
1545825379,10,0
1545827345,1,0
1545829321,1,0
1545831170,1,0
1545833070,7,0
1545835238,7,0
1545837143,5,0
1545845064,1,1
1545851079,0,1
1545852989,2,0
1545858770,0,1
1545862605,2,1
1545866442,0,1
1545872209,1,0
1545880107,1,1
1545882269,1,0
1545884079,1,0
1545885891,1,0
1545887786,1,1
1545889949,0,2
1545891871,0,2
1545893801,0,1
1545896063,0,1
1545901706,0,1
1545903633,0,7
1545905576,0,15
1545907718,0,10
1545909652,0,6
1545911570,0,12
1545913496,0,5
1545915378,0,1
1545917556,0,1
1545919491,1,9
1545921394,0,8
1545923354,0,8
1545927419,1,0
1545929316,1,0
1545931237,0,1
1545933166,1,0
1545935063,1,0
1545938898,2,0
1545940921,0,3
1545946823,1,0
1545948765,0,2
1545956450,1,0
1545958356,1,1
1545960315,1,0
1545964377,1,0
1545966334,0,1
1545968494,0,1
1545970397,0,1
1545972287,3,1
1545974188,0,1
1545976370,0,1
1545978269,1,0
1545986178,1,0
1546000112,1,0
1546004188,1,0
1546006102,0,1
1546008020,1,0
1546013791,0,1
1546023891,0,1
1546027954,1,0
1546033968,1,1
1546039989,1,0
1546041871,0,1
1546044038,0,1
1546046192,0,1
1546050274,1,1
1546058445,0,3
1546062279,0,1
1546064473,0,1
1546066373,1,0
1546078140,1,0
1546083893,1,0
1546087958,0,1
1546089880,0,1
1546091806,0,1
1546095721,1,1
1546115322,1,0
1546121078,0,1
1546125176,0,1
1546147008,0,1
1546151071,0,1
1546153010,1,2
1546160682,1,0
1546164746,1,1
1546166695,1,0
1546170518,0,1
1546180377,0,2
1546182282,0,1
1546184219,1,0
1546200289,1,0
1546202185,0,1
1546210105,2,0
1546232525,1,0
1546238460,1,1
1546240372,2,0
1546246130,0,1
1546249945,0,1
1546253787,0,1
1546269623,1,0
1546271545,0,1
1546285497,2,0
1546287394,1,1
1546289549,1,0
1546309487,1,0
1546315945,1,0
1546319785,1,0
1546325541,0,4
1546340919,0,1
1546345009,1,1
1546348832,2,0
1546354926,0,1
1546370454,1,0
1546374283,0,2
1546382202,1,0
1546392300,1,0
1546396105,0,1
1546403798,0,1
1546405717,0,1
1546409792,1,0
1546411948,1,0
1546415830,1,0
1546431163,0,1
1546435016,0,2
1546448550,1,0
1546450601,1,0
1546452504,1,0
1546456610,0,1
1546460897,1,0
1546466713,1,0
1546468839,0,1
1546491134,1,0
1546495107,0,1
1546499103,0,1
1546501006,0,1
1546518271,0,1
1546520207,1,0
1546524540,1,0
1546526433,0,1
1546532222,1,0
1546534388,1,0
1546536275,0,1
1546538201,0,1
1546544215,1,0
1546552125,1,0
1546554041,0,1
1546560151,1,0
1546561959,1,0
1546577586,0,1
1546583309,0,1
1546591011,1,1
1546596796,1,0
1546610185,0,1
1546612129,1,0
1546618598,0,1
1546620797,1,0
1546622693,0,1
1546626521,1,0
1546628552,0,1
1546630621,0,1
1546632784,1,0
1546638519,0,1
1546642371,1,0
1546644273,1,0
1546651953,1,0
1546653900,1,0
1546659868,1,0
1546667788,2,0
1546669952,3,0
1546683494,0,1
1546687472,1,0
1546697077,0,1
1546701149,2,0
1546703090,0,1
1546708841,1,0
