DateTime,AddedIPs,RemovedIPs
1547339570,19,28
1547341477,18,32
1547343404,34,20
1547345582,23,68
1547347456,46,37
1547349654,78,65
1547351781,49,136
1547353962,25,271
1547355885,13,97
1547358065,13,127
1547359952,14,98
1547361889,18,282
1547363805,14,42
1547365957,17,40
1547367863,53,36
1547369783,77,23
1547371726,45,33
1547373911,22,29
1547375814,27,22
1547377737,11,27
1547379627,25,23
1547381570,35,22
1547383479,82,24
1547385394,52,27
1547387332,20,32
1547389489,32,38
1547391390,17,55
1547393569,44,84
1547395509,75,43
1547397634,72,41
1547399859,24,63
1547401714,27,17
1547403623,22,22
1547405548,33,10
1547407498,59,14
1547409410,77,9
1547411548,39,15
1547413498,26,22
1547415392,21,54
1547417577,19,105
1547419537,17,56
1547421411,22,32
1547423307,40,9
1547425255,60,15
1547427156,46,11
1547429083,31,35
1547431313,39,27
1547433166,32,41
1547435149,28,60
1547436993,16,59
1547439188,29,41
1547441107,22,17
1547443024,41,10
1547444917,64,17
1547447085,61,16
1547449003,36,16
1547450925,14,18
1547453100,36,31
1547455226,22,75
1547457183,25,69
1547459089,21,16
1547461276,24,28
1547463415,14,26
1547465311,17,21
1547467246,23,24
1547469283,17,79
1547471110,12,62
1547472998,11,23
1547474976,17,29
1547476835,7,16
1547479016,19,30
1547480931,22,58
1547482873,14,88
1547484745,18,43
1547486683,17,14
1547488626,19,29
1547490515,20,19
1547492543,20,38
1547494381,15,64
1547496287,17,76
1547498225,12,23
1547500374,26,28
1547502280,15,18
1547504613,16,23
1547506609,23,17
1547509180,27,44
1547511158,28,55
1547513087,24,50
1547515003,34,33
1547517165,15,35
1547519105,21,29
1547520989,19,21
1547522911,21,10
1547524911,25,31
1547526749,20,16
1547528736,19,38
1547530860,17,57
1547532782,24,60
1547534932,20,48
1547536837,21,15
1547538743,25,19
1547540681,22,32
1547542919,19,21
1547544763,20,21
1547546702,17,19
1547548867,24,25
1547550757,13,19
1547552700,16,15
1547554865,19,16
1547556769,25,43
1547558664,28,15
1547560602,24,15
1547562529,26,9
1547564544,22,13
1547566620,14,19
1547568819,21,14
1547570666,18,13
1547572596,21,17
1547574551,21,25
1547576698,23,22
1547578940,21,21
1547580792,22,17
1547582712,32,15
1547584618,60,13
1547586533,18,20
1547588458,21,21
1547590379,13,9
1547592292,20,21
1547594468,23,29
1547596373,17,18
1547598308,41,24
1547600207,32,24
1547602125,27,29
1547604111,25,10
1547605961,28,25
1547607953,23,18
1547609799,23,19
1547611982,24,31
1547613880,29,15
1547616068,26,26
1547617991,35,18
1547619870,24,18
1547621813,22,21
1547623723,30,19
1547626615,119,33
1547628815,14,22
1547630687,23,16
1547632612,19,22
1547634514,18,25
1547636586,22,16
1547638845,24,17
1547641005,26,18
1547642914,16,25
1547644842,17,28
1547646769,23,21
1547648662,30,33
1547650622,22,24
1547652507,23,10
1547654499,19,21
1547656377,19,18
1547658541,20,18
1547660417,20,18
1547662375,16,23
1547664768,27,20
1547666906,27,25
1547668875,28,25
1547670771,24,66
1547672932,29,20
1547674821,22,22
1547676767,34,17
1547679219,28,25
1547681064,27,20
1547683004,16,24
1547684898,18,32
1547687108,38,37
1547689271,20,32
1547691150,19,25
1547693086,18,24
1547694987,14,21
1547697185,16,23
1547699085,17,32
1547700974,21,19
1547703161,24,40
1547705097,53,21
1547707236,38,33
1547709421,40,26
1547711332,117,45
1547713247,245,89
1547715178,95,14
1547717075,111,23
1547718985,50,18
1547721206,351,20
1547723118,43,20
1547725037,18,16
1547727177,19,20
1547729078,23,13
1547731010,16,13
1547733151,22,25
1547735106,33,24
1547737016,26,18
1547738905,22,19
1547740907,23,18
1547742782,36,17
1547744741,27,16
1547746853,27,23
1547748794,25,14
1547750691,27,17
1547752860,31,29
1547754787,34,22
1547756686,30,22
1547758614,17,27
1547760528,18,22
1547762508,23,20
1547764344,15,28
1547766334,21,27
1547768209,25,27
1547770113,22,16
1547772055,24,22
1547774205,29,29
1547776228,16,22
1547778029,20,15
1547779978,19,23
1547781911,14,12
1547783783,16,13
1547785952,25,18
1547787937,16,23
1547790064,31,24
1547791961,18,49
1547793867,14,40
1547795829,19,34
1547797706,25,111
1547799681,37,255
1547801597,30,91
1547803830,29,120
1547805717,14,61
1547807577,22,390
1547809522,22,41
1547811419,16,28
1547813565,25,19
1547815481,15,24
1547817397,29,16
1547819573,23,20
1547821493,20,32
1547823392,22,25
1547825573,30,23
1547827530,20,28
1547829792,29,36
1547832073,20,26
1547833956,24,29
1547835895,35,31
1547837781,24,25
1547839953,19,36
1547841964,18,31
1547843826,23,27
1547845987,30,16
1547847865,12,24
1547849795,18,20
1547851992,16,24
1547853872,18,24
1547855812,16,17
1547857710,25,26
1547859724,22,16
1547861583,16,23
1547863470,14,15
1547865654,19,16
1547867555,24,15
1547869480,27,15
1547871658,21,24
1547873584,19,14
1547875478,28,20
1547877382,27,24
1547879303,16,12
1547881315,16,17
1547883173,19,18
1547885143,21,34
1547886980,19,28
1547889164,16,40
1547891095,15,12
1547893266,25,20
1547895159,10,22
1547897062,16,34
1547899005,13,16
1547900907,18,19
1547902917,21,23
1547904778,27,28
1547906712,42,16
1547908606,14,28
1547910768,16,25
1547912685,14,23
1547914687,26,22
1547916766,10,24
1547918822,18,24
1547920889,24,29
1547922750,16,29
1547924681,15,22
1547926587,13,19
1547928777,27,19
1547930674,17,22
1547932609,20,29
1547934773,16,16
1547936692,18,22
1547938911,16,15
1547940752,16,16
1547942745,16,21
1547944605,18,22
1547946513,16,21
1547948460,18,18
1547950352,12,16
1547952271,12,18
1547954200,14,27
1547956107,12,19
1547958054,16,20
1547959954,17,16
1547961889,11,27
1547963804,12,26
1547965705,22,17
1547967681,14,17
1547969605,15,19
1547971546,14,20
1547973407,17,22
