DateTime,Entries,UniqueIPs
1547339570,2353,2353
1547341477,2339,2339
1547343404,2353,2353
1547345582,2308,2308
1547347456,2317,2317
1547349654,2330,2330
1547351781,2243,2243
1547353962,1997,1997
1547355885,1913,1913
1547358065,1799,1799
1547359952,1715,1715
1547361889,1451,1451
1547363805,1423,1423
1547365957,1400,1400
1547367863,1417,1417
1547369783,1471,1471
1547371726,1483,1483
1547373911,1476,1476
1547375814,1481,1481
1547377737,1465,1465
1547379627,1467,1467
1547381570,1480,1480
1547383479,1538,1538
1547385394,1563,1563
1547387332,1551,1551
1547389489,1545,1545
1547391390,1507,1507
1547393569,1467,1467
1547395509,1499,1499
1547397634,1530,1530
1547399859,1491,1491
1547401714,1501,1501
1547403623,1501,1501
1547405548,1524,1524
1547407498,1569,1569
1547409410,1637,1637
1547411548,1661,1661
1547413498,1665,1665
1547415392,1632,1632
1547417577,1546,1546
1547419537,1507,1507
1547421411,1497,1497
1547423307,1528,1528
1547425255,1573,1573
1547427156,1608,1608
1547429083,1604,1604
1547431313,1616,1616
1547433166,1607,1607
1547435149,1575,1575
1547436993,1532,1532
1547439188,1520,1520
1547441107,1525,1525
1547443024,1556,1556
1547444917,1603,1603
1547447085,1648,1648
1547449003,1668,1668
1547450925,1664,1664
1547453100,1669,1669
1547455226,1616,1616
1547457183,1572,1572
1547459089,1577,1577
1547461276,1573,1573
1547463415,1561,1561
1547465311,1557,1557
1547467246,1556,1556
1547469283,1494,1494
1547471110,1444,1444
1547472998,1432,1432
1547474976,1420,1420
1547476835,1411,1411
1547479016,1400,1400
1547480931,1364,1364
1547482873,1290,1290
1547484745,1265,1265
1547486683,1268,1268
1547488626,1258,1258
1547490515,1259,1259
1547492543,1241,1241
1547494381,1192,1192
1547496287,1133,1133
1547498225,1122,1122
1547500374,1120,1120
1547502280,1117,1117
1547504613,1110,1110
1547506609,1116,1116
1547509180,1099,1099
1547511158,1072,1072
1547513087,1046,1046
1547515003,1047,1047
1547517165,1027,1027
1547519105,1019,1019
1547520989,1017,1017
1547522911,1028,1028
1547524911,1022,1022
1547526749,1026,1026
1547528736,1007,1007
1547530860,967,967
1547532782,931,931
1547534932,903,903
1547536837,909,909
1547538743,915,915
1547540681,905,905
1547542919,903,903
1547544763,902,902
1547546702,900,900
1547548867,899,899
1547550757,893,893
1547552700,894,894
1547554865,897,897
1547556769,879,879
1547558664,892,892
1547560602,901,901
1547562529,918,918
1547564544,927,927
1547566620,922,922
1547568819,929,929
1547570666,934,934
1547572596,938,938
1547574551,934,934
1547576698,935,935
1547578940,935,935
1547580792,940,940
1547582712,957,957
1547584618,1004,1004
1547586533,1002,1002
1547588458,1002,1002
1547590379,1006,1006
1547592292,1005,1005
1547594468,999,999
1547596373,998,998
1547598308,1015,1015
1547600207,1023,1023
1547602125,1021,1021
1547604111,1036,1036
1547605961,1039,1039
1547607953,1044,1044
1547609799,1048,1048
1547611982,1041,1041
1547613880,1055,1055
1547616068,1055,1055
1547617991,1072,1072
1547619870,1078,1078
1547621813,1079,1079
1547623723,1090,1090
1547626615,1176,1176
1547628815,1168,1168
1547630687,1175,1175
1547632612,1172,1172
1547634514,1165,1165
1547636586,1171,1171
1547638845,1178,1178
1547641005,1186,1186
1547642914,1177,1177
1547644842,1166,1166
1547646769,1168,1168
1547648662,1165,1165
1547650622,1163,1163
1547652507,1176,1176
1547654499,1174,1174
1547656377,1175,1175
1547658541,1177,1177
1547660417,1179,1179
1547662375,1172,1172
1547664768,1179,1179
1547666906,1181,1181
1547668875,1184,1184
1547670771,1142,1142
1547672932,1151,1151
1547674821,1151,1151
1547676767,1168,1168
1547679219,1171,1171
1547681064,1178,1178
1547683004,1170,1170
1547684898,1156,1156
1547687108,1157,1157
1547689271,1145,1145
1547691150,1139,1139
1547693086,1133,1133
1547694987,1126,1126
1547697185,1119,1119
1547699085,1104,1104
1547700974,1106,1106
1547703161,1090,1090
1547705097,1122,1122
1547707236,1127,1127
1547709421,1141,1141
1547711332,1213,1213
1547713247,1369,1369
1547715178,1450,1450
1547717075,1538,1538
1547718985,1570,1570
