DateTime,AddedIPs,RemovedIPs
1546640467,2,0
1546646216,1,0
1546648023,0,1
1546653902,0,1
1546657973,0,1
1546659869,1,1
1546663967,1,0
1546665884,0,1
1546669953,1,0
1546671890,2,0
1546675744,1,0
1546681477,0,1
1546683496,0,1
1546689394,3,1
1546691308,0,1
1546693309,1,1
1546695154,0,1
1546699243,2,0
1546701151,2,0
1546706915,0,1
1546716509,1,0
1546728284,0,1
1546732124,0,1
1546735975,1,0
1546743891,0,1
1546746054,1,1
1546749865,0,1
1546752058,2,0
1546755902,0,1
1546757785,0,2
1546776131,0,2
1546779908,0,2
1546782059,1,1
1546783966,1,0
1546785899,0,1
1546787785,0,2
1546789744,0,1
1546801506,2,0
1546803343,0,1
1546807241,1,0
1546809184,2,0
1546815173,1,0
1546818996,1,0
1546823323,0,1
1546825274,0,1
1546827208,1,0
1546831021,1,0
1546833206,1,1
1546838964,0,2
1546868442,0,1
1546870360,1,0
1546872305,2,0
1546880213,1,0
1546885988,1,1
1546887903,0,2
1546891954,2,0
1546893913,0,1
1546895800,0,2
1546905435,1,0
1546907585,0,1
1546913583,0,1
1546915495,1,0
1546917446,1,1
1546921232,2,0
1546933264,1,0
1546937067,1,0
1546943098,2,0
1546959190,0,1
1546961084,1,1
1546963007,1,0
1546966935,0,1
1546970721,2,0
1546974776,0,1
1546978856,0,1
1546984607,1,0
1546986782,0,1
1546992532,1,1
1547002383,1,1
1547004269,1,1
1547008385,1,1
1547012215,1,0
1547019893,0,1
1547025869,1,1
1547027813,0,1
1547029751,0,1
1547045333,0,1
1547047476,1,1
1547049699,0,1
1547056113,0,1
1547058285,0,1
1547064105,0,1
1547070106,1,1
1547076076,1,0
1547080421,1,1
1547086382,1,0
1547088264,1,1
1547090219,0,2
1547094304,0,1
1547098118,0,1
1547106264,1,0
1547108213,1,0
1547112298,1,1
1547116604,1,0
1547120949,1,0
1547125021,1,1
1547128983,1,0
1547131257,0,1
1547133159,0,1
1547145181,1,0
1547147131,1,0
1547157176,0,1
1547163163,1,0
1547165095,0,1
1547166994,1,0
1547168928,0,1
1547176615,1,0
1547198445,0,1
1547200371,1,0
1547208139,1,1
1547210218,0,2
1547212130,0,2
1547216226,0,1
1547232533,0,1
1547234697,0,1
1547245253,0,1
1547247417,1,0
1547249601,0,1
1547253668,1,1
1547257515,1,0
1547259413,0,1
1547261583,2,0
1547263492,1,0
1547273849,1,0
1547279567,1,0
1547285562,1,0
1547287534,0,1
1547293472,1,0
1547295656,1,0
1547297585,1,0
1547299495,1,0
1547301405,0,1
1547305525,1,0
1547323506,1,0
1547333609,1,1
1547343406,0,1
1547347458,0,1
1547349656,0,1
1547351782,1,0
1547359953,0,1
1547367864,1,0
1547371728,0,1
1547379634,1,2
1547381572,0,2
1547385396,0,2
1547393571,1,0
1547395511,2,0
1547397635,1,1
1547399861,1,0
1547405550,0,1
1547409437,0,1
1547411550,1,0
1547415394,1,0
1547431320,0,1
1547436994,1,0
1547439190,1,1
1547441109,1,0
1547449013,1,0
1547453110,0,1
1547455227,1,0
1547463416,1,0
1547465325,1,0
1547467275,0,1
1547476837,0,1
1547479018,0,1
1547482875,0,3
1547486685,0,1
1547498227,0,1
1547500376,2,0
1547502282,0,1
1547515004,1,0
1547522912,0,1
1547524913,0,1
1547528738,1,0
1547534934,0,1
1547542922,0,1
1547548868,1,0
1547550758,0,2
1547552702,1,0
1547554866,1,0
1547556770,2,0
1547558666,2,0
1547560603,6,0
1547562531,19,0
1547564546,10,0
1547566622,4,0
1547568820,1,0
1547572598,2,0
1547578953,7,0
1547580794,2,0
1547582714,4,0
1547584620,2,0
1547586535,8,1
1547588459,3,0
1547590380,11,0
1547592293,1,0
1547594470,2,0
1547596375,1,0
1547598309,0,1
1547604113,1,0
1547605962,0,1
1547613882,1,0
1547616070,9,1
1547617993,6,0
1547626616,1,0
1547630688,1,0
1547634515,1,1
1547638846,3,2
1547642915,6,1
1547644844,5,3
1547646771,4,6
1547648664,1,14
1547650624,6,6
1547652509,3,9
1547654503,1,2
1547658543,0,2
1547664770,0,1
1547666908,0,7
1547668886,0,3
1547670772,1,3
1547672934,0,8
1547674822,0,2
1547676769,0,11
1547679221,0,1
1547681066,0,3
1547687110,1,0
1547689273,1,0
1547697186,1,1
1547703162,0,9
1547705099,1,6
1547711334,0,1
1547713248,1,0
1547717076,1,1
1547718986,0,1
1547723120,0,1
1547725039,0,3
1547729079,1,8
1547731012,0,5
1547733152,2,6
1547735108,5,2
1547737017,4,6
1547738907,5,3
1547740910,13,1
1547742784,9,0
1547744742,13,0
1547746855,12,0
1547748796,7,0
1547750693,3,0
1547752861,1,0
1547754788,2,0
1547758616,4,0
1547760530,4,0
1547762511,4,0
1547764346,9,0
1547766335,9,0
1547768211,0,1
1547774206,0,1
1547776230,0,1
1547778032,5,0
1547781915,0,1
1547783785,0,1
1547785954,3,0
1547787939,1,0
1547790066,3,0
1547791962,5,1
1547795831,2,0
1547801601,1,0
1547803836,1,1
1547805719,4,0
1547807578,3,0
1547809523,7,0
1547811421,1,0
1547813566,3,0
1547815483,1,1
1547817398,1,1
1547819575,0,2
1547821494,0,2
1547825575,2,2
1547827532,1,9
1547829793,2,12
1547832075,2,5
1547833958,2,7
1547835897,4,6
1547837782,0,2
1547841965,0,1
1547843840,1,1
1547845989,1,6
1547847866,1,4
1547849797,0,3
1547851994,0,6
1547853874,0,1
1547859726,1,0
1547865656,1,4
1547867557,0,1
1547871659,0,4
1547875479,0,6
1547877384,0,3
1547879305,1,3
1547881316,3,1
1547883174,1,3
1547885145,0,2
1547886982,3,0
1547889166,0,1
1547891096,1,5
1547893267,0,3
1547895161,1,5
1547897064,4,6
1547899006,6,3
1547900908,7,6
1547902918,12,2
1547904779,9,2
1547906714,6,0
1547908607,12,2
1547910769,2,0
1547912687,2,1
1547914689,1,3
1547916768,0,3
1547918823,1,2
1547920890,0,3
1547922751,0,6
1547924683,0,2
1547926589,1,0
1547928778,2,0
1547930676,0,1
1547934774,0,1
1547936693,4,0
1547938912,5,0
1547940753,3,0
1547942748,0,1
1547946515,0,1
1547950354,0,1
1547952273,1,0
1547954202,3,1
1547956109,7,0
1547959955,2,0
1547961891,1,0
1547963806,6,0
1547965707,3,0
1547967683,6,2
1547969607,2,1
1547973408,2,3
1547975330,2,0
1547977225,2,2
1547979166,2,0
1547981087,2,2
1547983009,0,4
1547985173,8,4
1547987088,4,5
1547988987,0,6
1547991176,0,9
1547993108,2,5
1547995249,11,11
1547997178,10,2
1547999096,9,3
1548001005,0,2
1548002912,2,0
1548006771,7,0
1548008687,2,0
1548010586,2,1
1548012754,3,1
1548016837,3,2
1548018786,2,0
1548020674,1,0
1548022591,2,5
1548024811,0,5
1548026698,0,3
1548028972,2,1
1548031254,3,0
1548033449,2,0
1548035309,1,0
1548041120,3,5
1548042984,2,0
1548044927,0,2
1548048749,0,3
1548050763,4,6
1548052583,4,5
1548054757,1,4
1548056671,2,0
1548060778,0,3
1548062662,1,4
1548064611,1,0
1548066758,1,2
1548070612,1,5
1548072507,0,5
1548074461,1,4
1548078534,0,1
1548082393,1,14
1548084309,0,14
1548086498,1,5
1548088373,1,1
1548090327,0,2
1548092206,0,3
1548094356,0,5
1548096315,0,2
1548098209,1,4
1548100126,0,1
1548102043,2,2
1548104001,0,1
1548106176,0,2
1548108086,0,2
1548109970,0,1
1548113782,0,3
1548115982,0,4
1548117880,0,5
1548119800,1,1
1548121733,0,2
1548123891,1,0
1548127737,1,6
1548131579,0,2
1548133521,3,0
1548135382,6,1
1548137343,2,4
1548139226,0,4
1548141171,0,1
1548143063,5,4
1548145255,2,2
1548147167,4,0
1548149085,1,1
1548151002,1,1
1548152913,0,1
1548154928,2,0
1548156776,1,1
1548160607,6,1
1548162536,9,0
1548164424,7,0
1548166386,9,0
1548168266,6,1
1548170477,3,0
1548172370,3,0
1548174264,0,1
1548178101,1,0
1548180093,2,0
1548181962,3,0
1548183896,2,0
1548185790,1,2
1548187957,3,2
1548191788,2,0
1548197610,2,0
1548204027,3,1
1548205991,3,1
1548207864,6,0
1548209810,2,1
1548211730,0,1
1548215537,0,1
1548219449,1,0
1548221585,3,4
1548223499,1,1
1548225653,1,0
1548227561,2,0
1548229494,0,4
1548231395,2,2
1548233305,0,2
1548235495,1,1
1548237323,1,0
1548239679,1,0
1548241504,0,1
1548243400,1,0
1548247476,0,9
1548249417,0,3
1548251555,0,10
1548253547,0,7
1548255416,0,6
1548257302,0,2
1548259315,0,3
1548263311,7,0
1548265489,1,2
1548267650,0,5
1548269573,0,2
1548271474,0,3
1548273416,0,1
1548275567,15,2
1548277524,0,1
1548279652,0,1
1548283479,0,3
1548285431,0,1
1548289511,0,2
1548291395,0,4
1548293564,0,7
1548295517,0,6
1548297419,0,2
1548299358,0,1
1548301300,1,0
1548303196,1,0
1548305342,0,2
1548307502,0,1
1548309405,1,2
1548315160,0,2
1548317120,0,1
1548319230,1,0
1548323094,2,1
1548327168,0,1
