DateTime,AddedIPs,RemovedIPs
1547337397,4,7
1547339573,9,2
1547341484,6,6
1547343408,1,2
1547345586,7,4
1547347466,0,13
1547349657,3,1
1547351783,2,3
1547353965,3,5
1547355887,4,6
1547358068,2,10
1547359955,3,1
1547361892,1,3
1547363807,3,1
1547365959,4,2
1547367866,2,5
1547369786,4,16
1547371729,6,6
1547373914,4,1
1547375817,3,4
1547377739,11,7
1547379635,1,2
1547381573,1,5
1547383482,5,2
1547385398,1,8
1547387335,3,8
1547389492,9,6
1547391393,6,4
1547393573,16,7
1547395513,0,10
1547397637,4,12
1547399863,3,9
1547401717,1,12
1547403638,3,2
1547405551,5,4
1547407502,5,3
1547409439,10,2
1547411551,3,3
1547413501,3,1
1547415395,8,6
1547417580,3,3
1547419543,3,4
1547421414,3,1
1547423310,5,4
1547425258,7,9
1547427159,7,9
1547429089,11,2
1547431321,4,12
1547433169,9,2
1547435152,1,7
1547436996,5,2
1547439191,9,3
1547441111,2,2
1547443027,7,4
1547444920,8,4
1547447088,4,2
1547449014,3,0
1547450929,2,5
1547453112,5,4
1547455229,2,2
1547457186,3,6
1547459092,3,1
1547461279,2,4
1547463418,4,11
1547465326,1,4
1547467298,3,0
1547469286,7,5
1547471114,2,2
1547473015,7,1
1547474979,2,1
1547476839,4,9
1547479019,7,16
1547480934,4,5
1547482876,13,5
1547484748,4,2
1547486687,7,2
1547488629,5,1
1547490518,7,5
1547492547,2,6
1547494384,1,7
1547496290,3,8
1547498228,0,3
1547500377,6,3
1547502284,5,8
1547504616,5,4
1547506611,11,4
1547509183,5,3
1547511161,4,7
1547513090,2,8
1547515005,10,7
1547517168,5,8
1547519117,6,10
1547520992,1,1
1547522915,3,5
1547524933,9,8
1547526751,3,2
1547528739,5,2
1547530862,2,10
1547532786,1,6
1547534935,7,4
1547536839,4,3
1547538745,3,4
1547540684,5,5
1547542923,1,1
1547544766,1,4
1547546705,8,0
1547548870,4,4
1547550760,2,3
1547552704,2,3
1547554867,4,5
1547556772,5,3
1547558667,3,4
1547560604,7,6
1547562532,6,3
1547564547,6,5
1547566623,3,4
1547568821,5,14
1547570668,2,5
1547572599,4,4
1547574553,4,8
1547576701,4,9
1547578954,4,2
1547580795,6,1
1547582716,6,3
1547584622,2,2
1547586536,3,4
1547588461,3,4
1547590382,4,3
1547592295,8,3
1547594471,5,5
1547596376,3,4
1547598311,2,3
1547600209,3,6
1547602128,3,5
1547604114,2,6
1547605964,9,3
1547607955,3,2
1547609801,5,3
1547611985,4,10
1547613883,8,8
1547616071,4,4
1547617994,9,0
1547619873,4,6
1547621816,3,1
1547623728,16,5
1547626618,25,6
1547628818,22,5
1547630690,1,2
1547632615,2,6
1547634517,2,2
1547636589,7,6
