DateTime,Entries,UniqueIPs
1536844361,125,125
1536866442,127,127
1536888756,128,128
1536910629,124,124
1536932670,123,123
1536954744,123,123
1536976827,123,123
1536998948,123,123
1537020974,123,123
1537043090,118,118
1537065166,116,116
1537087247,116,116
1537109547,116,116
1537131403,118,118
1537153268,119,119
1537175564,120,120
1537197643,121,121
1537219714,120,120
1537242050,116,116
1537264138,116,116
1537286196,120,120
1537308276,120,120
1537330330,120,120
1537352202,118,118
1537374252,118,118
1537396108,114,114
1537418184,113,113
1537440034,113,113
1537462127,112,112
1537484193,111,111
1537528133,107,107
1537550346,105,105
1537572283,105,105
1537594369,106,106
1537616419,105,105
1537638517,107,107
1537660584,108,108
1537682728,109,109
1537704752,108,108
1537726832,110,110
1537748676,111,111
1537770760,110,110
1537792825,111,111
1537814911,106,106
1537837006,106,106
1537859084,104,104
1537880924,104,104
1537903010,104,104
1537925079,105,105
1537947167,105,105
1537969223,99,99
1537991323,99,99
1538013435,97,97
1538035287,97,97
1538057304,99,99
1538079403,99,99
1538101458,100,100
1538123318,102,102
1538145162,102,102
1538167239,103,103
1538189296,104,104
1538211411,103,103
1538233273,104,104
1538255315,104,104
1538277393,103,103
1538299476,103,103
1538321794,104,104
1538343855,102,102
1538365940,102,102
1538387808,101,101
1538409685,103,103
1538431956,102,102
1538454027,103,103
1538476119,101,101
1538498444,99,99
1538520284,95,95
1538542257,95,95
1538564502,96,96
1538586761,96,96
1538630661,95,95
1538652523,95,95
1538674844,96,96
1538697466,93,93
1538742138,90,90
1538764244,89,89
1538786199,86,86
1538808276,88,88
1538830389,86,86
1538852717,88,88
1538874736,86,86
1538896849,88,88
1538918920,87,87
1538940984,89,89
1538962836,90,90
1538984910,90,90
1539007028,92,92
1539029104,93,93
1539051160,92,92
1539073223,93,93
1539095076,91,91
1539116920,93,93
1539138996,93,93
1539161072,92,92
1539183156,92,92
1539205308,94,94
1539227309,93,93
1539249386,93,93
1539271450,93,93
1539293543,95,95
1539315391,94,94
1539337468,98,98
1539359312,97,97
1539381389,97,97
1539403263,98,98
1539425333,97,97
1539447375,99,99
1539469226,104,104
1539491302,108,108
