DateTime,AddedIPs,RemovedIPs
1547339576,107,44
1547341493,80,43
1547343411,66,46
1547345588,78,48
1547347469,50,45
1547349660,55,41
1547351786,312,33
1547353968,50,53
1547355890,32,44
1547358071,36,44
1547359958,39,44
1547361895,38,48
1547363810,41,45
1547365967,57,43
1547367869,131,33
1547369789,1252,60
1547371732,1231,59
1547373921,652,61
1547375820,30,48
1547377755,84,40
1547379639,71,63
1547381576,465,63
1547383485,1114,40
1547385401,45,48
1547387338,51,50
1547389496,48,55
1547391396,37,51
1547393576,55,59
1547395516,54,52
1547397651,45,70
1547399866,53,73
1547401721,49,36
1547403641,53,40
1547405555,44,51
1547407505,39,38
1547409442,33,36
1547411555,44,43
1547413505,36,50
1547415411,45,42
1547417583,48,44
1547419559,40,60
1547421417,39,40
1547423313,37,39
1547425261,1476,59
1547427170,1698,44
1547429101,1458,54
1547431325,1578,53
1547433188,1181,42
1547435156,1005,56
1547436999,41,29
1547439195,35,239
1547441114,41,31
1547443040,30,28
1547444923,40,40
1547447091,36,39
1547449019,34,33
1547450932,35,25
1547453116,54,50
1547455232,35,575
1547457189,47,1000
1547459096,42,1090
1547461282,42,52
1547463421,53,52
1547465329,103,38
1547467313,160,58
1547469289,82,47
1547471118,57,46
1547473019,64,38
1547474982,55,43
1547476842,46,46
1547479023,82,48
1547480937,53,49
1547482880,50,45
1547484751,124,38
1547486690,41,51
1547488632,34,51
1547490522,36,50
1547492551,52,44
1547494387,41,1197
1547496301,39,404
1547498231,41,42
1547500380,53,44
1547502293,34,35
1547504619,45,57
1547506614,41,35
1547509186,42,58
1547511164,42,910
1547513093,31,2226
1547515010,39,1454
1547517171,48,1774
1547519120,43,1299
1547520994,32,1349
1547522926,40,175
1547524938,37,46
1547526754,32,46
1547528742,37,41
1547530865,39,55
1547532788,39,63
1547534938,57,46
1547536843,42,48
1547538748,50,44
1547540686,44,43
1547542926,96,55
1547544769,40,49
1547546707,47,71
1547548873,47,56
1547550762,48,89
1547552708,51,91
1547554870,143,69
1547556794,123,42
1547558670,104,49
1547560607,132,45
1547562535,85,57
1547564550,91,77
1547566626,94,60
1547568824,85,70
1547570671,66,59
1547572602,2042,34
1547574561,3379,32
1547576704,3270,52
1547578958,3642,57
1547580799,2819,41
1547582719,2613,42
1547584625,53,44
1547586540,35,68
1547588464,43,116
1547590385,77,40
1547592298,100,40
1547594475,708,39
1547596380,42,45
1547598314,45,46
1547600218,32,43
1547602131,37,35
1547604125,40,38
1547605967,33,39
1547607959,46,37
1547609805,31,35
1547611988,42,39
1547613886,40,39
1547616075,41,35
1547617998,719,37
1547619877,1113,48
1547621820,874,54
1547623732,78,47
1547626621,59,69
1547628821,34,80
1547630693,47,74
1547632618,33,51
1547634520,32,45
1547636593,65,47
1547638852,94,54
1547641034,74,44
1547642920,45,47
1547644848,52,44
1547646777,41,60
1547648668,45,41
1547650629,38,42
1547652514,38,59
1547654535,59,56
1547656383,56,45
1547658548,68,1084
1547660423,45,2878
1547662381,51,2715
1547664774,53,3556
1547666912,53,2772
1547668895,42,2629
1547670777,45,121
1547672939,54,54
1547674827,30,39
1547676772,48,106
1547679225,55,295
1547681070,47,856
1547683010,38,48
1547684925,45,53
1547687116,58,40
1547689278,49,41
1547691157,41,39
1547693092,39,50
1547694993,39,46
1547697190,54,42
1547699091,28,45
1547700979,34,48
1547703166,37,132
1547705104,69,1857
1547707254,113,2311
1547709427,789,490
1547711339,2677,43
1547713253,2565,44
1547715184,2381,43
1547717081,34,45
1547718998,40,45
1547721212,54,37
1547723132,108,56
1547725051,85,60
1547727183,84,72
1547729084,58,48
1547731016,51,47
1547733157,49,58
1547735114,60,52
1547737022,56,34
1547738919,43,44
1547740916,40,53
1547742788,39,40
1547744747,42,47
1547746874,57,55
1547748808,39,52
1547750706,49,47
1547752866,55,56
1547754793,51,63
1547756700,42,52
1547758620,51,52
1547760542,49,32
1547762516,40,49
1547764350,45,56
1547766351,36,50
1547768223,125,49
1547770121,830,37
1547772061,483,53
1547774211,44,40
1547776234,41,61
1547778038,39,44
1547779984,604,44
1547781928,954,38
1547783789,840,46
1547785959,985,37
1547787944,818,38
1547790070,946,34
1547791988,910,42
1547793881,841,39
1547795836,876,811
1547797713,823,2615
1547799690,789,2650
1547801606,797,2298
1547803843,899,44
1547805725,916,41
1547807583,144,49
1547809548,78,50
1547811425,59,38
1547813571,82,50
1547815488,63,54
1547817403,86,31
1547819580,86,42
1547821499,55,50
1547823398,44,43
1547825580,91,46
1547827538,103,41
1547829799,92,39
1547832087,79,59
1547833963,61,116
1547835901,66,38
1547837787,49,41
1547839973,59,40
1547841989,38,53
1547843845,48,40
1547845994,63,51
1547847871,45,42
1547849801,39,37
1547851998,65,43
1547853878,33,41
1547855818,36,362
1547857716,49,503
1547859730,35,41
1547861589,33,43
1547863476,35,34
1547865661,42,370
1547867561,90,906
1547869498,43,904
1547871664,46,989
1547873599,37,889
1547875484,34,819
1547877388,45,920
1547879310,36,928
1547881321,40,875
1547883179,40,956
1547885149,35,879
1547886986,38,821
1547889170,32,964
1547891113,33,990
1547893271,37,607
1547895165,34,52
1547897068,37,103
1547899010,51,57
1547900925,46,37
1547902922,45,55
1547904783,47,60
1547906738,47,83
1547908612,1368,53
1547910773,38,84
1547912691,31,61
1547914694,52,64
1547916784,60,65
1547918827,42,46
1547920895,47,59
1547922755,53,54
1547924687,38,58
1547926593,45,46
1547928782,45,52
1547930680,37,43
1547932615,39,56
1547934778,38,191
1547936698,67,67
1547938917,50,50
1547940757,37,41
1547942755,36,73
1547944610,33,46
1547946520,49,45
1547948466,38,45
1547950358,43,44
1547952277,37,50
1547954206,48,90
1547956113,41,51
1547958061,39,46
1547959959,49,47
1547961897,36,42
1547963810,44,52
1547965711,36,44
1547967688,75,50
1547969611,37,45
1547971552,49,41
1547973412,49,44
1547975334,35,36
1547977229,47,42
1547979170,39,44
1547981091,47,48
1547983013,53,43
1547985177,94,56
1547987092,86,52
1547988992,65,50
1547991180,152,63
1547993114,114,56
1547995253,104,1379
1547997182,104,43
1547999100,71,41
1548001009,79,64
1548002916,90,55
1548004863,317,50
1548006788,146,42
1548008691,111,51
1548010590,453,38
1548012768,1367,47
1548014731,68,45
1548016842,90,34
1548018790,133,46
1548020678,89,35
1548022596,95,76
1548024815,894,46
1548026703,1057,41
1548028981,1216,41
1548031258,2570,49
1548033455,2588,45
1548035314,2089,38
1548037244,2258,42
1548039158,2383,41
1548041134,1318,43
1548042989,895,35
1548044932,952,28
1548046934,987,50
1548048754,177,33
1548050769,53,43
1548052588,45,46
1548054762,46,65
1548056675,35,37
1548058640,52,46
1548060783,54,55
1548062667,37,29
1548064616,33,47
1548066763,46,39
1548068750,31,28
1548070617,40,55
1548072513,33,48
1548074466,37,69
1548076499,55,54
1548078539,40,63
1548080447,37,36
1548082398,37,62
1548084325,39,51
1548086504,43,50
1548088379,33,52
1548090333,45,57
1548092211,47,180
1548094361,52,72
1548096321,44,55
1548098214,52,1121
1548100130,45,48
1548102048,46,56
1548104011,41,57
1548106181,38,75
1548108093,40,42
1548109975,31,397
1548111959,33,792
1548113787,36,900
1548115987,42,1575
1548117884,42,2456
1548119805,47,2249
1548121737,25,2159
1548123896,41,2577
1548125783,30,2480
