DateTime,Entries,UniqueIPs
1547339576,7045,7045
1547341493,7082,7082
1547343411,7102,7102
1547345588,7132,7132
1547347469,7137,7137
1547349660,7151,7151
1547351786,7430,7430
1547353968,7427,7427
1547355890,7415,7415
1547358071,7407,7407
1547359958,7402,7402
1547361895,7392,7392
1547363810,7388,7388
1547365967,7402,7402
1547367869,7500,7500
1547369789,8692,8692
1547371732,9864,9864
1547373921,10455,10455
1547375820,10437,10437
1547377755,10481,10481
1547379639,10489,10489
1547381576,10891,10891
1547383485,11965,11965
1547385401,11962,11962
1547387338,11963,11963
1547389496,11956,11956
1547391396,11942,11942
1547393576,11938,11938
1547395516,11940,11940
1547397651,11915,11915
1547399866,11895,11895
1547401721,11908,11908
1547403641,11921,11921
1547405555,11914,11914
1547407505,11915,11915
1547409442,11912,11912
1547411555,11913,11913
1547413505,11899,11899
1547415411,11902,11902
1547417583,11906,11906
1547419559,11886,11886
1547421417,11885,11885
1547423313,11883,11883
1547425261,13300,13300
1547427170,14954,14954
1547429101,16358,16358
1547431325,17883,17883
1547433188,19022,19022
1547435156,19971,19971
1547436999,19983,19983
1547439195,19779,19779
1547441114,19789,19789
1547443040,19791,19791
1547444923,19791,19791
1547447091,19788,19788
1547449019,19789,19789
1547450932,19799,19799
1547453116,19803,19803
1547455232,19263,19263
1547457189,18310,18310
1547459096,17262,17262
1547461282,17252,17252
1547463421,17253,17253
1547465329,17318,17318
1547467313,17420,17420
1547469289,17455,17455
1547471118,17466,17466
1547473019,17492,17492
1547474982,17504,17504
1547476842,17504,17504
1547479023,17538,17538
1547480937,17542,17542
1547482880,17547,17547
1547484751,17633,17633
1547486690,17623,17623
1547488632,17606,17606
1547490522,17592,17592
1547492551,17600,17600
1547494387,16444,16444
1547496301,16079,16079
1547498231,16078,16078
1547500380,16087,16087
1547502293,16086,16086
1547504619,16074,16074
1547506614,16080,16080
1547509186,16064,16064
1547511164,15196,15196
1547513093,13001,13001
1547515010,11586,11586
1547517171,9860,9860
1547519120,8604,8604
1547520994,7287,7287
1547522926,7152,7152
1547524938,7143,7143
1547526754,7129,7129
1547528742,7125,7125
1547530865,7109,7109
1547532788,7085,7085
1547534938,7096,7096
1547536843,7090,7090
1547538748,7096,7096
1547540686,7097,7097
1547542926,7138,7138
1547544769,7129,7129
1547546707,7105,7105
1547548873,7096,7096
1547550762,7055,7055
1547552708,7015,7015
1547554870,7089,7089
1547556794,7170,7170
1547558670,7225,7225
1547560607,7312,7312
1547562535,7340,7340
1547564550,7354,7354
1547566626,7388,7388
1547568824,7403,7403
1547570671,7410,7410
1547572602,9418,9418
1547574561,12765,12765
1547576704,15983,15983
1547578958,19568,19568
1547580799,22346,22346
1547582719,24917,24917
1547584625,24926,24926
1547586540,24893,24893
1547588464,24820,24820
1547590385,24857,24857
1547592298,24917,24917
1547594475,25586,25586
1547596380,25583,25583
1547598314,25582,25582
1547600218,25571,25571
1547602131,25573,25573
1547604125,25575,25575
1547605967,25569,25569
1547607959,25578,25578
1547609805,25574,25574
1547611988,25577,25577
1547613886,25578,25578
1547616075,25584,25584
1547617998,26266,26266
1547619877,27331,27331
1547621820,28151,28151
1547623732,28182,28182
1547626621,28172,28172
1547628821,28126,28126
1547630693,28099,28099
1547632618,28081,28081
1547634520,28068,28068
1547636593,28086,28086
1547638852,28126,28126
1547641034,28156,28156
1547642920,28154,28154
1547644848,28162,28162
1547646777,28143,28143
1547648668,28147,28147
1547650629,28143,28143
1547652514,28122,28122
1547654535,28125,28125
1547656383,28136,28136
1547658548,27120,27120
1547660423,24287,24287
1547662381,21623,21623
1547664774,18120,18120
1547666912,15401,15401
1547668895,12814,12814
1547670777,12738,12738
1547672939,12738,12738
1547674827,12729,12729
1547676772,12671,12671
1547679225,12431,12431
1547681070,11622,11622
1547683010,11612,11612
1547684925,11604,11604
1547687116,11622,11622
1547689278,11630,11630
1547691157,11632,11632
1547693092,11621,11621
1547694993,11614,11614
1547697190,11626,11626
1547699091,11609,11609
1547700979,11595,11595
1547703166,11500,11500
1547705104,9712,9712
1547707254,7514,7514
1547709427,7813,7813
1547711339,10447,10447
1547713253,12968,12968
1547715184,15306,15306
1547717081,15295,15295
1547718998,15290,15290
1547721212,15307,15307
1547723132,15359,15359
1547725051,15384,15384
1547727183,15396,15396
1547729084,15406,15406
1547731016,15410,15410
1547733157,15401,15401
1547735114,15409,15409
1547737022,15431,15431
1547738919,15430,15430
1547740916,15417,15417
1547742788,15416,15416
1547744747,15411,15411
1547746874,15413,15413
1547748808,15400,15400
1547750706,15402,15402
1547752866,15401,15401
1547754793,15389,15389
1547756700,15379,15379
1547758620,15378,15378
1547760542,15395,15395
1547762516,15386,15386
1547764350,15375,15375
1547766351,15361,15361
1547768223,15437,15437
1547770121,16230,16230
1547772061,16660,16660
1547774211,16664,16664
1547776234,16644,16644
1547778038,16639,16639
1547779984,17199,17199
1547781928,18115,18115
1547783789,18909,18909
1547785959,19857,19857
1547787944,20637,20637
1547790070,21549,21549
1547791988,22417,22417
1547793881,23219,23219
1547795836,23284,23284
1547797713,21492,21492
1547799690,19631,19631
1547801606,18130,18130
1547803843,18985,18985
1547805725,19860,19860
1547807583,19955,19955
1547809548,19983,19983
1547811425,20004,20004
1547813571,20036,20036
1547815488,20045,20045
1547817403,20100,20100
1547819580,20144,20144
1547821499,20149,20149
1547823398,20150,20150
1547825580,20195,20195
1547827538,20257,20257
1547829799,20310,20310
1547832087,20330,20330
1547833963,20275,20275
1547835901,20303,20303
1547837787,20311,20311
1547839973,20330,20330
1547841989,20315,20315
1547843845,20323,20323
1547845994,20335,20335
1547847871,20338,20338
1547849801,20340,20340
1547851998,20362,20362
1547853878,20354,20354
1547855818,20028,20028
1547857716,19574,19574
1547859730,19568,19568
1547861589,19558,19558
1547863476,19559,19559
1547865661,19231,19231
1547867561,18415,18415
1547869498,17554,17554
1547871664,16611,16611
1547873599,15759,15759
1547875484,14974,14974
1547877388,14099,14099
1547879310,13207,13207
1547881321,12372,12372
1547883179,11456,11456
1547885149,10612,10612
1547886986,9829,9829
1547889170,8897,8897
1547891113,7940,7940
1547893271,7370,7370
1547895165,7352,7352
1547897068,7286,7286
1547899010,7280,7280
1547900925,7289,7289
1547902922,7279,7279
1547904783,7266,7266
1547906738,7230,7230
1547908612,8545,8545
1547910773,8499,8499
1547912691,8469,8469
1547914694,8457,8457
1547916784,8452,8452
1547918827,8448,8448
1547920895,8436,8436
1547922755,8435,8435
1547924687,8415,8415
1547926593,8414,8414
1547928782,8407,8407
1547930680,8401,8401
1547932615,8384,8384
1547934778,8231,8231
1547936698,8231,8231
1547938917,8231,8231
1547940757,8227,8227
1547942755,8190,8190
1547944610,8177,8177
1547946520,8181,8181
1547948466,8174,8174
1547950358,8173,8173
1547952277,8160,8160
1547954206,8118,8118
1547956113,8108,8108
1547958061,8101,8101
1547959959,8103,8103
1547961897,8097,8097
1547963810,8089,8089
1547965711,8081,8081
1547967688,8106,8106
1547969611,8098,8098
1547971552,8106,8106
1547973412,8111,8111
1547975334,8110,8110
1547977229,8115,8115
1547979170,8110,8110
1547981091,8109,8109
1547983013,8119,8119
1547985177,8157,8157
1547987092,8191,8191
1547988992,8206,8206
1547991180,8295,8295
1547993114,8353,8353
1547995253,7078,7078
1547997182,7139,7139
1547999100,7169,7169
1548001009,7184,7184
1548002916,7219,7219
1548004863,7486,7486
1548006788,7590,7590
1548008691,7650,7650
1548010590,8065,8065
1548012768,9385,9385
1548014731,9408,9408
1548016842,9464,9464
1548018790,9551,9551
1548020678,9605,9605
1548022596,9624,9624
1548024815,10472,10472
1548026703,11488,11488
1548028981,12663,12663
1548031258,15184,15184
1548033455,17727,17727
1548035314,19778,19778
1548037244,21994,21994
1548039158,24336,24336
1548041134,25611,25611
1548042989,26471,26471
1548044932,27395,27395
1548046934,28332,28332
1548048754,28476,28476
1548050769,28486,28486
1548052588,28485,28485
1548054762,28466,28466
1548056675,28464,28464
1548058640,28470,28470
1548060783,28469,28469
1548062667,28477,28477
1548064616,28463,28463
1548066763,28470,28470
1548068750,28473,28473
1548070617,28458,28458
1548072513,28443,28443
1548074466,28411,28411
1548076499,28412,28412
1548078539,28389,28389
1548080447,28390,28390
1548082398,28365,28365
1548084325,28353,28353
1548086504,28346,28346
1548088379,28327,28327
1548090333,28315,28315
1548092211,28182,28182
1548094361,28162,28162
1548096321,28151,28151
1548098214,27082,27082
1548100130,27079,27079
1548102048,27069,27069
1548104011,27053,27053
1548106181,27016,27016
1548108093,27014,27014
1548109975,26648,26648
1548111959,25889,25889
1548113787,25025,25025
1548115987,23492,23492
1548117884,21078,21078
1548119805,18876,18876
1548121737,16742,16742
1548123896,14206,14206
1548125783,11756,11756
1548127741,10471,10471
1548129707,9401,9401
1548131584,8300,8300
1548133525,7188,7188
1548135387,7114,7114
1548137347,7057,7057
1548139230,7033,7033
1548141176,7008,7008
1548143067,6992,6992
1548145259,6946,6946
1548147172,6920,6920
1548149089,6914,6914
1548151006,6905,6905
1548152917,6882,6882
1548154933,6871,6871
1548156780,6858,6858
1548158719,6834,6834
1548160624,6817,6817
1548162540,6788,6788
1548164428,6810,6810
1548166390,6852,6852
1548168270,6846,6846
1548170481,6851,6851
1548172374,6825,6825
1548174268,6813,6813
1548176211,6805,6805
1548178105,6783,6783
1548180099,6772,6772
1548181966,6741,6741
1548183902,6719,6719
1548185794,6837,6837
1548187961,6950,6950
1548189870,6995,6995
1548191793,7079,7079
1548193709,7191,7191
1548195629,7281,7281
1548197615,7334,7334
1548199733,7383,7383
1548201804,7451,7451
1548204031,7470,7470
1548205996,7453,7453
1548207868,7458,7458
1548209814,7446,7446
1548211734,7445,7445
1548213657,7453,7453
1548215541,7448,7448
1548217471,7454,7454
1548219453,7448,7448
1548221589,7444,7444
1548223503,7443,7443
1548225657,7443,7443
1548227565,7430,7430
1548229498,7418,7418
1548231401,7434,7434
1548233309,7433,7433
1548235499,7420,7420
1548237327,7430,7430
1548239683,7440,7440
1548241510,7439,7439
1548243404,7415,7415
1548245606,7381,7381
1548247480,7381,7381
1548249421,7339,7339
1548251559,7269,7269
1548253552,7191,7191
1548255420,7174,7174
1548257306,7177,7177
1548259329,7186,7186
1548261415,7209,7209
1548263315,7269,7269
1548265494,7287,7287
1548267654,7317,7317
1548269577,7319,7319
1548271478,7379,7379
1548273420,7461,7461
1548275572,7497,7497
1548277530,7500,7500
1548279657,7494,7494
1548281562,7514,7514
1548283483,7523,7523
1548285436,7525,7525
1548287589,7520,7520
1548289516,7711,7711
1548291399,7707,7707
1548293568,7694,7694
1548295531,7702,7702
1548297425,7707,7707
1548299374,7692,7692
1548301304,7679,7679
1548303201,7685,7685
1548305346,7673,7673
1548307509,7671,7671
1548309410,7663,7663
1548311328,7645,7645
1548313335,7647,7647
1548315164,7623,7623
1548317125,7607,7607
1548319234,7588,7588
1548321166,7586,7586
1548323098,7557,7557
1548325247,7555,7555
1548327171,7535,7535
1548329074,7519,7519
