DateTime,Entries,UniqueIPs
1547341496,3976,3976
1547343414,4004,4004
1547345590,4023,4023
1547347471,4054,4054
1547349661,4084,4084
1547351788,4102,4102
1547353970,4126,4126
1547355892,4137,4137
1547358072,4163,4163
1547359959,4155,4155
1547361897,4169,4169
1547363812,4186,4186
1547365969,4179,4179
1547367870,4297,4297
1547369790,5719,5719
1547371734,7103,7103
1547373923,7835,7835
1547375822,7837,7837
1547377756,7848,7848
1547379641,7860,7860
1547381578,8280,8280
1547383487,9379,9379
1547385402,9401,9401
1547387340,9412,9412
1547389498,9422,9422
1547391398,9429,9429
1547393578,9439,9439
1547395518,9439,9439
1547397653,9451,9451
1547399868,9416,9416
1547401722,9418,9418
1547403642,9414,9414
1547405556,9412,9412
1547407507,9409,9409
1547409444,9418,9418
1547411557,9422,9422
1547413508,9420,9420
1547415413,9422,9422
1547417585,9430,9430
1547419561,9423,9423
1547421419,9417,9417
1547423315,9409,9409
1547425263,9410,9410
1547427172,9422,9422
1547429104,9418,9418
1547431328,9404,9404
1547433189,9405,9405
1547435157,9402,9402
1547437001,9388,9388
1547439196,9387,9387
1547441116,9383,9383
1547443042,9376,9376
1547444924,9367,9367
1547447093,9371,9371
1547449022,9367,9367
1547450934,9362,9362
1547453119,9358,9358
1547455234,8611,8611
1547457191,7310,7310
1547459097,5893,5893
1547461284,5882,5882
1547463423,5863,5863
1547465331,5875,5875
1547467315,5898,5898
1547469291,5912,5912
1547471121,5912,5912
1547473020,5934,5934
1547474984,5950,5950
1547476843,5958,5958
1547479025,5967,5967
1547480939,5966,5966
1547482881,5961,5961
1547484753,5960,5960
1547486691,5968,5968
1547488634,5977,5977
1547490523,5971,5971
1547492552,5977,5977
1547494389,4736,4736
1547496303,4355,4355
1547498232,4343,4343
1547500382,4354,4354
1547502294,4344,4344
1547504621,4343,4343
1547506616,4330,4330
1547509201,4362,4362
1547511165,4342,4342
1547513095,4336,4336
1547515021,4326,4326
1547517185,4318,4318
1547519121,4323,4323
1547520996,4307,4307
1547522927,4305,4305
1547524940,4296,4296
1547526756,4285,4285
1547528743,4285,4285
1547530867,4285,4285
1547532790,4261,4261
1547534939,4247,4247
1547536844,4233,4233
1547538750,4227,4227
1547540688,4235,4235
1547542928,4221,4221
1547544770,4221,4221
1547546709,4215,4215
1547548874,4225,4225
1547550763,4198,4198
1547552710,4193,4193
1547554872,4186,4186
1547556796,4205,4205
1547558671,4217,4217
1547560609,4235,4235
1547562536,4259,4259
1547564552,4286,4286
1547566627,4305,4305
1547568826,4317,4317
1547570673,4322,4322
1547572604,4343,4343
1547574563,4342,4342
1547576705,4352,4352
1547578959,4375,4375
1547580801,4375,4375
1547582722,4387,4387
1547584627,4367,4367
1547586542,4368,4368
1547588466,4392,4392
1547590387,4416,4416
1547592299,4416,4416
1547594476,4413,4413
1547596381,4400,4400
1547598316,4416,4416
1547600219,4420,4420
1547602132,4417,4417
1547604127,4404,4404
1547605968,4392,4392
1547607961,4398,4398
1547609806,4399,4399
1547611989,4403,4403
1547613888,4391,4391
1547616076,4388,4388
1547618000,4394,4394
1547619878,4395,4395
1547621821,4401,4401
1547623734,4389,4389
1547625697,4378,4378
1547627558,4368,4368
1547629497,4358,4358
1547631382,4336,4336
1547633334,4327,4327
1547635499,4320,4320
1547637641,4345,4345
1547639570,4365,4365
1547641497,4367,4367
1547643502,4367,4367
1547645572,4358,4358
1547647505,4353,4353
1547649660,4353,4353
1547651568,4354,4354
1547653468,4347,4347
1547655392,4334,4334
1547657559,4338,4338
1547659504,4346,4346
1547661378,4350,4350
1547663558,4339,4339
1547665506,4328,4328
1547667424,4318,4318
1547669550,4295,4295
1547671486,4302,4302
1547673412,4292,4292
1547675326,4309,4309
1547677252,4300,4300
1547679226,4286,4286
1547681071,4301,4301
1547683011,4291,4291
1547684927,4281,4281
1547687118,4273,4273
1547689280,4284,4284
1547691158,4292,4292
1547693093,4302,4302
1547694995,4305,4305
1547697194,4315,4315
1547699092,4309,4309
1547700981,4301,4301
1547703168,4307,4307
1547705105,4291,4291
1547707255,4278,4278
1547709429,4272,4272
1547711341,4275,4275
1547713254,4255,4255
1547715185,4264,4264
1547717083,4266,4266
1547719000,4257,4257
1547721213,4266,4266
1547723134,4266,4266
1547725053,4260,4260
1547727185,4271,4271
1547729085,4273,4273
1547731018,4272,4272
1547733158,4271,4271
1547735116,4302,4302
1547737023,4317,4317
1547738921,4323,4323
1547740918,4329,4329
1547742790,4334,4334
1547744748,4331,4331
1547746877,4332,4332
1547748809,4328,4328
1547750708,4341,4341
1547752868,4344,4344
1547754794,4346,4346
1547756702,4325,4325
1547758622,4329,4329
1547760543,4312,4312
1547762518,4304,4304
1547764352,4291,4291
1547766352,4286,4286
1547768225,4292,4292
1547770123,4288,4288
1547772062,4275,4275
1547774212,4274,4274
1547776236,4263,4263
1547778039,4252,4252
1547779986,4867,4867
1547781929,5875,5875
1547783791,6761,6761
1547785960,7780,7780
1547787946,8611,8611
1547790072,9619,9619
1547791990,10462,10462
1547793883,11325,11325
1547795837,12253,12253
1547797715,13122,13122
1547799692,13961,13961
1547801611,14770,14770
1547803845,15705,15705
1547805727,16651,16651
1547807585,16782,16782
1547809568,16786,16786
1547811429,16772,16772
1547813574,16788,16788
1547815490,16800,16800
1547817406,16808,16808
1547819582,16817,16817
1547821501,16816,16816
1547823400,16812,16812
1547825582,16830,16830
1547827540,16842,16842
1547829801,16859,16859
1547832089,16874,16874
1547833965,16738,16738
1547835903,16736,16736
1547837789,16748,16748
1547839974,16762,16762
1547841991,16771,16771
1547843847,16765,16765
1547845996,16782,16782
1547847874,16783,16783
1547849803,16798,16798
1547852000,16821,16821
1547853880,16819,16819
1547855820,16821,16821
1547857718,16816,16816
1547859732,16820,16820
1547861590,16816,16816
1547863482,16823,16823
1547865662,16482,16482
1547867563,15559,15559
1547869500,14614,14614
1547871666,13600,13600
1547873601,12700,12700
1547875486,11885,11885
1547877390,10975,10975
1547879313,10138,10138
1547881322,9285,9285
1547883180,8320,8320
1547885151,7448,7448
1547886988,6611,6611
1547889172,5667,5667
1547891116,4700,4700
1547893273,4096,4096
1547895167,4107,4107
1547897069,4129,4129
1547899012,4145,4145
1547900926,4137,4137
1547902924,4142,4142
1547904795,4131,4131
1547906739,4140,4140
1547908613,5469,5469
1547910775,5444,5444
1547912692,5439,5439
1547914695,5420,5420
1547916786,5434,5434
1547918829,5439,5439
1547920897,5438,5438
1547922757,5439,5439
1547924689,5417,5417
1547926595,5402,5402
1547928784,5408,5408
1547930681,5415,5415
1547932617,5416,5416
1547934780,5405,5405
1547936699,5388,5388
1547938919,5385,5385
1547940759,5363,5363
1547942756,5349,5349
1547944612,5355,5355
1547946521,5329,5329
1547948467,5345,5345
1547950360,5361,5361
1547952279,5368,5368
1547954208,5365,5365
1547956114,5359,5359
1547958062,5356,5356
1547959961,5329,5329
1547961899,5312,5312
1547963812,5309,5309
1547965713,5313,5313
1547967690,5313,5313
1547969613,5313,5313
1547971554,5328,5328
1547973414,5328,5328
1547975336,5320,5320
1547977230,5321,5321
1547979179,5316,5316
1547981092,5317,5317
1547983015,5323,5323
1547985179,5343,5343
1547987093,5383,5383
1547988993,5402,5402
1547991182,5460,5460
1547993116,5513,5513
1547995255,4228,4228
1547997184,4266,4266
1547999102,4301,4301
1548001010,4334,4334
1548002917,4400,4400
1548004865,4458,4458
1548006790,4499,4499
1548008693,4530,4530
1548010592,4942,4942
1548012770,6273,6273
1548014733,6321,6321
1548016843,6360,6360
1548018792,6423,6423
1548020680,6459,6459
1548022597,6508,6508
1548024817,7406,7406
1548026705,8278,8278
1548028983,9315,9315
1548031260,10319,10319
1548033458,11243,11243
1548035316,11993,11993
1548037246,13026,13026
1548039160,14241,14241
1548041135,15336,15336
1548042991,16328,16328
1548044934,17411,17411
1548046936,18511,18511
1548048756,18696,18696
1548050771,18710,18710
1548052590,18725,18725
1548054764,18757,18757
1548056678,18761,18761
1548058643,18761,18761
1548060786,18771,18771
1548062669,18773,18773
1548064618,18779,18779
1548066765,18789,18789
1548068752,18784,18784
1548070619,18774,18774
1548072515,18753,18753
1548074471,18728,18728
1548076501,18707,18707
1548078542,18689,18689
1548080449,18679,18679
1548082402,18649,18649
1548084327,18631,18631
1548086506,18607,18607
1548088382,18577,18577
1548090335,18547,18547
1548092214,18526,18526
1548094363,18502,18502
1548096323,18492,18492
1548098217,17396,17396
1548100132,17369,17369
1548102050,17352,17352
1548104013,17333,17333
1548106183,17305,17305
1548108097,17275,17275
1548109977,16859,16859
1548111961,15985,15985
1548113789,15093,15093
1548115989,14072,14072
1548117886,13163,13163
1548119807,12334,12334
1548121741,11494,11494
1548123897,10180,10180
1548125785,8872,8872
1548127743,7733,7733
1548129709,6634,6634
1548131586,5481,5481
1548133526,4267,4267
1548135388,4169,4169
1548137349,4134,4134
1548139232,4089,4089
1548141177,4040,4040
1548143068,4012,4012
1548145261,3985,3985
1548147173,3930,3930
1548149091,3924,3924
1548151008,3908,3908
1548152918,3874,3874
1548154934,3851,3851
1548156782,3837,3837
1548158720,3810,3810
1548160626,3785,3785
1548162542,3788,3788
1548164429,3805,3805
1548166391,3841,3841
1548168272,3839,3839
1548170483,3809,3809
1548172376,3775,3775
1548174269,3741,3741
1548176212,3725,3725
1548178107,3681,3681
1548180102,3643,3643
1548181968,3610,3610
1548183904,3557,3557
1548185795,3624,3624
1548187964,3716,3716
1548189872,3770,3770
1548191794,3822,3822
1548193723,3918,3918
1548195630,3980,3980
1548197616,4031,4031
1548199734,4105,4105
1548201806,4189,4189
1548204033,4249,4249
1548205997,4284,4284
1548207869,4307,4307
1548209817,4345,4345
1548211735,4379,4379
1548213659,4402,4402
1548215542,4407,4407
1548217473,4449,4449
1548219454,4486,4486
1548221590,4500,4500
1548223507,4535,4535
1548225659,4568,4568
1548227567,4581,4581
1548229517,4570,4570
1548231402,4597,4597
1548233310,4605,4605
1548235501,4618,4618
1548237331,4625,4625
1548239684,4643,4643
1548241512,4665,4665
1548243405,4682,4682
1548245608,4686,4686
1548247482,4694,4694
1548249422,4688,4688
1548251560,4656,4656
1548253553,4620,4620
1548255421,4629,4629
1548257308,4633,4633
1548259331,4661,4661
1548261417,4679,4679
1548263317,4693,4693
1548265496,4722,4722
1548267655,4747,4747
1548269579,4768,4768
1548271480,4771,4771
1548273421,4782,4782
1548275574,4784,4784
1548277532,4788,4788
1548279658,4796,4796
1548281564,4804,4804
1548283484,4810,4810
1548285437,4807,4807
1548287591,4817,4817
1548289518,4774,4774
1548291401,4773,4773
1548293569,4770,4770
1548295534,4793,4793
1548297426,4778,4778
1548299376,4761,4761
1548301306,4777,4777
1548303202,4776,4776
1548305348,4753,4753
1548307511,4747,4747
1548309411,4743,4743
1548311329,4744,4744
1548313337,4734,4734
1548315165,4724,4724
1548317126,4736,4736
1548319236,4727,4727
1548321168,4716,4716
1548323100,4718,4718
1548325248,4699,4699
1548327172,4691,4691
1548329075,4688,4688
