DateTime,AddedIPs,RemovedIPs
1547249608,0,1
1547251756,1,0
1547253680,3,0
1547255568,1,1
1547257522,1,0
1547259433,0,2
1547261590,1,0
1547263505,1,2
1547265752,0,1
1547267580,3,1
1547269526,0,1
1547271416,0,2
1547273855,1,2
1547275734,0,1
1547277708,2,2
1547283420,2,1
1547285568,3,0
1547287542,1,1
1547289680,1,0
1547291602,0,3
1547293478,2,1
1547295662,4,1
1547297591,2,1
1547299502,1,0
1547301411,1,1
1547303316,3,0
1547305533,3,2
1547307688,0,1
1547309849,2,1
1547311923,1,1
1547313913,2,0
1547315791,2,1
1547317717,1,1
1547319733,2,1
1547321563,3,0
1547323513,1,0
1547325425,1,1
1547327350,2,1
1547329500,2,0
1547331415,0,1
1547333615,2,1
1547335471,1,0
1547337402,4,1
1547339581,2,1
1547341500,1,3
1547343417,0,1
1547347471,2,1
1547349662,0,1
1547351789,3,0
1547353970,3,2
1547355892,1,1
1547358073,1,0
1547359960,2,1
1547363812,1,2
1547365969,3,0
1547369791,2,2
1547371734,0,2
1547373924,2,2
1547375822,1,1
1547377757,2,0
1547379642,3,1
1547381578,3,4
1547383488,2,3
1547385403,1,0
1547387341,2,2
1547389498,0,3
1547391399,1,3
1547393578,1,0
1547395519,3,2
1547397654,2,0
1547399869,2,3
1547401723,1,1
1547403643,3,2
1547405557,1,2
1547407507,0,3
1547409444,0,1
1547411557,0,1
1547413508,1,2
1547415413,0,2
1547419561,0,1
1547421419,1,2
1547423322,1,4
1547425264,0,2
1547427172,3,1
1547429106,1,0
1547431329,1,0
1547433190,1,0
1547435158,1,2
1547437001,4,1
1547439197,2,5
1547441116,0,1
1547444925,1,1
1547447094,0,2
1547449023,2,1
1547450934,0,3
1547453119,2,0
1547455234,1,1
1547457191,1,1
1547459098,4,0
1547461284,4,3
1547463423,0,1
1547465332,2,2
1547467315,2,3
1547469292,1,3
1547471123,0,2
1547473021,1,1
1547474985,1,1
1547476844,1,1
1547479025,2,0
1547480940,3,3
1547482882,2,2
1547484754,2,1
1547486692,1,2
1547488634,0,3
1547490524,0,1
1547492553,0,1
1547494389,1,0
1547496305,2,0
1547500382,4,1
1547502295,1,0
1547504621,2,0
1547506617,1,0
1547509201,1,1
1547511166,3,1
1547513095,1,2
1547515022,0,1
1547517185,3,1
1547519122,0,2
1547520996,1,0
1547522928,3,4
1547524941,0,3
1547526756,1,0
1547528744,1,0
1547530867,1,0
1547532790,2,1
1547534940,1,2
1547536845,1,0
1547540688,0,2
1547542929,7,1
1547544771,2,1
1547546710,1,6
1547548875,1,2
1547550764,2,0
1547552712,4,3
1547554872,1,2
1547556796,2,0
1547558672,1,1
1547560609,1,1
1547562537,1,1
1547564552,0,2
1547566628,0,1
1547568826,0,2
1547570673,3,4
1547572605,2,1
1547576706,4,0
1547578960,3,0
1547580801,2,1
1547582722,2,2
1547586542,1,4
1547588466,1,0
1547590388,0,2
1547592300,2,2
1547594477,3,1
1547596382,0,3
1547600220,1,1
1547602133,0,1
1547604127,1,2
1547605969,5,0
1547607961,0,3
1547609807,1,1
1547611990,4,0
1547613889,0,2
1547616077,4,0
1547618000,2,2
1547619879,2,1
1547621822,1,1
1547623736,2,1
1547625701,1,0
1547627559,0,1
1547629498,7,6
1547631383,1,2
1547633334,3,1
1547635500,5,1
1547637642,2,3
1547639571,0,3
1547641498,1,1
1547643503,2,2
1547645573,1,1
1547647506,1,1
1547649660,3,1
1547651568,1,0
1547655393,0,1
1547657559,2,3
1547659504,3,1
1547661378,3,0
1547663559,0,4
1547665506,3,3
1547667424,0,2
1547669551,1,2
1547671487,6,0
1547673412,1,1
1547675326,3,1
1547677253,0,2
1547679227,1,0
1547681072,3,3
1547683012,3,0
1547687119,1,1
1547689280,1,0
1547691159,3,2
1547693094,1,4
1547694995,1,1
1547697194,2,2
1547699093,2,2
1547700981,1,2
1547703169,0,3
1547705106,1,1
1547707256,1,2
1547709429,4,2
1547711341,2,2
1547713255,3,0
1547715186,1,3
1547717083,1,5
1547719001,0,1
1547721214,4,4
1547723135,3,3
1547725054,2,2
1547727185,0,1
1547729086,0,2
1547731018,1,0
1547733159,1,2
1547735120,3,1
1547737024,0,2
1547738922,0,1
1547740919,1,0
1547742790,0,2
1547746877,0,4
1547748810,3,2
1547750709,1,0
1547752868,1,3
1547754795,0,1
1547756703,0,3
1547758622,3,4
1547760544,1,1
1547762519,0,2
1547764365,2,0
1547766353,2,1
1547768225,2,6
1547774213,0,1
1547776237,0,2
1547778040,3,1
1547779986,0,2
1547783791,0,2
1547785961,1,3
1547790073,1,0
1547791990,2,1
1547793884,2,1
1547795838,1,4
1547797715,2,2
1547799692,0,3
1547801625,1,1
1547803849,0,1
1547805728,3,0
1547807586,1,4
1547809568,0,3
1547811430,2,2
1547813575,1,0
1547815490,4,0
1547817406,3,1
1547819582,2,1
1547821502,1,3
1547825582,2,0
1547827541,0,1
1547832089,1,0
1547833965,2,3
1547835904,2,0
1547837789,1,2
1547839975,1,0
1547843848,0,1
1547845996,1,2
1547847874,2,2
1547852001,2,3
1547853881,1,3
1547857719,1,0
1547861591,1,0
1547863484,4,2
1547865663,0,1
1547867564,1,0
1547869500,1,0
1547871666,2,0
1547873602,1,1
1547875486,0,1
1547877391,2,2
1547879314,1,1
1547881323,2,1
1547883181,1,2
1547885151,1,1
1547886988,2,1
1547889174,1,0
1547891118,4,2
1547893273,0,1
1547895167,1,1
1547897070,1,2
1547899012,0,1
1547900927,1,1
1547902924,1,5
1547904795,0,3
1547906740,1,1
1547910776,2,1
1547912693,0,1
1547918829,2,1
1547920898,1,2
1547922757,0,2
1547924690,0,2
1547926595,1,0
1547932617,2,1
1547934780,1,2
1547936700,0,1
1547938919,1,1
1547940759,1,1
1547942757,2,0
1547944613,1,1
1547946522,1,1
1547948468,3,2
1547950360,1,2
1547952279,0,1
1547954208,5,0
1547956115,1,2
1547958063,2,1
1547959961,4,1
1547961899,1,0
1547963812,2,2
1547965713,1,1
1547967690,0,2
1547969613,0,1
1547971555,1,1
1547973414,0,2
1547975337,0,1
1547977231,0,3
1547979180,2,1
1547981093,0,1
1547985180,1,1
1547987094,0,1
1547988994,0,1
1547993116,0,1
1547995255,1,0
1547997184,4,2
1548001011,2,0
1548002924,1,0
1548004865,1,1
1548006790,1,1
1548008693,2,1
1548010592,1,0
1548012770,0,1
1548014733,2,0
1548016844,1,0
1548018793,0,2
