DateTime,Entries,UniqueIPs
1547249608,36,36
1547251756,37,37
1547253680,40,40
1547255568,40,40
1547257522,41,41
1547259433,39,39
1547261590,40,40
1547263505,39,39
1547265752,38,38
1547267580,40,40
1547269526,39,39
1547271416,37,37
1547273855,36,36
1547275734,35,35
1547277708,35,35
1547283420,36,36
1547285568,39,39
1547287542,39,39
1547289680,40,40
1547291602,37,37
1547293478,38,38
1547295662,41,41
1547297591,42,42
1547299502,43,43
1547301411,43,43
1547303316,46,46
1547305533,47,47
1547307688,46,46
1547309849,47,47
1547311923,47,47
1547313913,49,49
1547315791,50,50
1547317717,50,50
1547319733,51,51
1547321563,54,54
1547323513,55,55
1547325425,55,55
1547327350,56,56
1547329500,58,58
1547331415,57,57
1547333615,58,58
1547335471,59,59
1547337402,62,62
1547339581,63,63
1547341500,61,61
1547343417,60,60
1547347471,61,61
1547349662,60,60
1547351789,63,63
1547353970,64,64
1547355892,64,64
1547358073,65,65
1547359960,66,66
1547363812,65,65
1547365969,68,68
1547369791,68,68
1547371734,66,66
1547373924,66,66
1547375822,66,66
1547377757,68,68
1547379642,70,70
1547381578,69,69
1547383488,68,68
1547385403,69,69
1547387341,69,69
1547389498,66,66
1547391399,64,64
1547393578,65,65
1547395519,66,66
1547397654,68,68
1547399869,67,67
1547401723,67,67
1547403643,68,68
1547405557,67,67
1547407507,64,64
1547409444,63,63
1547411557,62,62
1547413508,61,61
1547415413,59,59
1547419561,58,58
1547421419,57,57
1547423322,54,54
1547425264,52,52
1547427172,54,54
1547429106,55,55
1547431329,56,56
1547433190,57,57
1547435158,56,56
1547437001,59,59
1547439197,56,56
1547441116,55,55
1547444925,55,55
1547447094,53,53
1547449023,54,54
1547450934,51,51
1547453119,53,53
1547455234,53,53
1547457191,53,53
1547459098,57,57
1547461284,58,58
1547463423,57,57
1547465332,57,57
1547467315,56,56
1547469292,54,54
1547471123,52,52
1547473021,52,52
1547474985,52,52
1547476844,52,52
1547479025,54,54
1547480940,54,54
1547482882,54,54
1547484754,55,55
1547486692,54,54
1547488634,51,51
1547490524,50,50
1547492553,49,49
1547494389,50,50
1547496305,52,52
1547500382,55,55
1547502295,56,56
1547504621,58,58
1547506617,59,59
1547509201,59,59
1547511166,61,61
1547513095,60,60
1547515022,59,59
1547517185,61,61
1547519122,59,59
1547520996,60,60
1547522928,59,59
1547524941,56,56
1547526756,57,57
1547528744,58,58
1547530867,59,59
1547532790,60,60
1547534940,59,59
1547536845,60,60
1547540688,58,58
1547542929,64,64
1547544771,65,65
1547546710,60,60
1547548875,59,59
1547550764,61,61
1547552712,62,62
1547554872,61,61
1547556796,63,63
1547558672,63,63
1547560609,63,63
1547562537,63,63
1547564552,61,61
1547566628,60,60
1547568826,58,58
1547570673,57,57
1547572605,58,58
1547576706,62,62
1547578960,65,65
1547580801,66,66
1547582722,66,66
1547586542,63,63
1547588466,64,64
1547590388,62,62
1547592300,62,62
1547594477,64,64
1547596382,61,61
1547600220,61,61
1547602133,60,60
1547604127,59,59
1547605969,64,64
1547607961,61,61
1547609807,61,61
1547611990,65,65
1547613889,63,63
1547616077,67,67
1547618000,67,67
1547619879,68,68
1547621822,68,68
1547623736,69,69
1547625701,70,70
1547627559,69,69
1547629498,70,70
1547631383,69,69
1547633334,71,71
1547635500,75,75
1547637642,74,74
1547639571,71,71
1547641498,71,71
1547643503,71,71
1547645573,71,71
1547647506,71,71
1547649660,73,73
1547651568,74,74
1547655393,73,73
1547657559,72,72
1547659504,74,74
1547661378,77,77
1547663559,73,73
1547665506,73,73
1547667424,71,71
1547669551,70,70
1547671487,76,76
1547673412,76,76
1547675326,78,78
1547677253,76,76
1547679227,77,77
1547681072,77,77
1547683012,80,80
1547687119,80,80
1547689280,81,81
1547691159,82,82
1547693094,79,79
1547694995,79,79
1547697194,79,79
1547699093,79,79
1547700981,78,78
1547703169,75,75
1547705106,75,75
1547707256,74,74
