DateTime,AddedIPs,RemovedIPs
1547341500,12,12
1547343418,21,24
1547345591,10,7
1547347472,14,14
1547349662,10,12
1547351789,14,8
1547353971,21,13
1547355893,17,8
1547358073,11,8
1547359960,13,6
1547361898,22,18
1547363813,21,13
1547365970,15,8
1547367871,16,11
1547369791,11,13
1547371735,7,6
1547373924,19,14
1547375823,24,10
1547377757,13,11
1547379642,17,8
1547381579,18,5
1547383488,9,2
1547385403,16,7
1547387341,20,2
1547389499,10,7
1547391400,20,3
1547393579,15,4
1547395520,16,3
1547397654,19,16
1547399869,21,2
1547401723,6,7
1547403644,11,8
1547405558,16,10
1547407508,22,7
1547409445,11,15
1547411558,17,11
1547413509,21,22
1547415414,16,14
1547417586,12,13
1547419562,11,14
1547421420,17,15
1547423323,13,23
1547425264,26,17
1547427173,20,14
1547429107,14,16
1547431330,22,13
1547433190,10,8
1547435158,22,13
1547437002,13,12
1547439197,15,12
1547441117,14,14
1547443051,13,14
1547444925,14,11
1547447094,6,10
1547449024,13,18
1547450935,7,20
1547453120,13,20
1547455235,9,14
1547457192,8,13
1547459098,12,9
1547461285,7,29
1547463424,24,19
1547465332,7,12
1547467316,14,19
1547469292,14,10
1547471124,13,13
1547473021,24,18
1547474986,12,17
1547476844,10,17
1547479026,14,14
1547480940,11,14
1547482882,20,16
1547484754,10,22
1547486692,20,14
1547488635,15,6
1547490524,14,13
1547492553,9,19
1547494390,17,19
1547496305,15,11
1547498233,10,19
1547500383,22,16
1547502295,6,18
1547504622,9,18
1547506617,20,14
1547509202,12,19
1547511166,15,18
1547513096,18,27
1547515023,18,17
1547517186,13,16
1547519122,17,12
1547520997,12,25
1547522928,20,11
1547524941,11,16
1547526757,14,13
1547528744,13,15
1547530868,18,15
1547532791,14,9
1547534940,15,16
1547536845,6,8
1547538750,11,15
1547540689,7,5
1547542930,14,10
1547544772,18,11
1547546710,14,9
1547548875,20,13
1547550764,4,13
1547552713,7,10
1547554873,13,18
1547556797,16,9
1547558672,9,30
1547560610,21,11
1547562537,20,11
1547564553,16,12
1547566628,17,12
1547568827,14,21
1547570673,15,15
1547572606,21,18
1547574564,14,17
1547576706,20,14
1547578960,23,13
1547580802,21,18
1547582723,9,16
1547584627,11,10
1547586543,11,17
1547588467,12,8
1547590388,12,6
1547592301,20,21
1547594478,10,10
1547596382,12,7
1547598317,18,8
1547600220,16,23
1547602134,17,13
1547604128,11,14
1547605969,20,12
1547607962,15,14
1547609807,24,15
1547611991,22,11
1547613889,14,14
1547616077,11,10
1547618001,21,16
1547619879,116,17
1547621822,169,8
1547623737,17,6
1547625704,15,11
1547627559,21,11
1547629499,35,8
1547631383,14,17
1547633335,12,17
1547635501,10,15
1547637642,20,2
1547639571,15,12
1547641498,19,6
1547643503,9,16
1547645573,12,11
1547647506,10,16
1547649661,5,17
1547651569,8,15
1547653469,12,11
1547655393,17,14
1547657560,6,17
1547659505,9,22
1547661379,17,11
1547663559,11,22
1547665508,9,17
1547667425,6,16
1547669553,6,14
1547671487,16,7
1547673413,9,16
1547675327,17,8
1547677254,11,13
1547679227,12,16
1547681072,16,8
1547683012,10,10
1547684928,8,14
1547687119,12,21
1547689281,10,10
1547691159,17,15
1547693095,16,10
1547694996,12,20
1547697195,15,21
1547699093,14,14
1547700982,6,10
1547703169,9,16
1547705107,13,17
1547707256,15,209
1547709430,25,89
1547711342,8,14
1547713256,7,28
1547715186,9,24
1547717084,15,21
1547719001,24,16
1547721214,13,13
1547723135,13,11
1547725054,9,25
1547727186,12,20
1547729086,21,14
1547731019,10,11
1547733159,24,16
1547735121,17,7
1547737024,10,5
1547738922,16,14
1547740919,8,21
1547742791,3,14
1547744749,15,8
1547746878,12,14
1547748811,11,16
1547750710,7,9
1547752869,11,11
1547754795,10,7
1547756704,13,10
1547758623,16,15
1547760544,23,14
1547762519,16,14
1547764365,13,11
1547766353,6,19
1547768226,15,15
1547770127,17,13
1547772063,11,11
1547774213,18,11
1547776237,9,8
1547778040,11,16
1547779987,12,23
1547781930,14,9
1547783792,5,14
1547785961,13,17
1547787948,10,6
1547790073,11,12
1547791991,7,15
1547793885,9,15
1547795839,12,22
1547797716,16,7
1547799693,8,7
1547801626,12,10
1547803849,9,18
1547805728,11,28
1547807587,7,11
1547809569,3,10
1547811430,10,10
1547813575,13,13
1547815491,13,20
1547817407,8,11
1547819583,21,24
1547821502,18,16
1547823401,8,9
1547825583,13,18
1547827541,8,8
