DateTime,AddedIPs,RemovedIPs
1547165103,1,1
1547167007,4,2
1547168945,3,3
1547170835,0,1
1547174684,2,1
1547176623,0,1
1547178513,1,1
1547180441,2,5
1547182386,2,1
1547184303,3,3
1547186579,2,1
1547188383,1,0
1547190354,1,0
1547192458,0,3
1547194375,0,3
1547196305,1,3
1547198453,2,1
1547200379,6,2
1547202290,4,3
1547204200,4,2
1547206140,3,1
1547208149,1,2
1547210226,2,1
1547212149,2,2
1547214076,2,2
1547216256,0,1
1547218360,2,1
1547220310,2,1
1547222552,3,2
1547224604,0,1
1547226550,2,1
1547228445,1,3
1547230382,2,0
1547232541,5,0
1547234705,2,2
1547236586,0,2
1547239042,4,3
1547241169,1,3
1547243116,3,4
1547245262,3,0
1547247426,1,2
1547249610,1,1
1547251758,8,1
1547253681,3,4
1547255569,4,3
1547257524,4,0
1547259434,2,0
1547261591,0,2
1547263512,1,0
1547265753,0,2
1547267581,2,3
1547269528,1,2
1547271417,2,2
1547273856,0,1
1547275735,0,1
1547277709,1,1
1547279575,2,0
1547281506,4,1
1547285569,2,5
1547287543,4,5
1547289681,2,4
1547291603,1,4
1547293479,2,2
1547295663,2,2
1547297592,1,1
1547299503,0,2
1547301412,0,1
1547303324,1,0
1547305534,2,2
1547307689,0,4
1547309850,2,1
1547311924,4,0
1547313914,0,3
1547315792,0,1
1547317718,0,3
1547319734,3,4
1547321564,3,1
1547323515,3,1
1547325426,1,2
1547327351,1,2
1547329501,2,3
1547331416,0,2
1547333616,2,2
1547335482,1,1
1547337403,0,6
1547339594,2,4
1547341501,2,4
1547343418,4,5
1547345592,0,2
1547347472,2,0
1547349663,2,1
1547351790,2,0
1547353971,2,2
1547355894,2,1
1547358074,4,2
1547359961,1,0
1547361898,5,0
1547363813,3,1
1547365970,0,2
1547367872,0,4
1547369792,1,0
1547371735,0,2
1547373925,4,4
1547375823,3,2
1547377758,0,1
1547379643,3,1
1547381579,1,3
1547383489,5,1
1547385404,3,0
1547387342,4,0
1547389499,3,1
1547391400,6,2
1547393579,2,0
1547395520,3,2
1547397655,3,3
1547399870,4,1
1547401724,3,0
1547403644,2,0
1547405558,2,1
1547407509,1,5
1547409445,1,3
1547411558,1,1
1547413510,5,0
1547415414,1,3
1547417586,3,0
1547419562,3,1
1547421420,2,1
1547423323,4,1
1547425265,6,1
1547427173,0,3
1547429107,4,4
1547431330,2,0
1547433191,0,1
1547435159,1,2
1547437002,2,2
1547439198,4,1
1547441117,2,2
1547443052,3,3
1547444926,1,4
1547447095,3,1
1547449025,4,5
1547450935,1,2
1547453120,1,0
1547455235,1,1
1547459099,4,1
1547461285,3,5
1547463424,2,1
1547465333,4,2
1547467316,8,1
1547469293,3,5
1547471124,0,3
1547473022,5,4
1547474986,3,4
1547476845,4,0
1547479026,4,8
1547480941,3,3
1547482883,4,0
1547484755,1,3
1547486693,4,4
1547488635,1,3
1547490525,0,2
1547492554,1,2
1547494390,8,1
1547496306,2,2
1547498234,1,1
1547500383,1,4
1547502297,0,2
1547504622,1,3
1547506618,3,2
1547509202,9,6
1547511167,0,4
1547513096,1,2
1547515024,2,3
1547517186,1,2
1547519123,6,1
1547520997,1,1
1547522929,1,2
1547524942,0,4
1547526757,3,1
1547528745,0,2
1547530868,0,3
1547532791,1,2
1547534941,3,4
1547536846,1,2
1547538751,0,1
1547540689,0,1
1547544772,4,3
1547546711,0,2
1547548876,3,3
1547550765,0,2
1547552713,1,7
1547554873,3,5
1547556797,1,2
1547558673,2,4
1547560610,2,4
1547562538,5,3
1547564553,1,2
1547566629,7,5
1547568827,6,3
1547570674,4,3
1547572607,1,3
1547574564,3,2
1547576707,5,0
1547578961,3,1
1547580802,3,8
1547582723,5,2
1547584628,5,1
1547586543,4,1
1547590389,0,1
1547592301,0,1
1547594478,2,8
1547596383,1,3
1547598317,0,1
1547600221,2,2
1547602134,3,1
1547604128,5,0
1547605970,2,6
1547607962,2,1
1547609808,2,1
1547611991,1,0
1547613890,2,3
1547616078,5,0
1547618001,3,1
1547619880,3,1
1547621823,7,2
1547623737,0,1
1547625706,1,0
1547627560,6,0
1547629499,4,1
1547631384,2,3
1547633335,7,2
1547635501,0,1
1547637643,1,0
1547639572,0,1
1547641499,1,3
1547643504,0,2
1547645574,0,1
1547647507,0,3
1547649661,1,4
1547651569,0,2
1547653469,1,8
1547655394,0,5
1547657560,1,4
1547661379,1,3
1547663560,0,5
1547665508,2,3
1547667426,0,3
1547669553,0,6
1547671488,0,5
1547673413,2,3
1547675328,1,0
1547679228,0,2
1547683013,0,1
1547687120,1,2
1547689282,0,3
1547691160,0,7
1547693095,2,1
1547694996,0,1
1547697195,0,3
1547699094,0,1
1547700982,0,2
1547703170,0,4
1547705107,0,5
1547707257,1,5
1547709430,0,3
1547711343,1,0
1547713257,1,3
1547715187,1,6
1547717084,0,3
1547719002,1,6
1547721215,0,2
1547725055,0,1
1547727186,1,0
1547729087,0,1
1547731019,1,0
1547733160,1,0
1547735122,1,1
1547737025,1,0
1547740920,0,1
1547742791,1,1
1547746878,0,1
1547750710,1,0
1547752869,0,2
1547754796,1,0
1547760545,1,3
1547762520,2,0
1547766354,1,0
1547772064,0,1
1547776238,1,0
1547779987,0,2
1547783792,1,0
1547785962,1,0
1547791991,0,1
1547795839,1,0
1547797716,0,1
1547799693,0,1
1547801627,0,1
1547805729,1,1
