DateTime,AddedIPs,RemovedIPs
1547149262,2,0
1547151185,1,0
1547153099,0,1
1547155311,0,1
1547157184,1,4
1547159088,1,1
1547161340,0,1
1547163170,2,3
1547165104,1,2
1547167008,1,1
1547168946,0,2
1547172783,1,1
1547174684,0,1
1547176624,2,0
1547178514,0,1
1547180442,0,4
1547182387,1,0
1547186580,1,0
1547188384,1,1
1547190355,1,0
1547192458,0,3
1547196306,2,0
1547198453,2,2
1547200380,1,1
1547204201,1,0
1547206141,0,1
1547208149,1,1
1547210227,1,2
1547212150,1,0
1547214077,1,1
1547216256,1,0
1547218361,1,0
1547220311,3,0
1547224605,2,1
1547226551,1,1
1547228446,2,2
1547232542,3,0
1547234706,1,1
1547236587,0,1
1547239043,3,2
1547241170,2,0
1547243117,1,2
1547245263,2,0
1547247426,1,0
1547249610,1,2
1547251758,2,2
1547253681,0,1
1547257525,0,1
1547259435,1,0
1547261604,0,1
1547263513,2,2
1547265753,5,1
1547267581,0,1
1547269529,1,0
1547273857,1,1
1547275736,0,1
1547279575,1,0
1547281506,1,2
1547283422,1,2
1547285569,2,3
1547287543,0,2
1547289681,0,1
1547291603,1,0
1547293480,1,0
1547295663,1,0
1547297593,0,2
1547299503,1,0
1547301413,1,0
1547303325,1,0
1547305535,1,1
1547307690,0,1
1547309851,2,0
1547311924,1,3
1547313921,0,3
1547317719,1,0
1547319735,1,3
1547321565,0,1
1547323515,2,0
1547325427,1,1
1547327352,0,1
1547329502,0,3
1547331416,1,1
1547333617,7,3
1547335482,4,1
1547337404,4,1
1547339595,7,1
1547341502,8,0
1547343419,3,1
1547345592,2,1
1547349663,1,0
1547351790,0,1
1547353971,0,1
1547355894,0,1
1547359961,0,1
1547363814,2,0
1547365971,0,3
1547367872,1,0
1547369792,0,2
1547371736,0,2
1547377758,0,1
1547379643,0,2
1547381580,0,1
1547383489,0,1
1547385404,0,1
1547387342,0,2
1547389500,0,1
1547391401,0,1
1547393580,2,0
1547395521,2,1
1547397656,1,1
1547399871,1,1
1547401724,0,1
1547403645,1,1
1547407509,2,1
1547409446,9,2
1547411559,0,2
1547415415,1,0
1547417587,2,0
1547419563,0,5
1547421421,4,1
1547423324,0,4
1547425265,4,5
1547427174,2,10
1547429108,2,6
1547431331,3,0
1547433191,1,1
1547435160,1,1
1547437003,0,2
1547439198,3,0
1547441118,1,0
1547449025,0,1
1547450936,1,2
1547453121,5,0
1547455236,1,0
1547457193,3,0
1547459099,1,0
1547461286,1,0
1547465333,1,0
1547469293,2,0
1547471125,2,1
1547473023,0,1
1547474987,0,1
1547479027,2,1
1547480949,1,1
1547482883,0,2
1547484755,3,1
1547486693,2,0
1547488636,0,1
1547490525,2,0
1547492554,1,2
1547494391,0,1
1547496306,0,11
1547498234,1,1
1547500384,1,0
1547502297,1,2
1547504623,1,0
1547506618,1,2
1547509203,6,3
1547511167,2,4
1547513097,2,2
1547515024,2,1
1547519123,1,0
1547520998,1,0
1547522930,0,2
1547524942,1,1
1547526757,0,1
1547528745,1,2
1547538751,0,1
1547540690,0,4
1547542931,1,0
1547544773,11,1
1547546711,0,4
1547550765,2,0
1547552714,0,2
1547554874,1,1
1547556798,0,1
1547558673,1,2
1547562538,1,0
1547564554,1,0
1547566629,2,2
1547568828,3,2
1547570674,2,0
1547572607,1,3
1547576707,1,1
1547578961,1,1
1547580803,2,0
1547582724,1,1
1547584629,0,1
1547588468,2,0
1547590389,0,1
1547592302,2,0
1547594479,2,0
1547596384,1,2
1547600221,0,1
1547604129,1,0
1547605970,1,0
1547607969,1,0
1547611992,0,1
1547613890,0,1
1547616078,9,0
1547621823,1,0
1547623738,2,0
1547627560,0,1
1547629500,0,3
1547631384,0,10
1547633336,1,0
1547635502,0,1
1547637643,2,2
1547639573,1,0
1547641499,1,0
1547645575,0,3
1547649662,0,1
1547653470,1,1
1547655394,1,2
1547657561,1,0
1547659506,0,2
1547661380,2,1
1547665509,1,3
1547667427,0,2
1547669554,0,1
1547671488,0,1
1547673414,2,1
1547675328,1,2
1547677254,1,0
1547679228,1,4
1547681073,2,0
1547687120,0,1
1547689282,2,0
1547691160,0,1
1547693096,2,1
1547694997,1,1
1547697196,2,1
1547699094,5,1
1547700983,1,0
1547703170,1,0
1547705108,0,1
1547709431,1,1
1547711343,1,1
1547713257,1,0
1547715187,2,0
1547719002,2,0
1547723136,1,0
1547729087,1,0
1547731020,0,2
1547733160,2,0
1547737025,1,0
1547738923,1,0
1547740920,1,0
1547742792,3,1
1547744751,1,0
1547748812,0,3
1547750711,1,3
1547754796,3,2
1547756705,2,1
1547758624,1,1
1547760545,1,0
1547762520,2,1
1547764366,1,0
1547768226,3,1
1547772064,1,0
1547774214,1,0
1547776238,0,7
1547778042,2,2
1547781931,0,1
1547783793,4,0
1547785962,1,4
1547787949,0,2
1547791992,1,0
1547793886,2,0
1547795840,0,2
1547797717,0,1
1547799694,0,1
1547801628,0,1
1547803850,1,1
1547805730,0,2
1547807588,2,0
1547809570,0,1
1547813576,0,1
1547815492,2,1
1547817408,5,1
1547819584,1,0
1547821503,3,2
1547823402,1,0
1547825584,3,1
1547827542,1,0
1547829803,2,2
1547832091,4,0
1547833967,4,1
1547835905,1,3
1547837791,1,2
1547839977,0,1
1547841994,0,2
1547843850,0,2
1547845998,1,1
1547849805,1,0
1547853882,0,1
1547855822,2,1
1547859734,1,2
1547861593,2,1
1547863488,0,1
1547865664,5,1
1547869502,1,3
1547871668,1,1
1547873603,2,2
1547875488,2,1
1547877392,0,1
1547881325,1,0
1547883182,5,0
1547885154,1,0
1547889176,1,2
1547891119,0,1
1547893275,2,3
1547897071,0,1
1547899014,1,0
1547900928,2,0
1547904797,1,1
1547906741,0,1
1547908615,0,2
1547910777,1,1
1547912694,2,2
1547914697,2,0
1547916788,0,2
1547918831,0,5
1547920899,2,2
1547922759,1,2
1547924692,1,0
1547926596,1,1
1547928786,1,0
1547932619,1,1
1547934782,1,1
