DateTime,Entries,UniqueIPs
1547149262,79,79
1547151185,80,80
1547153099,79,79
1547155311,78,78
1547157184,75,75
1547159088,75,75
1547161340,74,74
1547163170,73,73
1547165104,72,72
1547167008,72,72
1547168946,70,70
1547172783,70,70
1547174684,69,69
1547176624,71,71
1547178514,70,70
1547180442,66,66
1547182387,67,67
1547186580,68,68
1547188384,68,68
1547190355,69,69
1547192458,66,66
1547196306,68,68
1547198453,68,68
1547200380,68,68
1547204201,69,69
1547206141,68,68
1547208149,68,68
1547210227,67,67
1547212150,68,68
1547214077,68,68
1547216256,69,69
1547218361,70,70
1547220311,73,73
1547224605,74,74
1547226551,74,74
1547228446,74,74
1547232542,77,77
1547234706,77,77
1547236587,76,76
1547239043,77,77
1547241170,79,79
1547243117,78,78
1547245263,80,80
1547247426,81,81
1547249610,80,80
1547251758,80,80
1547253681,79,79
1547257525,78,78
1547259435,79,79
1547261604,78,78
1547263513,78,78
1547265753,82,82
1547267581,81,81
1547269529,82,82
1547273857,82,82
1547275736,81,81
1547279575,82,82
1547281506,81,81
1547283422,80,80
1547285569,79,79
1547287543,77,77
1547289681,76,76
1547291603,77,77
1547293480,78,78
1547295663,79,79
1547297593,77,77
1547299503,78,78
1547301413,79,79
1547303325,80,80
1547305535,80,80
1547307690,79,79
1547309851,81,81
1547311924,79,79
1547313921,76,76
1547317719,77,77
1547319735,75,75
1547321565,74,74
1547323515,76,76
1547325427,76,76
1547327352,75,75
1547329502,72,72
1547331416,72,72
1547333617,76,76
1547335482,79,79
1547337404,82,82
1547339595,88,88
1547341502,96,96
1547343419,98,98
1547345592,99,99
1547349663,100,100
1547351790,99,99
1547353971,98,98
1547355894,97,97
1547359961,96,96
1547363814,98,98
1547365971,95,95
1547367872,96,96
1547369792,94,94
1547371736,92,92
1547377758,91,91
1547379643,89,89
1547381580,88,88
1547383489,87,87
1547385404,86,86
1547387342,84,84
1547389500,83,83
1547391401,82,82
1547393580,84,84
1547395521,85,85
1547397656,85,85
1547399871,85,85
1547401724,84,84
1547403645,84,84
1547407509,85,85
1547409446,92,92
1547411559,90,90
1547415415,91,91
1547417587,93,93
1547419563,88,88
1547421421,91,91
