DateTime,AddedIPs,RemovedIPs
1547319736,1,6
1547321566,2,2
1547323516,7,5
1547325427,3,3
1547327353,1,2
1547329503,1,3
1547331417,1,2
1547333617,4,3
1547335483,2,2
1547337405,2,1
1547339596,14,2
1547341503,2,4
1547343420,4,4
1547345593,5,7
1547347474,3,0
1547349670,3,6
1547351791,4,3
1547353972,4,3
1547355895,1,1
1547358075,1,4
1547359962,2,5
1547361900,3,2
1547363815,5,5
1547365972,19,3
1547367873,10,6
1547369793,3,3
1547371737,2,2
1547373926,2,4
1547375825,1,2
1547377759,3,2
1547379644,0,2
1547381581,1,4
1547383490,1,0
1547385405,1,4
1547387343,2,5
1547389500,3,3
1547391401,4,2
1547393580,0,2
1547395521,8,1
1547397657,14,6
1547399872,4,19
1547401725,3,4
1547403645,8,3
1547405559,1,3
1547407510,2,1
1547409447,2,6
1547411559,2,8
1547413511,4,2
1547415415,4,3
1547417587,4,3
1547419563,1,3
1547421422,2,2
1547423325,0,2
1547425266,1,13
1547427174,4,6
1547429108,0,3
1547431331,5,4
1547433192,5,1
1547435161,2,3
1547437004,1,2
1547439199,0,2
1547441119,2,3
1547443053,3,0
1547444928,2,3
1547447096,2,2
1547449027,1,2
1547450937,0,7
1547453121,1,22
1547455236,4,7
1547457194,6,3
1547459100,6,0
1547461287,2,2
1547463425,0,2
1547465334,1,3
1547467318,1,0
1547469294,3,1
1547471126,1,0
1547473024,1,0
1547474988,2,2
1547476846,4,2
1547479028,2,1
1547480950,4,2
1547482884,2,17
1547484756,1,10
1547486694,2,4
1547488637,2,4
1547490526,2,5
1547492555,3,2
1547494391,1,4
1547496307,1,2
1547498235,2,1
1547500385,2,5
1547502298,2,5
1547504636,1,4
1547506619,3,3
1547509204,2,2
1547511168,2,1
1547513097,5,4
1547515026,3,1
1547517188,1,5
1547519124,2,6
1547520999,1,3
1547522930,0,1
1547524943,6,2
1547526758,3,2
1547528746,0,3
1547530869,1,1
1547532793,1,3
1547534942,1,1
1547536847,2,1
1547538752,1,0
1547540691,1,3
1547542932,2,5
1547544773,0,7
1547546712,0,3
1547548877,2,1
1547550766,1,3
1547552715,0,1
1547554875,1,3
1547556799,2,0
1547558674,0,2
1547560612,3,3
1547562539,2,2
1547564555,1,4
1547566630,2,4
1547568829,10,2
1547570675,8,0
1547572608,3,2
1547574566,1,5
1547576708,1,1
1547578962,3,4
1547580804,3,1
1547582726,4,1
1547584630,4,1
1547586544,2,1
1547588469,1,2
1547590390,3,0
1547592303,2,3
1547594480,2,0
1547596385,2,0
1547598319,2,4
1547600222,1,5
1547602135,1,1
1547604130,2,3
1547605971,1,2
1547607972,1,0
1547609809,0,2
1547611992,4,3
1547613891,4,2
1547616079,1,0
1547618003,1,0
1547619881,2,2
1547623739,1,2
1547625712,1,2
1547627561,2,1
1547629501,5,2
1547631385,1,0
1547635503,1,4
1547637644,1,1
1547639573,2,2
1547641500,1,0
1547643505,0,2
1547645576,1,0
1547647509,2,2
1547649663,1,2
1547651571,0,2
1547653471,1,2
1547655395,2,11
1547657562,2,6
1547659507,0,2
1547661381,0,3
1547663561,1,0
1547665510,3,6
1547667427,0,3
1547669555,3,8
1547671489,5,2
1547673418,0,1
1547675329,2,2
1547677256,2,4
1547679229,0,3
1547681074,3,0
1547683014,2,2
1547684930,1,1
1547687121,3,1
1547689283,0,2
1547691161,1,1
1547693096,1,1
1547694998,1,0
1547697197,1,2
1547699095,3,4
1547700984,2,0
1547703171,9,0
1547705109,5,2
1547707258,2,2
1547709432,2,1
1547711344,4,0
1547713260,1,2
1547715188,4,2
1547717098,2,3
1547719003,1,1
1547723137,3,1
1547725056,2,3
1547727188,4,0
1547729088,4,1
1547731020,0,1
1547733161,2,2
1547735123,0,1
1547737026,1,1
1547738923,1,1
1547740921,5,0
1547742792,0,1
1547744752,1,2
