DateTime,Entries,UniqueIPs
1547801562,8680,8680
1547802253,8671,8671
1547803219,8696,8696
1547804201,8694,8694
1547804893,8651,8651
1547805630,8702,8702
1547806582,8679,8679
1547807545,8718,8718
1547808249,8720,8720
1547808972,8723,8723
1547810209,8728,8728
1547810888,8721,8721
1547811612,8724,8724
1547812577,8726,8726
1547813547,8730,8730
1547814249,8750,8750
1547814972,8687,8687
1547815960,8717,8717
1547816662,8717,8717
1547817378,8738,8738
1547818338,8744,8744
1547819070,8725,8725
1547820036,8750,8750
1547820983,8743,8743
1547821964,8748,8748
1547822649,8743,8743
1547823371,8742,8742
1547824350,8756,8756
1547825053,8744,8744
1547826034,8757,8757
1547826748,8754,8754
1547827482,8748,8748
1547828195,8758,8758
1547829161,8773,8773
1547830120,8756,8756
1547831079,8760,8760
1547832041,8756,8756
1547832752,8764,8764
1547833478,8777,8777
1547834437,8774,8774
1547835160,8785,8785
1547835874,8783,8783
1547836625,8772,8772
1547837314,8788,8788
1547838101,8781,8781
1547838760,8762,8762
1547839496,8787,8787
1547840193,8783,8783
1547840912,8790,8790
1547841642,8777,8777
1547842357,8763,8763
1547843082,8782,8782
1547843792,8770,8770
1547844513,8782,8782
1547845236,8788,8788
1547845962,8782,8782
1547846674,8773,8773
1547847391,8776,8776
1547848113,8784,8784
1547848841,8781,8781
1547849532,8767,8767
1547850249,8775,8775
1547850978,8783,8783
1547851935,8792,8792
1547852672,8752,8752
1547853640,8778,8778
1547854356,8778,8778
1547855100,8776,8776
1547855790,8779,8779
1547856517,8771,8771
1547857236,8779,8779
1547857956,8771,8771
1547858674,8775,8775
1547859391,8766,8766
1547860114,8745,8745
1547860837,8767,8767
1547861561,8768,8768
1547862249,8778,8778
1547862971,8767,8767
1547863715,8768,8768
1547864679,8776,8776
1547865635,8766,8766
1547866351,8774,8774
1547867081,8758,8758
1547868048,8767,8767
1547868737,8774,8774
1547869454,8773,8773
1547870167,8781,8781
1547871155,8785,8785
1547872092,8780,8780
1547873057,8783,8783
1547874022,8790,8790
1547874739,8802,8802
1547875450,8792,8792
1547876436,8779,8779
1547877147,8784,8784
1547877886,8755,8755
1547878826,8764,8764
1547879538,8770,8770
1547880252,8767,8767
1547881269,8765,8765
1547881951,8766,8766
1547882703,8763,8763
1547883636,8769,8769
1547884354,8773,8773
1547885072,8765,8765
1547885799,8762,8762
1547886513,8770,8770
1547887229,8774,8774
1547887952,8758,8758
1547888676,8774,8774
1547889643,8772,8772
1547890355,8782,8782
1547891073,8779,8779
1547891788,8772,8772
1547892764,8734,8734
1547893450,8759,8759
1547894179,8737,8737
1547895134,8802,8802
1547895852,8793,8793
1547896580,8784,8784
1547897299,8793,8793
1547898017,8795,8795
1547898731,8785,8785
1547899454,8800,8800
1547900171,8797,8797
1547900888,8813,8813
1547901608,8809,8809
1547902341,8820,8820
1547903322,8803,8803
1547904052,8810,8810
1547904759,8816,8816
1547905489,8820,8820
1547906197,8821,8821
1547907162,8816,8816
1547907873,8827,8827
1547908589,8823,8823
1547909560,8821,8821
1547910282,8822,8822
1547910974,8825,8825
1547911691,8835,8835
1547912409,8832,8832
1547913139,8841,8841
1547913859,8821,8821
1547914650,8842,8842
1547915319,8834,8834
1547916273,8851,8851
1547916989,8843,8843
1547917722,8837,8837
1547918439,8836,8836
1547919161,8842,8842
1547919869,8853,8853
1547920839,8848,8848
1547921797,8829,8829
1547922488,8846,8846
1547923211,8837,8837
1547923947,8847,8847
1547924662,8840,8840
1547925371,8838,8838
1547926095,8856,8856
1547926808,8852,8852
1547927532,8847,8847
1547928279,8856,8856
1547929221,8844,8844
1547929932,8837,8837
1547930656,8846,8846
1547931372,8837,8837
1547932095,8827,8827
1547932810,8828,8828
1547933539,8822,8822
1547934251,8824,8824
1547935252,8821,8821
1547935940,8808,8808
1547936659,8812,8812
1547937371,8821,8821
1547938853,8830,8830
1547982104,8078,8078
1547982987,8095,8095
1547983951,8170,8170
1547984660,8188,8188
1547985620,8227,8227
1547986331,8182,8182
1547987056,8258,8258
1547987772,8265,8265
1547988491,8268,8268
1547989227,8276,8276
1547989934,8271,8271
1547990648,8288,8288
1547991642,8347,8347
1547992597,8361,8361
1547993538,8374,8374
1547994251,8379,8379
1547995217,8394,8394
1547995930,8386,8386
1547996657,8393,8393
1547997642,8411,8411
1547998352,8408,8408
1547999076,8418,8418
1547999791,8412,8412
1548000555,8414,8414
1548001484,8427,8427
1548002205,8448,8448
1548002889,8450,8450
1548003621,8424,8424
1548004328,8453,8453
1548005050,8457,8457
1548005767,8472,8472
1548006496,8476,8476
1548007228,8472,8472
1548007939,8482,8482
1548008655,8472,8472
1548009370,8490,8490
1548010093,8467,8467
1548010820,8490,8490
1548011563,8491,8491
1548012271,8498,8498
1548013240,8513,8513
1548013927,8523,8523
1548014660,8531,8531
1548015642,8495,8495
1548016357,8512,8512
1548017073,8522,8522
1548017788,8509,8509
1548018764,8505,8505
1548019450,8508,8508
1548020170,8509,8509
1548020891,8533,8533
1548021886,8542,8542
1548022570,8537,8537
1548023546,8567,8567
1548024252,8557,8557
1548024966,8549,8549
1548025949,8532,8532
1548026677,8535,8535
1548027393,8521,8521
1548028356,8540,8540
1548029344,8544,8544
1548030277,8530,8530
1548031235,8533,8533
1548031952,8540,8540
1548032676,8537,8537
1548033429,8552,8552
1548034108,8521,8521
1548034840,8518,8518
1548035549,8498,8498
1548036276,8515,8515
1548036993,8515,8515
1548037715,8504,8504
1548038417,8529,8529
1548039134,8520,8520
1548039874,8546,8546
1548040575,8538,8538
1548041293,8528,8528
1548042008,8533,8533
1548042732,8536,8536
1548043452,8541,8541
1548044175,8531,8531
1548044908,8545,8545
1548045637,8539,8539
1548046341,8537,8537
1548047078,8532,8532
1548047816,8522,8522
1548048511,8510,8510
1548049242,8508,8508
1548049956,8509,8509
1548050678,8518,8518
1548051396,8502,8502
1548052117,8511,8511
1548052834,8520,8520
1548053556,8514,8514
1548054273,8519,8519
1548055241,8525,8525
1548056199,8521,8521
1548057160,8530,8530
1548057871,8533,8533
1548058601,8552,8552
1548059308,8527,8527
1548060040,8551,8551
1548060758,8539,8539
1548061477,8546,8546
1548062463,8561,8561
1548063152,8560,8560
1548063877,8566,8566
1548064588,8543,8543
1548065558,8545,8545
1548066270,8548,8548
1548066992,8547,8547
1548067699,8542,8542
1548068449,8558,8558
1548069161,8545,8545
1548069869,8547,8547
1548070590,8547,8547
1548071316,8540,8540
1548072037,8541,8541
1548072755,8527,8527
1548073478,8549,8549
1548074439,8538,8538
1548075397,8549,8549
1548076361,8578,8578
1548077070,8575,8575
1548077793,8588,8588
1548078514,8578,8578
1548079236,8585,8585
1548079961,8576,8576
1548080671,8583,8583
1548081398,8571,8571
1548082359,8565,8565
1548083079,8578,8578
1548083775,8605,8605
1548085004,8608,8608
1548085951,8597,8597
1548086673,8587,8587
1548087647,8630,8630
1548088352,8638,8638
1548089076,8623,8623
1548089770,8621,8621
1548090762,8622,8622
1548091456,8630,8630
1548092184,8623,8623
1548093158,8618,8618
1548093874,8639,8639
1548094842,8640,8640
1548095554,8643,8643
1548096295,8602,8602
1548096990,8610,8610
1548097721,8589,8589
1548098679,8611,8611
1548099389,8639,8639
1548100102,8642,8642
1548101331,8667,8667
1548102013,8647,8647
1548102737,8649,8649
1548103457,8663,8663
1548104180,8643,8643
1548105145,8628,8628
1548105873,8647,8647
1548106604,8664,8664
1548107286,8630,8630
1548108027,8659,8659
1548108991,8659,8659
1548109690,8649,8649
1548110415,8651,8651
1548111131,8618,8618
1548111868,8629,8629
1548112568,8639,8639
1548113289,8640,8640
1548114008,8647,8647
1548114743,8639,8639
1548115490,8640,8640
1548116440,8631,8631
1548117137,8633,8633
1548117860,8633,8633
1548118575,8637,8637
1548209325,8711,8711
1548210331,8727,8727
1548210990,8706,8706
1548211717,8714,8714
1548212436,8712,8712
1548213163,8712,8712
1548213852,8705,8705
1548214569,8702,8702
1548215350,8713,8713
1548216039,8720,8720
1548216762,8647,8647
1548217455,8695,8695
1548218199,8711,8711
1548219140,8596,8596
1548219882,8715,8715
1548220594,8689,8689
1548221571,8671,8671
1548222521,8700,8700
1548223468,8583,8583
1548224171,8697,8697
1548225142,8694,8694
1548226117,8675,8675
1548227079,8667,8667
1548228049,8663,8663
1548228983,8657,8657
1548229935,8681,8681
1548230923,8697,8697
1548231877,8693,8693
1548232838,8669,8669
1548233551,8651,8651
1548234522,8671,8671
1548235481,8682,8682
1548236447,8681,8681
1548237890,8649,8649
1548238567,8638,8638
1548239639,8685,8685
1548240289,8692,8692
1548240968,8692,8692
1548241940,8694,8694
1548242916,8677,8677
1548243878,8680,8680
1548244593,8655,8655
1548245560,8679,8679
1548246275,8693,8693
1548246989,8677,8677
1548247957,8692,8692
1548248673,8701,8701
1548249397,8701,8701
1548250362,8703,8703
1548251079,8707,8707
1548251792,8703,8703
1548252764,8723,8723
1548253499,8678,8678
1548254444,8701,8701
1548255395,8666,8666
1548256113,8715,8715
1548256836,8710,8710
1548257558,8700,8700
1548258275,8730,8730
1548258967,8732,8732
1548259762,8736,8736
1548260407,8747,8747
1548261386,8737,8737
1548262353,8735,8735
1548263072,8743,8743
1548264046,8731,8731
1548264990,8668,8668
1548265946,8736,8736
1548266651,8674,8674
1548267626,8713,8713
1548268333,8707,8707
1548269057,8701,8701
1548269773,8682,8682
1548270738,8726,8726
1548271450,8691,8691
1548272169,8703,8703
1548273137,8704,8704
1548273855,8710,8710
1548274818,8721,8721
1548275541,8722,8722
1548276498,8731,8731
1548277474,8727,8727
1548278166,8719,8719
1548278891,8729,8729
1548279617,8724,8724
1548280369,8604,8604
1548281082,8725,8725
1548281802,8653,8653
1548282489,8713,8713
1548283208,8649,8649
1548283932,8677,8677
1548284655,8631,8631
1548285406,8707,8707
1548286340,8671,8671
1548287049,8699,8699
1548288072,8692,8692
1548288742,8687,8687
1548289476,8701,8701
1548290171,8648,8648
1548290947,8707,8707
1548291642,8643,8643
1548292338,8679,8679
1548293079,8687,8687
1548293791,8689,8689
1548294529,8706,8706
1548295253,8614,8614
1548295958,8630,8630
1548296694,8688,8688
1548297386,8672,8672
1548298348,8685,8685
1548299324,8677,8677
1548300258,8633,8633
1548300972,8664,8664
1548301693,8599,8599
1548302421,8699,8699
1548303163,8600,8600
1548303880,8672,8672
1548304844,8658,8658
1548305777,8708,8708
1548306737,8694,8694
1548307459,8700,8700
1548308419,8696,8696
1548309127,8665,8665
1548309866,8698,8698
1548310843,8697,8697
1548311531,8690,8690
1548312268,8708,8708
1548313224,8622,8622
1548314206,8704,8704
1548315138,8700,8700
1548316103,8572,8572
1548317075,8685,8685
1548317792,8688,8688
1548318782,8575,8575
1548319470,8702,8702
1548320446,8692,8692
1548321135,8688,8688
1548321854,8665,8665
1548322818,8554,8554
1548323530,8692,8692
1548324264,8696,8696
1548325221,8710,8710
1548325927,8703,8703
1548326759,8695,8695
1548327369,8696,8696
1548328346,8689,8689
1548329051,8693,8693
