DateTime,Entries,UniqueIPs
1547671363,8968,8968
1547672196,8972,8972
1547673339,8963,8963
1547674947,8970,8970
1547675797,8971,8971
1547676873,8971,8971
1547677706,8969,8969
1547678547,8971,8971
1547680245,8978,8978
1547681320,8975,8975
1547682632,8959,8959
1547683867,8948,8948
1547684069,8949,8949
1547685760,8945,8945
1547686997,8933,8933
1547687684,8933,8933
1547688507,8934,8934
1547689830,8932,8932
1547691034,8933,8933
1547692529,8935,8935
1547693735,8939,8939
1547694897,8918,8918
1547696274,8902,8902
1547698478,8906,8906
1547699308,8907,8907
1547701005,8901,8901
1547702146,8908,8908
1547703690,8901,8901
1547705457,8892,8892
1547707350,8876,8876
1547708196,8876,8876
1547709356,8870,8870
1547710878,8869,8869
1547712890,8863,8863
1547713713,8865,8865
1547715332,8868,8868
1547717314,8862,8862
1547719014,8846,8846
1547720918,8845,8845
1547721751,8844,8844
1547722589,8846,8846
1547723760,8836,8836
1547725370,8828,8828
1547726779,8826,8826
1547728285,8815,8815
1547728963,8816,8816
1547730889,8812,8812
1547731727,8815,8815
1547732572,8814,8814
1547734477,8817,8817
1547735749,8806,8806
1547737046,8798,8798
1547738429,8802,8802
1547739749,8795,8795
1547740898,8784,8784
1547742035,8794,8794
1547743381,8781,8781
1547744191,8781,8781
1547745346,8773,8773
1547746114,8773,8773
1547747725,8752,8752
1547749714,8754,8754
1547750547,8750,8750
1547751396,8750,8750
1547752736,8745,8745
1547753866,8746,8746
1547754986,8748,8748
1547756129,8746,8746
1547756904,8748,8748
1547758108,8746,8746
1547759666,8740,8740
1547761353,8740,8740
1547763265,8740,8740
1547764889,8741,8741
1547766866,8726,8726
1547768567,8703,8703
1547770484,8704,8704
1547772147,8696,8696
1547773840,8694,8694
1547775643,8691,8691
1547777684,8690,8690
1547779371,8691,8691
1547780680,8690,8690
1547782124,8691,8691
1547783790,8684,8684
1547785727,8679,8679
1547786569,8676,8676
1547788480,8679,8679
1547790093,8681,8681
1547790989,8682,8682
1547792082,8684,8684
1547793700,8682,8682
1547795456,8683,8683
1547796880,8688,8688
1547799284,8688,8688
1547800900,8697,8697
1547801810,8702,8702
1547802873,8700,8700
1547803733,8700,8700
1547804562,8699,8699
1547806545,8703,8703
1547807312,8703,8703
1547808987,8704,8704
1547810141,8707,8707
1547811307,8703,8703
1547812577,8707,8707
1547813741,8703,8703
1547815374,8702,8702
1547817286,8697,8697
1547818980,8697,8697
1547819808,8696,8696
1547820945,8693,8693
1547822144,8691,8691
1547823426,8688,8688
1547824489,8683,8683
1547825326,8690,8690
1547826927,8690,8690
1547828151,8683,8683
1547829423,8686,8686
1547831677,8692,8692
1547832959,8699,8699
1547834127,8701,8701
1547835275,8696,8696
1547836527,8696,8696
1547836946,8699,8699
1547837808,8703,8703
1547838887,8702,8702
1547840125,8703,8703
1547840554,8703,8703
1547841933,8707,8707
1547843326,8708,8708
1547844999,8690,8690
1547846064,8688,8688
1547847334,8685,8685
1547848537,8689,8689
1547849740,8686,8686
1547850928,8685,8685
1547853277,8705,8705
1547854123,8704,8704
1547855507,8703,8703
1547856655,8703,8703
1547858490,8708,8708
1547859398,8708,8708
1547860549,8712,8712
1547861727,8709,8709
1547862146,8712,8712
1547864073,8695,8695
1547865333,8709,8709
1547866608,8703,8703
1547867689,8703,8703
1547869254,8701,8701
1547870383,8702,8702
1547871279,8703,8703
1547872551,8704,8704
1547872951,8701,8701
1547874644,8698,8698
1547875708,8702,8702
1547876569,8700,8700
1547878484,8702,8702
1547880082,8704,8704
1547882084,8704,8704
1547882925,8707,8707
1547883763,8702,8702
1547885680,8703,8703
1547886507,8709,8709
1547887432,8708,8708
1547889048,8707,8707
1547890628,8715,8715
1547892368,8716,8716
1547893716,8715,8715
1547896465,8707,8707
1547898067,8705,8705
1547899181,8703,8703
1547900326,8705,8705
1547901670,8703,8703
1547902999,8709,8709
1547904505,8709,8709
1547906195,8707,8707
1547907272,8708,8708
1547908868,8707,8707
1547910239,8708,8708
1547911705,8711,8711
1547912566,8709,8709
1547914482,8713,8713
1547915768,8714,8714
1547916936,8715,8715
1547918146,8717,8717
1547919747,8717,8717
1547921441,8718,8718
1547922507,8724,8724
1547924203,8729,8729
1547925279,8722,8722
1547927005,8720,8720
1547927805,8727,8727
1547928947,8729,8729
1547930483,8729,8729
1547931386,8731,8731
1547932473,8730,8730
1547933322,8732,8732
1547934939,8729,8729
1547936147,8731,8731
1547937291,8730,8730
1547937746,8729,8729
1547939448,8732,8732
1547940728,8733,8733
1547942206,8734,8734
1547943338,8736,8736
1547944965,8738,8738
1547945787,8741,8741
1547946883,8743,8743
1547948569,8742,8742
1547949388,8743,8743
1547951314,8744,8744
1547952156,8746,8746
1547954142,8743,8743
1547954918,8745,8745
1547956589,8749,8749
1547957682,8755,8755
1547959264,8753,8753
1547961044,8755,8755
1547962232,8753,8753
1547962950,8753,8753
1547964340,8754,8754
1547966070,8755,8755
1547968237,8758,8758
1547970147,8747,8747
1547971537,8744,8744
1547972914,8745,8745
1547973750,8737,8737
1547975443,8739,8739
1547977536,8744,8744
1547978742,8744,8744
1547980416,8742,8742
1547981735,8744,8744
1547982880,8741,8741
1547983722,8744,8744
1547984560,8744,8744
1547986477,8741,8741
1547987319,8742,8742
1547988943,8741,8741
1547990065,8742,8742
1547991358,8741,8741
1547992527,8743,8743
1547993746,8743,8743
1547995240,8742,8742
1547996541,8746,8746
1547998954,8737,8737
1548000095,8738,8738
1548001246,8741,8741
1548001718,8742,8742
1548004243,8735,8735
1548005443,8739,8739
1548006155,8739,8739
1548006985,8744,8744
1548008086,8740,8740
1548009637,8736,8736
1548011439,8735,8735
1548011683,8736,8736
1548013278,8732,8732
1548014184,8735,8735
1548015345,8729,8729
1548016120,8733,8733
1548017390,8735,8735
1548018634,8740,8740
1548019713,8742,8742
1548020546,8742,8742
1548021401,8743,8743
1548023316,8741,8741
1548025028,8739,8739
1548026147,8741,8741
1548026923,8743,8743
1548028527,8735,8735
1548029674,8738,8738
1548030943,8741,8741
1548033277,8742,8742
1548034887,8742,8742
1548036361,8742,8742
1548037810,8743,8743
1548039406,8746,8746
1548040547,8744,8744
1548041751,8743,8743
1548043141,8741,8741
1548044068,8743,8743
1548044917,8745,8745
1548046166,8747,8747
1548047670,8744,8744
1548049369,8748,8748
1548050188,8749,8749
1548051267,8751,8751
1548052535,8752,8752
1548054658,8752,8752
1548055709,8753,8753
1548057056,8752,8752
1548058488,8751,8751
1548059313,8752,8752
1548061849,8751,8751
1548063784,8758,8758
1548065449,8758,8758
1548067359,8760,8760
1548069266,8763,8763
1548070543,8765,8765
1548071811,8769,8769
1548073719,8773,8773
