DateTime,AddedIPs,RemovedIPs
1547688487,42,1
1547689810,103,240
1547691007,105,86
1547692509,117,111
1547693707,59,39
1547694847,98,123
1547696251,74,168
1547697566,148,116
1547698448,63,5
1547699287,40,2
1547700968,120,199
1547702110,98,97
1547703648,114,175
1547705419,159,127
1547707329,143,156
1547708168,38,1
1547709309,52,155
1547710855,104,171
1547712849,122,120
1547713688,48,1
1547715310,200,211
1547717289,198,103
1547718974,129,155
1547720887,123,130
1547721728,57,186
1547722569,93,0
1547723710,112,100
1547725339,141,199
1547726740,100,106
1547728239,140,137
1547728928,63,2
1547730848,147,168
1547731688,51,0
1547732538,45,230
1547734447,142,142
1547735716,180,120
1547737014,108,86
1547738390,91,110
1547739729,99,170
1547740861,89,156
1547742008,89,1
1547743328,98,147
1547744168,72,0
1547745308,114,97
1547746087,65,2
1547747708,105,174
1547749687,133,96
1547750528,79,121
1547751368,78,1
1547752716,105,166
1547753847,90,151
1547754967,81,2
1547756411,155,140
1547756887,23,0
1547758073,54,183
1547759647,79,85
1547761327,134,149
1547763246,165,71
1547764849,116,123
1547766848,116,83
1547768538,82,184
1547770447,132,105
1547772128,90,197
1547773808,121,89
1547775615,124,146
1547777656,173,124
1547779336,113,152
1547780631,86,118
1547782087,74,0
1547783768,113,169
1547785697,133,96
1547786538,61,142
1547787377,78,0
1547788455,112,123
1547790054,99,175
1547790968,48,3
1547792047,73,86
1547793665,122,178
1547795408,114,88
1547796832,87,116
1547799257,183,145
1547800873,155,200
1547801778,96,2
1547802848,66,95
1547803689,60,0
1547804529,76,160
1547806498,133,106
1547807289,94,0
1547808965,83,166
1547810108,74,123
1547811273,150,146
1547812535,162,45
1547814007,132,133
1547815351,108,521
1547817248,193,144
1547818957,188,275
1547819769,65,2
1547820910,66,128
1547822112,138,192
1547823394,114,72
1547824456,82,103
1547825288,83,1
1547826907,145,188
1547828103,123,128
1547829405,97,128
1547831646,154,101
1547832940,121,94
1547834107,78,0
1547835247,98,113
1547836507,167,122
1547836927,45,53
1547837776,80,0
1547838857,70,105
1547840100,165,114
1547840527,43,42
1547841907,104,81
1547843295,86,0
1547844978,162,175
1547846047,65,108
1547847307,54,138
1547848512,85,0
1547849708,109,126
1547850908,98,79
1547853248,139,96
1547854086,42,0
1547855466,60,159
1547856607,79,75
1547858448,176,138
1547859368,58,1
1547860519,84,113
1547862128,125,169
1547864048,175,115
1547865313,81,134
1547866576,67,45
1547867648,226,96
1547869172,111,105
1547870363,63,145
1547871247,91,9
1547872509,81,196
1547872928,17,1
1547874612,97,146
1547875687,73,1
1547876537,29,209
1547878456,96,72
1547880051,89,138
1547882048,101,91
1547882897,47,0
1547883736,47,156
1547885647,144,139
1547886487,50,0
1547887396,63,273
1547889019,130,108
1547890607,117,109
1547892318,159,140
1547893688,131,3
1547896447,171,244
1547898041,83,176
1547899163,53,87
1547900305,69,10
1547901641,99,150
1547902856,161,91
1547904486,134,0
1547906167,89,208
1547907246,67,111
1547908844,63,166
1547910196,65,108
1547911687,74,1
1547912536,39,173
1547914454,109,127
1547915748,94,148
1547916907,48,0
1547918114,56,145
1547919728,88,159
1547921407,76,129
1547922487,101,0
1547924176,117,130
1547925255,72,134
1547926946,84,172
1547927768,57,0
1547928911,73,56
1547930445,97,173
1547931366,50,0
1547932448,57,126
1547933295,78,0
1547934907,109,186
1547936108,55,79
1547937273,54,74
1547937727,34,49
1547939407,85,53
1547940708,45,175
1547942167,59,33
1547943309,55,93
1547944936,142,181
1547945768,44,0
1547946847,78,112
1547947687,46,1
1547948549,47,159
1547949368,51,0
1547950514,93,79
1547951288,48,0
1547952129,93,133
1547952967,42,0
1547954109,46,101
1547954888,29,0
1547956568,132,171
1547957648,56,121
1547958757,41,136
1547961008,108,125
1547962104,50,0
1547962928,25,182
1547964310,59,93
1547966040,94,115
1547968208,99,148
1547968449,7,0
1547970127,86,202
1547971509,55,158
1547972887,66,0
1547973728,106,211
1547975407,94,126
1547977509,147,187
1547978707,79,89
1547980375,108,146
1547981707,111,0
1547982848,78,183
1547983686,103,1
1547984535,57,149
1547986446,141,103
1547987287,88,1
1547988916,98,238
1547990047,117,99
1547991336,121,152
1547992507,88,1
1547993711,93,188
1547995210,202,133
1547996522,105,131
1547997247,45,0
1547998927,93,153
1548000057,69,350
1548001215,70,1
1548001687,30,0
1548004207,140,291
1548005419,78,219
1548006128,94,75
1548006966,79,0
1548008047,104,128
1548009619,118,159
1548011408,168,190
1548011647,13,0
1548013246,123,166
1548014167,98,0
1548015318,75,103
1548016095,61,0
1548017364,68,128
1548018608,186,100
1548019687,118,0
1548020527,61,143
1548021374,56,0
1548023287,119,124
1548025007,115,142
1548026109,56,64
1548026897,43,0
1548029646,141,303
1548030911,65,138
1548033247,132,126
1548034851,57,208
1548036325,71,78
1548037513,65,0
1548037696,9,0
1548039367,86,290
1548040510,67,127
1548041720,75,148
1548043068,73,0
1548044047,76,119
1548044897,53,0
1548046127,61,142
1548047649,106,65
1548049328,103,140
1548050167,58,0
1548051246,69,72
1548052509,73,98
1548054609,108,165
1548055688,50,1
1548057011,64,183
1548057369,39,0
1548058447,96,133
1548059289,53,2
1548061807,137,322
1548063737,144,177
1548065412,140,126
1548067332,149,146
1548069246,113,72
1548070512,92,135
1548071768,94,50
1548073688,140,119
1548075593,153,242
1548076820,85,4
1548078101,107,114
1548079526,96,70
1548080888,137,0
1548081731,63,119
1548083656,173,98
1548084487,86,1
1548085329,61,156
1548086716,64,66
1548088020,65,0
1548088088,2,0
1548089407,75,85
1548090847,109,96
1548091687,65,1
1548092528,76,169
1548094447,137,83
1548095287,64,0
1548096128,65,124
1548097809,166,78
1548098888,63,0
1548100207,143,137
1548101418,132,104
1548102708,126,148
1548104219,151,28
1548105617,92,100
1548106928,83,142
1548108309,106,86
1548109507,81,0
1548111308,142,100
1548112513,66,65
1548114504,124,172
1548115808,88,98
1548117048,65,108
1548118568,85,0
1548119709,83,146
1548120488,34,0
1548122168,94,216
1548123309,45,81
1548124929,105,146
1548125768,72,0
1548126909,131,133
1548127689,79,0
1548129369,121,84
1548130509,64,124
1548131288,67,2
1548132130,71,115
1548132968,44,0
1548134048,65,71
1548135675,129,162
1548136789,96,79
1548137657,35,9
1548138488,48,0
1548140172,94,114
1548141309,79,116
1548142747,117,88
1548144909,223,166
1548145688,281,4
1548148449,852,271
1548149943,619,147
1548151508,748,179
1548152746,514,3
1548154568,763,285
1548155720,403,169
1548156488,377,2
1548157328,354,254
1548158168,321,3
1548159248,481,109
1548160088,326,0
1548160928,353,147
1548162608,668,149
1548163695,409,1
1548164872,512,239
1548166447,566,82
1548167295,317,2
1548168128,291,139
1548168968,316,0
1548170109,324,69
1548171727,571,148
1548173107,477,98
1548174308,476,2
1548175329,372,138
1548177016,487,79
1548178528,424,105
1548179660,341,40
1548180915,355,101
1548181687,207,0
1548183394,487,128
1548184447,334,110
1548185287,282,0
1548186126,307,157
1548188047,614,141
1548188887,279,1
1548189726,305,148
1548191332,459,52
1548192630,397,86
1548193327,381,0
1548194167,623,0
1548195248,284,98
1548196487,504,76
1548197707,687,29
1548198848,491,55
1548199950,246,92
1548200528,114,49
1548201938,229,86
1548203468,324,60
1548204607,299,25
1548205820,239,62
1548206889,189,0
1548208568,327,113
1548209681,180,62
1548210487,168,0
1548211813,207,139
1548213018,230,60
1548214809,271,121
1548215768,188,3
1548216847,187,117
1548218529,342,121
1548219369,128,0
1548220519,180,101
1548222130,252,132
1548222967,141,1
1548224108,198,59
1548225312,223,91
1548226567,197,0
1548227715,161,169
1548228487,97,2
1548230167,251,153
1548231257,172,61
1548232088,156,2
1548232929,127,159
1548233768,153,1
1548234847,186,113
1548235689,176,0
1548236529,151,125
1548237376,177,2
1548238509,230,131
1548240128,367,143
1548241818,338,94
1548243728,367,153
1548244568,209,0
1548246488,418,103
1548247330,159,120
1548249248,419,120
1548250518,245,158
1548251722,324,48
1548252908,227,129
1548253688,120,0
1548254528,180,191
1548255959,322,68
1548257288,258,1
1548258128,168,98
1548260047,433,117
1548260887,180,0
1548261727,162,164
1548262568,200,1
1548263708,280,112
1548264907,263,108
1548265335,72,37
1548266716,272,155
1548268088,327,0
1548268928,184,109
1548270855,454,218
1548271688,238,1
1548273308,377,194
1548274446,108,120
1548275288,52,0
1548278047,207,224
1548279453,75,120
1548280568,108,0
1548281654,77,121
1548282488,51,0
1548283327,49,88
1548284168,69,1
1548285309,64,107
1548286854,83,101
1548288311,47,56
1548290108,65,94
1548290537,20,32
1548292066,62,64
1548293442,55,84
1548296047,147,138
1548297418,69,226
1548299409,112,110
1548300489,57,0
1548302112,157,146
1548303309,79,60
1548304859,76,179
1548306849,112,106
1548308418,99,105
1548309376,36,0
1548310513,61,97
1548311711,65,115
1548312975,145,49
1548314048,38,85
1548315406,103,219
1548316510,67,60
1548317647,67,203
1548319328,87,332
1548320622,112,272
1548321750,67,2
1548322087,18,0
1548323284,79,398
1548324608,83,206
1548325687,61,1
1548328447,193,621
