DateTime,AddedIPs,RemovedIPs
1547660098,2,6
1547661324,2,9
1547662473,4,2
1547663700,1,8
1547664953,2,1
1547666080,1,1
1547666928,2,0
1547667778,1,3
1547669690,6,5
1547671369,0,4
1547672201,2,1
1547673350,0,4
1547674954,4,2
1547675804,2,0
1547676880,0,5
1547677713,1,0
1547678553,0,5
1547680252,5,1
1547681327,1,0
1547682640,3,6
1547683873,5,0
1547684076,3,0
1547685767,3,4
1547687015,4,1
1547687691,3,1
1547688514,4,0
1547689837,6,18
1547691041,6,3
1547692539,14,0
1547693742,3,4
1547694906,7,4
1547696281,4,3
1547698485,8,4
1547699316,3,0
1547701012,6,8
1547702154,10,7
1547703705,13,5
1547705467,5,4
1547707358,7,8
1547708203,3,1
1547709364,1,11
1547710887,6,9
1547712899,10,7
1547713721,3,0
1547715341,2,5
1547717323,5,5
1547719021,6,7
1547720925,6,4
1547721759,3,2
1547722597,1,0
1547723767,1,6
1547725377,5,11
1547726793,2,3
1547728299,12,10
1547728970,4,2
1547730896,4,11
1547731734,2,0
1547732579,4,19
1547734485,4,9
1547735756,0,9
1547737070,7,3
1547738444,11,1
1547739756,12,5
1547740911,2,1
1547742043,4,2
1547743388,16,2
1547744198,1,0
1547745353,3,3
1547746121,5,1
1547747732,4,3
1547749721,3,3
1547750554,0,4
1547751403,2,1
1547752743,3,7
1547753873,1,10
1547754993,3,3
1547756143,3,6
1547756911,2,0
1547758120,2,5
1547759672,5,18
1547761359,6,11
1547763272,6,4
1547764895,4,10
1547766873,5,6
1547768574,1,11
1547770495,1,5
1547772154,1,14
1547773847,5,9
1547775650,4,3
1547777690,11,6
1547779379,6,5
1547780693,14,5
1547782131,5,0
1547783798,4,12
1547785735,12,10
1547786576,3,14
1547787446,1,0
1547788487,5,7
1547790101,7,12
1547790997,4,2
1547792091,8,5
1547793707,7,11
1547795464,9,1
1547796888,5,6
1547799292,4,6
1547800907,4,7
1547801818,2,1
1547802882,2,3
1547803741,3,0
1547804569,1,3
1547806555,6,7
1547807320,0,1
1547808994,5,8
1547810149,4,7
1547811318,5,5
1547812591,1,8
1547813755,3,25
1547815381,3,19
1547817294,8,18
1547818997,1,41
1547819817,1,2
1547820953,1,25
1547822153,0,43
1547823434,2,16
1547824498,3,0
1547825333,3,0
1547826935,1,20
1547828166,8,2
1547829451,0,5
1547831683,4,2
1547832968,2,2
1547834134,1,0
1547835281,2,1
1547836534,0,2
1547837814,0,1
1547838894,2,6
1547840132,4,3
1547840560,1,0
1547841939,2,1
1547843332,3,0
1547845005,3,4
1547846070,2,2
1547847341,0,2
1547849749,1,2
1547850935,1,4
1547853287,3,5
1547854132,1,0
1547855514,0,7
1547856662,1,5
1547858498,1,11
1547859405,1,0
1547860556,2,6
1547861747,11,14
1547862153,3,0
1547864079,7,13
1547865341,3,6
1547866615,5,3
1547867698,2,4
1547869268,8,7
1547870391,2,4
1547871286,3,1
1547872559,2,17
1547872958,1,0
1547874652,3,4
1547875715,3,0
1547876576,2,7
1547878491,9,4
1547880088,5,5
1547882091,5,11
1547882931,3,0
1547883769,2,7
1547885687,3,2
1547886514,2,2
1547887440,3,5
1547889055,2,7
1547890636,5,5
1547892386,2,4
1547893723,7,0
1547896471,11,8
1547898073,5,10
1547899187,1,4
1547900332,1,3
1547901680,9,4
1547903012,45,4
1547904511,23,0
1547906202,14,1
1547907279,12,0
1547908875,6,5
1547910251,3,3
1547911711,6,0
1547912572,3,6
1547914490,5,1
1547915791,1,4
1547916949,2,0
1547918155,2,1
1547919759,5,2
1547921448,1,2
1547922513,1,0
1547924210,2,3
1547925286,7,2
1547927011,19,2
1547928955,3,0
1547930491,3,8
1547932479,3,3
1547933329,1,1
1547934946,10,6
1547936160,3,6
1547937306,7,5
1547937753,1,2
1547939455,3,1
1547940742,1,3
1547942213,3,1
1547943346,4,2
1547944972,13,8
1547945794,4,0
1547946890,9,7
1547947714,3,0
1547948576,5,12
1547950553,4,5
1547952163,2,12
1547953002,3,0
1547954149,2,2
1547954924,5,0
1547956597,7,13
1547957688,4,7
1547959287,12,13
1547961052,2,7
1547962247,1,8
1547962956,3,2
1547964347,8,9
1547966086,8,6
1547968244,11,7
1547970154,6,2
1547971546,7,4
1547972921,7,0
1547973757,1,6
1547975451,11,10
1547977544,4,9
1547978750,5,9
1547980430,5,4
1547981743,8,0
1547982886,4,6
1547984566,3,7
1547986483,9,3
1547987325,2,0
1547988949,1,4
1547990072,1,2
1547991365,2,1
1547993754,1,1
1547995246,2,5
1547996564,6,5
1547997272,1,0
1547998961,2,9
1548000107,3,9
1548001252,2,0
1548001724,2,0
1548004254,2,7
1548005451,4,5
1548006161,0,4
1548006991,1,0
1548008093,2,3
1548009644,1,3
1548011446,2,4
1548013284,3,4
1548014191,1,1
1548015352,16,5
1548016126,1,0
1548017397,4,3
1548018641,4,3
1548019719,1,0
1548020553,1,4
1548021408,2,0
1548023322,3,3
1548025034,2,1
1548026155,1,0
1548026929,3,0
1548028566,2,4
1548029681,0,2
1548030955,2,6
1548033283,3,12
1548034894,4,6
1548036378,12,7
1548037818,3,6
1548039413,10,2
1548040554,7,1
1548041766,6,7
1548043148,10,4
1548044076,5,0
1548044925,6,0
1548046185,3,7
1548047678,9,6
1548049380,14,6
1548050196,3,0
1548051274,6,0
1548052544,7,7
1548054666,12,8
1548055717,5,1
1548057065,3,7
1548057402,1,0
1548058498,3,2
1548059320,3,0
1548061857,11,9
1548063797,10,7
1548065459,3,6
1548067368,7,3
1548069274,3,5
1548070549,2,4
1548071820,3,2
1548073728,8,5
1548075813,2,15
1548076919,2,0
1548078148,0,4
1548079585,4,3
1548080922,6,0
1548081775,0,6
1548083693,4,1
1548084527,1,0
1548085370,0,5
1548086763,0,2
1548088065,3,0
1548089433,3,3
1548090879,6,5
1548091714,1,0
1548092554,0,5
1548094474,4,2
1548095314,3,2
1548096161,0,12
1548097847,3,2
1548098915,1,0
1548100235,1,2
1548101453,0,3
1548102760,2,4
1548105652,2,1
1548106955,5,8
1548108356,4,7
1548109536,1,0
1548111345,2,5
1548112551,0,4
1548114533,3,6
1548115845,4,7
1548117084,8,5
1548118596,7,1
1548119749,8,5
1548120515,4,1
1548122207,6,2
1548123353,2,2
1548124978,9,20
1548125797,7,0
1548126953,6,7
1548127729,9,0
1548129402,10,3
1548130560,4,7
1548131321,5,0
1548132170,3,7
1548132997,1,0
1548134084,5,4
1548135731,14,16
1548137691,5,9
1548138524,3,0
1548140224,5,6
1548141354,5,9
1548142854,10,11
1548144958,6,12
1548145717,2,1
1548148478,7,9
1548149981,3,8
1548151555,5,7
1548152803,4,1
1548154607,11,12
1548155757,2,8
1548156533,3,1
1548157372,0,7
1548158198,5,1
1548159289,3,1
1548160114,10,0
1548160974,3,2
1548162648,5,3
1548163735,7,0
1548164921,2,4
1548166474,4,6
1548167337,6,0
1548168164,2,7
1548169007,1,0
1548170152,1,6
1548171758,2,3
1548173164,4,3
1548174351,3,0
1548175362,2,5
1548177048,2,3
1548178557,2,1
1548179687,5,1
1548180956,5,7
1548181720,1,0
1548183419,1,4
1548184475,1,5
1548185324,2,2
1548186152,1,17
1548188076,1,5
1548189762,0,1
1548191369,3,4
1548193354,98,2
1548195272,1,2
1548196516,1,5
1548197749,1,3
1548198891,1,1
1548200564,1,11
1548201988,5,0
1548203514,6,5
1548204643,3,2
1548205857,2,5
1548206916,3,1
1548208594,13,13
1548209720,2,4
1548210513,4,0
1548211841,5,13
1548213057,6,9
1548214854,11,11
1548215800,1,0
1548216891,5,9
1548218565,3,20
1548219405,2,0
1548220563,4,7
1548222159,7,11
1548223007,2,1
1548224149,5,7
1548225353,4,5
1548226599,10,0
1548227757,2,10
1548228521,4,0
1548230196,5,7
1548231306,1,9
1548232117,3,0
1548232973,2,15
1548233817,3,0
1548234884,4,7
1548235728,10,0
1548236572,1,7
1548237411,2,1
1548238555,3,5
1548240174,8,3
1548242139,4,5
1548243770,5,7
1548246539,8,2
1548247360,0,4
1548249277,1,3
1548250557,2,4
1548252954,4,5
1548253717,1,0
1548254559,2,7
1548256007,3,3
1548257338,1,0
1548258176,0,1
1548260089,0,3
1548260930,1,0
1548261753,2,8
1548262606,1,0
1548263760,3,3
1548264935,5,2
1548266761,0,2
1548268955,0,2
1548270897,1,2
1548271729,1,1
1548273336,0,6
1548274472,2,2
1548275314,2,0
1548278090,1,6
1548279502,2,0
1548281695,1,2
1548284194,1,0
1548285349,0,4
1548286897,0,5
1548288352,2,6
1548290133,3,10
1548290576,0,1
1548292108,2,3
1548293500,9,4
1548296076,19,18
1548297468,5,9
1548299447,9,9
1548300524,4,0
1548302148,9,9
1548303348,1,1
1548304909,4,15
1548306879,4,1
1548308467,8,4
1548309420,2,0
1548310557,5,4
1548311751,0,7
1548313026,5,3
1548314076,1,3
1548315455,4,8
1548317692,4,5
1548319355,10,5
1548320676,5,4
1548321779,3,3
1548322131,2,0
1548323327,5,19
1548324656,1,4
1548325736,2,0
1548328479,5,9
