DateTime,AddedIPs,RemovedIPs
1547682638,14,118
1547683872,31,33
1547684074,16,1
1547685765,39,36
1547687009,23,43
1547687689,8,3
1547688513,15,3
1547689835,62,104
1547691039,49,44
1547692535,27,41
1547693741,20,12
1547694904,51,62
1547696279,22,75
1547698483,127,26
1547699314,16,1
1547701011,48,94
1547702152,49,36
1547703695,38,47
1547705464,101,57
1547707356,54,58
1547708202,13,1
1547709362,7,45
1547710885,44,55
1547712897,40,41
1547713720,8,0
1547715338,146,66
1547717322,117,27
1547719020,53,38
1547720923,44,39
1547721758,14,80
1547722595,18,3
1547723765,23,24
1547725376,30,75
1547726785,35,50
1547728298,40,45
1547728968,21,1
1547730894,44,53
1547731733,13,2
1547732578,6,91
1547734483,32,61
1547735754,125,30
1547737069,47,42
1547738441,25,54
1547739754,31,75
1547740904,42,64
1547742041,51,0
1547743387,47,66
1547744196,40,10
1547745352,57,28
1547746120,20,2
1547747731,36,55
1547749719,58,52
1547750552,41,59
1547751401,30,5
1547752742,57,69
1547753871,46,73
1547754991,26,1
1547756141,92,34
1547756909,14,0
1547758118,9,72
1547759670,37,34
1547761358,66,52
1547763270,115,30
1547764893,63,23
1547766872,50,23
1547768573,21,64
1547770493,71,47
1547772152,43,72
1547773845,61,28
1547775649,75,64
1547777689,92,43
1547779378,56,63
1547780686,38,72
1547782130,21,5
1547783796,59,63
1547785733,79,30
1547786575,32,65
1547787444,55,1
1547788486,68,60
1547790100,49,67
1547790996,19,1
1547792090,24,37
1547793706,61,58
1547795463,47,30
1547796886,42,52
1547799291,74,58
1547800905,80,119
1547801816,57,5
1547802880,19,40
1547803740,25,2
1547804567,43,61
1547806554,54,35
1547807318,42,0
1547808992,32,22
1547810147,37,47
1547811314,113,71
1547812589,51,15
1547813753,25,43
1547815379,31,165
1547817292,51,75
1547818986,99,132
1547819815,13,4
1547820951,13,50
1547822151,83,64
1547823433,59,32
1547824496,28,49
1547825331,29,1
1547826933,36,85
1547828165,30,77
1547829437,6,42
1547831681,60,77
1547832965,51,33
1547834132,26,3
1547835280,47,37
1547836532,119,46
1547836952,21,18
1547837813,42,2
1547838892,19,44
1547840130,107,50
1547840559,20,17
1547841938,37,31
1547843331,30,3
1547845009,68,55
1547846068,25,66
1547847340,13,50
1547848542,49,2
1547849748,44,54
1547850933,50,12
1547853285,45,25
1547854130,7,1
1547855513,13,67
1547856661,32,20
1547858496,89,42
1547859404,11,2
1547860554,38,69
1547861740,31,46
1547862152,2,1
1547864078,104,33
1547865339,32,52
1547866613,16,12
1547867695,139,50
1547869265,59,92
1547870389,35,28
1547871284,62,5
1547872557,35,106
1547872957,10,0
1547874650,46,69
1547875714,40,3
1547876575,8,79
1547878489,31,22
1547880086,29,37
1547882090,25,29
1547882930,9,0
1547883767,15,51
1547885686,83,90
1547886512,18,1
1547887438,38,168
1547889053,85,41
1547890634,55,39
1547892373,106,41
1547893722,78,4
1547896470,55,80
1547898072,32,57
1547899186,17,17
1547900331,27,6
1547901678,26,40
1547903010,89,20
1547904510,35,1
1547906200,22,111
1547907277,13,58
1547908873,8,46
1547910244,17,48
1547911710,8,4
1547912571,6,83
1547914488,38,60
1547915781,45,64
1547916946,15,3
1547918153,10,51
1547919756,29,63
1547921446,23,64
1547922512,56,2
1547924208,47,59
1547925284,28,49
1547927010,23,80
1547927811,22,2
1547928952,35,20
1547930489,58,85
1547931390,19,1
1547932478,13,79
1547933327,45,2
1547934944,38,92
1547936157,7,37
1547937299,14,17
1547937752,18,12
1547939453,22,13
1547940735,11,116
1547942212,6,16
1547943345,10,47
1547944970,78,98
1547945793,3,3
1547946889,13,55
1547947713,14,1
1547948574,8,82
1547949394,23,2
1547950552,56,40
1547951320,19,1
1547952161,38,44
1547953001,22,1
1547954147,15,47
1547954923,5,1
1547956595,72,85
1547957687,13,75
1547959280,17,85
1547961050,26,27
1547962239,15,52
1547962955,3,33
1547964345,10,36
1547966075,38,33
1547968243,10,75
1547968489,0,1
1547970152,26,80
1547971543,6,92
1547972920,10,0
1547973755,64,68
1547975449,28,48
1547977542,51,82
1547978749,22,23
1547980425,31,92
1547981741,46,1
1547982884,27,86
1547983727,51,2
1547984564,14,37
1547986482,42,45
1547987324,53,0
1547988948,13,115
1547990070,28,34
1547991369,30,79
1547992532,29,3
1547993751,15,91
1547995244,69,45
1547996555,8,46
1547997271,9,1
1547998960,17,28
1548000101,14,111
1548001251,40,1
1548001723,15,1
1548004252,17,102
1548005449,15,124
1548006160,6,46
1548006990,2,4
1548008091,5,56
1548009642,27,81
1548011445,47,75
1548011688,4,0
1548013282,37,63
1548014189,43,1
1548015350,20,49
1548016125,17,3
1548017396,12,34
1548018640,92,57
1548019717,25,2
1548020551,10,58
1548021406,10,1
1548023321,28,39
1548025033,20,27
1548026153,9,10
1548026928,7,0
1548028532,11,98
1548029680,17,20
1548030954,9,65
1548033282,47,32
1548034893,9,119
1548036372,16,14
1548037816,22,158
1548039412,11,2
1548040553,10,69
1548041758,23,79
1548043147,12,53
1548044074,32,1
1548044923,21,0
1548046178,24,65
1548047676,40,9
1548049377,51,66
1548050194,24,0
1548051272,24,12
1548052542,12,18
1548054665,26,75
1548055715,9,1
1548057063,17,71
1548057400,29,0
1548058495,55,71
1548059319,20,0
1548061855,20,184
1548063790,59,107
1548065455,34,50
1548067365,42,43
1548069272,33,20
1548070548,34,39
1548071818,25,12
1548073725,39,39
1548075809,64,79
1548076915,34,3
1548078144,39,14
1548079580,40,13
1548080920,71,4
1548081774,11,12
1548083691,39,44
1548084525,40,1
1548085368,8,46
1548086760,15,18
1548088063,8,1
1548089431,15,20
1548090877,24,28
1548091712,20,1
1548092552,27,61
1548094473,27,33
1548095313,9,2
1548096159,16,32
1548097845,93,48
1548098914,29,2
1548100234,71,65
1548101451,45,32
1548102744,51,68
1548104243,49,7
1548105650,25,43
1548106953,11,26
1548108354,43,23
