DateTime,AddedIPs,RemovedIPs
1547064954,1,0
1547066155,0,1
1547068478,2,0
1547070196,1,0
1547072941,1,0
1547073737,1,0
1547075432,1,2
1547077847,0,1
1547081814,3,0
1547090140,1,1
1547091266,1,0
1547095256,2,0
1547097356,1,0
1547100349,1,0
1547102751,1,0
1547104258,2,1
1547106161,2,1
1547116864,0,2
1547118888,1,0
1547120754,1,0
1547121399,0,1
1547129174,0,1
1547131371,2,0
1547140559,0,2
1547144076,2,0
1547147752,0,1
1547149255,1,0
1547150576,1,1
1547151807,0,1
1547153814,0,1
1547156446,1,1
1547160940,0,1
1547162173,0,3
1547164611,3,0
1547169278,0,1
1547171459,1,0
1547174168,1,0
1547175341,2,0
1547178171,1,0
1547180919,1,0
1547182665,1,0
1547188960,1,0
1547192562,1,1
1547193987,0,2
1547198171,1,0
1547208881,0,1
1547217767,0,1
1547219489,1,0
1547220668,0,1
1547223286,0,3
1547224956,1,0
1547230481,0,1
1547231316,1,0
1547234921,1,0
1547236551,1,1
1547239290,1,3
1547241062,0,1
1547242954,0,2
1547247418,2,2
1547252157,0,1
1547253348,0,1
1547260974,0,1
1547262881,1,0
1547264457,0,2
1547266515,1,1
1547273674,2,1
1547274912,1,1
1547277376,1,1
1547280895,1,0
1547282558,1,0
1547288078,0,1
1547290609,0,1
1547291689,0,1
1547302480,1,2
1547304100,1,0
1547310521,1,0
1547311370,0,1
1547314952,0,2
1547316886,2,0
1547318561,0,1
1547322175,0,1
1547325770,0,3
1547328538,1,0
1547330203,1,0
1547332736,0,1
1547334960,0,3
1547340173,0,1
1547342093,1,0
1547343963,0,1
1547347368,1,0
1547349367,1,0
1547350136,0,1
1547351816,3,1
1547369713,0,1
1547376175,1,0
1547377015,0,1
1547378149,1,0
1547385295,0,2
1547388890,0,1
1547395178,1,1
1547396451,2,0
1547397756,0,2
1547402203,1,0
1547404139,0,2
1547405450,0,1
1547406579,0,1
1547408565,0,2
1547412055,0,1
1547417449,0,1
1547419908,2,0
1547421277,1,0
1547423013,0,2
1547425735,1,0
1547428281,1,0
1547432087,1,0
1547433950,1,1
1547435697,1,1
1547441440,1,0
1547442879,0,2
1547444583,0,2
1547448067,1,1
1547449435,2,1
1547452560,2,0
1547453701,0,1
1547456155,2,1
1547457361,2,0
1547459876,1,0
1547462492,1,1
1547465334,0,1
1547468081,1,1
1547471451,2,2
1547476140,1,0
1547477794,0,1
1547480564,0,1
1547484154,1,0
1547485003,1,0
1547486073,2,2
1547486927,1,1
1547487754,1,1
1547488604,1,0
1547489747,1,2
1547492140,0,1
1547496345,1,0
1547497533,2,0
1547498751,1,0
1547500251,2,2
1547502158,3,0
1547504153,1,0
1547505328,0,2
1547505767,1,0
1547507683,2,0
1547509375,0,1
1547510765,0,1
1547513802,2,0
1547516567,1,0
1547517958,0,1
1547519845,0,2
1547520949,1,0
1547522152,0,1
1547525171,1,1
1547527376,1,0
1547533636,1,1
1547537320,0,1
1547538998,1,0
1547540095,1,0
1547541393,2,1
1547542618,0,1
1547543769,3,0
1547546162,1,0
1547547363,0,1
1547548886,1,2
1547550453,0,1
1547553400,2,0
1547554841,1,2
1547555318,0,1
1547557016,1,0
1547558086,1,0
1547559660,4,0
1547561690,2,0
1547562534,0,1
1547564137,2,1
1547566508,0,1
1547567803,0,1
1547569720,0,1
1547572475,2,1
1547574955,1,0
1547576155,0,1
1547578601,1,1
1547579678,0,2
1547580934,1,0
1547583288,2,1
1547584968,1,1
1547586246,0,1
1547588475,0,1
1547590486,0,2
1547591733,3,0
1547593728,3,2
1547594940,1,0
1547596604,2,1
1547597757,1,1
1547599187,1,0
1547602134,1,0
1547603816,0,1
1547604943,2,1
1547606567,1,0
1547609327,0,1
1547615692,8,1
1547619296,3,1
1547621344,1,0
1547626489,0,2
1547629514,0,4
1547632602,1,1
1547637277,1,0
1547642557,1,1
1547643416,2,0
1547644564,1,0
1547645696,0,1
1547649757,1,0
1547651295,0,1
1547654196,3,0
1547655292,0,1
1547656955,0,2
1547658890,2,2
1547662474,0,1
1547663700,1,0
1547664954,1,0
1547667778,0,2
1547671370,1,2
1547673351,2,1
1547674954,1,1
1547680252,1,0
1547682640,2,2
1547683874,1,1
1547688515,2,0
1547689838,1,0
1547692539,2,1
1547694906,1,1
1547698485,1,0
1547708204,1,0
1547710887,0,1
1547715341,1,2
1547719022,2,0
1547720925,0,2
1547723777,2,0
1547725377,2,2
1547726798,1,3
1547728304,2,0
1547728971,1,0
1547730897,0,1
1547732579,1,0
1547734485,1,0
1547737071,1,0
1547739756,0,1
1547740917,0,3
1547743388,3,2
1547749721,0,1
1547753873,1,0
1547754993,1,0
1547756143,2,0
1547758121,1,1
1547761360,1,3
1547763272,0,3
1547764895,1,3
1547766874,1,0
1547768574,1,3
1547770495,1,0
1547772154,1,0
1547775651,0,1
1547777691,1,0
1547779380,1,0
1547780700,1,0
1547783798,1,0
1547785735,0,1
1547788487,1,2
1547792092,0,1
1547800907,1,0
1547804570,0,1
1547806556,0,1
1547808994,1,0
1547810150,0,1
1547811318,0,1
1547813755,1,1
1547815381,3,0
1547819006,0,1
1547820953,1,0
1547822155,1,0
1547823435,1,1
1547824498,0,1
1547825333,1,0
1547829451,0,1
1547832969,0,1
1547834134,2,0
1547835282,1,1
1547840561,0,1
1547845009,0,2
1547846070,1,0
1547847341,1,0
1547849750,1,0
1547853288,0,2
1547855515,0,1
1547856663,2,0
1547858498,0,1
1547860557,1,0
1547861747,0,1
1547862153,1,0
1547864079,1,3
1547865343,1,4
1547866615,1,0
1547869269,1,0
1547870391,2,1
1547872559,2,0
1547872959,1,0
1547876577,1,0
1547878491,1,1
1547880088,1,0
1547882091,1,1
1547885687,0,1
1547887440,1,1
1547889055,1,1
1547892398,0,1
1547893723,1,0
1547896472,1,2
1547898074,2,1
1547900332,1,0
1547901680,0,3
1547912572,0,1
1547915796,1,0
1547924210,1,1
1547925286,0,1
1547927044,0,1
1547928956,1,1
1547931392,1,0
1547934946,1,1
1547937306,1,0
1547937754,0,1
1547940749,1,1
1547946890,0,1
1547948576,1,1
1547949396,1,0
1547953002,1,0
1547954150,0,1
1547956597,2,0
1547959296,0,1
1547961053,2,0
1547962248,1,0
1547966095,2,1
1547970154,1,1
1547977545,1,1
1547978751,0,1
1547984566,0,1
1547988950,1,1
1547990072,1,0
1547991369,1,2
1547995246,1,0
1547996570,1,1
1547997273,1,1
1547998962,0,1
1548004255,0,1
1548009645,1,0
1548011447,2,0
1548017397,0,2
1548020553,1,0
1548023322,2,1
