DateTime,Entries,UniqueIPs
1547064954,80,80
1547066155,79,79
1547068478,81,81
1547070196,82,82
1547072941,83,83
1547073737,84,84
1547075432,83,83
1547077847,82,82
1547081814,85,85
1547090140,85,85
1547091266,86,86
1547095256,88,88
1547097356,89,89
1547100349,90,90
1547102751,91,91
1547104258,92,92
1547106161,93,93
1547116864,91,91
1547118888,92,92
1547120754,93,93
1547121399,92,92
1547129174,91,91
1547131371,93,93
1547140559,91,91
1547144076,93,93
1547147752,92,92
1547149255,93,93
1547150576,93,93
1547151807,92,92
1547153814,91,91
1547156446,91,91
1547160940,90,90
1547162173,87,87
1547164611,90,90
1547169278,89,89
1547171459,90,90
1547174168,91,91
1547175341,93,93
1547178171,94,94
1547180919,95,95
1547182665,96,96
1547188960,97,97
1547192562,97,97
1547193987,95,95
1547198171,96,96
1547208881,95,95
1547217767,94,94
1547219489,95,95
1547220668,94,94
1547223286,91,91
1547224956,92,92
1547230481,91,91
1547231316,92,92
1547234921,93,93
1547236551,93,93
1547239290,91,91
1547241062,90,90
1547242954,88,88
1547247418,88,88
1547252157,87,87
1547253348,86,86
1547260974,85,85
1547262881,86,86
1547264457,84,84
1547266515,84,84
1547273674,85,85
1547274912,85,85
1547277376,85,85
1547280895,86,86
1547282558,87,87
1547288078,86,86
1547290609,85,85
1547291689,84,84
1547302480,83,83
1547304100,84,84
1547310521,85,85
1547311370,84,84
1547314952,82,82
1547316886,84,84
1547318561,83,83
1547322175,82,82
1547325770,79,79
1547328538,80,80
1547330203,81,81
1547332736,80,80
1547334960,77,77
1547340173,76,76
1547342093,77,77
1547343963,76,76
1547347368,77,77
1547349367,78,78
1547350136,77,77
1547351816,79,79
1547369713,78,78
1547376175,79,79
1547377015,78,78
1547378149,79,79
1547385295,77,77
1547388890,76,76
1547395178,76,76
1547396451,78,78
1547397756,76,76
1547402203,77,77
1547404139,75,75
1547405450,74,74
1547406579,73,73
1547408565,71,71
1547412055,70,70
1547417449,69,69
1547419908,71,71
1547421277,72,72
1547423013,70,70
1547425735,71,71
1547428281,72,72
1547432087,73,73
1547433950,73,73
1547435697,73,73
1547441440,74,74
1547442879,72,72
1547444583,70,70
1547448067,70,70
1547449435,71,71
1547452560,73,73
1547453701,72,72
1547456155,73,73
1547457361,75,75
1547459876,76,76
1547462492,76,76
1547465334,75,75
1547468081,75,75
1547471451,75,75
1547476140,76,76
1547477794,75,75
1547480564,74,74
1547484154,75,75
1547485003,76,76
1547486073,76,76
1547486927,76,76
1547487754,76,76
1547488604,77,77
1547489747,76,76
1547492140,75,75
1547496345,76,76
1547497533,78,78
1547498751,79,79
1547500251,79,79
1547502158,82,82
1547504153,83,83
1547505328,81,81
1547505767,82,82
1547507683,84,84
1547509375,83,83
1547510765,82,82
1547513802,84,84
1547516567,85,85
1547517958,84,84
1547519845,82,82
1547520949,83,83
1547522152,82,82
1547525171,82,82
1547527376,83,83
1547533636,83,83
1547537320,82,82
1547538998,83,83
1547540095,84,84
1547541393,85,85
1547542618,84,84
1547543769,87,87
