DateTime,Entries,UniqueIPs
1547686977,9373,9373
1547687664,9390,9390
1547688498,9399,9399
1547689822,9355,9355
1547691025,9367,9367
1547692521,9387,9387
1547693722,9392,9392
1547694871,9386,9386
1547696264,9376,9376
1547697588,9353,9353
1547698463,9355,9355
1547699300,9368,9368
1547700986,9350,9350
1547702127,9342,9342
1547703668,9333,9333
1547705435,9333,9333
1547707342,9346,9346
1547708188,9366,9366
1547709334,9345,9345
1547710868,9323,9323
1547712865,9311,9311
1547713703,9328,9328
1547715321,9259,9259
1547717303,9245,9245
1547718990,9216,9216
1547720904,9202,9202
1547721742,9171,9171
1547722580,9221,9221
1547723733,9252,9252
1547725356,9268,9268
1547726755,9275,9275
1547728262,9285,9285
1547728944,9300,9300
1547730874,9289,9289
1547731708,9300,9300
1547732557,9261,9261
1547734463,9258,9258
1547735739,9242,9242
1547737026,9251,9251
1547738413,9242,9242
1547739740,9237,9237
1547740879,9209,9209
1547742021,9217,9217
1547743339,9190,9190
1547744181,9199,9199
1547745324,9194,9194
1547746102,9207,9207
1547747718,9181,9181
1547749701,9189,9189
1547750538,9176,9176
1547751383,9207,9207
1547752729,9191,9191
1547753858,9175,9175
1547754978,9196,9196
1547756114,9150,9150
1547756897,9159,9159
1547758084,9127,9127
1547759658,9127,9127
1547761341,9110,9110
1547763257,9115,9115
1547764869,9093,9093
1547766859,9100,9100
1547768554,9087,9087
1547770460,9089,9089
1547772139,9074,9074
1547773823,9068,9068
1547775635,9050,9050
1547777671,9045,9045
1547779349,9008,9008
1547780649,9013,9013
1547782101,9040,9040
1547783781,9022,9022
1547785713,9031,9031
1547786560,9006,9006
1547787430,9018,9018
1547788472,9008,9008
1547790070,8991,8991
1547790980,9004,9004
1547792063,9001,9001
1547793686,8973,8973
1547795430,8974,8974
1547796854,8972,8972
1547799276,8981,8981
1547800891,8977,8977
1547801800,8994,8994
1547802862,8986,8986
1547803711,9004,9004
1547804546,8980,8980
1547806529,8984,8984
1547807303,9013,9013
1547808978,8979,8979
1547810124,8963,8963
1547811286,8953,8953
1547812547,9011,9011
1547813715,9044,9044
1547815364,8829,8829
1547817269,8901,8901
1547818971,8913,8913
1547819793,8949,8949
1547820933,8945,8945
1547822129,8938,8938
1547823409,8960,8960
1547824474,8968,8968
