DateTime,AddedIPs,RemovedIPs
1544625773,0,1
1544627460,2,0
1544628533,1,0
1544634985,0,1
1544638501,0,5
1544645679,1,0
1544648209,1,0
1544654458,0,1
1544666155,1,0
1544679768,0,1
1544692498,1,0
1544709400,1,0
1544710566,0,1
1544715660,0,1
1544718344,1,0
1544721354,0,1
1544722985,0,1
1544726073,1,0
1544728489,1,0
1544731000,1,0
1544740856,1,0
1544747504,0,1
1544752617,0,1
1544756146,5,0
1544757298,0,1
1544759807,1,0
1544776992,0,1
1544782903,2,0
1544796942,0,1
1544798454,0,3
1544807678,1,0
1544811284,1,0
1544828206,1,0
1544852570,1,0
1544875852,0,2
1544910171,0,1
1544924565,1,0
1544931778,1,0
1544950620,0,1
1544951698,1,0
1544955286,0,1
1544965850,0,1
1544969694,1,0
1544971360,1,0
1544973287,1,1
1544982161,0,1
1544985344,0,1
1545014576,1,0
1545016252,0,1
1545021662,0,1
1545023687,0,1
1545027278,1,0
1545033351,1,0
1545036177,0,2
1545043286,0,1
1545045289,2,0
1545046960,0,1
1545051043,1,0
1545059485,0,1
1545064963,1,0
1545074090,4,0
1545074921,1,0
1545089917,1,0
1545099356,0,1
1545108460,1,0
1545122471,0,1
1545124484,4,0
1545149767,1,0
1545160255,0,1
1545164085,1,0
1545175864,1,0
1545189092,1,0
1545198185,0,1
1545201288,0,1
1545218081,0,1
1545236066,0,1
1545252627,0,2
1545253775,1,0
1545261055,1,0
1545266153,1,1
1545267337,0,1
1545277373,1,0
1545279307,1,0
1545280718,1,0
1545294691,0,1
1545304555,1,0
1545317804,1,0
1545321957,0,2
1545324173,0,3
1545326094,0,1
1545340255,0,1
1545353560,1,0
1545360181,1,0
1545363108,1,0
1545365160,1,0
1545367363,1,0
1545380087,0,1
1545388967,0,2
1545405284,2,0
1545408875,2,0
1545414095,1,0
1545415549,1,0
1545422988,0,1
1545428559,1,0
1545429398,1,0
1545430478,0,1
1545442842,1,0
1545453677,1,0
1545478117,1,0
1545479651,4,0
1545481811,1,0
1545488154,0,1
1545494753,0,1
1545501128,0,1
1545502494,1,0
1545509681,0,1
1545510527,1,0
1545516885,1,0
1545518150,0,2
1545531270,0,1
1545545149,1,0
1545556485,4,0
1545562398,0,1
1545576529,0,1
1545604966,1,0
1545613015,0,1
1545617756,1,0
1545643818,1,0
1545649016,0,2
1545675352,0,1
1545687772,0,1
1545706601,1,0
1545714964,1,0
1545716589,1,0
1545720181,1,0
1545725156,0,1
1545726529,1,0
1545736480,0,1
1545741766,1,0
1545758082,0,1
1545767752,0,1
1545768891,0,1
1545778416,0,1
1545789400,0,2
1545790478,0,2
1545791957,0,1
1545795663,0,1
1545809757,0,1
1545826471,1,0
1545829850,0,2
1545848085,1,0
1545850611,0,1
1545851688,1,0
1545852930,0,1
1545854146,1,0
1545855297,0,1
1545858878,0,1
1545878453,0,1
1545903779,0,1
1545905688,1,0
1545909308,0,1
1545910973,0,1
1545923434,0,1
1545928839,0,1
1545930656,0,1
1545931886,0,1
1545938919,2,0
1545940145,1,0
1545941452,2,0
1545943259,3,1
1545956112,6,1
1545974088,1,0
1545981361,0,1
1545984653,0,1
1545991599,1,0
1545997361,1,0
1546006476,1,0
1546009006,0,1
1546010151,0,1
1546015376,0,1
1546024553,1,0
1546028160,1,0
1546032512,1,0
1546035350,3,0
1546038899,1,0
1546060485,1,0
1546063513,1,0
1546076466,0,1
1546078478,0,1
1546092345,1,0
1546094141,1,0
1546101759,1,0
1546116155,1,0
1546124982,0,1
1546126284,0,4
1546141268,0,1
1546143282,0,1
1546157204,0,2
1546168480,0,1
1546171555,0,1
1546174588,1,0
1546176530,3,0
1546178141,3,1
1546179654,1,0
1546180111,1,0
1546194539,1,0
1546200952,1,0
1546215300,1,0
1546235013,0,1
1546259320,1,0
1546263759,0,1
1546265677,0,2
1546267372,0,2
1546268942,2,3
1546270979,1,0
1546271798,0,1
1546285358,2,0
1546305660,3,0
1546329041,1,0
1546334103,0,1
1546344893,1,0
1546345719,1,0
1546349730,0,1
1546352078,1,0
1546355695,1,3
1546357370,0,3
1546359351,0,1
1546375259,0,1
1546378119,0,1
1546384485,1,0
1546401403,1,0
1546402566,1,0
1546430214,0,1
1546479786,0,2
1546485400,1,0
1546494220,0,1
1546500533,0,1
1546505818,1,0
1546508291,1,0
1546515078,0,1
1546521285,0,1
1546522566,1,0
1546531591,1,0
1546542890,1,0
1546556206,1,0
1546558968,0,1
1546560388,0,1
1546573384,0,1
1546575946,3,0
1546578655,4,1
1546582506,2,2
1546593346,1,0
1546607475,3,0
1546624549,0,1
1546630969,0,1
1546641348,0,1
1546643728,0,1
1546648119,1,0
1546673324,1,0
1546677371,1,0
1546679757,0,2
1546703755,1,1
1546706569,0,2
1546708255,0,5
1546709726,0,4
1546711557,0,7
1546714239,0,4
1546717366,1,0
1546718747,1,0
1546743415,0,1
1546752717,0,1
1546754204,1,0
1546756136,1,0
