DateTime,AddedIPs,RemovedIPs
1547879750,13,12
1547881238,28,25
1547881893,10,8
1547883573,27,25
1547884269,10,11
1547885015,17,12
1547885734,8,7
1547886454,7,15
1547887174,16,9
1547887894,9,11
1547888614,17,7
1547889575,16,15
1547890295,11,17
1547891014,19,20
1547891735,7,10
1547893173,26,16
1547893894,9,8
1547894614,10,8
1547895275,10,15
1547896055,19,11
1547896776,15,13
1547897494,14,15
1547898215,16,7
1547898934,13,15
1547899896,11,18
1547900605,11,12
1547901334,14,13
1547902054,13,15
1547903255,19,13
1547903975,12,13
1547904694,12,10
1547905441,20,9
1547906134,14,7
1547907093,12,46
1547907821,8,12
1547908535,13,19
1547909494,61,16
1547910695,24,21
1547911414,9,12
1547912614,15,24
1547916215,47,72
1547916935,13,13
1547917654,11,10
1547918375,11,11
1547919096,10,19
1547919815,8,7
1547921255,25,25
1547922215,17,12
1547922934,10,7
1547923654,6,13
1547924374,15,14
1547925093,10,21
1547926295,27,22
1547927017,9,16
1547928694,38,34
1547929415,8,21
1547930134,14,8
1547931095,14,26
1547931815,12,14
1547932534,13,19
1547933214,14,17
1547933993,8,6
1547934695,16,17
1547935414,15,54
1547936375,29,27
1547937576,19,24
1547939254,22,29
1547940218,20,28
1547941415,19,17
1547942136,14,18
1547943095,29,23
1547943816,21,13
1547944533,18,12
1547945255,24,9
1547945918,11,10
1547946525,10,12
1547947106,1,27971
1547948375,27977,0
1547949056,7,8
1547949841,14,1493
1547950074,0,26512
1547951023,27985,1
1547951737,39,11
1547952733,11,9505
1547953894,9511,16
1547954615,83,11
1547955217,9,8
1547955833,0,28166
1547956541,28161,1
1547957256,6,40
1547957974,10,8
1547958701,9,10
1547959437,13,5
1547960856,13,32
1547962317,28,26
1547963014,14,17
1547963738,11,18
1547964695,17,21
1547965414,15,11
1547966138,12,12
1547966689,12,18
1547967336,8,9
1547968777,36,21
1547969494,6,16
1547970213,6,11
1547971865,31,36
1547972613,16,8
1547973334,18,13
1547974054,15,13
1547975253,21,21
1547976214,16,15
1547976934,9,14
1547977656,14,17
1547978374,15,16
1547979095,11,13
1547979815,11,10
1547980546,18,13
1547981254,16,9
1547982455,16,29
1547983414,15,19
1547984377,14,24
1547985096,38,25
1547985779,12,11
1547986534,13,7
1547987973,23,28
1547988658,12,12
1547989415,16,17
1547990134,10,7
1547991575,31,34
1547993014,26,36
1547993699,6,11
1547994695,18,19
1547996134,32,56
1547997573,33,29
1547998295,8,11
1547999013,15,13
1547999735,19,14
1548000455,12,12
1548001414,2112,10
1548002615,24,15
1548003349,7,22213
1548004054,22217,4
