DateTime,AddedIPs,RemovedIPs
1545664802,138,108
1545671763,126,138
1545677523,78,71
1545683283,131,125
1545687122,63,80
1545691203,95,124
1545696963,50,68
1545702723,130,169
1545710644,77,146
1545718805,165,180
1545725763,136,84
1545729842,58,58
1545733683,84,46
1545738722,65,77
1545740643,94,57
1545744483,74,77
1545747605,75,72
1545751442,79,81
1545755763,115,95
1545763443,81,54
1545767523,118,114
1545775443,129,131
1545781445,58,82
1545787203,110,166
1545792963,75,69
1545797043,121,160
1545802804,100,121
1545808803,149,146
1545814563,65,56
1545816483,89,55
1545821523,133,88
1545827283,90,76
1545830174,83,65
1545834243,93,76
1545838083,80,75
1545840962,73,68
1545848162,134,108
1545853923,140,133
1545859683,82,75
1545862563,82,80
1545866404,68,102
1545872163,123,172
1545880082,105,139
1545886323,146,206
1545893523,140,127
1545899283,71,51
1545905043,114,101
1545911043,87,48
1545916803,126,110
1545920642,127,129
1545929764,133,113
1545935763,143,118
1545943922,97,80
1545947763,122,171
1545956404,131,164
1545960242,79,106
1545965523,75,79
1545970805,108,155
1545977762,152,191
1545981845,78,66
1545988804,110,102
1545992642,75,51
1545999362,77,45
1546001522,120,108
1546007282,90,67
1546013284,140,122
1546021204,149,124
1546026964,146,142
1546035843,117,130
1546039923,54,93
1546044008,81,97
1546046163,90,95
1546052162,82,80
1546056243,101,160
1546064407,159,190
1546068243,84,62
1546073283,53,47
1546077122,128,93
1546085763,128,97
1546089843,96,55
1546093683,75,82
1546098724,75,78
1546102563,128,97
1546107362,99,76
1546115283,129,137
1546122005,119,130
1546129204,94,182
1546133283,63,113
1546138322,64,165
1546146963,117,203
1546152963,90,135
1546158723,46,33
1546163763,38,33
1546165683,40,36
1546168563,33,35
1546172405,39,31
1546179362,50,67
1546187043,55,56
1546192811,53,59
1546200963,57,47
1546208643,49,64
1546213922,48,60
1546220882,83,49
1546226643,25,35
1546233363,110,148
1546239123,105,94
1546247766,59,38
1546251604,24,24
1546257363,54,48
1546262163,33,31
1546266004,34,37
1546273683,40,52
1546278723,30,21
1546282562,44,42
