DateTime,Entries,UniqueIPs
1545664802,6268,6268
1545671763,6256,6256
1545677523,6263,6263
1545683283,6269,6269
1545687122,6252,6252
1545691203,6223,6223
1545696963,6205,6205
1545702723,6166,6166
1545710644,6097,6097
1545718805,6082,6082
1545725763,6134,6134
1545729842,6134,6134
1545733683,6172,6172
1545738722,6160,6160
1545740643,6197,6197
1545744483,6194,6194
1545747605,6197,6197
1545751442,6195,6195
1545755763,6215,6215
1545763443,6242,6242
1545767523,6246,6246
1545775443,6244,6244
1545781445,6220,6220
1545787203,6164,6164
1545792963,6170,6170
1545797043,6131,6131
1545802804,6110,6110
1545808803,6113,6113
1545814563,6122,6122
1545816483,6156,6156
1545821523,6201,6201
1545827283,6215,6215
1545830174,6233,6233
1545834243,6250,6250
1545838083,6255,6255
1545840962,6260,6260
1545848162,6286,6286
1545853923,6293,6293
1545859683,6300,6300
1545862563,6302,6302
1545866404,6268,6268
1545872163,6219,6219
1545880082,6185,6185
1545886323,6125,6125
1545893523,6138,6138
1545899283,6158,6158
1545905043,6171,6171
1545911043,6210,6210
1545916803,6226,6226
1545920642,6224,6224
1545929764,6244,6244
1545935763,6269,6269
1545943922,6286,6286
1545947763,6237,6237
1545956404,6204,6204
1545960242,6177,6177
1545965523,6173,6173
1545970805,6126,6126
1545977762,6087,6087
1545981845,6099,6099
1545988804,6107,6107
1545992642,6131,6131
1545999362,6163,6163
1546001522,6175,6175
1546007282,6198,6198
1546013284,6216,6216
1546021204,6241,6241
1546026964,6245,6245
1546035843,6232,6232
1546039923,6193,6193
1546044008,6177,6177
1546046163,6172,6172
1546052162,6174,6174
1546056243,6115,6115
1546064407,6084,6084
1546068243,6106,6106
1546073283,6112,6112
1546077122,6147,6147
1546085763,6178,6178
1546089843,6219,6219
1546093683,6212,6212
1546098724,6209,6209
1546102563,6240,6240
1546107362,6263,6263
1546115283,6255,6255
1546122005,6244,6244
1546129204,6156,6156
1546133283,6106,6106
1546138322,6005,6005
1546146963,5919,5919
1546152963,5874,5874
1546158723,5887,5887
1546163763,5892,5892
1546165683,5896,5896
1546168563,5894,5894
1546172405,5902,5902
1546179362,5885,5885
1546187043,5884,5884
1546192811,5878,5878
1546200963,5888,5888
1546208643,5873,5873
1546213922,5861,5861
1546220882,5895,5895
1546226643,5885,5885
1546233363,5847,5847
1546239123,5858,5858
1546247766,5879,5879
1546251604,5879,5879
1546257363,5885,5885
1546262163,5887,5887
1546266004,5884,5884
1546273683,5872,5872
1546278723,5881,5881
1546282562,5883,5883
1546287363,5876,5876
1546291443,5867,5867
1546298404,5863,5863
1546302242,5860,5860
1546306082,5922,5922
1546308963,5988,5988
1546316642,5964,5964
1546322644,5953,5953
1546326483,5993,5993
1546332244,5998,5998
1546336322,6000,6000
1546342563,6000,6000
1546346406,6004,6004
1546354082,6007,6007
1546357922,6002,6002
1546365843,5998,5998
1546368006,6002,6002
1546374004,6010,6010
1546377843,5996,5996
1546383843,5988,5988
1546387683,5974,5974
1546393683,6025,6025
1546401362,6011,6011
1546406163,6005,6005
1546410242,6000,6000
1546416244,6023,6023
1546424403,6036,6036
1546428243,6040,6040
1546432083,6025,6025
1546438805,6033,6033
1546444563,6032,6032
1546451283,6047,6047
1546459443,6046,6046
1546463522,6041,6041
1546467363,6034,6034
1546473122,6027,6027
