DateTime,AddedIPs,RemovedIPs
1547145633,8,9
1547149714,30,30
1547153553,25,0
1547157625,22,37
1547159561,31,0
1547163631,43,30
1547165545,30,0
1547169379,28,0
1547171537,30,53
1547173472,35,0
1547175369,29,30
1547177563,30,12
1547179478,19,11
1547183561,25,27
1547187383,38,38
1547189554,32,24
1547191496,37,21
1547193367,24,12
1547197219,20,31
1547199132,17,14
1547201080,22,16
1547202969,11,20
1547205138,12,9
1547208977,14,31
1547211177,15,0
1547216919,18,43
1547218821,10,26
1547221957,23,24
1547224112,22,0
1547226020,16,29
1547227969,18,24
1547229862,11,0
1547231791,5,13
1547233725,14,11
1547235608,7,0
1547237799,27,22
1547239954,16,18
1547241847,28,0
1547247854,16,39
1547250283,21,37
1547252185,20,27
1547254092,3,0
1547256036,19,22
1547257957,4,32
1547259877,34,33
1547263953,34,26
1547267788,29,47
1547269938,20,0
1547271873,30,24
1547273808,32,30
1547275696,20,0
1547277652,25,32
1547279540,28,37
1547281480,4,23
1547283367,21,0
1547285542,13,36
1547287475,24,0
1547289641,5,32
1547291561,10,12
1547297558,36,10
1547299448,20,14
1547301369,26,0
1547307641,24,31
1547309822,26,23
1547311713,21,20
1547313618,29,16
1547317448,26,26
1547319399,18,8
1547321319,39,12
1547323473,22,6
1547325398,30,25
1547327317,28,20
1547329480,27,24
1547331384,35,0
1547333567,21,0
1547335456,26,13
1547337373,24,21
1547341454,28,22
1547343393,32,20
1547345557,27,5
1547347449,29,24
1547349638,32,0
1547351773,23,28
1547353947,26,0
1547355855,24,27
1547358049,27,20
1547359944,31,30
1547361874,29,30
1547363783,20,22
1547367855,28,60
1547369775,29,29
1547371715,8,0
1547375792,8,38
1547377719,8,5
1547379613,12,9
1547381562,38,0
1547383455,36,0
1547385383,27,28
1547387316,36,24
1547389478,36,23
1547393560,25,0
1547395485,25,15
1547397624,14,28
1547399849,19,18
1547401705,19,25
1547403612,26,0
1547405529,29,25
1547407480,33,19
1547411540,29,54
1547413478,29,22
1547415385,29,22
1547421401,23,86
1547423298,15,27
1547425245,29,22
1547427140,21,0
1547431228,28,57
1547433146,34,21
1547435058,23,29
1547436968,28,27
1547439177,20,18
1547441098,14,21
1547443006,21,31
1547447077,33,61
1547448994,22,26
1547450917,25,27
1547453079,22,0
1547455216,24,27
1547457161,11,27
1547459074,18,12
1547461241,7,0
1547465289,7,18
1547467216,12,10
1547469160,20,28
1547472979,16,60
1547474918,15,36
1547478997,18,32
1547480907,34,27
1547486658,22,69
1547488609,27,27
1547490492,33,20
1547492455,6,31
1547494356,4,37
1547496253,14,0
1547498190,6,28
1547500359,13,32
1547502259,28,39
1547504436,22,0
1547508281,22,18
1547512354,9,55
1547514253,5,25
1547518362,19,26
1547520248,23,25
1547522169,18,37
1547524091,10,24
1547526260,30,23
1547528187,15,20
1547530360,14,37
1547532257,18,0
1547534439,22,44
1547536361,25,34
1547538252,32,37
1547540167,22,20
1547542186,28,29
1547544278,32,10
1547546170,16,22
1547548357,10,9
1547552433,19,10
1547554331,11,12
1547556256,35,15
1547560113,38,17
1547563947,23,20
1547565898,35,21
1547567789,8,30
1547569938,19,0
1547572103,9,0
1547574013,8,24
1547576182,14,28
1547580261,25,40
1547582195,15,7
1547584338,11,17
1547588420,15,24
1547590361,15,31
1547592254,16,19
1547594446,17,0
1547596335,12,21
1547598279,30,0
1547600190,14,10
1547602093,24,5
1547604073,14,0
1547605942,10,16
1547607858,12,23
1547609771,11,21
1547611961,14,12
1547613854,29,33
1547617965,10,27
1547619853,36,17
1547623693,23,46
1547625636,18,34
1547627549,24,24
1547631374,12,60
1547633316,18,15
1547635476,9,11
1547637625,8,0
1547641481,8,26
1547643393,17,30
1547645561,35,0
1547647484,21,41
1547649639,28,0
1547651559,39,17
1547653455,26,37
1547655383,22,7
1547659477,37,31
1547661370,11,9
1547663550,13,11
1547665457,14,0
1547667406,16,25
1547669540,15,13
1547671471,21,15
1547675317,14,10
1547677236,16,15
1547681564,14,31
1547683483,12,12
1547685370,3,28
1547687544,17,16
1547689698,21,24
1547691612,26,12
1547693533,8,9
1547695469,24,14
1547699536,25,26
1547701463,16,32
1547703397,19,0
1547707474,31,47
1547709402,22,0
1547711294,31,24
1547713223,40,14
1547715159,23,22
1547717051,32,0
1547718969,18,16
1547721173,7,18
1547724991,17,18
1547727158,30,0
1547729050,36,8
1547730982,35,18
1547733134,21,33
1547736988,28,46
1547738888,38,31
1547740817,18,29
1547744656,24,23
1547746837,10,38
1547748760,29,10
1547750656,24,13
1547752838,36,14
1547754758,20,11
1547756673,30,15
1547758565,18,17
1547762421,19,21
1547764329,12,15
1547766276,15,0
1547768191,14,13
1547772032,10,19
1547774191,17,14
1547776096,28,0
1547779958,17,56
1547783769,30,22
1547785938,27,18
1547787883,30,16
1547791940,28,20
1547793849,37,0
1547795793,21,20
1547799643,3,100
1547801559,8,24
1547803811,11,30
1547805627,22,21
1547807542,3,0
1547809481,10,5
1547811389,38,0
1547813543,44,19
1547815453,53,68
1547817375,30,0
1547819559,27,61
1547821479,33,0
1547823368,15,0
1547825560,6,67
1547827479,10,20
1547829619,27,0
1547831542,14,19
1547833475,33,7
1547837311,33,50
1547841133,25,35
1547843079,25,50
1547844971,20,13
1547847140,21,0
1547849058,10,20
1547850975,14,9
1547853178,17,12
1547856973,31,17
1547861073,22,22
1547862967,35,29
1547865161,25,0
1547867077,20,22
1547868971,27,0
1547871152,28,28
1547875003,30,59
1547878823,33,31
1547880759,26,34
1547882699,39,23
1547884835,27,0
1547890912,24,25
1547892761,13,15
1547894675,8,2
1547896577,10,8
1547898495,21,37
1547902338,20,98
1547904251,39,38
1547906193,33,28
1547908342,28,32
1547910279,14,10
1547912199,35,11
1547914646,37,7
1547916752,23,25
1547918652,35,15
1547920836,24,35
1547922736,13,0
1547926572,24,31
1547928759,21,19
1547930652,25,23
1547932595,33,17
1547934758,17,21
1547936650,29,9
1547938850,21,16
1547940737,26,16
1547942685,30,0
1547946497,19,26
1547948443,18,19
1547950337,22,31
1547952255,29,27
1547954172,25,19
1547956090,25,27
1547958032,25,33
1547959938,28,0
1547961852,34,25
1547963789,17,0
1547965690,33,28
1547967625,16,27
1547970495,35,33
1547972423,26,28
1547974328,24,0
1547976280,21,0
1547978168,23,24
1547980093,5,15
1547982101,5,9
1547983948,9,11
1547985873,11,20
1547987769,19,0
1547989689,19,17
1547991639,25,35
1547993535,33,37
1547995721,23,26
1547999562,16,49
1548003375,26,64
1548005560,23,34
1548007475,20,22
1548009367,15,10
1548011560,29,0
1548013447,8,22
1548015639,6,17
1548017534,11,23
1548019447,9,33
1548021370,13,17
1548023543,25,31
1548025453,22,24
1548027390,15,28
1548029341,19,26
1548031232,16,0
1548033426,13,21
1548039131,27,73
1548041088,20,23
1548044905,25,58
1548046824,8,31
1548048732,14,33
1548050674,16,22
1548052568,27,32
1548054740,16,19
1548056655,34,0
1548058597,11,32
1548060755,17,45
1548062647,23,0
1548064585,14,51
1548066737,8,9
1548068656,3,5
1548070587,11,7
1548072491,11,16
1548074436,10,23
1548076358,23,18
1548078248,27,25
1548082356,11,64
1548084290,20,0
1548086438,24,21
1548092180,19,55
1548094339,20,27
1548096292,20,16
1548098180,8,29
1548100099,21,10
1548102009,12,0
1548103969,13,17
1548105870,20,12
1548109685,31,17
1548111865,30,48
1548113768,22,0
1548115961,31,40
1548117856,21,15
1548119767,24,0
1548121714,34,18
1548123877,18,0
1548125766,11,26
1548127714,27,20
1548131559,34,20
1548133483,32,9
1548135369,26,16
1548137315,31,16
1548141158,23,42
1548143049,39,0
1548145242,22,44
1548147148,9,0
1548149073,17,37
1548150988,19,18
1548152885,9,0
1548154851,14,6
1548156760,14,4
1548158656,9,11
1548160591,18,12
1548162523,12,8
1548164410,17,19
1548166360,21,26
1548168254,17,0
1548170460,18,10
1548172358,24,22
1548174251,25,22
1548176193,13,0
1548178088,26,0
1548181936,9,34
1548183876,13,18
1548187943,24,25
1548189854,22,14
1548191775,15,13
1548193692,28,16
1548195610,30,0
1548197577,16,29
1548199713,28,28
1548201646,19,23
1548203577,23,29
1548205461,7,16
1548207369,12,22
1548219136,20,119
1548221051,28,23
1548225139,30,59
1548227076,17,0
1548228979,31,25
1548230920,13,38
1548232835,19,24
1548234982,10,13
1548236898,17,19
1548239075,10,20
1548240965,5,9
1548242913,10,11
1548246737,14,28
1548248670,29,17
1548252760,15,31
1548256833,27,42
1548260652,23,75
1548262840,14,14
1548264984,9,22
1548269052,27,19
1548271229,16,17
1548273134,15,0
1548275095,34,26
1548276992,19,24
1548278888,29,14
1548280806,17,24
1548282738,16,31
1548284652,18,19
1548286577,12,31
1548290416,12,50
1548292335,15,14
1548294260,31,17
1548296425,31,0
1548298345,13,0
1548300255,30,0
1548302170,22,0
1548304350,33,0
1548306285,22,25
1548308415,29,25
1548310374,34,0
1548312265,43,26
1548316099,32,46
1548318261,28,14
1548320442,24,24
1548322356,14,9
1548326195,11,26
1548328343,12,4
