DateTime,Entries,UniqueIPs
1547145633,749,763
1547149714,749,763
1547153553,773,788
1547157625,758,773
1547159561,787,804
1547163631,798,817
1547165545,826,847
1547169379,853,875
1547171537,831,852
1547173472,864,887
1547175369,864,886
1547177563,876,904
1547179478,880,912
1547183561,877,910
1547187383,873,910
1547189554,881,918
1547191496,896,934
1547193367,905,946
1547197219,893,935
1547199132,896,938
1547201080,902,944
1547202969,895,935
1547205138,898,938
1547208977,880,921
1547211177,895,936
1547216919,869,911
1547218821,855,895
1547221957,858,894
1547224112,880,916
1547226020,869,903
1547227969,864,897
1547229862,875,908
1547231791,867,900
1547233725,875,903
1547235608,882,910
1547237799,889,915
1547239954,888,913
1547241847,913,941
1547247854,888,918
1547250283,870,902
1547252185,863,895
1547254092,866,898
1547256036,863,895
1547257957,836,867
1547259877,836,868
1547263953,844,876
1547267788,828,858
1547269938,842,878
1547271873,847,884
1547273808,850,886
1547275696,869,906
1547277652,863,899
1547279540,853,890
1547281480,835,871
1547283367,856,892
1547285542,833,869
1547287475,856,893
1547289641,830,866
1547291561,830,864
1547297558,854,890
1547299448,862,896
1547301369,885,922
1547307641,878,915
1547309822,884,918
1547311713,885,919
1547313618,897,932
1547317448,896,932
1547319399,906,942
1547321319,933,969
1547323473,948,985
1547325398,949,990
1547327317,958,998
1547329480,961,1001
1547331384,996,1036
1547333567,1017,1057
1547335456,1029,1070
1547337373,1034,1073
1547341454,1040,1079
1547343393,1051,1091
1547345557,1074,1113
1547347449,1078,1118
1547349638,1104,1150
1547351773,1099,1145
1547353947,1125,1171
1547355855,1121,1168
1547358049,1131,1175
1547359944,1133,1176
1547361874,1132,1175
1547363783,1130,1173
1547367855,1096,1141
1547369775,1097,1141
1547371715,1105,1149
1547375792,1076,1119
1547377719,1079,1122
1547379613,1082,1125
1547381562,1120,1163
1547383455,1156,1199
1547385383,1157,1198
1547387316,1174,1210
1547389478,1188,1223
1547393560,1213,1248
1547395485,1223,1258
1547397624,1209,1244
1547399849,1210,1245
1547401705,1204,1239
1547403612,1228,1265
1547405529,1234,1269
1547407480,1247,1283
1547411540,1223,1258
1547413478,1229,1265
1547415385,1235,1272
1547421401,1171,1209
1547423298,1159,1197
1547425245,1167,1204
1547427140,1187,1225
1547431228,1158,1196
1547433146,1172,1209
1547435058,1166,1203
1547436968,1162,1204
1547439177,1162,1206
1547441098,1155,1199
1547443006,1144,1189
1547447077,1116,1161
1547448994,1113,1157
1547450917,1113,1155
1547453079,1135,1177
1547455216,1134,1174
1547457161,1119,1158
1547459074,1125,1164
1547461241,1131,1171
1547465289,1120,1160
1547467216,1122,1162
1547469160,1113,1154
1547472979,1069,1110
1547474918,1047,1089
1547478997,1033,1075
1547480907,1041,1082
1547486658,996,1035
1547488609,996,1035
1547490492,1010,1048
1547492455,986,1023
1547494356,953,990
1547496253,967,1004
1547498190,947,982
1547500359,929,963
1547502259,917,952
1547504436,939,974
1547508281,945,978
1547512354,903,932
1547514253,883,912
1547518362,875,905
1547520248,875,903
1547522169,857,884
1547524091,843,870
1547526260,851,877
1547528187,847,872
1547530360,823,849
1547532257,837,867
1547534439,815,845
1547536361,809,836
1547538252,806,831
1547540167,808,833
1547542186,810,832
1547544278,831,854
1547546170,830,848
1547548357,832,849
1547552433,840,858
1547554331,839,857
1547556256,857,877
1547560113,878,898
1547563947,884,901
1547565898,898,915
1547567789,876,893
1547569938,895,912
1547572103,904,921
1547574013,888,905
1547576182,874,891
1547580261,856,876
1547582195,864,884
1547584338,858,878
1547588420,848,869
1547590361,832,853
