DateTime,Entries,UniqueIPs
1546728742,10171,10171
1546731185,9984,9984
1546733082,9938,9938
1546735235,10077,10077
1546737137,10065,10065
1546738813,10032,10032
1546739778,9979,9979
1546741459,9949,9949
1546742451,10068,10068
1546745072,9861,9861
1546746802,9975,9975
1546748415,9958,9958
1546750367,9878,9878
1546752738,9723,9723
1546753699,9844,9844
1546755887,9809,9809
1546757770,9585,9585
1546759241,9564,9564
1546761639,9556,9556
1546763085,9701,9701
1546765943,9603,9603
1546768099,9581,9581
1546769602,9694,9694
1546771544,9489,9489
1546773877,9441,9441
1546775559,9606,9606
1546776990,9741,9741
1546778670,9733,9733
1546781071,9753,9753
1546782749,9758,9758
1546784443,9786,9786
1546786593,9794,9794
1546789728,9705,9705
1546791221,9768,9768
1546792337,9808,9808
1546794010,9838,9838
1546794996,9912,9912
1546796450,10113,10113
1546798597,10129,10129
1546800052,10223,10223
1546808190,9724,9724
1546825254,8908,8908
1546831717,8679,8679
1546834355,8751,8751
1546836293,8774,8774
1546838449,8848,8848
1546840888,8700,8700
1546843466,8775,8775
1546845850,8676,8676
1546847554,8855,8855
1546851391,8700,8700
1546853552,8759,8759
1546855237,8770,8770
1546857854,8822,8822
1546860762,8643,8643
1546861935,8838,8838
1546864364,8713,8713
1546866006,8710,8710
1546867688,8681,8681
1546869147,8871,8871
1546870843,8896,8896
1546872994,8689,8689
1546873930,8856,8856
1546875612,9028,9028
1546876886,9029,9029
1546878758,8874,8874
1546880194,9089,9089
1546881661,8934,8934
1546883088,8880,8880
1546884531,9075,9075
1546885969,9112,9112
1546887879,8978,8978
1546889560,9219,9219
1546890520,9437,9437
1546895323,9304,9304
1546913059,9596,9596
1546930575,8949,8949
1546940684,8498,8498
1546948592,8104,8104
1546959872,7209,7209
1546962272,7082,7082
1546967072,6565,6565
1546969471,6516,6516
1546971162,6266,6266
1546973312,6237,6237
1546975491,6300,6300
1546978359,5978,5978
1546981483,6248,6248
1546985568,5926,5926
1546988426,6210,6210
1546990596,6432,6432
1546992991,6690,6690
1546995413,6983,6983
1546997069,7289,7289
1546999479,7019,7019
1547001873,7306,7306
1547004027,7611,7611
1547005470,7839,7839
1547007850,8059,8059
1547012198,8409,8409
1547015528,8688,8688
1547021075,8651,8651
1547023471,8969,8969
1547025629,9241,9241
1547029240,9217,9217
1547033155,9544,9544
1547034995,9416,9416
1547038362,9706,9706
1547040061,9918,9918
1547041944,10125,10125
1547045317,10327,10327
1547047969,10295,10295
1547049651,10247,10247
1547050705,10430,10430
1547052284,10596,10596
1547053950,10573,10573
1547055640,10754,10754
1547057797,10594,10594
1547059476,10756,10756
1547060920,10751,10751
1547062366,10647,10647
1547063539,10814,10814
1547064513,11010,11010
1547066189,10971,10971
1547067874,11132,11132
1547068849,11079,11079
1547070091,11211,11211
1547071486,11347,11347
1547073167,11255,11255
1547074132,11417,11417
1547077482,11179,11179
1547080852,11137,11137
1547083465,11119,11119
1547087537,10853,10853
1547090198,10786,10786
1547091881,10404,10404
1547092876,10581,10581
1547093778,10725,10725
1547095453,10659,10659
1547097137,10820,10820
1547098814,10749,10749
1547100996,10891,10891
1547104366,10817,10817
1547107488,10768,10768
1547110357,10637,10637
1547111330,10794,10794
1547112281,10721,10721
1547114937,10890,10890
1547118259,10798,10798
1547119233,10998,10998
1547120286,10864,10864
1547122600,10820,10820
1547124259,11010,11010
1547126176,11031,11031
1547127162,11000,11000
1547128848,10975,10975
1547129787,11104,11104
1547131246,11260,11260
1547133643,11332,11332
1547134590,11319,11319
1547136051,11452,11452
1547136998,11426,11426
1547138203,11419,11419
1547139154,11411,11411
1547140125,11529,11529
1547141077,11530,11530
1547142759,11532,11532
1547144675,11563,11563
1547146350,11623,11623
1547148758,11563,11563
1547151159,11237,11237
1547154273,11216,11216
1547157151,10985,10985
1547158595,11019,11019
1547160761,10888,10888
1547163635,11038,11038
1547166753,11047,11047
1547171072,10841,10841
1547175880,10903,10903
1547180920,10474,10474
1547185954,10172,10172
1547190273,10255,10255
1547193875,10305,10305
1547197962,10035,10035
1547201083,10013,10013
1547204676,9921,9921
1547208258,9762,9762
1547209222,9799,9799
1547210201,9938,9938
1547211850,9907,9907
1547213558,9935,9935
1547215240,9980,9980
1547216203,9852,9852
1547217881,9876,9876
1547219323,10099,10099
1547221449,9985,9985
1547222980,10069,10069
1547224116,10269,10269
1547225801,10187,10187
1547226992,10248,10248
1547227971,10284,10284
1547229388,10294,10294
1547231069,10457,10457
1547232016,10397,10397
1547233002,10348,10348
1547234197,10586,10586
1547235855,10615,10615
1547236828,10795,10795
1547238283,10818,10818
1547239964,10975,10975
1547241137,11045,11045
1547242812,11258,11258
1547243776,11248,11248
1547245481,11235,11235
1547246937,11408,11408
1547248340,11476,11476
1547249564,11620,11620
1547251242,11635,11635
1547252236,11814,11814
1547256046,11872,11872
1547258922,11901,11901
1547261562,12117,12117
1547262746,12065,12065
1547265152,12268,12268
1547267070,12477,12477
1547268518,12379,12379
1547273060,12354,12354
1547274971,12500,12500
1547276665,12683,12683
1547280181,12627,12627
1547281947,12639,12639
1547283854,12798,12798
1547286248,12792,12792
1547287941,12726,12726
1547289644,12898,12898
1547291081,12855,12855
1547292736,13008,13008
1547295159,13028,13028
1547296114,12957,12957
1547297075,12998,12998
1547298763,12942,12942
1547300661,12961,12961
1547302344,12962,12962
1547304516,12714,12714
1547305486,12859,12859
1547307141,12818,12818
1547308813,12800,12800
1547310740,12511,12511
1547311716,12648,12648
1547313170,12657,12657
1547314340,12635,12635
1547316737,12425,12425
1547318683,12289,12289
1547320847,12166,12166
1547322522,12166,12166
1547323476,12141,12141
1547324423,12329,12329
1547327327,12173,12173
1547328985,12049,12049
1547330673,11864,11864
1547333570,11680,11680
1547336681,11439,11439
1547337629,11550,11550
1547339563,11293,11293
1547341935,11496,11496
1547343608,11489,11489
1547345079,11698,11698
1547346745,11643,11643
1547349143,11675,11675
1547350819,11672,11672
1547352291,11637,11637
1547354447,11600,11600
1547356354,11579,11579
1547358496,11753,11753
1547360441,11784,11784
1547362343,11780,11780
1547365946,11746,11746
1547368842,11483,11483
1547370530,11439,11439
1547371718,11633,11633
1547373387,11570,11570
1547376512,11421,11421
1547378181,11401,11401
1547379848,11358,11358
1547382157,11433,11433
1547383957,11250,11250
1547385387,11247,11247
1547387767,11226,11226
1547388046,11243,11243
1547389946,11234,11234
1547390895,11388,11388
1547392369,11252,11252
1547395496,11130,11130
1547397888,11164,11164
1547398819,11143,11143
1547400486,11112,11112
1547401948,11053,11053
1547404359,11066,11066
1547406761,11115,11115
1547407966,11064,11064
1547409402,11101,11101
1547411081,10952,10952
1547413489,11132,11132
1547414921,11125,11125
1547416594,11140,11140
1547418256,11121,11121
1547420433,11102,11102
1547423799,11146,11146
1547426672,10983,10983
1547429075,10924,10924
1547431724,10744,10744
1547433613,10719,10719
1547435572,10678,10678
1547437469,10635,10635
1547440117,10655,10655
1547442021,10635,10635
1547443009,10629,10629
1547444909,10627,10627
1547446584,10806,10806
1547448036,10733,10733
1547449967,10730,10730
1547452095,10909,10909
1547453797,10938,10938
1547454863,11099,11099
1547456662,11132,11132
1547458354,10947,10947
1547460762,10949,10949
1547462418,11071,11071
1547464369,11054,11054
1547465292,11017,11017
1547466257,10999,10999
1547467219,11126,11126
1547494366,9201,9201
1547498918,8851,8851
1547509968,8247,8247
1547513070,8341,8341
1547517873,8423,8423
1547520970,8302,8302
1547527258,8012,8012
1547530371,7891,7891
1547534453,7553,7553
1547551965,5843,5843
1547566094,5490,5490
1547571623,5892,5892
1547575248,6252,6252
1547578348,6600,6600
1547582205,6516,6516
1547584597,6905,6905
1547587936,6811,6811
1547591538,7216,7216
1547593937,7518,7518
1547597801,7578,7578
1547602353,7517,7517
1547606207,7557,7557
1547609781,7583,7583
1547613136,7915,7915
1547616520,7978,7978
1547620372,8079,8079
1547622970,8000,8000
1547627798,8360,8360
1547631883,8765,8765
1547634038,9093,9093
1547645058,9130,9130
1547653711,9158,9158
1547658048,9162,9162
1547662362,9165,9165
1547666439,9169,9169
1547670764,9254,9254
1547678186,8647,8647
1547681567,8648,8648
1547686594,8536,8536
1547692365,8540,8540
1547697176,8145,8145
1547702673,8087,8087
1547706750,7969,7969
1547712279,7443,7443
1547715162,7318,7318
1547718737,7174,7174
1547723566,6982,6982
1547725456,7216,7216
1547729061,7466,7466
1547733680,7423,7423
1547803226,3349,3349
1547805638,3283,3283
1547809484,3632,3632
1547812119,3396,3396
1547815230,3765,3765
1547820043,3809,3809
1547823875,3435,3435
1547828650,3854,3854
1547843089,4431,4431
1547850032,4800,4800
1547871643,5553,5553
1547913867,3977,3977
1547928762,4034,4034
1547942211,3210,3210
1547969293,3139,3139
1547980594,3587,3587
1547991650,3949,3949
1547994259,4231,4231
1548001491,3966,3966
1548015650,3924,3924
1548032683,3644,3644
1548060251,3804,3804
1548063159,4120,4120
1548066277,4420,4420
1548084293,4126,4126
1548085958,4456,4456
1548089293,4437,4437
1548092677,4853,4853
1548095561,5155,5155
1548098686,5529,5529
1548102021,5890,5890
1548105394,5813,5813
1548108517,6169,6169
1548111412,6509,6509
1548114272,6781,6781
1548117145,7129,7129
1548119770,6859,6859
1548122920,7224,7224
1548126274,7584,7584
1548128209,7843,7843
1548131562,8178,8178
1548133963,8432,8432
1548137317,8695,8695
1548139718,8938,8938
1548142594,9258,9258
1548145932,9451,9451
1548148331,9438,9438
1548150271,9374,9374
1548152887,9138,9138
1548155531,9324,9324
1548157927,9490,9490
1548159870,9712,9712
1548162035,9872,9872
1548164190,10084,10084
1548166365,10276,10276
1548168758,10492,10492
1548171876,10522,10522
1548174008,10510,10510
1548178599,10510,10510
1548180997,10526,10526
1548183878,10635,10635
1548186031,10590,10590
1548189138,10524,10524
1548192032,10490,10490
1548194199,10733,10733
1548196592,10723,10723
1548199247,10750,10750
1548222043,9086,9086
1548222996,9390,9390
1548224671,9412,9412
1548225644,9588,9588
1548226575,9464,9464
1548227544,9599,9599
1548228514,9781,9781
1548229484,9629,9629
1548230434,9758,9758
1548231387,9903,9903
1548232364,9838,9838
1548234029,10024,10024
