DateTime,AddedIPs,RemovedIPs
1546728742,375,375
1546731185,332,332
1546733082,375,370
1546735235,417,420
1546737137,386,385
1546738813,384,386
1546739778,351,351
1546741459,367,369
1546742451,348,348
1546745072,355,355
1546746802,343,346
1546748415,368,360
1546750367,374,380
1546752738,374,367
1546753699,362,367
1546755887,389,386
1546757770,361,358
1546759241,366,370
1546761639,393,396
1546763085,361,369
1546765943,371,363
1546768099,383,390
1546769602,347,344
1546771544,347,344
1546773877,380,377
1546775559,374,380
1546776990,359,352
1546778670,399,400
1546781071,435,439
1546782749,433,429
1546784443,415,419
1546786593,406,408
1546789728,414,406
1546791221,385,390
1546792337,387,379
1546794010,390,395
1546794996,395,395
1546796450,399,400
1546798597,392,385
1546800052,439,442
1546808190,529,527
1546825254,673,708
1546831717,496,508
1546834355,432,415
1546836293,403,410
1546838449,431,431
1546840888,407,422
1546843466,404,395
1546845850,431,434
1546847554,421,413
1546851391,428,427
1546853552,429,427
1546855237,432,418
1546857854,392,396
1546860762,388,390
1546861935,406,397
1546864364,447,450
1546866006,439,422
1546867688,433,435
1546869147,428,435
1546870843,433,426
1546872994,472,470
1546873930,408,411
1546875612,408,410
1546876886,404,404
1546878758,474,465
1546880194,470,474
1546881661,470,467
1546883088,461,463
1546884531,424,424
1546885969,468,471
1546887879,457,459
1546889560,461,460
1546890520,425,423
1546895323,502,506
1546913059,801,808
1546930575,709,706
1546940684,571,572
1546948592,571,559
1546959872,577,577
1546962272,472,470
1546967072,480,485
1546969471,422,422
1546971162,397,400
1546973312,467,464
1546975491,490,488
1546978359,501,499
1546981483,492,498
1546985568,473,469
1546988426,487,490
1546990596,450,451
1546992991,471,477
1546995413,487,486
1546997069,494,497
1546999479,467,477
1547001873,483,479
1547004027,500,489
1547005470,459,489
1547007850,441,430
1547012198,545,544
1547015528,493,488
1547021075,517,511
1547023471,480,479
1547025629,513,510
1547029240,519,516
1547033155,545,540
1547034995,502,500
1547038362,475,480
1547040061,444,439
1547041944,435,434
1547045317,414,415
1547047969,392,397
1547049651,392,391
1547050705,382,380
1547052284,392,399
1547053950,385,380
1547055640,402,397
1547057797,426,432
1547059476,422,418
1547060920,444,438
1547062366,459,470
1547063539,430,426
1547064513,426,435
1547066189,470,457
1547067874,446,448
1547068849,433,433
1547070091,423,425
1547071486,384,384
1547073167,394,395
1547074132,397,397
1547077482,431,431
1547080852,429,428
1547083465,481,497
1547087537,457,451
1547090198,403,403
1547091881,381,382
1547092876,368,375
1547093778,393,387
1547095453,409,410
1547097137,370,381
1547098814,394,383
1547100996,389,384
1547104366,410,414
1547107488,419,418
1547110357,427,425
1547111330,407,409
1547112281,445,449
1547114937,447,447
1547118259,426,414
1547119233,444,445
1547120286,424,435
1547122600,408,397
1547124259,435,437
1547126176,467,479
1547127162,409,398
1547128848,402,404
1547129787,386,384
1547131246,402,399
1547133643,461,468
1547134590,433,431
1547136051,372,369
1547136998,364,363
1547138203,383,385
1547139154,429,427
1547140125,373,374
1547141077,390,396
1547142759,442,435
1547144675,475,470
1547146350,464,475
1547148758,481,469
1547151159,413,411
1547154273,459,462
1547157151,429,426
1547158595,461,466
1547160761,456,457
1547163635,453,451
1547166753,469,472
1547171072,491,490
1547175880,465,473
1547180920,447,451
1547185954,459,455
1547190273,500,498
1547193875,509,515
1547197962,471,464
1547201083,478,469
1547204676,502,505
1547208258,476,476
1547209222,468,469
1547210201,450,451
1547211850,438,433
1547213558,455,457
1547215240,444,440
1547216203,429,426
1547217881,461,464
1547219323,471,468
1547221449,470,471
1547222980,448,453
1547224116,487,486
1547225801,485,484
1547226992,461,456
1547227971,447,457
1547229388,468,458
1547231069,444,448
1547232016,424,427
1547233002,424,421
1547234197,469,464
1547235855,486,490
1547236828,432,434
1547238283,470,471
1547239964,472,473
1547241137,477,476
1547242812,474,479
1547243776,447,445
1547245481,453,452
1547246937,456,454
1547248340,489,487
1547249564,477,482
1547251242,434,426
1547252236,439,444
1547256046,515,529
1547258922,514,513
1547261562,503,498
1547262746,399,397
1547265152,452,454
1547267070,471,465
1547268518,454,461
1547273060,467,458
1547274971,450,451
1547276665,410,421
1547280181,444,434
1547281947,469,471
1547283854,471,472
1547286248,455,461
1547287941,462,457
1547289644,417,410
1547291081,436,442
1547292736,416,417
1547295159,442,441
1547296114,415,412
1547297075,427,423
1547298763,433,434
1547300661,450,450
1547302344,445,450
1547304516,406,400
1547305486,377,383
1547307141,416,411
1547308813,428,432
1547310740,424,421
1547311716,409,410
1547313170,455,455
1547314340,455,453
1547316737,467,472
1547318683,404,405
1547320847,464,463
1547322522,451,451
1547323476,393,388
1547324423,433,435
1547327327,484,482
1547328985,452,456
1547330673,410,411
1547333570,427,435
1547336681,450,444
1547337629,364,363
1547339563,371,374
1547341935,432,433
1547343608,451,454
1547345079,447,443
1547346745,444,444
1547349143,481,485
1547350819,455,458
1547352291,420,412
1547354447,401,422
1547356354,386,368
1547358496,414,411
1547360441,473,471
1547362343,481,481
1547365946,404,412
1547368842,424,409
1547370530,397,409
1547371718,446,455
1547373387,450,439
1547376512,429,431
1547378181,409,406
1547379848,379,381
1547382157,459,463
1547383957,467,461
1547385387,383,390
1547387767,375,362
1547388046,40,42
1547389946,378,378
1547390895,382,377
1547392369,382,388
1547395496,436,428
1547397888,418,421
1547398819,387,384
1547400486,407,413
1547401948,402,410
1547404359,424,413
1547406761,443,443
1547407966,432,430
1547409402,403,407
1547411081,475,471
1547413489,479,482
1547414921,413,412
1547416594,413,413
1547418256,415,414
1547420433,419,419
1547423799,435,435
1547426672,401,405
1547429075,378,374
1547431724,426,432
1547433613,434,439
1547435572,414,407
1547437469,396,395
1547440117,431,429
1547442021,406,405
1547443009,404,407
1547444909,426,423
1547446584,403,406
1547448036,380,379
1547449967,421,422
1547452095,418,415
1547453797,409,412
1547454863,419,420
1547456662,435,428
1547458354,398,405
1547460762,404,402
1547462418,364,370
1547464369,394,395
1547465292,390,381
1547466257,380,391
1547467219,391,384
1547494366,809,807
1547498918,514,515
1547509968,571,571
1547513070,474,478
1547517873,646,641
1547520970,510,513
1547527258,516,519
1547530371,466,461
1547534453,482,481
1547551965,708,703
1547566094,602,605
1547571623,532,531
1547575248,471,469
1547578348,504,504
1547582205,512,512
1547584597,486,490
1547587936,480,475
1547591538,533,535
1547593937,508,508
1547597801,532,535
1547602353,552,548
1547606207,529,531
1547609781,530,527
1547613136,501,508
1547616520,540,542
1547620372,546,541
1547622970,538,538
1547627798,571,576
1547631883,575,568
1547634038,531,536
1547645058,653,647
1547653711,564,567
1547658048,482,481
1547662362,543,547
1547666439,506,501
1547670764,520,519
1547678186,598,602
1547681567,519,524
1547686594,533,528
1547692365,562,561
1547697176,534,542
1547702673,522,512
1547706750,432,442
1547712279,451,451
1547715162,461,457
1547718737,476,485
1547723566,475,476
1547725456,421,407
1547729061,446,451
1547733680,494,490
1547803226,934,951
1547805638,427,415
1547809484,476,474
1547812119,496,495
1547815230,502,499
1547820043,541,540
1547823875,534,530
1547828650,522,524
1547843089,663,664
1547850032,555,555
1547871643,924,939
1547913867,970,955
1547928762,711,713
1547942211,644,640
1547969293,880,886
1547980594,514,521
1547991650,461,456
1547994259,399,405
1548001491,522,513
1548015650,600,597
1548032683,602,599
1548060251,743,755
1548063159,487,483
1548066277,465,461
1548084293,693,692
1548085958,494,494
1548089293,506,509
1548092677,520,513
1548095561,497,502
1548098686,492,488
1548102021,528,531
1548105394,523,522
1548108517,514,516
1548111412,511,513
1548114272,490,491
1548117145,521,517
1548119770,516,517
1548122920,528,525
1548126274,523,524
1548128209,497,500
1548131562,512,511
1548133963,505,503
1548137317,467,474
1548139718,443,437
1548142594,522,523
1548145932,511,515
1548148331,394,394
1548150271,392,385
1548152887,429,436
1548155531,425,418
1548157927,384,387
1548159870,452,454
1548162035,446,441
1548164190,464,464
1548166365,476,474
1548168758,463,465
1548171876,497,499
1548174008,492,495
1548178599,527,525
1548180997,499,500
1548183878,502,499
1548186031,505,510
1548189138,494,492
1548192032,459,461
1548194199,486,484
1548196592,518,515
1548199247,516,515
1548222043,767,770
1548222996,497,494
1548224671,485,492
1548225644,470,468
1548226575,391,390
1548227544,366,364
1548228514,404,408
1548229484,392,394
1548230434,326,320
1548231387,359,358
1548232364,388,390
1548234029,359,361
1548236455,426,430
1548238574,361,355
1548239647,422,423
1548241474,434,438
1548243379,437,432
1548245568,470,475
1548247456,452,446
1548249855,463,462
1548252257,474,476
1548253945,506,504
1548256120,506,509
1548258283,400,401
1548260910,441,442
1548263530,443,440
1548265954,443,441
1548267872,360,361
1548270274,456,453
1548272674,509,512
1548275099,468,465
1548276996,469,472
1548279625,434,432
1548281090,368,371
1548283698,453,461
1548285897,417,407
1548288080,450,460
1548290419,385,378
1548293799,458,456
1548295966,436,449
1548298842,434,423
1548301949,415,422
1548304852,417,416
1548307016,387,384
1548309874,386,383
1548312753,399,403
1548315646,352,359
1548317800,406,402
1548321144,426,418
1548324759,390,396
1548327377,380,373
