DateTime,AddedIPs,RemovedIPs
1546727068,29,72
1546728741,25,0
1546731184,38,51
1546733081,22,40
1546735234,48,44
1546737136,40,57
1546738811,37,67
1546739778,21,0
1546741458,24,54
1546742450,18,0
1546745071,38,45
1546746801,22,20
1546748414,25,39
1546750366,31,10
1546752737,30,226
1546753698,15,0
1546755886,28,0
1546757769,21,0
1546759240,18,0
1546761638,38,0
1546763083,31,0
1546765942,31,0
1546768098,43,142
1546769601,13,0
1546771543,20,0
1546773876,25,0
1546775558,21,39
1546776988,11,43
1546778669,24,0
1546781070,44,20
1546782748,39,62
1546784442,35,0
1546786592,48,36
1546789727,56,32
1546791220,34,24
1546792335,14,0
1546794009,31,50
1546794995,20,0
1546796449,28,14
1546798596,33,17
1546800051,26,31
1546808189,124,99
1546825252,299,277
1546831716,132,223
1546834354,51,0
1546836292,39,0
1546838448,36,28
1546840887,47,113
1546843465,39,0
1546845849,40,0
1546847553,29,69
1546851390,63,23
1546853551,51,97
1546855236,29,0
1546857852,44,60
1546860761,46,55
1546861934,23,0
1546864363,34,40
1546866005,24,75
1546867687,31,0
1546869146,23,0
1546870841,14,27
1546872994,27,55
1546873929,13,0
1546875610,20,19
1546876885,22,38
1546878757,34,0
1546880193,33,16
1546881660,28,18
1546883087,18,25
1546884530,23,13
1546885968,23,38
1546887878,29,19
1546889559,31,196
1546890519,20,0
1546895322,81,0
1546913058,368,293
1546930574,294,355
1546940682,176,174
1546948591,144,171
1546959871,179,233
1546962271,60,0
1546967071,77,0
1546969469,42,40
1546971161,27,32
1546973311,35,28
1546975490,39,33
1546978358,42,36
1546981482,46,73
1546985567,47,60
1546988425,36,45
1546990595,39,43
1546992990,64,108
1546995412,75,36
1546997068,62,59
1546999478,70,74
1547001871,59,79
1547004025,48,26
1547005469,58,58
1547007849,55,34
1547012197,117,96
1547015527,59,92
1547021074,110,209
1547023470,46,0
1547025628,53,109
1547029239,80,0
1547033154,86,136
1547034994,51,0
1547038361,53,110
1547040060,22,0
1547041943,33,123
1547045316,34,0
1547047968,32,137
1547049650,30,0
1547050704,17,0
1547052283,16,0
1547053949,17,63
1547055639,14,64
1547057796,30,0
1547059475,15,53
1547060919,12,0
1547062365,23,26
1547063538,11,32
1547064513,10,98
1547066188,28,0
1547067872,17,0
1547068848,8,0
1547070090,19,130
1547071485,6,0
1547073166,18,0
1547074131,11,0
1547077481,43,90
1547080851,43,48
1547083464,75,68
1547087536,73,107
1547090197,51,16
1547091880,24,63
1547092875,17,0
1547093777,8,0
1547095452,33,88
1547097136,25,0
1547098813,36,43
1547100995,28,52
1547104364,62,32
1547107486,52,405
1547110355,48,0
1547111329,13,0
1547112280,22,0
1547114936,33,0
1547118258,49,0
1547119232,21,0
1547120284,14,0
1547122599,35,0
1547124257,61,0
1547126175,109,0
1547127161,34,219
1547128847,30,0
1547129786,18,0
1547131245,25,0
1547133641,41,0
1547134589,12,0
1547136050,11,0
1547136997,14,0
1547138202,14,0
1547139153,9,0
1547140124,9,0
1547141076,7,0
1547142757,27,0
1547144674,28,500
1547146349,23,0
1547148756,22,0
1547151158,19,0
1547154272,36,0
1547157149,48,0
1547158594,16,0
1547160759,35,0
1547163633,19,0
1547166752,59,0
1547171070,91,0
1547175879,107,0
1547180919,67,71
1547185953,67,159
1547190272,58,0
1547193874,81,77
1547197960,76,42
1547201082,43,51
1547204675,76,84
1547208257,40,42
1547209221,11,7
1547210200,16,35
1547211849,17,0
1547213557,39,53
1547215239,20,0
1547216202,13,19
1547217880,27,32
1547219322,29,0
1547221448,30,30
1547222978,17,23
1547224116,20,0
1547225800,18,29
1547226991,12,0
1547227971,8,24
1547229387,17,14
1547231068,15,30
1547232015,18,0
1547233001,12,22
1547234196,12,0
1547235854,25,22
1547236827,11,5
1547238282,14,17
1547239963,25,32
1547241136,14,17
1547242810,26,25
1547243774,7,0
1547245480,30,57
1547246936,26,0
1547248339,30,15
1547249563,18,38
1547251240,39,81
1547252234,18,0
1547256045,103,62
1547258921,75,28
1547261561,59,88
1547262745,21,0
1547265151,49,39
1547267068,29,29
