DateTime,AddedIPs,RemovedIPs
1541106258,0,1
1541113445,1,0
1541117042,1,1
1541145820,1,0
1541160234,0,1
1541163825,0,1
1541174640,0,1
1541178243,0,1
1541181826,0,1
1541185428,1,0
1541189048,0,2
1541199812,1,0
1541203427,0,1
1541207046,1,0
1541210630,1,3
1541228617,1,0
1541286233,0,2
1541304209,0,1
1541318628,0,1
1541329435,0,1
1541336628,1,0
1541358204,1,0
1541376258,1,0
1541379808,1,0
1541383424,1,0
1541412230,0,1
1541441039,0,1
1541448219,1,0
1541455454,0,1
1541484197,1,0
1541495056,0,1
1541505825,0,1
1541534659,1,0
1541538243,0,1
1541545446,2,0
1541549048,1,0
1541559839,1,0
1541581421,0,1
1541595831,0,1
1541621044,0,1
1541624633,0,1
1541628257,0,1
1541635451,1,0
1541639029,1,0
1541642652,0,1
1541657028,1,0
1541660630,1,0
1541678629,1,0
1541682238,1,2
1541685841,5,0
1541689462,0,1
1541721851,1,0
1541725447,1,2
1541739873,1,0
1541747056,0,1
1541750626,0,1
1541754265,1,0
1541757879,0,1
1541797435,0,1
1541811833,0,1
1541818996,0,2
1541829841,0,1
1541851458,3,0
1541865845,1,0
1541876633,1,0
1541887443,1,0
1541894658,2,0
1541901840,1,0
1541909017,2,1
1541916233,1,0
1541930600,1,1
1541934230,1,0
1541941434,2,0
1541955860,0,1
1541966627,0,1
1541980997,0,1
1541995429,2,0
1541999055,1,0
1542031412,0,1
1542038609,0,1
1542056637,1,0
1542078225,1,0
1542081836,1,0
1542089022,1,0
1542096218,1,0
1542110638,0,1
1542114214,1,0
1542135824,0,1
1542143008,1,0
1542146610,1,2
1542168228,1,0
1542182636,0,1
1542189845,0,1
1542193412,0,1
1542196987,1,1
1542200602,2,0
1542204196,1,0
1542218591,0,1
1542236643,1,0
1542250995,1,0
1542272652,0,1
1542290640,1,1
1542294211,0,4
1542297815,1,0
1542301412,0,2
1542323019,1,0
1542326599,1,0
1542330234,0,2
1542366177,1,0
1542380592,1,0
1542398627,1,0
1542409445,1,0
1542413008,1,0
1542420235,1,1
1542423831,0,1
1542456243,0,1
1542470619,0,1
1542474263,0,1
1542477830,1,0
1542481437,0,3
1542485004,0,1
1542492229,0,1
1542502994,1,0
1542510193,1,1
1542513793,0,2
1542542636,0,2
1542546212,0,1
1542557032,3,1
1542564195,1,0
1542567810,1,1
1542578623,1,0
1542582240,1,0
1542585822,1,0
1542600202,0,1
1542621840,1,0
1542636237,1,0
1542639817,2,1
1542643427,1,0
1542654223,1,0
1542672223,1,0
1542675836,0,1
1542679421,3,0
1542690191,1,0
1542697395,0,1
1542708190,0,2
1542711802,1,0
1542726193,0,1
1542737028,2,0
1542751447,0,2
1542801791,2,0
1542809041,1,0
1542812654,0,1
1542830597,0,1
1542834228,2,0
1542845037,1,0
1542848645,0,2
1542859434,1,0
1542866646,1,0
1542877420,1,0
1542881040,0,1
1542895408,1,0
1542902621,0,1
1542906222,0,1
1542931427,1,0
1542956645,1,0
1542963846,0,1
1542967431,0,1
1543010640,0,1
1543014239,0,1
1543017856,0,1
1543021434,1,0
1543025023,1,1
1543028626,1,0
1543032214,0,1
1543046630,1,0
1543068221,0,1
1543071835,0,1
1543089849,0,1
1543111422,1,0
1543129449,1,0
1543147440,1,1
1543169049,0,1
1543172599,0,2
1543183415,1,0
1543187041,1,1
1543190666,2,2
1543197849,1,0
1543201454,2,0
1543212218,1,1
1543219425,2,0
1543230243,0,1
1543233816,0,1
1543241074,3,0
1543248242,0,1
1543251835,1,0
1543259037,0,1
1543262664,0,1
1543266249,2,0
1543273441,1,1
1543280632,1,3
1543316626,0,1
1543320219,0,1
1543334630,1,1
1543338219,0,2
1543341840,0,1
1543345422,0,1
1543352629,0,3
1543377827,0,1
1543403048,0,1
1543406648,1,1
1543421029,1,0
1543439041,0,1
1543449829,1,1
1543453435,1,0
1543457028,1,0
1543467824,0,1
1543482208,0,1
1543485826,0,1
1543493055,0,3
1543496637,0,1
1543500247,0,1
1543503851,0,2
1543511033,0,1
1543521847,1,0
1543529040,0,1
1543532625,2,2
1543536228,2,0
1543565044,1,0
1543579439,1,0
1543583059,1,0
1543611827,1,0
1543619054,2,1
1543626192,0,1
1543629816,0,1
1543651459,0,1
1543669445,1,0
1543680229,1,0
1543683840,1,0
1543701851,0,1
1543716242,1,0
1543734232,1,0
1543748634,0,1
1543755834,1,0
1543763028,0,1
1543770263,2,0
1543781062,1,0
1543784634,1,0
1543795436,1,0
1543806246,2,0
1543813404,1,0
1543842246,0,1
1543856625,0,1
1543871043,0,1
1543874653,0,2
1543878198,0,1
1543885420,0,1
1543892622,0,1
1543899812,1,0
1543907044,0,1
1543910630,0,1
1543939462,0,1
1543943046,1,0
1543953829,0,1
1543964664,1,0
1544025796,1,0
1544058236,0,2
1544076215,1,0
1544079824,0,1
1544115786,0,1
1544126637,1,0
1544133799,1,0
1544137402,0,1
1544148190,0,1
1544158997,2,0
1544176986,0,1
1544191396,0,2
1544198590,0,1
1544202207,0,1
1544216589,0,1
1544220185,1,0
1544292196,1,0
1544317424,1,0
1544349835,0,1
1544378616,0,2
1544396641,0,1
1544418240,0,1
1544429026,2,0
1544436226,1,2
1544443415,2,1
1544447040,1,0
1544450615,1,0
1544461404,1,1
1544465017,0,1
1544468632,0,1
1544475834,1,0
1544533415,0,1
1544547814,0,2
1544551419,0,2
1544554998,0,1
1544565826,1,0
1544573000,0,1
1544576635,2,0
1544583840,0,1
1544591001,0,1
1544598243,1,0
1544609007,0,1
1544616213,1,0
1544630604,0,3
1544634224,0,1
1544645024,0,1
1544673802,1,0
1544680998,1,0
1544717062,2,0
1544731433,1,1
1544738575,0,1
1544752973,1,0
1544763789,2,0
1544785411,0,1
1544814213,1,0
1544817831,1,0
1544825051,0,1
1544893387,1,0
1544900665,1,0
1544918639,0,1
1544933010,0,1
1544976223,1,0
1544990614,1,0
1545001386,0,1
1545030211,0,1
1545051827,0,1
1545062576,0,1
1545066221,0,1
1545069835,1,0
1545102211,0,1
1545127400,0,1
1545134621,0,1
1545188626,1,0
1545192195,0,1
1545224630,0,1
1545239059,0,1
1545264232,2,2
1545267809,0,1
1545278617,0,2
1545282179,0,1
1545328982,0,1
1545350625,0,1
1545357820,1,0
1545372248,0,2
1545393850,1,0
1545397447,1,0
1545404610,1,1
1545419013,1,0
1545422632,0,1
1545429822,1,1
1545433430,0,1
1545480228,1,1
1545508993,0,2
1545527039,1,0
1545584596,1,0
1545613421,1,0
1545699838,1,0
1545710604,1,0
1545732215,1,0
1545746635,1,0
1545753816,1,0
1545789816,0,1
1545811410,0,1
1545869025,1,1
1545876221,1,0
1545879841,0,2
1545887015,1,0
1545962623,0,1
1546005827,0,1
1546009444,0,1
1546059776,1,0
1546063411,1,0
1546085008,1,0
1546106614,2,0
1546121018,1,0
1546153421,1,0
1546175051,1,0
1546221839,0,1
1546283015,1,0
1546301035,0,1
1546308217,0,1
1546315421,2,0
1546326189,2,0
1546351419,0,1
1546358630,0,1
1546394587,1,0
1546401823,0,1
1546434211,0,1
1546481014,1,0
1546491833,0,2
1546499034,1,0
1546502641,0,1
1546520606,0,1
1546527866,0,1
1546560252,0,1
1546578253,0,1
1546614255,1,0
1546639428,1,0
1546643004,2,0
1546646620,1,0
1546682596,0,1
1546697031,1,0
1546722236,1,0
1546725822,0,1
1546736647,1,0
1546747396,1,0
1546765401,0,1
1546779826,0,1
1546801377,1,0
1546815817,1,0
1546819397,1,0
1546887859,0,1
1546891453,1,0
1546895056,1,1
1546905784,2,0
1546941799,1,1
1546945446,0,3
1546963423,1,0
1546981453,0,1
1546985022,0,1
1546988650,0,2
1546995794,1,0
1547082260,0,1
1547197468,0,1
1547204672,0,1
1547222627,1,0
1547240613,0,1
1547244221,0,1
1547247790,1,1
1547255035,0,1
1547265801,0,1
1547276650,0,1
1547323379,1,0
1547327034,0,1
1547330597,1,0
1547352230,0,1
1547406201,1,1
1547427764,0,2
1547489008,1,0
1547499830,1,0
1547503432,1,0
1547546624,0,1
1547550229,0,1
