DateTime,AddedIPs,RemovedIPs
1546157012,0,2
1546164216,0,1
1546167815,0,1
1546171404,0,1
1546178652,0,1
1546182262,0,1
1546185859,2,1
1546189440,5,2
1546193050,0,1
1546196651,0,1
1546207437,0,3
1546211042,1,3
1546214655,2,1
1546218239,1,0
1546225432,0,1
1546229047,0,1
1546232642,1,0
1546236244,0,1
1546239870,0,1
1546247038,2,1
1546250614,5,3
1546254205,1,1
1546265015,1,1
1546268636,0,1
1546272231,3,2
1546275798,0,2
1546283034,1,0
1546286629,2,0
1546290215,0,1
1546293840,3,2
1546297432,2,1
1546301050,6,2
1546304607,4,2
1546308237,8,2
1546311848,4,0
1546315438,3,1
1546319022,7,0
1546322610,5,1
1546326211,1,1
1546329839,2,1
1546333429,4,1
1546337039,1,0
1546344250,0,1
1546351440,7,1
1546355056,2,0
1546358652,1,0
1546362218,1,2
1546365819,1,1
1546376630,4,1
1546380247,0,1
1546383824,2,1
1546387427,3,1
1546391025,2,1
1546398202,0,2
1546401844,1,2
1546405411,5,1
1546409031,9,2
1546412641,1,1
1546416227,2,3
1546419813,1,3
1546423430,1,1
1546427023,0,5
1546430614,3,0
1546434232,0,4
1546437836,2,0
1546441428,2,1
1546445038,1,0
1546448623,0,1
1546452267,1,0
1546455858,3,0
1546459421,1,2
1546463076,3,1
1546466655,2,2
1546470269,1,3
1546473869,2,0
1546477438,1,4
1546481035,0,1
1546488245,0,2
1546495421,1,0
1546499055,0,1
1546502662,1,2
1546506246,1,3
1546509864,1,1
1546513420,1,1
1546517061,1,5
1546520626,0,1
1546524247,1,1
1546527888,3,0
1546531468,3,1
1546535048,4,1
1546538629,4,0
1546542235,1,2
1546545868,2,1
1546549420,1,0
1546553041,2,1
1546556666,3,0
1546560274,0,4
1546563892,1,2
1546567472,2,1
1546574663,2,0
1546578275,0,1
1546581882,0,3
1546585440,1,1
1546592638,1,1
1546596231,3,0
1546599841,0,2
1546603466,0,1
1546607057,0,1
1546610618,1,0
1546617871,0,3
1546621459,1,1
1546625051,4,0
1546628647,2,0
1546632252,1,0
1546635848,1,2
1546639449,1,1
1546643026,3,0
1546646642,0,1
1546653860,2,0
1546657409,1,0
1546664653,0,2
1546668255,1,3
1546671848,1,3
1546679058,0,2
1546682622,0,3
1546686224,1,1
1546689836,0,1
1546697052,1,1
1546700635,0,2
1546704247,1,0
1546707840,0,2
1546715020,2,2
1546718683,1,1
1546725844,2,0
1546729455,3,1
1546733054,1,2
1546736668,1,0
1546740247,1,2
1546743832,0,1
1546751031,1,1
1546754633,3,0
1546758227,1,1
1546765422,0,2
1546772669,2,0
1546776272,1,0
1546779848,0,1
1546783453,0,1
1546787055,1,0
1546794255,2,2
1546797836,0,1
1546801398,0,2
1546805004,1,0
1546808673,1,1
1546812222,0,2
1546815839,1,0
1546819418,3,1
1546823037,2,0
1546826640,0,1
1546830265,1,2
1546833837,0,3
1546837455,1,1
1546851851,29,1
1546855472,37,0
1546859085,13,1
1546862659,1,0
1546866259,4,0
1546869871,2,2
1546873466,1,1
1546877037,0,3
1546880629,1,1
1546884252,1,1
1546891477,0,1
1546895081,2,0
1546898656,4,0
1546902220,2,3
1546905809,2,8
1546913028,1,3
1546916581,1,6
1546920174,0,8
1546923817,1,1
1546927489,1,1
1546934675,0,2
1546938198,2,19
1546941823,0,2
1546945470,2,2
1546949062,1,0
1546952651,2,0
1546956262,0,1
1546959830,0,1
1546967050,0,1
1546974227,2,3
1546977816,1,0
1546981476,0,2
1546985046,31,0
1546988675,19,1
1546992258,1,3
1546995818,1,0
1547006362,1,2
1547019183,2,2
1547026125,3,1
1547028198,1,1
1547035438,1,2
1547039034,1,1
1547042656,2,3
1547046242,1,0
1547049838,1,1
1547053441,0,4
1547057031,1,5
1547060658,3,10
1547064251,1,1
1547067869,4,1
1547071455,0,3
1547075062,0,2
1547078661,1,1
1547082284,1,2
1547085876,1,0
1547089438,1,0
1547093026,0,2
1547096677,1,0
1547111043,0,2
1547114703,0,2
1547118282,2,4
1547121839,1,0
1547125469,0,1
1547129055,1,0
1547132668,1,1
1547136235,0,1
1547139883,1,0
1547143488,0,1
1547154375,4,2
1547157940,2,2
1547161564,3,1
1547168654,1,3
1547172256,2,1
1547175851,1,0
1547179453,1,1
1547183104,0,1
1547190223,1,3
1547193891,1,0
1547197492,1,2
1547201082,0,1
1547204696,1,4
1547208258,0,5
1547215450,1,2
1547219086,1,0
1547233443,0,1
1547237047,3,1
1547240637,1,0
1547244246,4,2
1547247814,2,3
1547251450,1,0
1547258667,1,2
1547262236,2,0
1547265826,2,1
1547269423,3,0
1547273067,2,0
1547276676,0,1
1547280256,1,0
1547283863,1,0
1547291073,0,1
1547294680,1,1
1547298248,2,2
1547301869,2,1
1547312648,1,0
1547316261,4,1
1547319837,1,1
1547323403,0,2
1547327059,1,1
1547330620,1,1
1547334239,0,2
1547337833,1,1
1547341428,1,1
1547345038,2,2
1547348650,1,0
1547359450,0,3
1547366635,1,2
1547370212,1,1
1547373853,1,0
1547381010,0,1
1547388224,1,0
1547391867,0,1
1547399017,1,2
1547402633,2,0
1547406226,2,1
1547409815,1,2
1547413432,3,3
1547417034,3,1
1547420616,2,4
1547424208,2,2
1547427789,1,0
1547431460,0,2
1547435064,1,0
1547438649,2,1
1547442231,1,0
1547445858,0,1
1547456685,0,23
1547460207,0,36
1547463812,0,20
1547467438,0,1
1547471031,0,5
1547474652,0,1
1547485464,1,3
1547489028,1,1
1547492607,4,1
1547496256,2,2
1547499851,11,1
1547503453,10,2
1547507046,10,0
1547510645,4,0
1547514244,11,2
1547517823,4,1
1547521427,5,0
1547525038,4,3
1547528645,4,0
1547532286,5,0
1547535859,2,0
1547539452,1,0
1547546648,0,4
1547550253,0,2
1547553859,0,4
1547557459,0,1
1547561050,2,2
1547564628,3,0
1547568283,2,0
1547575466,0,2
1547582669,2,0
1547586272,0,1
1547589847,4,16
1547593475,1,33
1547597080,1,0
1547604214,2,3
1547607843,1,1
1547611470,1,0
1547615074,0,1
1547618659,1,1
1547622275,0,1
1547633059,1,0
1547640281,2,2
1547643854,0,1
1547647444,2,0
1547651060,3,2
1547654659,3,3
1547658233,4,0
1547661856,1,1
1547665485,1,0
1547669075,2,0
1547672662,1,0
1547676247,1,0
1547679863,0,2
1547683469,0,2
1547687079,0,1
1547690657,1,0
1547694285,1,1
1547697857,1,0
1547701481,1,0
1547705071,1,0
1547719448,0,2
1547723103,1,2
1547726660,6,1
1547733893,2,1
1547737467,0,2
1547741053,0,2
1547744670,3,0
1547748261,2,1
1547751886,1,0
1547755461,4,0
1547762655,0,2
1547766242,3,2
1547769868,3,1
1547773480,3,2
1547777062,1,2
1547780600,1,1
1547784268,0,2
1547787844,1,1
1547791480,0,1
1547795062,0,1
1547798682,0,1
1547802271,0,1
1547805887,0,1
1547813079,0,1
1547816668,2,1
1547820226,2,1
1547823846,1,0
1547827467,2,0
1547834655,0,1
1547838243,6,1
1547841851,0,1
1547845453,2,2
1547849054,7,2
1547852657,1,0
1547859863,2,0
1547863451,0,1
1547867019,0,4
1547870664,1,0
1547874250,1,1
1547877884,0,3
1547881450,2,1
1547885063,2,0
1547888648,1,0
1547899449,2,2
1547903059,3,0
1547906674,1,1
1547910277,0,2
1547917449,4,0
1547921058,3,3
1547924663,1,0
1547928243,1,0
1547931831,2,0
1547935410,2,1
1547939013,2,1
1547942624,3,0
1547946232,0,1
1547949864,2,2
1547953408,1,1
1547957000,0,1
1547960654,0,1
1547967825,0,1
1547971422,0,1
1547975017,0,1
1547978597,1,3
1547982231,0,1
1547985855,1,0
1547989462,1,0
1547993043,2,1
1547996638,1,2
1548000237,1,0
1548003870,3,1
1548007482,1,1
1548011078,2,2
1548014632,3,1
1548018258,1,3
1548021745,3,3
1548029083,0,7
1548032680,1,2
1548036280,5,0
1548039880,0,1
1548043467,2,0
1548047084,1,1
1548050673,1,0
1548054243,0,2
1548057847,0,2
1548065069,0,1
1548083076,1,1
1548086685,1,2
1548097471,2,3
1548101100,0,1
1548104664,3,4
1548108282,1,8
1548111864,1,4
1548115457,1,7
1548119069,1,5
1548122664,0,6
1548126291,0,6
1548129876,0,6
1548133469,0,7
1548137071,0,7
1548140644,0,4
1548144253,2,1
1548147834,0,1
1548151477,0,1
1548155046,1,3
1548158624,0,4
1548162291,1,2
1548165851,2,1
1548169478,1,3
1548173058,1,0
1548176652,2,0
1548180238,3,2
1548183852,1,0
1548191029,0,1
1548194630,1,3
1548198254,2,1
1548201869,3,1
1548205470,1,2
1548212638,2,1
1548216204,1,2
1548219854,1,1
1548223450,0,1
1548227046,4,1
1548234265,2,0
1548241482,0,1
1548245070,2,1
1548248643,0,2
1548252268,2,1
1548255797,1,0
1548259441,3,4
1548263051,2,1
1548266659,3,2
1548270305,2,1
1548273901,2,2
1548277457,1,1
1548281016,1,0
1548288271,0,2
1548295487,2,0
1548299087,1,3
1548302674,0,1
1548306259,0,1
1548309860,2,1
1548324234,0,1
1548327828,1,1
