DateTime,AddedIPs,RemovedIPs
1542502994,1,1
1542513793,0,1
1542531827,1,0
1542557032,1,0
1542564195,1,0
1542589431,2,0
1542593013,0,1
1542596611,1,0
1542600203,0,1
1542603818,1,0
1542607435,0,1
1542611017,0,2
1542618242,1,0
1542621839,0,1
1542643426,1,0
1542647026,1,0
1542654223,2,0
1542661443,0,1
1542675836,0,1
1542682990,1,0
1542686599,0,2
1542690190,0,1
1542693794,0,1
1542715428,0,1
1542737028,1,0
1542740638,0,1
1542751446,0,2
1542755019,0,1
1542762248,0,2
1542773026,3,0
1542780227,1,1
1542798236,1,0
1542801790,1,0
1542809040,1,1
1542816203,1,0
1542841470,0,1
1542852225,1,0
1542863076,1,0
1542895408,1,0
1542902620,1,0
1542927852,1,0
1542931427,0,1
1542956644,1,0
1542960258,1,0
1542963845,0,1
1542996231,1,1
1543007025,0,1
1543025023,0,2
1543032212,0,1
1543046630,0,1
1543057427,1,0
1543071834,1,1
1543075423,0,2
1543082640,0,1
1543086228,1,0
1543100635,0,1
1543104231,0,1
1543107829,1,1
1543133049,1,0
1543136617,0,1
1543140238,1,0
1543147439,3,0
1543158218,1,0
1543161827,0,1
1543165432,1,0
1543169049,1,1
1543194232,0,2
1543201453,0,1
1543205026,1,0
1543208639,1,0
1543223037,0,1
1543241073,0,1
1543244644,1,0
1543251833,0,1
1543259037,0,1
1543262664,1,1
1543266249,1,0
1543273440,1,1
1543277022,1,0
1543287843,1,1
1543302227,1,0
1543320218,1,1
1543323816,1,1
1543327436,1,0
1543331038,1,0
1543334629,1,0
1543341840,0,1
1543349029,1,0
1543356244,0,1
1543367029,1,0
1543377827,0,4
1543399439,2,0
1543403048,0,1
1543406648,0,1
1543413842,0,1
1543417434,1,0
1543421029,0,1
1543424619,1,0
1543464222,0,1
1543467825,0,1
1543478626,1,0
1543489452,2,0
1543503851,1,1
1543507443,0,1
1543518246,1,0
1543532625,0,1
1543565044,1,1
1543572197,1,0
1543615450,3,0
1543629816,2,1
1543633417,1,0
1543640629,1,0
1543644221,1,0
1543647817,1,0
1543651459,1,0
1543655061,0,1
1543662226,1,0
1543665856,1,0
1543676618,2,1
1543680230,2,0
1543691070,0,1
1543694651,2,0
1543709045,0,1
1543712643,1,1
1543723440,1,1
1543727054,1,0
1543745049,0,1
1543752245,0,1
1543763029,0,1
1543766632,2,0
1543770264,0,1
1543777399,1,0
1543781062,0,1
1543784634,1,0
1543788259,0,1
1543795436,0,1
1543806246,1,0
1543809829,0,1
1543849442,0,1
1543853030,0,1
1543856624,1,0
1543860226,0,1
1543871043,0,1
1543878198,1,0
1543881833,0,1
1543892622,1,1
1543925005,0,1
1543932231,1,2
1543935839,1,0
1543939462,0,1
1543953829,0,2
1543961035,1,0
1544004250,0,1
1544011434,0,1
1544022229,0,1
1544025796,0,1
1544029410,0,1
1544054633,2,0
1544094184,1,1
1544097804,1,0
1544105009,0,1
1544115786,0,1
1544133799,1,0
1544141005,1,1
1544158997,2,0
1544169788,0,1
1544176986,0,2
1544184201,0,1
1544216589,1,0
1544220185,2,1
1544223812,0,1
1544234599,0,1
1544238187,0,2
1544245387,0,1
1544256186,0,1
1544263397,1,1
1544266986,0,1
1544270590,1,1
1544281397,0,3
1544284995,0,2
1544299418,0,1
1544303002,0,1
1544317424,1,1
1544328226,0,1
1544331837,0,1
1544342629,2,0
1544353433,0,1
1544357045,0,1
1544378616,0,1
1544382234,0,1
1544385841,1,0
1544389426,0,1
1544396641,2,0
1544411032,0,1
1544425426,0,1
1544454198,1,0
1544461404,1,1
1544468632,2,0
1544479444,1,0
1544504622,0,1
1544508246,1,1
1544511837,0,1
1544540603,1,0
1544551417,2,0
1544565825,1,1
1544576635,1,0
1544580234,1,0
1544583840,1,0
1544591001,1,0
1544612627,1,0
1544623420,1,0
1544645025,1,0
1544655865,0,1
1544659422,0,1
1544684595,1,0
1544702619,2,0
1544706227,2,1
1544713419,1,1
1544727845,1,1
1544738575,0,1
1544749370,0,1
1544760155,1,0
1544770999,1,0
1544810626,1,0
