DateTime,AddedIPs,RemovedIPs
1546503350,46,46
1546506972,40,56
1546510576,52,47
1546514169,38,46
1546517754,34,51
1546521359,89,41
1546524960,76,47
1546528558,63,52
1546532153,47,45
1546535757,33,48
1546539355,39,42
1546542964,100,53
1546546565,90,39
1546550168,46,44
1546553755,38,48
1546557356,38,41
1546560949,36,58
1546564533,42,44
1546568144,41,65
1546571754,40,37
1546575349,31,237
1546578936,43,138
1546582545,38,54
1546586151,34,43
1546589748,84,107
1546593341,30,44
1546596946,43,44
1546600519,41,43
1546604127,41,53
1546607733,123,62
1546611333,49,42
1546614923,50,62
1546618530,43,48
1546622118,33,42
1546625740,30,41
1546629330,48,49
1546632945,42,63
1546636536,48,50
1546640138,43,43
1546643745,33,37
1546647341,35,69
1546650937,41,45
1546654527,38,35
1546658148,39,41
1546661739,32,43
1546665329,46,97
1546668936,32,39
1546672530,31,42
1546676144,28,40
1546679729,37,52
1546683343,43,52
1546686930,62,47
1546690526,64,54
1546694111,55,56
1546697730,61,40
1546701327,58,57
1546704929,51,43
1546708515,44,58
1546712133,27,75
1546715744,46,37
1546719328,57,46
1546722929,64,41
1546726536,46,44
1546730122,54,127
1546733724,69,49
1546737331,56,45
1546740942,38,44
1546744539,39,42
1546748144,37,46
1546751734,30,51
1546755336,37,35
1546758938,60,38
1546762547,62,40
1546766159,56,45
1546769728,67,36
1546773333,70,37
1546776933,50,41
1546780529,83,125
1546784132,58,47
1546787730,61,42
1546791336,78,32
1546794933,61,34
1546798546,105,47
1546802163,47,50
1546805770,50,41
1546809362,85,47
1546812959,63,61
1546816558,56,51
1546820164,51,32
1546823748,47,33
1546827352,36,40
1546830938,42,57
1546834548,41,47
1546838149,31,35
1546841759,45,38
1546845344,37,41
1546848945,45,32
1546852560,40,39
1546856137,38,42
1546859745,39,30
1546863349,36,44
1546866931,36,36
1546870536,47,38
1546874140,42,43
1546877758,37,56
1546881358,38,61
1546884956,45,45
1546888542,88,51
1546892154,46,41
1546895760,39,77
1546899357,45,46
1546902969,145,42
1546906563,80,40
1546910176,81,29
1546913784,67,45
1546917380,47,37
1546920983,40,36
1546924574,48,36
1546928159,37,55
1546931779,43,46
1546935356,37,35
1546938973,60,51
1546942599,43,41
1546946157,33,31
1546949759,45,58
1546953353,51,56
1546956960,39,45
1546960563,50,45
1546964162,86,50
1546967766,85,40
1546971362,64,59
1546974973,54,63
1546978567,61,54
