DateTime,AddedIPs,RemovedIPs
1546503447,39,39
1546507092,37,39
1546510683,41,42
1546514297,26,32
1546517861,27,35
1546521453,78,31
1546525063,70,34
1546528679,51,34
1546532251,39,34
1546535884,28,36
1546539482,25,32
1546543070,86,37
1546546673,64,28
1546550280,26,37
1546553897,31,38
1546557465,31,25
1546561047,21,36
1546564639,33,33
1546568239,31,52
1546571861,25,30
1546575481,20,221
1546579041,32,123
1546582655,34,40
1546586271,26,40
1546589882,77,96
1546593456,20,33
1546597059,32,31
1546600626,24,31
1546604227,27,35
1546607833,113,56
1546611425,37,27
1546615020,39,51
1546618630,33,40
1546622222,23,30
1546625838,17,31
1546629439,31,43
1546633056,35,47
1546636652,40,40
1546640273,36,35
1546643857,20,29
1546647447,24,63
1546651041,27,33
1546654656,24,25
1546658271,29,31
1546661858,30,34
1546665453,35,84
1546669040,24,30
1546672642,23,37
1546676272,22,31
1546679858,27,44
1546683454,38,45
1546687041,56,38
1546690640,54,39
1546694210,50,38
1546697843,54,30
1546701427,52,47
1546705024,38,30
1546708621,30,40
1546712243,20,63
1546715867,37,29
1546719452,44,39
1546723043,51,35
1546726645,35,36
1546730237,46,122
1546733841,53,41
1546737437,42,39
1546741044,31,40
1546744646,30,31
1546748253,32,31
1546751858,26,38
1546755452,34,32
1546759046,50,31
1546762653,52,30
1546766277,48,46
1546769852,52,28
1546773436,59,27
1546777033,41,34
1546780639,70,117
1546784229,50,37
1546787825,51,32
1546791431,69,24
1546795065,58,33
1546798674,104,32
1546802285,37,34
1546805890,36,33
1546809490,77,39
1546813079,55,48
1546816675,43,37
1546820270,37,24
1546823863,37,28
1546827465,31,33
1546831071,37,46
1546834682,32,42
1546838260,24,30
1546841879,32,30
1546845452,34,28
1546849070,28,25
1546852696,30,34
1546856239,28,37
1546859868,34,27
1546863481,29,36
1546867036,26,31
1546870644,34,27
1546874254,37,31
1546877867,28,44
1546881479,25,51
1546885079,28,32
1546888698,76,37
1546892281,33,36
1546895897,29,64
1546899474,34,33
1546903103,120,34
1546906698,68,31
1546910303,70,25
1546913970,57,34
1546917554,39,31
1546921199,36,30
1546924712,40,24
1546928337,29,47
1546931914,32,42
1546935524,32,30
1546939140,51,44
1546942706,40,30
1546946304,32,24
1546949876,37,41
1546953508,42,42
1546957101,31,31
1546960687,39,38
1546964283,60,43
1546967877,74,40
1546971486,51,44
1546975094,44,49
1546978685,47,49
1546982278,47,51
1546985874,41,33
1546989485,28,33
1546993062,33,77
1547026316,36,262
1547029052,305,439
1547032635,28,57
1547036253,31,50
1547039878,36,64
1547043464,42,67
1547047060,28,28
1547050659,161,33
1547054258,121,46
1547057887,66,47
1547061464,32,44
1547065058,34,43
1547068651,34,33
1547072251,32,36
1547075847,31,94
1547079435,27,42
1547083042,27,59
1547086646,25,36
1547090255,36,41
1547093840,27,112
1547097419,31,31
1547101018,26,50
1547104618,32,38
1547108222,40,47
1547111818,31,45
1547115428,38,53
1547119029,31,29
1547122623,39,42
1547126213,29,43
1547129807,24,86
1547133419,26,66
1547137039,120,54
1547140631,174,49
1547144249,113,77
1547147857,82,143
1547151477,122,101
1547155870,74,25
1547159469,76,29
1547162907,79,36
1547165866,62,20
1547169460,63,37
1547173052,62,34
