DateTime,Entries,UniqueIPs
1546503447,13027,13027
1546507092,13025,13025
1546510683,13024,13024
1546514297,13018,13018
1546517861,13010,13010
1546521453,13057,13057
1546525063,13093,13093
1546528679,13110,13110
1546532251,13115,13115
1546535884,13107,13107
1546539482,13100,13100
1546543070,13149,13149
1546546673,13185,13185
1546550280,13174,13174
1546553897,13167,13167
1546557465,13173,13173
1546561047,13158,13158
1546564639,13158,13158
1546568239,13137,13137
1546571861,13132,13132
1546575481,12931,12931
1546579041,12840,12840
1546582655,12834,12834
1546586271,12820,12820
1546589882,12801,12801
1546593456,12788,12788
1546597059,12789,12789
1546600626,12782,12782
1546604227,12774,12774
1546607833,12831,12831
1546611425,12841,12841
1546615020,12829,12829
1546618630,12822,12822
1546622222,12815,12815
1546625838,12801,12801
1546629439,12789,12789
1546633056,12777,12777
1546636652,12777,12777
1546640273,12778,12778
1546643857,12769,12769
1546647447,12730,12730
1546651041,12724,12724
1546654656,12723,12723
1546658271,12721,12721
1546661858,12717,12717
1546665453,12668,12668
1546669040,12662,12662
1546672642,12648,12648
1546676272,12639,12639
1546679858,12622,12622
1546683454,12615,12615
1546687041,12633,12633
1546690640,12648,12648
1546694210,12660,12660
1546697843,12684,12684
1546701427,12689,12689
1546705024,12697,12697
1546708621,12687,12687
1546712243,12644,12644
1546715867,12652,12652
1546719452,12657,12657
1546723043,12673,12673
1546726645,12672,12672
1546730237,12596,12596
1546733841,12608,12608
1546737437,12611,12611
1546741044,12602,12602
1546744646,12601,12601
1546748253,12602,12602
1546751858,12590,12590
1546755452,12592,12592
1546759046,12611,12611
1546762653,12633,12633
1546766277,12635,12635
1546769852,12659,12659
1546773436,12691,12691
1546777033,12698,12698
1546780639,12651,12651
1546784229,12664,12664
1546787825,12683,12683
1546791431,12728,12728
1546795065,12753,12753
1546798674,12825,12825
1546802285,12828,12828
1546805890,12831,12831
1546809490,12869,12869
1546813079,12876,12876
1546816675,12882,12882
1546820270,12895,12895
1546823863,12904,12904
1546827465,12902,12902
1546831071,12893,12893
1546834682,12883,12883
1546838260,12877,12877
1546841879,12879,12879
1546845452,12885,12885
1546849070,12888,12888
1546852696,12884,12884
1546856239,12875,12875
1546859868,12882,12882
1546863481,12875,12875
1546867036,12870,12870
1546870644,12877,12877
1546874254,12883,12883
1546877867,12867,12867
1546881479,12841,12841
1546885079,12837,12837
1546888698,12876,12876
1546892281,12873,12873
1546895897,12838,12838
1546899474,12839,12839
1546903103,12925,12925
1546906698,12962,12962
1546910303,13007,13007
1546913970,13030,13030
1546917554,13038,13038
1546921199,13044,13044
1546924712,13060,13060
1546928337,13042,13042
1546931914,13032,13032
1546935524,13034,13034
1546939140,13041,13041
1546942706,13051,13051
1546946304,13059,13059
1546949876,13055,13055
1546953508,13055,13055
1546957101,13055,13055
1546960687,13056,13056
1546964283,13073,13073
1546967877,13107,13107
1546971486,13114,13114
1546975094,13109,13109
1546978685,13107,13107
1546982278,13103,13103
1546985874,13111,13111
1546989485,13106,13106
1546993062,13062,13062
1547026316,12836,12836
1547029052,12702,12702
1547032635,12673,12673
1547036253,12654,12654
1547039878,12626,12626
1547043464,12601,12601
1547047060,12601,12601
1547050659,12729,12729
1547054258,12804,12804
1547057887,12823,12823
1547061464,12811,12811
1547065058,12802,12802
1547068651,12803,12803
1547072251,12799,12799
1547075847,12736,12736
1547079435,12721,12721
1547083042,12689,12689
1547086646,12678,12678
1547090255,12673,12673
1547093840,12588,12588
1547097419,12588,12588
1547101018,12564,12564
1547104618,12558,12558
1547108222,12551,12551
1547111818,12537,12537
1547115428,12522,12522
1547119029,12524,12524
1547122623,12521,12521
1547126213,12507,12507
1547129807,12445,12445
1547133419,12405,12405
1547137039,12471,12471
1547140631,12596,12596
1547144249,12632,12632
1547147857,12571,12571
1547151477,12592,12592
1547155870,12641,12641
1547159469,12688,12688
1547162907,12731,12731
1547165866,12773,12773
1547169460,12799,12799
1547173052,12827,12827
1547176640,12831,12831
1547180247,12845,12845
1547183831,12850,12850
1547187434,12844,12844
1547191032,12854,12854
1547194640,12817,12817
1547198273,12835,12835
1547201836,12842,12842
1547205430,12840,12840
1547209019,12842,12842
1547212623,12754,12754
1547216239,12757,12757
1547219835,12746,12746
1547223474,12746,12746
1547227045,12751,12751
1547230656,12756,12756
1547234259,12773,12773
1547237898,12780,12780
1547241441,12772,12772
1547245061,12770,12770
1547248651,12762,12762
1547252238,12758,12758
1547255834,12756,12756
1547259449,12765,12765
1547263055,12761,12761
1547266644,12764,12764
1547270260,12760,12760
1547273831,12760,12760
1547277424,12811,12811
1547281059,12809,12809
1547284637,12824,12824
1547288259,12818,12818
1547291834,12799,12799
1547295456,12787,12787
1547299038,12781,12781
1547302650,12753,12753
1547306240,12743,12743
1547309855,12755,12755
1547313453,12808,12808
1547317086,12820,12820
1547320682,12820,12820
1547324281,12808,12808
1547327888,12785,12785
1547331504,12784,12784
1547335083,12887,12887
1547338707,12987,12987
1547342283,13044,13044
1547345872,13093,13093
1547349483,13130,13130
1547353088,13146,13146
1547356678,13175,13175
1547360283,13176,13176
1547363876,13162,13162
1547367472,13155,13155
1547371094,13140,13140
1547374668,13096,13096
1547378272,13127,13127
1547381888,13147,13147
1547385500,13153,13153
1547389115,13158,13158
1547392691,13154,13154
1547396302,13128,13128
1547399918,13103,13103
1547403509,13039,13039
1547407097,13051,13051
1547410716,13075,13075
1547414310,13073,13073
1547417919,13056,13056
1547421499,13052,13052
1547425097,13040,13040
1547428690,13044,13044
1547432271,13030,13030
1547435861,13028,13028
1547439441,13023,13023
1547443056,13017,13017
1547446652,13000,13000
1547450260,12989,12989
1547453858,12982,12982
1547457459,12986,12986
1547461048,12988,12988
1547464666,12976,12976
1547468267,13038,13038
1547471848,13065,13065
1547475442,13085,13085
1547479049,13100,13100
1547482675,13124,13124
1547486249,13133,13133
1547489859,13141,13141
1547493455,13091,13091
1547497091,13087,13087
1547500708,13082,13082
1547504308,13139,13139
1547507918,13135,13135
1547511559,13136,13136
1547515145,13135,13135
1547518739,13127,13127
1547522324,13114,13114
1547525925,13116,13116
1547529512,13117,13117
1547533105,13118,13118
1547536705,13101,13101
1547540303,13087,13087
1547543897,13060,13060
1547547510,13047,13047
1547551093,13046,13046
1547554683,13045,13045
1547558270,13084,13084
1547561879,13146,13146
1547565465,13173,13173
1547569070,13183,13183
1547572682,13185,13185
1547576277,13201,13201
1547579852,13213,13213
1547583461,13211,13211
1547587070,13221,13221
1547590674,13217,13217
1547594261,13221,13221
1547597881,13224,13224
1547601481,13217,13217
1547605074,13226,13226
1547608678,13235,13235
1547612272,13234,13234
1547615868,13226,13226
1547619460,13218,13218
1547623075,13207,13207
1547626686,13208,13208
1547630278,13191,13191
1547633867,13175,13175
1547637496,13176,13176
1547641071,13182,13182
1547644688,13181,13181
1547648305,13182,13182
1547651884,13209,13209
1547655469,13136,13136
1547659082,13118,13118
1547662656,13130,13130
1547666252,13128,13128
1547669852,13138,13138
1547673462,13146,13146
1547677059,13144,13144
1547680662,13148,13148
1547684259,13147,13147
1547687870,13151,13151
1547691469,13164,13164
1547695061,13168,13168
1547698654,13158,13158
1547702254,13151,13151
1547705866,13152,13152
1547709458,13152,13152
1547713059,13130,13130
1547716666,13162,13162
1547720263,13167,13167
1547723870,13203,13203
1547727452,13221,13221
1547731088,13244,13244
1547734675,13262,13262
1547738295,13280,13280
1547741876,13261,13261
1547745486,13219,13219
1547749090,13172,13172
1547752698,13118,13118
1547756288,12998,12998
1547759875,12888,12888
1547763479,12827,12827
1547767079,12834,12834
1547770675,12832,12832
1547774261,12768,12768
1547777862,12741,12741
1547781481,12731,12731
1547785084,12709,12709
1547788675,12697,12697
1547792261,12737,12737
1547795848,12721,12721
1547799461,12735,12735
1547803057,12735,12735
1547806635,12716,12716
1547810259,12706,12706
1547813840,12708,12708
1547817443,12741,12741
1547821071,12757,12757
1547824661,12767,12767
1547828276,12817,12817
1547831884,12839,12839
1547835496,12874,12874
1547839099,12894,12894
1547842682,12904,12904
1547846275,12898,12898
1547849878,12911,12911
1547853479,12911,12911
1547857072,12917,12917
1547860695,12935,12935
1547864290,12938,12938
1547867901,12948,12948
1547871481,12942,12942
1547875084,12943,12943
1547878659,12928,12928
1547882255,12886,12886
1547885848,12875,12875
1547889452,12862,12862
1547893045,12852,12852
1547896656,12841,12841
1547900261,12820,12820
1547903857,12803,12803
1547907468,12792,12792
1547911103,12783,12783
1547914682,12775,12775
1547918287,12742,12742
1547921897,12743,12743
1547925495,12739,12739
1547929106,12732,12732
1547932687,12710,12710
1547936330,12689,12689
1547939918,12680,12680
1547943512,12664,12664
1547947090,12658,12658
1547950667,12662,12662
1547954294,12648,12648
1547957872,12644,12644
1547961500,12651,12651
1547965094,12637,12637
1547968682,12632,12632
1547972291,12598,12598
1547975873,12591,12591
1547979508,12580,12580
1547983103,12576,12576
1547986671,12562,12562
1547990248,12560,12560
1547993870,12694,12694
1547997456,12716,12716
1548001079,12721,12721
1548004678,12721,12721
1548008271,12773,12773
1548011882,12802,12802
1548015477,12810,12810
1548019084,12829,12829
1548022725,12861,12861
1548026282,12880,12880
1548029864,12880,12880
1548033460,12883,12883
1548037067,12895,12895
1548040670,12900,12900
1548044257,12902,12902
1548047872,12889,12889
1548051465,12887,12887
1548055055,12898,12898
1548058639,12879,12879
1548062317,12860,12860
1548065858,12841,12841
1548069442,12832,12832
1548073046,12820,12820
1548076639,12789,12789
1548080244,12791,12791
1548083845,12784,12784
1548087449,12764,12764
1548091046,12770,12770
1548094642,12767,12767
1548098245,12758,12758
1548101850,12758,12758
1548105461,12756,12756
1548109061,12705,12705
1548112664,12697,12697
1548116263,12683,12683
1548119873,12668,12668
1548123475,12661,12661
1548127071,12653,12653
1548130683,12641,12641
1548134277,12634,12634
1548137868,12644,12644
1548141461,12637,12637
1548145073,12626,12626
1548148675,12597,12597
1548152261,12596,12596
1548155861,12568,12568
1548159467,12551,12551
1548163053,12562,12562
1548166664,12540,12540
1548170239,12536,12536
1548173866,12520,12520
1548177472,12514,12514
1548181100,12506,12506
1548184698,12485,12485
1548188318,12517,12517
1548191912,12520,12520
1548195481,12583,12583
1548199080,12660,12660
1548202674,12705,12705
1548206286,12720,12720
1548209881,12717,12717
1548213478,12711,12711
1548217069,12718,12718
1548220690,12706,12706
1548224273,12721,12721
1548227886,12700,12700
1548231466,12691,12691
1548235056,12664,12664
1548238670,12639,12639
1548242264,12647,12647
1548245851,12640,12640
1548249445,12631,12631
1548253037,12601,12601
1548256633,12575,12575
1548260206,12558,12558
