DateTime,AddedIPs,RemovedIPs
1546409152,1,1
1546412746,9,3
1546416359,2,1
1546419944,1,3
1546423553,5,0
1546427166,2,1
1546430780,1,1
1546434339,2,0
1546437922,1,3
1546441502,3,6
1546445097,1,0
1546448712,0,4
1546452317,1,1
1546455911,7,1
1546459510,0,2
1546463107,1,3
1546466713,11,5
1546470318,2,2
1546473918,1,1
1546477520,1,13
1546481109,0,1
1546488317,1,1
1546491904,1,1
1546495510,6,2
1546499113,0,4
1546502719,1,1
1546506337,0,1
1546510046,2,2
1546513533,4,0
1546517116,5,2
1546520708,1,3
1546524317,1,1
1546527917,2,2
1546531510,2,2
1546535129,4,0
1546538715,0,6
1546542314,1,3
1546545920,1,3
1546549519,1,2
1546553121,1,3
1546556717,2,2
1546560304,1,0
1546563908,9,1
1546567516,10,1
1546574723,2,4
1546578312,1,0
1546581914,0,1
1546585521,2,0
1546589136,2,0
1546592713,2,1
1546596318,3,3
1546599905,2,1
1546603505,3,2
1546610701,3,2
1546614296,0,3
1546617920,2,1
1546621504,11,2
1546625105,1,2
1546628720,2,2
1546632319,1,3
1546635915,1,0
1546639516,0,1
1546643117,2,2
1546646716,3,0
1546650311,2,2
1546653922,1,4
1546661119,2,1
1546664723,3,1
1546668315,0,3
1546671917,1,1
1546679117,4,2
1546682720,2,1
1546686316,2,1
1546689915,2,2
1546693510,1,1
1546697115,1,2
1546700715,4,5
1546704311,1,4
1546707904,2,0
1546711518,2,0
1546715124,3,1
1546718718,4,2
1546722315,2,1
1546725915,0,2
1546729512,1,0
1546733131,0,1
1546736720,1,1
1546740318,0,1
1546743924,0,1
1546751120,2,0
1546754721,1,0
1546758313,0,2
1546761921,2,1
1546765527,2,1
1546769122,0,3
1546772713,1,2
1546776306,2,5
1546779917,2,2
1546783517,0,3
1546787115,1,4
1546790713,3,1
1546797920,2,1
1546801526,2,9
1546805123,0,3
1546808729,1,0
1546812322,1,3
1546815925,2,4
1546819517,1,3
1546823122,3,0
1546830323,3,0
1546833923,4,2
1546837517,0,2
1546841125,3,3
1546844712,1,6
1546848315,1,1
1546851928,4,1
1546855512,5,1
1546859133,0,1
1546862721,0,1
1546866310,3,2
1546869915,7,1
1546873513,8,0
1546877131,2,3
1546880726,1,0
1546884329,2,4
1546887924,3,1
1546891521,4,2
1546898720,2,0
1546902333,1,1
1546905924,2,0
1546913141,0,1
1546916731,0,4
1546920330,1,2
1546923929,2,2
1546927529,2,1
1546934724,1,1
1546938332,4,1
1546941925,0,2
1546949120,3,0
1546952716,2,1
1546956330,3,1
1546959929,3,0
1546963527,2,0
1546967120,4,3
1546970722,1,11
1546974319,3,0
1546977917,3,0
1546981526,1,0
1546985117,1,1
1546988753,1,4
1546992318,5,1
1546995929,2,2
1547001530,1,1
1547009434,0,1
1547021591,1,1
1547028318,9,18
1547031909,1,1
1547035519,3,2
1547039125,2,2
1547046320,4,5
1547049920,4,0
1547053507,1,1
1547057127,2,4
1547060723,5,2
1547064319,4,0
1547067916,5,1
1547071516,2,8
1547075113,3,1
1547078715,0,3
1547082313,15,0
1547089521,1,0
1547093122,0,1
1547096718,1,2
1547100315,5,3
1547103909,5,0
1547107515,1,1
1547111127,2,1
1547114720,4,2
1547118312,0,2
1547121920,0,4
1547129122,2,2
1547132704,3,3
1547136317,0,1
1547139915,0,2
1547143520,1,2
1547147121,3,2
1547150718,1,0
1547154425,5,0
1547161638,1,1
1547165126,6,1
1547168729,1,7
1547172319,0,12
1547175913,1,1
1547179528,2,3
1547183107,3,2
1547186713,2,0
1547190319,4,4
1547193911,0,1
1547197527,3,0
1547201111,2,3
1547204723,2,4
1547208304,2,4
1547211906,4,0
1547215509,4,1
1547219119,6,0
1547222739,4,1
1547226342,5,8
1547229919,2,1
1547233516,4,4
1547237145,0,1
1547240720,1,0
1547247910,4,2
1547251514,0,1
1547255118,0,4
1547258714,0,1
1547262324,1,2
1547265911,0,2
1547269523,2,3
1547273110,0,1
1547276708,9,0
1547280318,2,1
1547283911,5,5
1547287514,8,0
1547291108,2,3
1547294718,3,3
1547298312,1,1
1547301916,3,2
1547305514,5,3
1547312728,2,5
1547316323,2,3
1547319930,2,3
1547323522,2,3
1547327128,1,1
1547330729,1,0
1547334324,1,2
1547341522,2,1
1547345127,2,2
1547352327,2,0
1547355928,0,1
1547359520,0,2
1547363121,1,3
1547366721,0,1
1547370325,2,2
1547373914,1,0
1547377533,0,1
1547381120,2,2
1547384728,0,2
1547388334,2,0
1547391931,2,0
1547395540,0,3
1547399136,0,2
1547402730,2,1
1547406327,0,2
1547409932,2,0
1547413530,1,0
1547417126,1,3
1547420731,1,3
1547424328,2,0
1547427916,2,1
1547431515,1,0
1547435117,1,1
1547438705,2,2
1547442309,1,1
1547445912,1,3
1547449515,5,1
1547453119,2,1
1547456724,2,2
1547460317,2,7
1547463917,2,0
1547467520,2,1
1547471109,7,4
1547474713,7,5
1547478330,6,9
1547481920,4,2
1547485531,1,3
1547489139,5,1
1547492734,1,2
1547496333,1,4
1547499936,2,2
1547503537,2,3
1547507144,0,2
1547510741,1,2
1547514353,1,1
1547517940,0,1
1547521540,1,0
1547525145,1,1
1547528741,1,3
1547532338,0,3
1547535936,1,2
1547539540,3,0
1547543130,2,0
1547546740,4,1
1547550333,2,1
1547553934,1,1
1547557528,2,2
1547561129,1,4
1547564725,2,4
1547568326,2,3
1547571927,4,4
1547575522,3,2
1547579119,2,3
1547582713,2,1
1547586330,1,1
1547589920,2,2
1547593522,1,2
1547597132,1,1
1547604332,0,2
1547607921,1,0
1547611525,1,0
1547615129,1,1
1547618730,1,3
1547622339,2,0
1547625937,1,1
1547629528,2,2
1547633123,4,3
1547636740,3,1
1547640322,0,2
1547643936,3,0
1547647534,3,1
1547651131,2,2
1547654724,1,7
1547658335,2,2
1547661929,1,2
1547665518,2,2
1547669119,2,4
1547672724,1,6
1547679923,4,2
1547683527,2,0
1547687121,10,15
1547690738,1,1
1547694319,1,1
1547697918,1,1
1547701522,2,1
1547705124,1,4
1547708723,3,5
1547712326,4,2
1547715923,5,1
1547719516,1,1
1547723122,4,2
1547726804,2,1
1547730327,4,0
1547733927,0,2
1547737528,2,2
1547741127,4,4
1547744734,7,0
1547748343,5,1
1547751960,9,1
1547755541,6,1
1547759137,1,1
1547762731,4,1
1547766334,2,3
1547769940,1,5
1547773544,1,2
1547777145,2,0
1547780739,0,1
1547784344,1,2
1547787935,1,4
1547791534,5,1
