DateTime,AddedIPs,RemovedIPs
1545332431,7,0
1545332733,4,0
1545333036,1,0
1545333333,2,0
1545333635,3,0
1545333932,4,0
1545334235,3,0
1545334830,5,0
1545335131,4,0
1545335431,2,0
1545335733,2,0
1545336029,1,1
1545336628,6,0
1545336933,2,0
1545337230,3,0
1545337830,4,0
1545338433,1,0
1545338735,2,0
1545339333,2,0
1545340235,5,0
1545340532,1,0
1545340835,3,0
1545341436,6,0
1545342034,9,0
1545342634,4,0
1545343236,16,0
1545343537,78,0
1545344137,6,0
1545344434,4,0
1545344739,5,0
1545345036,3,0
1545346233,4,0
1545346836,1,0
1545347135,3,0
1545347734,2,0
1545348030,3,0
1545348635,9,0
1545349229,3,0
1545349832,9,0
1545350433,3,0
1545350739,1,0
1545351329,7,1
1545351632,2,0
1545352233,3,0
1545352829,5,0
1545353131,3,0
1545353431,1,0
1545353731,79,0
1545354035,2,0
1545354329,5,0
1545354632,3,0
1545354932,4,0
1545355229,3,0
1545355832,5,0
1545356434,6,0
1545356738,26,0
1545357039,3,0
1545357334,2,0
1545357636,2,0
1545357930,5,0
1545358533,10,0
1545358838,2,0
1545359134,1,0
1545359436,2,0
1545360332,5,0
1545360928,3,0
1545361234,3,0
1545361535,3,0
1545361829,1,0
1545362429,5,0
1545362733,3,0
1545363031,1,0
1545363635,3,0
1545363932,2,0
1545364531,7,0
1545364838,2,0
1545365437,6,0
1545366031,4,0
1545366331,4,0
1545366631,4,0
1545366928,5,0
1545367230,2,0
1545367832,6,0
1545368132,3,0
1545368434,2,0
1545368732,2,0
1545369329,4,0
1545369631,2,0
1545370234,3,0
1545370831,1,0
1545371134,1,0
1545371737,4,0
1545372039,1,0
1545372635,5,0
1545372930,2,0
1545373235,1,1
1545373536,3,2
1545373837,4,0
1545374130,1,0
1545374433,3,0
1545374735,5,0
1545375038,2,0
1545375638,7,0
1545376237,8,0
1545376838,9,0
1545377140,5,0
1545377436,4,0
1545378039,3,0
1545378639,2,0
1545379238,3,0
1545379538,2,0
1545379837,4,0
1545380439,4,0
1545381037,5,0
1545381337,2,0
1545381638,3,0
1545381937,5,0
1545382233,1,0
1545382531,1,0
1545382834,3,0
1545383136,3,0
1545383437,3,0
1545384035,1,0
1545384638,4,0
1545385237,2,0
1545385838,3,0
1545386137,2,0
1545386441,2,3
1545387037,7,0
1545387338,2,0
1545387638,1,0
1545388238,5,0
1545388539,2,0
1545388837,3,0
