DateTime,AddedIPs,RemovedIPs
1547958723,95,0
1547959323,4,0
1547959923,1,0
1547960523,5,0
1547961723,4,0
1547962923,3,0
1547963282,0,119
1547964195,88,1
1547964724,1,0
1547965323,2,0
1547965923,78,9
1547967122,9,87
1547967723,1,0
1547969043,68,71
1547969523,1,46
1547970123,2,0
1547970723,4,0
1547971323,5,0
1547971924,3,2
1547972523,4,0
1547973123,2,0
1547973723,4,0
1547974323,3,0
1547974924,71,0
1547975524,1,0
1547976123,1,0
1547976723,2,0
1547977323,1,0
1547978597,78,11
1547978883,0,93
1547979124,1,0
1547979723,2,0
1547980275,95,0
1547982195,3,0
1547982724,10,0
1547983322,1,0
1547983923,70,23
1547984522,1,0
1547985123,5,0
1547985723,77,27
1547987043,29,82
1547988123,1,0
1547989396,3,0
1547990523,5,0
1547991123,89,66
1547991723,1,0
1547992323,4,0
1547992994,6,1
1547994123,4,0
1547994723,80,15
1547995203,15,64
1547996595,67,17
1547997123,18,63
1548000124,22,0
1548000196,0,1
1548000723,2,0
1548001323,3,0
1548001922,85,19
1548002882,0,144
1548003723,2,0
1548003797,0,1
1548004923,1,0
1548005474,106,0
1548006123,1,0
1548007396,4,0
1548007923,1,0
1548008525,1,0
1548009723,1,0
1548010995,117,24
1548011524,1,0
1548012124,1,0
1548012723,78,96
1548013323,5,0
1548014536,3,0
1548015123,6,0
1548015723,15,0
1548016323,64,21
1548016808,21,99
1548016923,1,0
1548017523,3,0
1548018170,87,16
1548019322,5,0
1548019924,2,0
1548020643,5,160
1548021123,5,0
1548021738,1,2
1548022924,4,0
1548023523,63,0
1548024123,2,0
1548025325,2,0
1548025924,0,2
1548027123,60,13
1548027724,4,0
1548028322,1,0
1548028994,76,28
1548029766,30,112
1548030123,1,0
1548030723,2,0
1548031323,3,0
1548031682,0,195
1548031923,2,0
1548032523,77,0
1548033124,1,1
1548033724,1,0
1548036138,2,1
1548037323,6,0
1548037923,48,11
1548038523,1,0
1548039123,1,0
1548039723,2,0
1548040563,0,152
1548041467,71,0
1548042123,4,0
1548043266,69,71
1548044403,0,97
1548044522,2,0
1548045123,104,0
1548046923,3,0
1548047523,1,4
1548048124,3,0
1548048667,66,8
1548049323,2,0
1548050164,0,185
1548050595,1,1
1548051723,6,0
1548052323,3,0
1548052923,7,0
1548054124,149,0
1548054195,0,3
1548055203,12,47
1548055323,1,0
1548055922,4,0
1548056522,1,0
1548058323,1,0
1548059043,2,60
1548059522,82,0
1548060123,5,0
1548060723,1,0
1548061322,2,0
1548061923,0,1
1548062523,1,0
1548063123,75,20
1548063723,1,0
1548064323,20,52
1548064924,73,10
1548064936,0,1
1548068596,15,71
1548069123,2,0
1548069723,1,0
1548070326,69,62
1548070922,3,0
1548071523,1,0
1548072196,5,57
1548073322,5,0
1548073922,1,0
1548074403,77,0
1548074523,1,0
1548075123,4,0
1548075795,71,55
1548076324,0,60
1548076922,1,0
1548078123,1,0
1548079399,75,2
1548081137,73,18
1548081724,6,0
1548082924,2,0
1548083524,0,1
1548084242,1,117
1548084723,91,0
1548085323,1,0
1548086523,3,0
1548087122,2,0
1548087723,13,0
1548088924,78,15
1548090123,1,0
1548090723,1,1
1548091442,0,112
1548091922,96,0
1548092523,3,0
1548094324,1,2
1548094923,14,0
1548095283,0,84
1548095523,102,0
1548096124,3,0
1548097398,2,0
1548097923,7,0
1548098523,4,0
1548099723,4,0
1548100082,110,69
1548100938,2,98
1548102123,1,0
1548102671,94,0
1548103322,2,0
1548104646,8,0
1548106324,87,14
1548106922,2,0
1548108123,4,0
1548109324,2,0
1548109683,0,166
1548109922,66,0
1548110523,2,0
1548111795,1,1
1548112923,4,0
1548113523,62,12
1548113762,12,109
1548114123,2,0
1548114723,1,0
1548115324,1,0
1548115397,0,1
1548116522,2,0
1548117123,87,16
1548118997,0,2
1548119763,0,204
1548120673,73,0
1548121323,3,0
1548121922,1,0
1548122524,2,0
1548123123,5,0
1548123723,6,0
1548124323,50,6
1548124924,18,0
1548125523,3,0
1548126124,1,0
1548127323,1,0
1548127683,0,162
1548127923,1,0
1548128523,3,0
1548129743,84,0
1548129797,0,1
1548130922,2,0
1548131523,1,0
1548132122,102,14
1548132482,14,92
1548133397,2,2
