DateTime,AddedIPs,RemovedIPs
1547976934,5,11
1547977656,13,15
1547978168,11,0
1547978374,12,14
1547979095,11,10
1547979815,10,8
1547980093,2,12
1547980546,16,11
1547981254,15,8
1547982101,3,6
1547982455,12,23
1547983414,13,16
1547983948,4,0
1547984377,13,22
1547985153,37,18
1547985873,19,8
1547986534,11,7
1547987769,12,15
1547987973,20,25
1547988658,12,12
1547989415,14,14
1547989689,7,0
1547990134,8,4
1547991639,41,32
1547993014,22,32
1547993535,16,14
1547993699,6,8
1547994695,16,14
1547995721,8,8
1547996134,29,45
1547997573,28,22
1547998295,7,10
1547999013,9,10
1547999562,7,24
1547999788,22,14
1548000455,9,12
1548001414,2106,8
1548002615,23,12
1548003375,18,20994
1548004054,20981,4
1548004774,7,9
1548005560,13,9
1548006008,4,22782
1548006697,22774,1
1548007475,27,29
1548008375,21,12
1548009367,5,0
1548009575,18,18
1548010294,10,6
1548011560,53,43
1548012215,8,10
1548013447,7,0
1548013654,25,28
1548014441,5,1
1548015639,38,56
1548016295,10,9
1548017015,20,7
1548017534,3,16
1548017736,12,11
1548019176,24,31
1548019447,3,6
1548020373,36,18
1548021094,12,13
1548021370,5,7
1548022294,21,29
1548023014,10,15
1548023543,11,13
1548023735,9,10
1548023737,3959,266
1548025453,11,20
1548025863,37,27
1548026615,18,12
1548027390,20,34
1548028258,8,16
1548029341,33,30
1548030215,19,24
1548031232,29,32
1548031895,13,19
1548032617,10,9
1548033426,12,29
1548034054,13,11
1548034775,16,11
1548035495,7,8
1548036216,21,14
1548036966,8,8009
1548037555,8007,1
1548038137,7,26
1548038854,12,15
1548039131,10,34
1548040293,18,12
1548041088,26,80
1548041753,5,10
1548042460,12,7
1548043654,19,15
1548043926,2,0
1548044905,26,45
1548045580,20,12
1548046233,4,20984
1548046824,2,16
1548047040,20981,2
1548047749,7,9
1548048454,8,7
1548048732,6,10
1548049176,10,17
1548049895,14,10
1548050674,15,20
1548051336,9,14
1548052054,12,12
1548052568,9,8
1548052829,11,4
1548053495,7,15
1548054215,6,22
1548054740,10,14
1548055175,19,12
1548056135,8,8
1548056655,17,19
1548057109,13,14
1548057819,17,12
1548058597,24,28
1548059256,12,24
1548059975,11,10
1548060755,16,39
1548061414,10,8
1548062374,23,19
1548062647,9,7
1548063094,7,11
1548063815,13,8
1548064585,22,21
1548065496,20,15
1548066214,10,11
1548066737,6,6
1548066934,8,13
1548067690,0,28945
1548068656,2,10
1548069095,28946,0
1548069815,12,9
1548070587,13,22
1548071255,11,35
1548071975,19,10
1548072491,4,14
1548072694,7,12
1548073217,0,3
1548073415,10,9
1548074436,17,25
1548075336,15,17
1548076358,37,29
1548077015,13,14
1548077737,16,14
1548078248,12,19
1548078455,9,8
1548079176,14,14
1548079893,13,7
1548080614,10,8
1548081335,15,18
1548082356,95,51
1548083494,24,25
1548084290,23,24
1548084935,11,8
1548085894,20,22
1548086438,9,17
1548086617,14,5
1548087575,13,9
1548088093,1,1
1548088295,11,19
1548091175,44,44
1548091896,11,11
1548092180,7,38
1548093094,22,22
1548093814,6,18
1548094339,4,13
1548094775,20,28
1548095494,21,13
1548096292,24,32
1548096737,1,0
1548096936,10,14
1548097656,11,26
1548098180,3,18
1548098615,14,13
1548099334,10,14
1548100099,10,20976
1548101734,20962,7
1548102009,5,20
1548102728,3,1
1548103176,38,31
1548103969,14,25
1548104616,10,12
1548105336,8,11
1548105870,8,18
1548107013,30,46
1548107735,7,12
1548108454,9,14
1548109176,11,8
1548109685,11,15
1548109895,10,12
1548110614,276,27
1548111352,5,9
1548111865,7,8
1548112776,17,28
1548113495,11,17
1548113768,10,14
1548114214,14,11
1548115961,143,46
1548116614,8,18
1548117634,19,21
1548117856,10,9
1548118295,11,16
1548119454,51,12
1548119767,12,9
1548120215,12,8
1548120935,16,17
1548121714,19,22
1548122678,6,23
1548123061,0,7
1548123877,11,31
1548124535,11,9
1548125054,25,25
1548125535,0,29377
1548125766,4,16
1548126214,29374,0
1548126935,6,12
1548127714,17,24
1548128616,12,13
1548129343,9,11
1548130056,7,14
1548130774,10,5
1548131559,23,40
1548132276,5,19
1548133483,12,13
1548133856,13,17
1548135094,16,17
1548135369,9,13
1548135815,12,8
1548136534,13,13
1548137315,28,18
1548138214,15,14
1548138953,1,21054
1548139656,21055,3
1548140677,1,0
1548141158,34,43
1548141814,11,17
1548142536,18,8
1548143049,22,16
1548143256,11,11
1548144456,15,25
1548145242,10,17
1548145653,19,18
1548146374,11,9
1548146891,2,0
1548147148,11,15
1548147814,6,8
1548148534,12,18
1548149073,9,6
1548149494,88,19
1548150213,13,10
1548150988,20,44
1548151656,21,13
1548152374,6,12
1548152885,7,4
1548153336,19,10
1548154055,11,11
1548154851,9,7
1548155255,15,21
1548155973,13,14
1548156760,14,12
1548157415,10,9
1548158136,12,18
1548158656,6,9
1548159062,11,15
1548159815,16,11
1548160591,19,15
1548161255,22,16
1548161530,7,2
1548162523,22,35
1548163415,11,34
1548164134,16,15
1548164410,6,6
1548164864,10,12
1548165575,6,15
1548166360,21,26
1548167014,26,9
1548167735,11,22
1548168254,9,15
1548168694,12,87
1548169415,4,165
1548170460,27,27
1548171094,16,13
1548172358,34,42
1548173015,10,18
1548173737,6,7
1548174251,14,15
1548174694,15,13
1548175415,10,11
1548176193,18,25
1548177094,48,15
1548177815,2,20
1548178088,13,0
1548179494,16,39
1548180215,15,12
1548180935,11,17
1548181655,5,17
1548181936,3,26
1548182374,7,23
1548183095,10,16
1548183876,17,32
1548184337,1,0
1548184536,16,23
1548185254,11,9
1548185983,12,10
1548186695,8,7
1548187943,36,49
1548188614,12,17
1548189333,8,19
1548189854,13,10
1548190295,15,21
1548190815,12,1
1548191255,25,11
1548191775,9,8
1548191976,10,7
1548192695,12,20
1548193415,19,11
1548193692,16,0
1548194134,8,7
1548195095,12,19
1548195610,13,20
1548195814,15,11
1548196535,10,10
1548197577,44,4647
1548198454,41,8
1548199713,28,34
1548200376,14,7
1548201115,9,33
1548201646,9,12
1548202055,12,112
1548202779,8,7
1548203577,13,25
1548204215,14,17
1548204951,8,50
1548205461,31,10
1548205760,16,1292
1548206855,1303,21
1548207369,7,5
1548207576,12,17
1548208320,13,7
1548210214,35,19
1548210935,15,15
1548211654,13,9
1548212206,30,25
1548212854,20,14
1548213574,28,8
1548215255,18,18
1548215980,9,10
1548217147,14,10
1548217904,8,14
1548218568,21,5
1548219136,9,65
1548219821,3,7
1548220332,22,1
1548220537,11,12
1548221051,13,11
1548222935,44,32
1548223854,10,21
1548224615,20,13
1548225139,13,26
1548226055,15,20
1548227076,20,28
1548228044,1,0
1548228454,22,28
1548228979,17,14
1548229415,13,21
1548230136,8,12
1548230920,16,24
1548231817,16,16
1548232835,29,30
1548233495,15,10
1548234454,20,9
1548234982,69,14
1548235415,21,12
1548236374,16,91
1548236898,9,9
1548238295,25,41
1548239075,18,19
1548240694,29,26
1548240965,1,0
1548241414,12,11
1548242913,24,33
1548243815,14,15
1548244538,17,12
1548245449,10,11
1548246216,13,15
1548246737,6,0
1548246935,5,11
1548247896,14,28
1548248670,18,27
1548249334,12,6
1548249607,12,1
1548250294,19,15
1548251015,15,17
1548251736,11,4
1548252760,19,23
1548253415,19,24
1548254373,18,8
1548255335,15,17
1548256054,9,5
1548256833,24,42
1548257494,9,12
1548258695,22,24
1548260134,14,12
1548260652,9,27
1548260854,7,13
1548262295,23,15
1548262840,9,13
1548263017,16,6
1548264512,50,51
1548264984,2,11
1548265414,15,8
1548267093,30,27
1548267814,12,10
1548268535,14,8
1548269052,11,27
1548269494,17,10
1548270215,16,13
1548271229,17,20364
1548271950,20348,2
1548272614,11,12
1548273134,4,14
1548273337,11,12
1548274285,7,20357
1548275095,20374,16
1548275974,16,14
1548276992,16,29
1548277908,12,22
1548278600,8,12
1548278888,11,16
1548279129,21,0
1548279608,1,23443
1548280317,23436,2
1548280806,3,7
1548281014,19,9
1548282215,13,26
1548282738,8,14
1548282935,15,10
1548283203,4628,523
1548284652,4,12
1548285819,97,72
1548286577,23,24
1548287439,8,9
1548287974,8,7
1548288726,5,20370
1548289450,15784,1
1548290416,2,23
1548290864,4607,16
1548291575,21,12
1548292335,7,24035
1548293015,24016,1
1548293785,30,21
1548294260,14,23
1548295850,34,34
1548296425,17,10
1548296631,14,18
1548297352,6,13
1548298345,7,6
1548299334,32,31
1548299699,31,56
1548300255,14,14
1548300455,1,9
1548301181,18,9
1548301895,8,6
1548302170,2,7
1548303097,14,15
1548304350,8,11
1548305254,37,33
1548306285,19,18
1548306937,7,9
1548307896,13,12
1548308415,34,5
1548308614,12,14
1548309336,15,21
1548310374,18,10
1548311253,29,35
1548311974,11,5
1548312265,21,11
1548312693,16,5
1548314615,33,26
1548315640,39,14
1548316099,19,27
1548317018,23,17
1548317738,11,13
1548318261,12,10
1548318696,18,17
1548319414,10,14
1548320442,10,11
1548320856,36,26
1548321576,14,17
1548322356,15,16
1548323069,34,15
1548324717,28,21
1548325415,6,14
1548326195,15,27
1548327816,33,33
1548328343,8,6
