DateTime,AddedIPs,RemovedIPs
1547863323,3,0
1547863923,6,0
1547864524,3,0
1547865123,2,0
1547865723,2,0
1547866323,3,0
1547866923,3,0
1547867523,2,0
1547868124,4,0
1547870523,2,0
1547871124,4,0
1547871723,6,0
1547872323,3,0
1547872924,14,0
1547873523,4,0
1547874124,2,0
1547875323,1,0
1547875922,9,0
1547876523,6,0
1547877123,17,0
1547877723,1,0
1547878323,7,0
1547878923,4,0
1547880122,10,0
1547880722,2,0
1547881323,2,0
1547882524,3,0
1547883123,3,0
1547883723,4,0
1547884323,2,0
1547884923,2,0
1547886123,4,0
1547886723,3,0
1547887323,6,0
1547887923,2,0
1547888523,2,0
1547889123,2,0
1547889723,4,0
1547890323,8,0
1547890923,3,0
1547892123,1,0
1547892723,3,0
1547893323,2,0
1547894523,7,0
1547896323,2,0
1547896923,11,0
1547898122,1,0
1547899323,2,0
1547901724,2,0
1547902323,3,0
1547902924,1,0
1547904123,2,0
1547904723,2,0
1547905322,6,0
1547905923,5,0
1547907724,5,0
1547908323,1,0
1547908924,2,0
1547909523,1,0
1547910123,2,0
1547911323,3,0
1547912523,2,0
1547913123,3,0
1547913723,10,0
1547914323,7,0
1547914924,3,0
1547915523,1,0
1547916122,5,0
1547917324,2,0
1547918523,4,0
1547919123,2,0
1547919723,5,0
1547920322,1,0
1547920924,17,0
1547923324,3,0
1547924523,1,0
1547925722,1,0
1547926923,3,0
1547927523,14,0
1547928271,3,0
1547928723,2,0
1547929323,6,0
1547929922,3,0
1547930523,5,0
1547932923,3,0
1547934123,2,0
1547934723,3,0
1547935323,9,0
1547935923,1,0
1547936523,3,0
1547937723,2,0
1547938324,4,0
1547938923,4,0
1547939524,7,0
1547940724,1,0
1547941323,4,0
1547942524,2,0
1547943722,6,0
1547944323,2,0
1547944923,2,0
1547947322,3,0
1547947923,2,0
1547948523,1,0
1547949125,2,0
1547949723,4,0
1547950323,2,0
1547950922,1,0
1547951523,4,0
1547952123,5,0
1547953323,4,0
1547955123,2,0
1547956923,4,0
1547958124,1,0
1547958723,3,0
1547959323,4,0
1547959923,1,0
1547960523,5,0
1547961723,4,0
1547962923,3,0
1547964124,7,0
1547964724,1,0
1547965323,2,0
1547965923,1,0
1547967723,1,0
1547968923,3,0
1547969523,1,0
1547970123,2,0
1547970723,4,0
1547971323,5,0
1547971924,3,0
1547972523,4,0
1547973123,2,0
1547973723,4,0
1547974323,3,0
1547974924,3,0
1547975524,1,0
1547976123,1,0
1547976723,2,0
1547977323,1,0
1547979124,1,0
1547979723,2,0
1547982123,3,0
1547982724,10,0
1547983322,1,0
1547983923,2,0
1547984522,1,0
1547985123,5,0
1547986923,2,0
1547988123,1,0
1547989323,3,0
1547990523,5,0
1547991123,3,0
1547991723,1,0
1547992323,4,0
1547992922,6,0
1547994123,4,0
1547994723,2,0
1547996523,1,0
1547997123,2,0
1548000124,22,0
1548000723,2,0
1548001323,3,0
1548001922,1,0
1548003723,2,0
1548004923,1,0
1548006123,1,0
1548007323,4,0
1548007923,1,0
1548008525,1,0
1548009723,1,0
1548010923,1,0
1548011524,1,0
1548012124,1,0
1548012723,4,0
1548013323,5,0
1548014523,3,0
1548015123,6,0
1548015723,15,0
1548016323,2,0
1548016923,1,0
1548017523,3,0
1548018123,5,0
1548019322,5,0
1548019924,2,0
1548020523,5,0
1548021123,5,0
1548021723,1,0
1548022924,4,0
1548024123,2,0
1548025325,2,0
1548027123,4,0
1548027724,4,0
1548028322,1,0
1548028925,4,0
1548029523,7,0
1548030123,1,0
1548030723,2,0
1548031323,3,0
1548031923,2,0
1548032523,7,0
1548033124,1,0
1548033724,1,0
1548036123,2,0
1548037323,6,0
1548037923,9,0
1548038523,1,0
1548039123,1,0
1548039723,2,0
1548042123,4,0
1548044522,2,0
1548045123,1,0
1548046923,3,0
1548047523,1,0
1548048124,3,0
1548049323,2,0
1548050523,1,0
1548051723,6,0
1548052323,3,0
1548052923,7,0
1548054124,2,0
1548055323,1,0
1548055922,4,0
1548056522,1,0
1548058323,1,0
1548058923,2,0
1548059522,4,0
1548060123,5,0
1548060723,1,0
1548061322,2,0
1548062523,1,0
1548063723,1,0
1548064924,2,0
1548068523,6,0
1548069123,2,0
1548069723,1,0
1548070922,3,0
1548071523,1,0
1548072123,5,0
1548073322,5,0
1548073922,1,0
1548074523,1,0
1548075123,4,0
1548076922,1,0
1548078123,1,0
1548079323,2,0
1548081724,6,0
1548082924,2,0
1548084123,1,0
1548085323,1,0
1548086523,3,0
1548087122,1,0
1548087723,13,0
1548090123,1,0
1548090723,1,0
1548091922,2,0
1548092523,3,0
1548094324,1,0
1548094923,14,0
1548096124,3,0
1548097324,2,0
1548097923,7,0
1548098523,4,0
1548099723,4,0
1548100923,2,0
1548102123,1,0
1548103322,2,0
1548104646,8,0
1548106922,2,0
1548108123,4,0
1548109324,2,0
1548110523,2,0
1548111723,1,0
1548112923,4,0
1548113523,2,0
1548114123,2,0
1548114723,1,0
1548115324,1,0
1548116522,2,0
1548121323,3,0
1548121922,1,0
1548122524,2,0
1548123123,5,0
1548123723,6,0
1548124924,18,0
1548125523,3,0
1548126124,1,0
1548127323,1,0
1548127923,1,0
1548128523,3,0
1548129722,2,0
1548130922,2,0
1548131523,1,0
1548132122,1,0
1548133323,2,0
1548135723,1,0
1548136923,6,0
1548137523,2,0
1548138122,3,0
1548139323,4,0
1548139922,0,1
1548140523,3,0
1548141723,2,0
1548143523,1,0
1548144124,1,0
1548144725,1,0
1548146523,2,0
1548147122,6,0
1548147724,3,0
1548148924,2,0
1548150123,1,0
1548153723,3,0
1548156123,1,0
1548156723,1,0
1548157322,4,0
1548158523,1,0
1548160322,1,0
1548160923,2,0
1548161522,2,0
1548162124,2,0
1548162723,3,0
1548163322,1,0
1548164522,3,0
1548165724,1,0
1548166323,1,0
1548166923,1,0
1548168123,9,0
1548169323,2,0
1548169923,1,0
1548170522,4,0
1548171723,2,0
1548174123,1,0
1548174724,2,0
1548175323,2,0
1548175923,1,0
1548176523,2,0
1548177723,1,0
1548178923,2,0
1548179523,1,0
1548180123,1,0
1548183723,1,0
1548186123,1,0
1548187322,4,0
1548187924,1,0
1548188523,3,0
1548189723,9,0
