DateTime,AddedIPs,RemovedIPs
1547720109,889,869
1547721012,409,410
1547721910,577,250
1547722810,490,63
1547724611,1046,284
1547726411,797,624
1547728212,924,727
1547730010,1769,552
1547730911,1598,459
1547731810,1473,326
1547733611,2377,1119
1547734511,1303,858
1547735411,935,785
1547737212,1200,555
1547738113,669,995
1547739013,631,2262
1547740813,1180,3485
1547741714,587,1680
1547742611,589,1386
1547743512,544,834
1547744412,587,436
1547746215,1251,844
1547747113,406,110
1547748912,929,513
1547749813,495,276
1547750713,513,160
1547751612,530,152
1547753411,1103,974
1547755212,1477,675
1547757011,1319,655
1547758810,1064,2939
1547759713,370,1681
1547760611,435,819
1547762412,637,588
1547764210,697,1864
1547766011,664,1334
1547766912,409,176
1547767811,406,136
1547768711,490,226
1547769613,392,550
1547770513,462,289
1547771412,401,500
1547772311,394,248
1547773213,317,525
1547774111,911,555
1547775012,1213,731
1547775912,1028,457
1547777715,2134,488
1547778613,903,285
1547780413,1217,912
1547781313,678,220
1547782212,596,404
1547783115,569,1092
1547784011,443,1169
1547785812,923,2220
1547786712,409,833
1547787610,341,1033
1547789412,717,988
1547790311,316,1043
1547791213,293,539
1547793012,699,621
1547794811,792,848
1547795713,522,287
1547796613,386,247
1547797514,393,316
1547799314,666,846
1547800212,422,270
1547802013,692,974
1547803814,639,1296
1547804712,391,453
1547805614,431,296
1547806513,507,255
1547807413,506,193
1547808313,414,190
1547810111,695,387
1547811012,322,355
1547811913,338,112
1547813714,732,432
1547814611,369,301
1547816413,912,213
1547817315,389,248
1547818213,917,513
1547820013,1799,787
1547820911,1237,371
1547821812,998,348
1547823613,1484,644
1547825411,1529,342
1547826311,585,396
1547827213,547,150
1547828112,620,183
1547829010,399,211
1547830809,615,290
1547832611,1158,1072
1547834410,1427,1808
1547835311,324,290
1547836210,321,901
1547837109,436,2070
1547838010,392,1339
1547839810,695,1981
1547840710,352,636
1547841609,432,909
1547842510,523,881
1547843410,330,253
1547844311,266,587
1547845211,398,1034
1547847010,615,1651
1547847909,293,353
1547848810,265,271
1547849709,402,201
1547850609,357,432
1547852411,853,866
1547854211,719,338
1547856011,640,690
1547856909,240,198
1547857810,250,160
1547859610,749,732
1547860510,360,200
1547861410,314,133
1547863209,1503,502
1547864110,910,392
1547865009,936,426
1547865910,838,465
1547866810,958,472
1547868609,1647,1443
1547869511,594,283
1547870410,677,382
1547872209,1127,810
1547874009,868,1025
1547874910,467,1156
1547875811,419,374
1547876711,419,844
1547878509,720,2418
1547879410,362,802
1547881212,651,1677
1547882112,429,437
1547883011,368,674
1547883909,288,690
1547884811,425,517
1547885711,432,498
1547886610,249,357
1547887510,256,295
1547888410,379,288
1547890210,916,520
1547892010,794,415
1547893811,786,919
1547895611,485,665
1547896510,436,396
1547897411,581,340
1547898311,420,304
1547899211,361,281
1547900113,542,409
1547901010,457,506
1547901911,322,403
1547902810,342,276
1547903709,455,334
1547904610,524,159
1547906411,1004,512
1547907312,652,321
1547908211,810,119
1547910011,1577,979
1547910913,1071,478
1547911810,755,415
1547913610,1349,1438
1547914510,747,1650
1547916310,1130,795
1547917211,575,456
1547918111,465,1389
1547919013,323,1026
1547920810,814,2063
1547921711,311,740
1547922612,309,151
1547923513,335,3909
1547924411,3871,0
1547925312,404,300
1547926210,363,436
1547927112,408,346
