DateTime,Entries,UniqueIPs
1547720109,3353,3353
1547721012,3352,3352
1547721910,3679,3679
1547722810,4106,4106
1547724611,4868,4868
1547726411,5041,5041
1547728212,5238,5238
1547730010,6455,6455
1547730911,7594,7594
1547731810,8741,8741
1547733611,9999,9999
1547734511,10444,10444
1547735411,10594,10594
1547737212,11239,11239
1547738113,10913,10913
1547739013,9282,9282
1547740813,6977,6977
1547741714,5884,5884
1547742611,5087,5087
1547743512,4797,4797
1547744412,4948,4948
1547746215,5355,5355
1547747113,5651,5651
1547748912,6067,6067
1547749813,6286,6286
1547750713,6639,6639
1547751612,7017,7017
1547753411,7146,7146
1547755212,7948,7948
1547757011,8612,8612
1547758810,6737,6737
1547759713,5426,5426
1547760611,5042,5042
1547762412,5091,5091
1547764210,3924,3924
1547766011,3254,3254
1547766912,3487,3487
1547767811,3757,3757
1547768711,4021,4021
1547769613,3863,3863
1547770513,4036,4036
1547771412,3937,3937
1547772311,4083,4083
1547773213,3875,3875
1547774111,4231,4231
1547775012,4713,4713
1547775912,5284,5284
1547777715,6930,6930
1547778613,7548,7548
1547780413,7853,7853
1547781313,8311,8311
1547782212,8503,8503
1547783115,7980,7980
1547784011,7254,7254
1547785812,5957,5957
1547786712,5533,5533
1547787610,4841,4841
1547789412,4570,4570
1547790311,3843,3843
1547791213,3597,3597
1547793012,3675,3675
1547794811,3619,3619
1547795713,3854,3854
1547796613,3993,3993
1547797514,4070,4070
1547799314,3890,3890
1547800212,4042,4042
1547802013,3760,3760
1547803814,3103,3103
1547804712,3041,3041
1547805614,3176,3176
1547806513,3428,3428
1547807413,3741,3741
1547808313,3965,3965
1547810111,4273,4273
1547811012,4240,4240
1547811913,4466,4466
1547813714,4766,4766
1547814611,4834,4834
1547816413,5533,5533
1547817315,5674,5674
1547818213,6078,6078
1547820013,7090,7090
1547820911,7956,7956
1547821812,8606,8606
1547823613,9446,9446
1547825411,10633,10633
1547826311,10822,10822
1547827213,11219,11219
1547828112,11656,11656
1547829010,11844,11844
1547830809,12169,12169
1547832611,12255,12255
1547834410,11874,11874
1547835311,11908,11908
1547836210,11328,11328
1547837109,9694,9694
1547838010,8747,8747
1547839810,7461,7461
1547840710,7177,7177
1547841609,6700,6700
1547842510,6342,6342
1547843410,6419,6419
1547844311,6098,6098
1547845211,5462,5462
1547847010,4426,4426
1547847909,4366,4366
1547848810,4360,4360
1547849709,4561,4561
1547850609,4486,4486
1547852411,4473,4473
1547854211,4854,4854
1547856011,4804,4804
1547856909,4846,4846
1547857810,4936,4936
1547859610,4953,4953
1547860510,5113,5113
1547861410,5294,5294
1547863209,6295,6295
1547864110,6813,6813
1547865009,7323,7323
1547865910,7696,7696
1547866810,8182,8182
1547868609,8386,8386
1547869511,8697,8697
1547870410,8992,8992
1547872209,9309,9309
1547874009,9152,9152
1547874910,8463,8463
1547875811,8508,8508
1547876711,8083,8083
1547878509,6385,6385
1547879410,5945,5945
1547881212,4919,4919
1547882112,4911,4911
1547883011,4605,4605
1547883909,4203,4203
1547884811,4111,4111
1547885711,4045,4045
1547886610,3937,3937
1547887510,3898,3898
1547888410,3989,3989
1547890210,4385,4385
1547892010,4764,4764
1547893811,4631,4631
1547895611,4451,4451
1547896510,4491,4491
1547897411,4732,4732
1547898311,4848,4848
1547899211,4928,4928
1547900113,5061,5061
1547901010,5012,5012
1547901911,4931,4931
1547902810,4997,4997
1547903709,5118,5118
1547904610,5483,5483
1547906411,5975,5975
1547907312,6306,6306
1547908211,6997,6997
1547910011,7595,7595
1547910913,8188,8188
1547911810,8528,8528
1547913610,8439,8439
1547914510,7536,7536
1547916310,7871,7871
1547917211,7990,7990
1547918111,7066,7066
1547919013,6363,6363
1547920810,5114,5114
1547921711,4685,4685
1547922612,4843,4843
1547923513,1269,1269
1547924411,5140,5140
1547925312,5244,5244
1547926210,5171,5171
1547927112,5233,5233
1547928013,5097,5097
1547929810,4671,4671
1547931612,4928,4928
1547932510,4851,4851
1547933409,4944,4944
1547935210,4351,4351
1547937010,4332,4332
1547938810,3517,3517
1547939710,3439,3439
1547940610,3526,3526
1547941510,3627,3627
1547943311,3794,3794
1547944210,3662,3662
1547946010,3696,3696
1547946911,3888,3888
1547947811,3926,3926
1547949611,3818,3818
1547951409,4558,4558
1547953210,5102,5102
1547954110,5247,5247
1547955008,5599,5599
1547955911,6102,6102
1547956810,6317,6317
1547957712,6614,6614
1547958612,6415,6415
1547960412,6152,6152
1547961312,6355,6355
1547962209,6589,6589
1547963112,6810,6810
1547964011,7066,7066
1547964912,7228,7228
1547966711,7036,7036
1547967610,6922,6922
1547968509,6920,6920
1547969408,6812,6812
1547970310,6336,6336
1547971211,6199,6199
1547973011,6022,6022
1547973912,6136,6136
1547974812,6023,6023
1547975712,5487,5487
1547976612,4960,4960
1547978412,4556,4556
1547980211,4695,4695
1547981111,4489,4489
1547982010,4656,4656
1547982911,4664,4664
1547983811,4926,4926
1547985612,4326,4326
1547986509,4158,4158
1547987410,3732,3732
1547988310,3512,3512
1547989210,3496,3496
1547990110,3123,3123
1547991011,3491,3491
1547991911,3699,3699
1547993712,3842,3842
1547994611,4246,4246
1547996412,4837,4837
1547998211,5961,5961
1548000013,6619,6619
1548000909,7259,7259
1548002710,7870,7870
1548003610,8297,8297
1548004508,8747,8747
1548005412,8418,8418
1548006311,8737,8737
1548007211,8751,8751
1548009010,8141,8141
1548009911,6960,6960
1548010812,6972,6972
1548012613,6948,6948
1548014410,5598,5598
1548016212,4922,4922
1548018010,4838,4838
1548019809,5018,5018
1548020711,5031,5031
1548022512,5369,5369
1548023410,5390,5390
1548025211,5765,5765
1548027009,5453,5453
1548028811,5618,5618
1548029711,5767,5767
1548030610,5719,5719
1548031509,5881,5881
1548032408,6172,6172
1548033309,5945,5945
1548034209,5136,5136
1548035109,5102,5102
1548036010,5076,5076
1548036910,5205,5205
1548037810,4994,4994
1548039609,5353,5353
1548040511,5719,5719
1548041408,6031,6031
1548043209,6783,6783
1548044109,7026,7026
1548045908,7766,7766
1548046810,8183,8183
1548047710,8696,8696
1548048609,8749,8749
1548049510,8551,8551
1548050410,8290,8290
1548051310,8251,8251
1548052210,6655,6655
1548053109,6182,6182
1548054009,5407,5407
1548055811,3400,3400
1548057609,3336,3336
1548058511,3237,3237
1548059410,3469,3469
1548061210,3187,3187
1548063011,2650,2650
1548064812,1688,1688
1548065708,2003,2003
1548066614,2038,2038
1548067512,2111,2111
1548068411,2191,2191
1548070211,2605,2605
1548072011,3153,3153
1548072911,3439,3439
1548073811,3756,3756
1548074712,3592,3592
1548076512,3793,3793
1548077412,3979,3979
1548079211,4370,4370
1548081012,4907,4907
1548082811,5659,5659
1548083709,6031,6031
1548085512,6424,6424
1548086411,6146,6146
1548088211,7044,7044
1548089112,7273,7273
1548090015,7633,7633
1548091814,6951,6951
1548093612,5986,5986
1548095413,4830,4830
1548097213,3437,3437
1548098113,3551,3551
1548099012,3748,3748
1548099912,3523,3523
1548101711,3519,3519
1548102614,3604,3604
1548104415,3426,3426
1548105312,3382,3382
1548107112,3139,3139
1548108012,3370,3370
1548108910,3297,3297
1548109813,3221,3221
1548110713,3193,3193
1548112513,3177,3177
1548113409,3380,3380
1548115209,3512,3512
1548117011,3679,3679
1548117913,3769,3769
1548119711,3742,3742
1548120611,3902,3902
1548122413,3588,3588
1548123313,2967,2967
1548124212,2043,2043
1548126012,1631,1631
1548126914,1940,1940
1548128716,2780,2780
1548129612,3260,3260
1548130512,3910,3910
1548131415,4660,4660
1548132314,5192,5192
1548133211,5895,5895
1548135013,7004,7004
1548136813,7862,7862
1548137710,8122,8122
1548138612,8340,8340
1548140413,9007,9007
1548141311,9349,9349
1548142211,9565,9565
1548144010,9105,9105
1548145813,8583,8583
1548146710,8221,8221
1548147611,8292,8292
1548148511,8535,8535
1548149409,8627,8627
1548151212,7669,7669
1548152112,7963,7963
1548153909,8449,8449
1548154813,8585,8585
1548155711,8641,8641
1548156610,8932,8932
1548157511,9261,9261
1548158410,9528,9528
1548159308,9853,9853
1548160211,9917,9917
1548162009,9796,9796
1548162910,9745,9745
1548163810,9856,9856
1548165612,9641,9641
1548167409,8562,8562
1548169209,8496,8496
1548171008,7584,7584
1548172808,7724,7724
1548173707,7497,7497
1548174607,7315,7315
1548175509,7366,7366
1548177308,7228,7228
1548178209,7297,7297
1548180008,7407,7407
1548180908,7512,7512
1548181810,7785,7785
1548182710,7876,7876
1548183608,7871,7871
1548184509,7962,7962
1548185409,7911,7911
1548186309,3467,3467
1548188109,7787,7787
1548189007,7979,7979
1548190809,7585,7585
1548191709,7836,7836
1548192609,8105,8105
1548193509,8206,8206
1548194410,8353,8353
1548195308,8397,8397
1548196208,8542,8542
1548198010,8512,8512
1548199809,8673,8673
1548200709,8797,8797
1548201608,8719,8719
1548202508,8412,8412
1548203410,8621,8621
1548204310,8702,8702
1548205208,8604,8604
1548206109,8759,8759
1548207010,8926,8926
1548207910,8782,8782
1548208810,8751,8751
1548209709,8566,8566
1548210610,8422,8422
1548212409,7108,7108
1548214208,6424,6424
1548216008,6592,6592
1548217809,6816,6816
1548219609,7249,7249
1548220509,7507,7507
1548221408,7899,7899
1548223210,8616,8616
1548224109,8857,8857
1548225008,9315,9315
1548226808,9286,9286
1548228608,9814,9814
1548230408,10915,10915
1548231308,11014,11014
1548232208,11291,11291
1548233109,11355,11355
1548234008,11153,11153
1548234908,11200,11200
1548235809,11342,11342
1548236708,11043,11043
1548238508,10168,10168
1548240309,9955,9955
1548241208,9772,9772
1548243008,8620,8620
1548244808,8383,8383
1548246608,8726,8726
1548248409,8693,8693
1548249308,8686,8686
1548250210,8607,8607
1548252007,8090,8090
1548253807,7642,7642
1548254709,5113,5113
1548256509,7888,7888
1548257409,7881,7881
1548259208,7913,7913
1548260108,8251,8251
1548261908,8652,8652
1548262808,8957,8957
1548264609,8913,8913
1548266408,9167,9167
1548268208,9707,9707
1548270008,10079,10079
1548271807,10711,10711
1548273607,11156,11156
1548275408,11545,11545
1548276307,11610,11610
1548278106,11075,11075
1548279007,11095,11095
1548280807,10733,10733
1548281707,10974,10974
1548282607,10996,10996
1548283507,10903,10903
1548284408,11338,11338
1548285307,11325,11325
1548286208,11722,11722
1548288007,11863,11863
1548288907,11680,11680
1548289807,11659,11659
1548291607,12061,12061
1548292507,12060,12060
1548293408,12017,12017
1548295207,11503,11503
1548297008,11644,11644
1548298806,12024,12024
1548299707,12389,12389
1548300607,12724,12724
1548301507,12964,12964
1548302407,13269,13269
1548304208,13770,13770
1548306006,14174,14174
1548306907,14421,14421
1548307807,14779,14779
1548308706,14054,14054
1548309607,13256,13256
1548311407,13679,13679
1548312308,13924,13924
1548313207,14038,14038
1548314107,14171,14171
1548315007,14232,14232
1548316807,14255,14255
1548317706,14572,14572
1548318607,15074,15074
1548320407,15790,15790
1548322207,15863,15863
1548323107,15818,15818
1548324007,15654,15654
1548325808,14990,14990
1548326706,14704,14704
1548328507,13810,13810
